Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	1000c_1 Spectral Count	1000c_2 Spectral Count	1000c_3 Spectral Count	1000c_4 Spectral Count	16hpf_1 Spectral Count	16hpf_2 Spectral Count	16hpf_3 Spectral Count	16hpf_4 Spectral Count	256c_1 Spectral Count	256c_2 Spectral Count	256c_3 Spectral Count	256c_4 Spectral Count	28hpf_1 Spectral Count	28hpf_2 Spectral Count	28hpf_3 Spectral Count	28hpf_4 Spectral Count	3dpf_1 Spectral Count	3dpf_2 Spectral Count	3dpf_3 Spectral Count	3dpf_4 Spectral Count	4c_1 Spectral Count	4c_2 Spectral Count	4c_3 Spectral Count	4c_4 Spectral Count	5dpf_1 Spectral Count	5dpf_2 Spectral Count	5dpf_3 Spectral Count	5dpf_4 Spectral Count	Bud_1 Spectral Count	Bud_2 Spectral Count	Bud_3 Spectral Count	Bud_4 Spectral Count	Dome_1 Spectral Count	Dome_2 Spectral Count	Dome_3 Spectral Count	Dome_4 Spectral Count	Oblong_1 Spectral Count	Oblong_2 Spectral Count	Oblong_3 Spectral Count	Oblong_4 Spectral Count	1000c_1 Unique Spectral Count	1000c_2 Unique Spectral Count	1000c_3 Unique Spectral Count	1000c_4 Unique Spectral Count	16hpf_1 Unique Spectral Count	16hpf_2 Unique Spectral Count	16hpf_3 Unique Spectral Count	16hpf_4 Unique Spectral Count	256c_1 Unique Spectral Count	256c_2 Unique Spectral Count	256c_3 Unique Spectral Count	256c_4 Unique Spectral Count	28hpf_1 Unique Spectral Count	28hpf_2 Unique Spectral Count	28hpf_3 Unique Spectral Count	28hpf_4 Unique Spectral Count	3dpf_1 Unique Spectral Count	3dpf_2 Unique Spectral Count	3dpf_3 Unique Spectral Count	3dpf_4 Unique Spectral Count	4c_1 Unique Spectral Count	4c_2 Unique Spectral Count	4c_3 Unique Spectral Count	4c_4 Unique Spectral Count	5dpf_1 Unique Spectral Count	5dpf_2 Unique Spectral Count	5dpf_3 Unique Spectral Count	5dpf_4 Unique Spectral Count	Bud_1 Unique Spectral Count	Bud_2 Unique Spectral Count	Bud_3 Unique Spectral Count	Bud_4 Unique Spectral Count	Dome_1 Unique Spectral Count	Dome_2 Unique Spectral Count	Dome_3 Unique Spectral Count	Dome_4 Unique Spectral Count	Oblong_1 Unique Spectral Count	Oblong_2 Unique Spectral Count	Oblong_3 Unique Spectral Count	Oblong_4 Unique Spectral Count	1000c_1 Total Spectral Count	1000c_2 Total Spectral Count	1000c_3 Total Spectral Count	1000c_4 Total Spectral Count	16hpf_1 Total Spectral Count	16hpf_2 Total Spectral Count	16hpf_3 Total Spectral Count	16hpf_4 Total Spectral Count	256c_1 Total Spectral Count	256c_2 Total Spectral Count	256c_3 Total Spectral Count	256c_4 Total Spectral Count	28hpf_1 Total Spectral Count	28hpf_2 Total Spectral Count	28hpf_3 Total Spectral Count	28hpf_4 Total Spectral Count	3dpf_1 Total Spectral Count	3dpf_2 Total Spectral Count	3dpf_3 Total Spectral Count	3dpf_4 Total Spectral Count	4c_1 Total Spectral Count	4c_2 Total Spectral Count	4c_3 Total Spectral Count	4c_4 Total Spectral Count	5dpf_1 Total Spectral Count	5dpf_2 Total Spectral Count	5dpf_3 Total Spectral Count	5dpf_4 Total Spectral Count	Bud_1 Total Spectral Count	Bud_2 Total Spectral Count	Bud_3 Total Spectral Count	Bud_4 Total Spectral Count	Dome_1 Total Spectral Count	Dome_2 Total Spectral Count	Dome_3 Total Spectral Count	Dome_4 Total Spectral Count	Oblong_1 Total Spectral Count	Oblong_2 Total Spectral Count	Oblong_3 Total Spectral Count	Oblong_4 Total Spectral Count	1000c_1 Intensity	1000c_2 Intensity	1000c_3 Intensity	1000c_4 Intensity	16hpf_1 Intensity	16hpf_2 Intensity	16hpf_3 Intensity	16hpf_4 Intensity	256c_1 Intensity	256c_2 Intensity	256c_3 Intensity	256c_4 Intensity	28hpf_1 Intensity	28hpf_2 Intensity	28hpf_3 Intensity	28hpf_4 Intensity	3dpf_1 Intensity	3dpf_2 Intensity	3dpf_3 Intensity	3dpf_4 Intensity	4c_1 Intensity	4c_2 Intensity	4c_3 Intensity	4c_4 Intensity	5dpf_1 Intensity	5dpf_2 Intensity	5dpf_3 Intensity	5dpf_4 Intensity	Bud_1 Intensity	Bud_2 Intensity	Bud_3 Intensity	Bud_4 Intensity	Dome_1 Intensity	Dome_2 Intensity	Dome_3 Intensity	Dome_4 Intensity	Oblong_1 Intensity	Oblong_2 Intensity	Oblong_3 Intensity	Oblong_4 Intensity	1000c_1 MaxLFQ Intensity	1000c_2 MaxLFQ Intensity	1000c_3 MaxLFQ Intensity	1000c_4 MaxLFQ Intensity	16hpf_1 MaxLFQ Intensity	16hpf_2 MaxLFQ Intensity	16hpf_3 MaxLFQ Intensity	16hpf_4 MaxLFQ Intensity	256c_1 MaxLFQ Intensity	256c_2 MaxLFQ Intensity	256c_3 MaxLFQ Intensity	256c_4 MaxLFQ Intensity	28hpf_1 MaxLFQ Intensity	28hpf_2 MaxLFQ Intensity	28hpf_3 MaxLFQ Intensity	28hpf_4 MaxLFQ Intensity	3dpf_1 MaxLFQ Intensity	3dpf_2 MaxLFQ Intensity	3dpf_3 MaxLFQ Intensity	3dpf_4 MaxLFQ Intensity	4c_1 MaxLFQ Intensity	4c_2 MaxLFQ Intensity	4c_3 MaxLFQ Intensity	4c_4 MaxLFQ Intensity	5dpf_1 MaxLFQ Intensity	5dpf_2 MaxLFQ Intensity	5dpf_3 MaxLFQ Intensity	5dpf_4 MaxLFQ Intensity	Bud_1 MaxLFQ Intensity	Bud_2 MaxLFQ Intensity	Bud_3 MaxLFQ Intensity	Bud_4 MaxLFQ Intensity	Dome_1 MaxLFQ Intensity	Dome_2 MaxLFQ Intensity	Dome_3 MaxLFQ Intensity	Dome_4 MaxLFQ Intensity	Oblong_1 MaxLFQ Intensity	Oblong_2 MaxLFQ Intensity	Oblong_3 MaxLFQ Intensity	Oblong_4 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0JMK5|MTMR2_DANRE	A0JMK5	MTMR2_DANRE	mtmr2	620	Danio rerio	2:Experimental evidence at transcript level	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2	0.8786	0.9708	2	12	12	12	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	2.5397252E7	0.0	0.0	0.0	0.0	0.0	0.0	5.9416196E7	6.8346368E7	0.0	0.0	0.0	0.0	8868509.0	0.0	0.0	0.0	0.0	0.0	5.9644352E7	4.7285928E7	1.4200752E7	0.0	5.2829608E7	0.0	0.0	0.0	0.0	0.0	1.88837856E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5397252E7	0.0	0.0	0.0	0.0	0.0	0.0	5.9416196E7	6.8346368E7	0.0	0.0	0.0	0.0	8868509.0	0.0	0.0	0.0	0.0	0.0	5.9644352E7	4.7285928E7	0.0	0.0	5.2829608E7	0.0	0.0	0.0	0.0	0.0	1.88837856E8	0.0	0.0	0.0	0.0	0.0	
sp|A0JMK6|SCG2B_DANRE	A0JMK6	SCG2B_DANRE	scg2b	583	Danio rerio	2:Experimental evidence at transcript level	Secretogranin-2b	1.0	0.999	10	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	8	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	8	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	8	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8832518E7	6.0516292E7	0.0	0.0	0.0	0.0	2.72500704E8	1.8595128E8	2.482564E8	1.85008288E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5579952E7	0.0	0.0	0.0	0.0	0.0	5.4582756E7	4.429848E7	5.9935976E7	5.5379196E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0JMK9|CAF1A_DANRE	A0JMK9	CAF1A_DANRE	chaf1a	863	Danio rerio	1:Experimental evidence at protein level	Chromatin assembly factor 1 subunit A	1.0	0.999	15	89	89	89	3	6	1	4	3	1	2	1	3	2	2	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	7	6	7	3	2	4	5	5	2	7	5	3	6	1	4	3	1	2	1	3	2	2	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	7	6	7	3	2	4	5	5	2	7	5	3	6	1	4	3	1	2	1	3	2	2	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	7	6	7	3	2	4	5	5	2	7	5	1.11068248E8	1.53670272E8	6.1434908E7	9.6946272E7	6.8253056E7	1.9525306E7	6.8938824E7	0.0	3.0379072E7	2.3582584E7	5.0529944E7	4.1820868E7	0.0	0.0	0.0	4.1961468E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2485648E7	2.0877384E8	3.84685216E8	5.02824768E8	5.8036152E7	1.4666408E8	8.1088392E7	1.2003232E8	2.99439968E8	7.2841168E7	3.26876352E8	2.51040176E8	5.6931772E7	5.2281336E7	7.0628E7	5.5703896E7	3.3867776E7	2.2447066E7	1.37593792E8	0.0	2.5997116E7	4.6443472E7	2.5687152E7	2.744699E7	0.0	0.0	0.0	1.08860784E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6822136E7	6.0849192E7	1.45969888E8	1.46842864E8	2.20657776E8	1.23851576E8	4.2501464E7	4.5551348E7	4.5364572E7	6.8380616E7	9.4604872E7	8.5241896E7	
sp|A0JMQ0|BOP1_DANRE	A0JMQ0	BOP1_DANRE	bop1	777	Danio rerio	2:Experimental evidence at transcript level	Ribosome biogenesis protein bop1	1.0	0.999	5	12	12	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	2.2601042E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.405935E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04769576E8	4.8175032E7	1.46554768E8	8.115468E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1656986E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8399504E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8442652E7	4.616274E7	6.3774336E7	6.4295216E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0MTA1|APEX1_DANRE	A0MTA1	APEX1_DANRE	apex1	310	Danio rerio	1:Experimental evidence at protein level	DNA repair nuclease APEX1	1.0	0.999	19	325	325	325	4	5	5	2	10	12	6	6	6	10	9	6	10	7	14	10	9	14	9	11	5	4	6	7	13	16	17	15	6	10	5	5	4	5	10	10	5	6	3	8	4	5	5	2	10	12	6	6	6	10	9	6	10	7	14	10	9	14	9	11	5	4	6	7	13	16	17	15	6	10	5	5	4	5	10	10	5	6	3	8	4	5	5	2	10	12	6	6	6	10	9	6	10	7	14	10	9	14	9	11	5	4	6	7	13	16	17	15	6	10	5	5	4	5	10	10	5	6	3	8	4.21315648E8	3.75617984E8	2.58994496E8	9.361536E7	9.0233754E8	2.2034007E9	8.3895571E8	9.3190093E8	7.5038528E8	6.0936403E8	4.925984E8	2.9504576E8	1.69952691E9	1.37504115E9	1.46990093E9	1.2480791E9	1.2103529E9	9.9794464E8	9.4403398E8	9.4240986E8	5.21089664E8	3.7661232E8	3.42756992E8	2.75898048E8	1.04986253E9	2.07850637E9	1.64674138E9	1.2299113E9	6.1379136E8	7.5049856E8	5.3795386E8	5.30294208E8	2.9771888E8	3.16096672E8	4.91145472E8	5.3305936E8	3.49376768E8	6.0468192E8	2.56191328E8	4.92309824E8	1.47478E8	1.50301408E8	1.3067572E8	7.9767352E7	2.417128E8	2.58256992E8	2.77533856E8	2.67205024E8	2.03499712E8	1.74925296E8	1.53142864E8	1.57124E8	3.95126272E8	4.3741008E8	3.4994208E8	4.01882624E8	2.01654112E8	1.75742032E8	2.40018224E8	2.15952992E8	1.7853128E8	1.83101872E8	9.2219304E7	8.2911992E7	2.15745504E8	3.4877152E8	2.59854048E8	2.47805488E8	2.010776E8	1.91815088E8	1.63479456E8	1.46309056E8	1.37578976E8	1.30355024E8	1.46526128E8	1.34274048E8	1.6060144E8	1.90088352E8	1.10629184E8	1.13761864E8	
sp|A0PJR5|ECHD3_DANRE	A0PJR5	ECHD3_DANRE	echdc3	289	Danio rerio	2:Experimental evidence at transcript level	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	1.0	0.999	11	234	234	234	12	12	4	5	4	6	2	4	9	12	7	10	6	3	6	1	0	0	1	0	8	10	8	11	0	0	1	0	5	4	4	5	6	9	10	13	7	10	9	10	12	12	4	5	4	6	2	4	9	12	7	10	6	3	6	1	0	0	1	0	8	10	8	11	0	0	1	0	5	4	4	5	6	9	10	13	7	10	9	10	12	12	4	5	4	6	2	4	9	12	7	10	6	3	6	1	0	0	1	0	8	10	8	11	0	0	1	0	5	4	4	5	6	9	10	13	7	10	9	10	1.02126042E9	1.11312307E9	1.47834291E9	1.53009203E9	2.90924064E8	6.107913E8	8.1814048E7	1.54306736E8	1.46594714E9	1.33240986E9	6.5084326E8	9.4665005E8	5.5837549E8	3.53758176E8	2.84954176E8	8.3624392E7	0.0	0.0	0.0	0.0	1.24821363E9	1.2250167E9	1.08915981E9	2.05718029E9	0.0	0.0	0.0	0.0	6.0202598E8	4.10936256E8	8.6925256E7	2.87874144E8	5.25434432E8	6.0137178E8	1.35901402E9	1.20682509E9	9.3981811E8	1.19601485E9	7.0441946E8	9.2939002E8	4.08813984E8	3.48014944E8	6.6156755E8	5.9278886E8	1.77017392E8	2.43159184E8	2.6503144E8	5.3346224E7	4.23601984E8	3.78024352E8	2.75234432E8	3.34561088E8	1.96317904E8	1.81493408E8	1.45347696E8	9.9530416E7	0.0	0.0	0.0	0.0	3.42011008E8	4.05638368E8	3.75610496E8	3.4808576E8	0.0	0.0	0.0	0.0	2.8574352E8	3.14422208E8	1.03459128E8	1.43549568E8	2.43898592E8	2.641516E8	3.4250672E8	3.77169888E8	3.24207392E8	3.039736E8	2.46430112E8	2.38041312E8	
sp|A0PJT0|RIPL1_DANRE	A0PJT0	RIPL1_DANRE	rilpl1	406	Danio rerio	2:Experimental evidence at transcript level	RILP-like protein 1	0.9467	0.9988	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0893467E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1A5H6|CNOT1_DANRE	A1A5H6	CNOT1_DANRE	cnot1	2374	Danio rerio	2:Experimental evidence at transcript level	CCR4-NOT transcription complex subunit 1	1.0	0.999	50	222	222	222	1	1	1	2	3	5	8	5	0	1	1	2	4	3	7	4	14	12	17	15	0	1	1	1	23	15	23	27	0	2	4	5	2	2	0	2	3	2	2	1	1	1	1	2	3	5	8	5	0	1	1	2	4	3	7	4	14	12	17	15	0	1	1	1	23	15	23	27	0	2	4	5	2	2	0	2	3	2	2	1	1	1	1	2	3	5	8	5	0	1	1	2	4	3	7	4	14	12	17	15	0	1	1	1	23	15	23	27	0	2	4	5	2	2	0	2	3	2	2	1	0.0	0.0	0.0	3404038.8	2.3569894E7	2108976.2	7.2116589E8	3.40184704E8	0.0	0.0	0.0	1.6303882E7	2.5213184E9	3.5353844E7	1.36278976E8	4.32529728E8	5.567456E8	4.21128032E8	7.3161997E8	7.193863E8	0.0	1.7415216E7	0.0	0.0	6.7182522E8	7.0531245E8	9.7978963E8	1.22450854E9	0.0	5.1280432E7	2.13164608E8	1.83335648E8	7.1007776E7	4.0457116E7	0.0	4.4118272E7	1.3574448E7	4276691.0	1.7206704E7	1.5920805E7	0.0	0.0	0.0	5413301.0	5.1033272E7	0.0	9.2096536E7	9.1813536E7	0.0	0.0	0.0	2.1751898E7	1.8425495E9	6.0962804E7	5.7480232E7	9.7931968E7	1.04856824E8	9.5399576E7	1.35587616E8	1.51103664E8	0.0	4.4630976E7	0.0	0.0	1.32629448E8	1.44403648E8	1.47932544E8	1.46365392E8	0.0	9.55574E7	6.214462E7	1.14656432E8	4.2195572E7	3.9318732E7	0.0	3.0465314E7	3.4356104E7	2.1327502E7	2.7363104E7	2.5318194E7	
sp|A1A5H8|YES_DANRE	A1A5H8	YES_DANRE	yes1	546	Danio rerio	1:Experimental evidence at protein level	Tyrosine-protein kinase yes	1.0	0.999	14	130	85	130	1	2	2	1	3	2	3	3	1	1	1	0	0	6	5	5	10	12	10	12	1	1	0	0	5	6	9	7	2	1	3	2	2	1	1	3	1	1	2	2	1	2	1	0	0	0	3	2	0	0	0	0	0	3	4	5	7	10	7	8	0	0	0	0	4	4	9	6	0	0	1	1	2	1	0	0	0	0	2	2	1	2	2	1	3	2	3	3	1	1	1	0	0	6	5	5	10	12	10	12	1	1	0	0	5	6	9	7	2	1	3	2	2	1	1	3	1	1	2	2	2.9300184E7	1.4501983E7	1.78149744E8	0.0	1.36572448E8	1.71200384E8	5.1762408E7	2.36117376E8	6.787248E7	6.5412364E7	6.4909264E7	0.0	0.0	1.94096864E8	1.54548944E8	8.691168E7	5.5117862E8	4.95251872E8	4.9080688E8	5.8445459E8	7.0127968E7	6.8920064E7	0.0	0.0	1.95013232E8	1.10521336E8	3.53988288E8	3.52847136E8	6.9635144E7	7.2076096E7	1.44179984E8	2.04186752E8	9984732.0	2.542852E7	9.3714248E7	5.9950838E9	4.6724076E7	5.5907844E7	0.0	5481586.0	6.582994E7	3.2582208E7	1.24021208E8	0.0	1.13960832E8	1.35361808E8	8.7952632E7	1.35665552E8	6.967288E7	6.7147512E7	6.6631064E7	0.0	0.0	8.7437544E7	8.5230768E7	5.7725276E7	1.2193496E8	1.190704E8	1.1524568E8	1.23779448E8	7.19882E7	7.0748256E7	0.0	0.0	7.2622624E7	1.22110264E8	1.02183136E8	9.2226704E7	7.1482304E7	7.3988008E7	1.48004544E8	1.11520608E8	2.2433112E7	5.7131312E7	9.6200136E7	6.681072E7	4.7963492E7	5.7390868E7	0.0	1.2315707E7	
sp|A1A5V7|TM41B_DANRE	A1A5V7	TM41B_DANRE	tmem41b	282	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 41B	0.9538	0.999	1	8	8	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9472128E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4398968E7	0.0	0.0	0.0	0.0	0.0	8490112.0	0.0	2.1708226E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9472128E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4398968E7	0.0	0.0	0.0	0.0	0.0	8490112.0	0.0	2.1708226E7	0.0	0.0	0.0	0.0	
sp|A1A5Y0|NELL2_DANRE	A1A5Y0	NELL2_DANRE	nell2a	811	Danio rerio	2:Experimental evidence at transcript level	Protein kinase C-binding protein NELL2a	0.9981	0.9943	2	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.8789688E7	0.0	0.0	4.3146156E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3821784E7	0.0	2.0989952E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.8789688E7	0.0	0.0	4.3146156E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0989952E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1A5Z3|EFTS_DANRE	A1A5Z3	EFTS_DANRE	tsfm	305	Danio rerio	2:Experimental evidence at transcript level	Elongation factor Ts, mitochondrial	1.0	0.999	11	159	159	159	6	5	7	7	3	2	2	5	6	5	7	9	2	2	3	2	1	1	0	0	6	5	6	5	2	2	0	1	5	3	3	2	4	5	6	6	5	7	6	5	6	5	7	7	3	2	2	5	6	5	7	9	2	2	3	2	1	1	0	0	6	5	6	5	2	2	0	1	5	3	3	2	4	5	6	6	5	7	6	5	6	5	7	7	3	2	2	5	6	5	7	9	2	2	3	2	1	1	0	0	6	5	6	5	2	2	0	1	5	3	3	2	4	5	6	6	5	7	6	5	1.02669427E9	8.1919002E8	8.7237402E8	9.5322061E8	2.37728992E8	2.35247584E8	4.94951168E8	8.4778099E8	7.8458144E8	7.3567712E8	8.1368365E8	1.29194624E9	2.19439648E8	2.18651232E8	5.9468928E8	2.95056864E8	0.0	0.0	0.0	0.0	8.4893939E8	1.11379302E9	9.1098842E8	9.8785485E8	2.1979904E8	7.3291328E7	0.0	4.317768E7	4.19975424E8	5.12364544E8	8.6391616E8	2.72357056E8	6.3961075E8	7.2735706E8	7.2718874E8	1.01045478E9	6.0712685E8	9.8594394E8	6.3732435E8	9.8136365E8	3.1718416E8	3.32271712E8	2.33699888E8	3.228424E8	2.28887552E8	1.29137784E8	2.94314816E8	2.73135264E8	2.9761344E8	2.8616224E8	3.10999104E8	3.03710976E8	2.02138848E8	3.22751072E8	2.07172288E8	2.81795904E8	0.0	0.0	0.0	0.0	3.02111072E8	3.30197184E8	2.76894016E8	3.75896416E8	1.84688912E8	3.06279552E8	0.0	4.2630556E7	2.13476096E8	2.18566512E8	3.25055264E8	2.00235184E8	2.9320176E8	3.10912672E8	2.34632176E8	2.74263328E8	3.13354592E8	3.54006112E8	3.04071392E8	3.20075328E8	
sp|A1IH00|GOGA2_DANRE	A1IH00	GOGA2_DANRE	golga2	1028	Danio rerio	2:Experimental evidence at transcript level	Golgin subfamily A member 2	1.0	0.9983	9	20	20	20	0	0	1	0	1	1	0	0	2	0	1	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	2	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	2	0	1	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	2	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	2	0	1	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	2	0	1	1	1	0	0	0	1	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	3073597.5	0.0	1.62749773E9	6.3814172E7	0.0	7.3172992E7	0.0	0.0	0.0	0.0	0.0	0.0	1.62435888E8	1.36130944E8	6.9922502E8	0.0	0.0	1.07047544E8	0.0	0.0	0.0	1.09302008E8	0.0	1.4111468E7	2.2284704E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3073597.5	0.0	1.62749773E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36130944E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09302008E8	0.0	1.4111468E7	2.2284704E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
