Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	170928_MW_1 Spectral Count	170928_MW_2 Spectral Count	170928_MW_3 Spectral Count	170928_MW_4 Spectral Count	170928_MW_5 Spectral Count	170928_MW_6 Spectral Count	170928_MW_1 Unique Spectral Count	170928_MW_2 Unique Spectral Count	170928_MW_3 Unique Spectral Count	170928_MW_4 Unique Spectral Count	170928_MW_5 Unique Spectral Count	170928_MW_6 Unique Spectral Count	170928_MW_1 Total Spectral Count	170928_MW_2 Total Spectral Count	170928_MW_3 Total Spectral Count	170928_MW_4 Total Spectral Count	170928_MW_5 Total Spectral Count	170928_MW_6 Total Spectral Count	170928_MW_1 Intensity	170928_MW_2 Intensity	170928_MW_3 Intensity	170928_MW_4 Intensity	170928_MW_5 Intensity	170928_MW_6 Intensity	170928_MW_1 MaxLFQ Intensity	170928_MW_2 MaxLFQ Intensity	170928_MW_3 MaxLFQ Intensity	170928_MW_4 MaxLFQ Intensity	170928_MW_5 MaxLFQ Intensity	170928_MW_6 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.999	46	223	201	248	66	29	25	31	37	35	62	25	22	27	34	31	71	32	30	35	41	39	8.6364877E9	2.80594074E9	2.41618611E9	3.32143565E9	3.07893606E9	4.6719759E9	1.3840809E9	4.6968416E8	4.96478112E8	4.13303392E8	5.26873536E8	6.2321306E8	
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S27a	1.0	0.999	8	110	110	110	15	18	16	18	23	20	15	18	16	18	23	20	15	18	16	18	23	20	4.0418647E9	5.4170952E9	5.6425748E9	5.995692E9	5.0300447E9	5.5543107E9	1.31777075E9	1.43503334E9	1.6027744E9	1.60797606E9	1.41901568E9	1.47916403E9	
contam_sp|P78386|KRT85_HUMAN	P78386	KRT85_HUMAN	KRT85	507	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cuticular Hb5	0.9231	0.9761	2	2	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-1	1.0	0.999	2	14	14	14	2	2	4	3	1	2	2	2	4	3	1	2	2	2	4	3	1	2	3.57124416E8	3.82400096E8	6.4978906E8	4.23450752E8	3.2839362E7	3.06718464E8	2.60007312E8	2.78409472E8	3.43826688E8	2.73491552E8	3.7429472E8	2.19766128E8	
contam_sp|Q15843|NEDD8_HUMAN	Q15843	NEDD8_HUMAN	NEDD8	81	Homo sapiens	1:Experimental evidence at protein level	NEDD8	0.9929	0.9869	2	3	3	3	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0G2KTI4|S12A2_DANRE	A0A0G2KTI4	S12A2_DANRE	slc12a2	1136	Danio rerio	1:Experimental evidence at protein level	Solute carrier family 12 member 2	0.9993	0.9962	2	6	6	6	2	1	2	0	0	1	2	1	2	0	0	1	2	1	2	0	0	1	0.0	0.0	2.5030522E7	0.0	0.0	1.10660288E8	0.0	0.0	2.5030522E7	0.0	0.0	1.10660288E8	
sp|A0A0R4IB93|UBP48_DANRE	A0A0R4IB93	UBP48_DANRE	usp48	1047	Danio rerio	3:Protein inferred from homology	Ubiquitin carboxyl-terminal hydrolase 48	0.9893	0.9989	1	5	5	5	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0.0	3045561.0	0.0	0.0	1.1426456E7	0.0	0.0	3045561.0	0.0	0.0	1.1426456E7	0.0	
sp|A0A0R4IC37|CPSF1_DANRE	A0A0R4IC37	CPSF1_DANRE	cpsf1	1451	Danio rerio	3:Protein inferred from homology	Cleavage and polyadenylation specificity factor subunit 1	0.9833	0.9648	2	5	5	5	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0R4IES7|BLTP1_DANRE	A0A0R4IES7	BLTP1_DANRE	bltp1	4923	Danio rerio	3:Protein inferred from homology	Bridge-like lipid transfer protein family member 1	0.9993	0.9499	2	3	3	3	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0.0	8.0766784E7	0.0	1.00705112E8	7.9528568E7	0.0	0.0	8.0766784E7	0.0	1.00705112E8	7.9528568E7	0.0	
sp|A0A0R4IEW8|ELAV4_DANRE	A0A0R4IEW8	ELAV4_DANRE	elavl4	411	Danio rerio	1:Experimental evidence at protein level	ELAV-like protein 4	1.0	0.999	10	39	39	39	4	8	7	7	7	6	4	8	7	7	7	6	4	8	7	7	7	6	2.09656E8	6.8458221E8	8.2881466E8	5.29317184E8	4.10181152E8	6.0778221E8	1.6624968E8	1.97914528E8	2.21630672E8	2.30713632E8	2.46731056E8	2.2331648E8	
sp|A0A0R4IKU3|RECK_DANRE	A0A0R4IKU3	RECK_DANRE	reck	955	Danio rerio	1:Experimental evidence at protein level	Reversion-inducing cysteine-rich protein with Kazal motifs	0.9182	0.9976	1	2	2	2	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0R4ITC5|TRRAP_DANRE	A0A0R4ITC5	TRRAP_DANRE	trrap	3841	Danio rerio	3:Protein inferred from homology	Transformation/transcription domain-associated protein	0.9999	0.9861	2	3	3	3	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0	0	1	7.7162616E7	7.5864664E7	1.12139904E8	0.0	0.0	9.1171776E7	7.7162616E7	7.5864664E7	1.12139904E8	0.0	0.0	9.1171776E7	
sp|A0A0R4IVV0|MTP_DANRE	A0A0R4IVV0	MTP_DANRE	mttp	884	Danio rerio	1:Experimental evidence at protein level	Microsomal triglyceride transfer protein large subunit	0.9997	0.9961	2	6	6	6	2	2	0	0	1	1	2	2	0	0	1	1	2	2	0	0	1	1	1.44531168E8	1.23049272E8	0.0	0.0	1.26063552E8	2.81230016E8	1.44531168E8	1.23049272E8	0.0	0.0	1.26063552E8	2.81230016E8	
sp|A0A2R8QP51|DPP9_DANRE	A0A2R8QP51	DPP9_DANRE	dpp9	885	Danio rerio	3:Protein inferred from homology	Dipeptidyl peptidase 9	0.9641	0.999	1	13	13	13	2	2	3	1	2	3	2	2	3	1	2	3	2	2	3	1	2	3	2306411.5	774603.6	1.2007794E7	471343.12	3804481.2	2756540.8	2306411.5	774603.6	1.2007794E7	471343.12	3804481.2	2756540.8	
sp|A0A8M1N5Y4|TMX3A_DANRE	A0A8M1N5Y4	TMX3A_DANRE	tmx3a	437	Danio rerio	2:Experimental evidence at transcript level	Protein disulfide-isomerase tmx3a	1.0	0.999	5	11	11	11	0	3	4	1	2	1	0	3	4	1	2	1	0	3	4	1	2	1	0.0	2.04984064E8	1.76917712E8	1.9067612E7	0.0	3.1569054E7	0.0	6.5762228E7	7.9225048E7	4.8516364E7	0.0	5.5362516E7	
sp|A0A8M2BID5|DESPA_DANRE	A0A8M2BID5	DESPA_DANRE	dspa	2059	Danio rerio	2:Experimental evidence at transcript level	Desmoplakin-A	0.9426	0.9696	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0JMI9|RRF2M_DANRE	A0JMI9	RRF2M_DANRE	gfm2	762	Danio rerio	2:Experimental evidence at transcript level	Ribosome-releasing factor 2, mitochondrial	0.8851	0.9965	1	2	2	2	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0JMQ0|BOP1_DANRE	A0JMQ0	BOP1_DANRE	bop1	777	Danio rerio	2:Experimental evidence at transcript level	Ribosome biogenesis protein bop1	0.951	0.9739	2	2	2	2	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	6.7104461E8	9.8328128E8	0.0	0.0	8.0094874E8	9.4944774E8	6.7104461E8	9.5886982E8	0.0	0.0	8.0094874E8	9.4944774E8	
sp|A0MTA1|APEX1_DANRE	A0MTA1	APEX1_DANRE	apex1	310	Danio rerio	1:Experimental evidence at protein level	DNA repair nuclease APEX1	1.0	0.999	9	67	67	67	9	11	9	7	15	16	9	11	9	7	15	16	9	11	9	7	15	16	2.12190208E8	3.86362336E8	2.82931424E8	2.65875744E8	7.243817E8	6.4306445E8	7.0407456E7	1.16622288E8	1.065284E8	1.44890256E8	3.10513664E8	1.7697936E8	
sp|A1A5H6|CNOT1_DANRE	A1A5H6	CNOT1_DANRE	cnot1	2374	Danio rerio	2:Experimental evidence at transcript level	CCR4-NOT transcription complex subunit 1	1.0	0.9988	7	14	14	14	2	3	2	3	2	2	2	3	2	3	2	2	2	3	2	3	2	2	0.0	9836726.0	9605800.0	3.406232E7	6406713.5	1.936331E7	0.0	1.4143422E7	0.0	1.5967121E7	9211688.0	1.3467516E7	
sp|A1A5H8|YES_DANRE	A1A5H8	YES_DANRE	yes1	546	Danio rerio	1:Experimental evidence at protein level	Tyrosine-protein kinase yes	0.963	0.9976	2	7	0	7	1	1	2	2	0	1	0	0	0	0	0	0	1	1	2	2	0	1	6.6013008E7	1.4221488E8	8.209576E7	1.8234304E8	7.1099432E7	1.56653472E8	6.6013008E7	8.1906232E7	8.209576E7	1.06591416E8	7.1099432E7	8.9091016E7	sp|F1RDG9|FYNB_DANRE, sp|Q6EWH2|FYNA_DANRE
sp|A1A5Z3|EFTS_DANRE	A1A5Z3	EFTS_DANRE	tsfm	305	Danio rerio	2:Experimental evidence at transcript level	Elongation factor Ts, mitochondrial	1.0	0.999	2	3	3	3	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L1F4|PDS5A_DANRE	A1L1F4	PDS5A_DANRE	pds5a	1320	Danio rerio	2:Experimental evidence at transcript level	Sister chromatid cohesion protein PDS5 homolog A	1.0	0.999	7	19	19	19	2	4	3	3	3	4	2	4	3	3	3	4	2	4	3	3	3	4	1.88751216E8	4.1021872E7	3.9754452E7	2.003558E7	1.9670908E7	7.938812E7	1.26411632E8	4.2113056E7	3.8667088E7	1.0297974E7	2.0944046E7	4.8975232E7	
sp|A1L1W9|MOT10_DANRE	A1L1W9	MOT10_DANRE	slc16a10	505	Danio rerio	2:Experimental evidence at transcript level	Monocarboxylate transporter 10	0.5052	0.9741	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L244|SAC1B_DANRE	A1L244	SAC1B_DANRE	sacm1lb	586	Danio rerio	2:Experimental evidence at transcript level	Phosphatidylinositol-3-phosphatase SAC1-B	0.9447	0.985	5	4	4	10	0	0	2	1	0	1	0	0	2	1	0	1	0	3	3	2	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L251|ENASE_DANRE	A1L251	ENASE_DANRE	engase	713	Danio rerio	2:Experimental evidence at transcript level	Cytosolic endo-beta-N-acetylglucosaminidase	0.9976	0.993	2	3	3	3	0	0	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0.0	0.0	0.0	0.0	0.0	2.47408336E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L260|CVN4A_DANRE	A1L260	CVN4A_DANRE	cavin4a	329	Danio rerio	1:Experimental evidence at protein level	Caveolae-associated protein 4a	1.0	0.999	7	20	20	20	2	2	3	3	6	4	2	2	3	3	6	4	2	2	3	3	6	4	1.85687136E8	1.435516E8	9.7194736E7	1.84404592E8	1.69681104E8	1.79362032E8	9.1586256E7	1.06644176E8	7.3049288E7	1.29207616E8	9.6417472E7	1.3335212E8	
sp|A2BGP7|CC125_DANRE	A2BGP7	CC125_DANRE	ccdc125	465	Danio rerio	3:Protein inferred from homology	Coiled-coil domain-containing protein 125	0.9668	0.9767	2	3	3	3	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0.0	1.94541776E8	0.0	0.0	1.213532E8	1.59944032E8	0.0	1.94541776E8	0.0	0.0	1.213532E8	1.59944032E8	
sp|A2BGU8|SEPT3_DANRE	A2BGU8	SEPT3_DANRE	septin3	361	Danio rerio	2:Experimental evidence at transcript level	Neuronal-specific septin-3	1.0	0.9976	5	15	15	15	1	2	5	1	3	3	1	2	5	1	3	3	1	2	5	1	3	3	0.0	1.807344E8	1.37265568E8	7.774984E7	1.78985744E8	1.72661184E8	0.0	7.9531096E7	6.188418E7	9.7768776E7	7.9190792E7	7.520316E7	
sp|A2RV29|ZN346_DANRE	A2RV29	ZN346_DANRE	znf346	301	Danio rerio	2:Experimental evidence at transcript level	Zinc finger protein 346	0.5485	0.9782	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KP59|RIOX1_DANRE	A3KP59	RIOX1_DANRE	riox1	544	Danio rerio	2:Experimental evidence at transcript level	Ribosomal oxygenase 1	0.9698	0.9788	2	2	2	2	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	4.6831148E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KPA0|JAM3B_DANRE	A3KPA0	JAM3B_DANRE	jam3b	302	Danio rerio	1:Experimental evidence at protein level	Junctional adhesion molecule 3B	0.9703	0.9768	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	2213795.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KPK0|AGO3_DANRE	A3KPK0	AGO3_DANRE	ago3	860	Danio rerio	3:Protein inferred from homology	Protein argonaute-3	1.0	0.9985	4	17	17	17	3	6	2	2	2	2	3	6	2	2	2	2	3	6	2	2	2	2	4.2039048E7	1.88006864E8	4.0601572E7	2.1882608E7	3.8285408E7	1.8026444E7	3.8017784E7	6.0471456E7	4.120604E7	2.6622742E7	2.6035094E7	2.5031066E7	
sp|A3QK16|ERLN2_DANRE	A3QK16	ERLN2_DANRE	erlin2	331	Danio rerio	2:Experimental evidence at transcript level	Erlin-2	0.9048	0.9733	3	2	2	8	0	0	1	0	1	0	0	0	1	0	1	0	0	3	1	0	2	2	0.0	0.0	0.0	0.0	1.2047786E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4FUN7|UBP12_DANRE	A4FUN7	UBP12_DANRE	usp12a	371	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin carboxyl-terminal hydrolase 12A	0.3807	0.9578	1	4	0	4	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A5WWB0|UBP46_DANRE
sp|A4IFW2|PTPRF_DANRE	A4IFW2	PTPRF_DANRE	ptprf	1909	Danio rerio	2:Experimental evidence at transcript level	Receptor-type tyrosine-protein phosphatase F	1.0	0.999	6	11	11	11	2	0	1	3	1	4	2	0	1	3	1	4	2	0	1	3	1	4	0.0	0.0	2.164564E7	1.31552784E8	0.0	5.0495928E7	0.0	0.0	3.6781932E7	0.0	0.0	2.2072492E7	
sp|A4IG53|COMTB_DANRE	A4IG53	COMTB_DANRE	comtb	264	Danio rerio	2:Experimental evidence at transcript level	Catechol O-methyltransferase B	1.0	0.9989	3	8	8	8	4	0	1	1	2	0	4	0	1	1	2	0	4	0	1	1	2	0	1.4243922E7	0.0	1.2911375E7	0.0	4989575.0	0.0	1.4243922E7	0.0	1.2911375E7	0.0	4989575.0	0.0	
sp|A4QNW7|PHIPL_DANRE	A4QNW7	PHIPL_DANRE	phyhipl	377	Danio rerio	2:Experimental evidence at transcript level	Phytanoyl-CoA hydroxylase-interacting protein-like	1.0	0.9987	3	7	7	7	2	1	0	1	1	2	2	1	0	1	1	2	2	1	0	1	1	2	0.0	0.0	0.0	2.1920478E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4VCH0|SAC1A_DANRE	A4VCH0	SAC1A_DANRE	sacm1la	586	Danio rerio	2:Experimental evidence at transcript level	Phosphatidylinositol-3-phosphatase SAC1-A	0.9994	0.9977	5	8	2	8	2	3	1	1	1	0	2	0	0	0	0	0	2	3	1	1	1	0	1.468226E7	6.8679112E7	3.9920888E7	2.4057924E7	0.0	0.0	0.0	2.704658E7	3.4103436E7	3.8590288E7	0.0	0.0	
sp|A4VCH4|VP35L_DANRE	A4VCH4	VP35L_DANRE	vps35l	963	Danio rerio	2:Experimental evidence at transcript level	VPS35 endosomal protein-sorting factor-like	0.4354	0.966	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
