Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	deyolked_5dpf_1 Spectral Count	deyolked_5dpf_2 Spectral Count	deyolked_5dpf_3 Spectral Count	non_deyolked_5dpf_1 Spectral Count	non_deyolked_5dpf_2 Spectral Count	non_deyolked_5dpf_3 Spectral Count	deyolked_5dpf_1 Unique Spectral Count	deyolked_5dpf_2 Unique Spectral Count	deyolked_5dpf_3 Unique Spectral Count	non_deyolked_5dpf_1 Unique Spectral Count	non_deyolked_5dpf_2 Unique Spectral Count	non_deyolked_5dpf_3 Unique Spectral Count	deyolked_5dpf_1 Total Spectral Count	deyolked_5dpf_2 Total Spectral Count	deyolked_5dpf_3 Total Spectral Count	non_deyolked_5dpf_1 Total Spectral Count	non_deyolked_5dpf_2 Total Spectral Count	non_deyolked_5dpf_3 Total Spectral Count	deyolked_5dpf_1 Intensity	deyolked_5dpf_2 Intensity	deyolked_5dpf_3 Intensity	non_deyolked_5dpf_1 Intensity	non_deyolked_5dpf_2 Intensity	non_deyolked_5dpf_3 Intensity	deyolked_5dpf_1 MaxLFQ Intensity	deyolked_5dpf_2 MaxLFQ Intensity	deyolked_5dpf_3 MaxLFQ Intensity	non_deyolked_5dpf_1 MaxLFQ Intensity	non_deyolked_5dpf_2 MaxLFQ Intensity	non_deyolked_5dpf_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	Danio rerio	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	1.0	0.9988	3	17	4	17	5	1	5	2	3	1	1	1	2	0	0	0	5	1	5	2	3	1	913438.44	379610.44	2819483.5	0.0	1968699.5	0.0	473480.03	0.0	1768716.1	0.0	2393020.2	0.0	
sp|O73872|SODC_DANRE	O73872	SODC_DANRE	sod1	154	Danio rerio	2:Experimental evidence at transcript level	Superoxide dismutase [Cu-Zn]	1.0	0.9967	1	10	10	10	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	2262562.5	0.0	552819.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O93409|MLRSA_DANRE	O93409	MLRSA_DANRE	mylpfa	169	Danio rerio	1:Experimental evidence at protein level	Myosin regulatory light chain 2, skeletal muscle isoform A	1.0	0.9989	9	29	1	29	10	8	9	1	1	0	0	0	1	0	0	0	10	8	9	1	1	0	258607.8	967996.7	1988753.6	0.0	0.0	0.0	633549.44	0.0	688024.9	0.0	0.0	0.0	
sp|P13104|TPM1_DANRE	P13104	TPM1_DANRE	tpma	284	Danio rerio	2:Experimental evidence at transcript level	Tropomyosin alpha-1 chain	1.0	0.997	7	23	23	23	9	3	5	3	1	2	9	3	5	3	1	2	9	3	5	3	1	2	4794508.0	0.0	0.0	540478.7	0.0	0.0	3679297.2	0.0	0.0	540478.7	0.0	0.0	
sp|P62084|RS7_DANRE	P62084	RS7_DANRE	rps7	194	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS7	1.0	0.9989	2	27	27	27	6	3	4	7	3	4	6	3	4	7	3	4	6	3	4	7	3	4	3734813.0	2320659.8	2322404.0	1652630.8	615881.3	1248750.0	2595517.8	1465189.0	2117773.5	1507014.9	1698940.6	1138720.8	
sp|P79735|RAN_DANRE	P79735	RAN_DANRE	ran	215	Danio rerio	2:Experimental evidence at transcript level	GTP-binding nuclear protein Ran	0.5967	0.9532	1	4	4	4	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	0.0	859512.75	1963751.0	0.0	0.0	0.0	0.0	859512.75	1963751.0	0.0	0.0	0.0	
sp|Q08CK7|IF2B1_DANRE	Q08CK7	IF2B1_DANRE	igf2bp1	598	Danio rerio	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 1	0.9993	0.9485	1	2	2	2	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0.0	399521.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1LUK1|MIC13_DANRE	Q1LUK1	MIC13_DANRE	micos13	111	Danio rerio	3:Protein inferred from homology	MICOS complex subunit MIC13	0.9973	0.9504	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1138793.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1LVF0|LAMC1_DANRE	Q1LVF0	LAMC1_DANRE	lamc1	1593	Danio rerio	2:Experimental evidence at transcript level	Laminin subunit gamma-1	0.8786	0.9901	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	49788.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q32LQ4|BHMT1_DANRE	Q32LQ4	BHMT1_DANRE	bhmt	400	Danio rerio	2:Experimental evidence at transcript level	Betaine--homocysteine S-methyltransferase 1	0.6531	0.9628	1	4	4	4	3	1	0	0	0	0	3	1	0	0	0	0	3	1	0	0	0	0	1059364.2	906703.9	0.0	0.0	0.0	0.0	1059364.2	906703.9	0.0	0.0	0.0	0.0	
sp|Q4QRF4|H32_DANRE	Q4QRF4	H32_DANRE	zgc:113984	136	Danio rerio	2:Experimental evidence at transcript level	Histone H3.2	1.0	0.9988	3	18	16	18	9	2	7	0	0	0	8	2	6	0	0	0	9	2	7	0	0	0	3967129.8	1988029.2	0.0	0.0	0.0	0.0	3967129.8	1988029.2	0.0	0.0	0.0	0.0	
sp|Q5BJA5|H2B1_DANRE	Q5BJA5	H2B1_DANRE	zgc:112234	124	Danio rerio	2:Experimental evidence at transcript level	Histone H2B 1/2	1.0	0.999	8	129	0	129	47	18	24	14	13	13	0	0	0	0	0	0	47	18	24	14	13	13	1.570657E7	2072879.8	1.1788562E7	1364329.4	2116522.5	2704678.8	8363833.0	1046683.6	7602792.0	1725917.4	511082.47	2636823.8	sp|Q6PC60|H2B3_DANRE
sp|Q5MJ86|G3P2_DANRE	Q5MJ86	G3P2_DANRE	gapdh-2	335	Danio rerio	2:Experimental evidence at transcript level	Glyceraldehyde-3-phosphate dehydrogenase 2	1.0	0.999	7	39	39	39	18	9	12	0	0	0	18	9	12	0	0	0	18	9	12	0	0	0	4471287.5	2345387.8	5310222.5	0.0	0.0	0.0	1881971.8	1681268.6	2357512.2	0.0	0.0	0.0	
sp|Q5PRD0|143BA_DANRE	Q5PRD0	143BA_DANRE	ywhaba	244	Danio rerio	2:Experimental evidence at transcript level	14-3-3 protein beta/alpha-A	1.0	0.999	3	15	15	15	7	2	1	1	2	2	7	2	1	1	2	2	7	2	1	1	2	2	1823730.2	37014.945	979725.94	0.0	716978.2	0.0	882436.56	29400.656	778188.0	0.0	3595062.8	0.0	
sp|Q5XJ10|G3P_DANRE	Q5XJ10	G3P_DANRE	gapdh	333	Danio rerio	2:Experimental evidence at transcript level	Glyceraldehyde-3-phosphate dehydrogenase	1.0	0.9987	3	12	12	12	5	1	4	0	0	2	5	1	4	0	0	2	5	1	4	0	0	2	8939910.0	0.0	868868.2	0.0	0.0	0.0	4747445.5	0.0	868868.2	0.0	0.0	0.0	
sp|Q642H9|RS4X_DANRE	Q642H9	RS4X_DANRE	rps4x	263	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS4	0.8897	0.9911	1	7	7	7	2	1	0	2	2	0	2	1	0	2	2	0	2	1	0	2	2	0	2304669.8	2326124.5	0.0	387349.28	252910.88	0.0	2304669.8	2326124.5	0.0	387349.28	252910.88	0.0	
sp|Q66HY8|PDXD1_DANRE	Q66HY8	PDXD1_DANRE	pdxdc1	751	Danio rerio	2:Experimental evidence at transcript level	Pyridoxal-dependent decarboxylase domain-containing protein 1	0.2768	0.8405	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6AZA0|THIL_DANRE	Q6AZA0	THIL_DANRE	acat1	420	Danio rerio	2:Experimental evidence at transcript level	Acetyl-CoA acetyltransferase, mitochondrial	0.5826	0.9505	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	563810.06	0.0	301202.2	0.0	0.0	0.0	563810.06	0.0	301202.2	0.0	0.0	0.0	
sp|Q6DGY7|CRGNB_DANRE	Q6DGY7	CRGNB_DANRE	crygnb	183	Danio rerio	2:Experimental evidence at transcript level	Gamma-crystallin N-B	0.8854	0.9907	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	167794.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6NUW5|AN32E_DANRE	Q6NUW5	AN32E_DANRE	anp32e	250	Danio rerio	1:Experimental evidence at protein level	Acidic leucine-rich nuclear phosphoprotein 32 family member E	0.3819	0.8948	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	530004.44	0.0	455361.03	0.0	0.0	0.0	530004.44	0.0	455361.03	0.0	0.0	0.0	
sp|Q6NWF6|K2C8_DANRE	Q6NWF6	K2C8_DANRE	krt8	520	Danio rerio	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 8	1.0	0.9989	8	52	47	52	7	2	3	15	12	13	6	2	2	14	11	12	7	2	3	15	12	13	3614954.0	0.0	1393635.0	1.0298518E7	3842587.0	9880061.0	2386403.2	0.0	1766811.0	3545490.8	2312570.2	3675331.2	
sp|Q6NX89|IF5A1_DANRE	Q6NX89	IF5A1_DANRE	eif5a	155	Danio rerio	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 5A-1	0.9668	0.9975	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	586180.2	0.0	447075.0	0.0	0.0	0.0	586180.2	0.0	447075.0	0.0	0.0	0.0	
sp|Q6NZ06|ILF2_DANRE	Q6NZ06	ILF2_DANRE	ilf2	387	Danio rerio	2:Experimental evidence at transcript level	Interleukin enhancer-binding factor 2 homolog	1.0	0.9966	2	5	5	5	2	2	1	0	0	0	2	2	1	0	0	0	2	2	1	0	0	0	1086270.0	597032.75	605162.44	0.0	0.0	0.0	854289.6	383017.25	605162.44	0.0	0.0	0.0	
sp|Q6NZS4|RTCB_DANRE	Q6NZS4	RTCB_DANRE	rtcb	505	Danio rerio	2:Experimental evidence at transcript level	RNA-splicing ligase RtcB homolog	0.5356	0.9408	1	4	4	4	2	0	2	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	412806.0	0.0	489324.62	0.0	0.0	0.0	412806.0	0.0	489324.62	0.0	0.0	0.0	
sp|Q6P036|S2533_DANRE	Q6P036	S2533_DANRE	slc25a33	314	Danio rerio	2:Experimental evidence at transcript level	Solute carrier family 25 member 33	0.4206	0.909	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6P0G6|MYL1_DANRE	Q6P0G6	MYL1_DANRE	myl1	190	Danio rerio	2:Experimental evidence at transcript level	Myosin, light chain 1, alkali; skeletal, fast	1.0	0.999	10	53	53	53	19	6	12	4	8	4	19	6	12	4	8	4	19	6	12	4	8	4	7481651.0	1.1498906E7	4320521.5	3669010.2	6021746.0	1948285.8	6173819.5	7952810.0	2452649.2	3954028.2	1425577.4	3192594.5	
sp|Q6P3J5|EF2_DANRE	Q6P3J5	EF2_DANRE	eef2b	858	Danio rerio	1:Experimental evidence at protein level	Elongation factor 2b	1.0	0.999	13	64	64	64	25	5	15	8	6	5	25	5	15	8	6	5	25	5	15	8	6	5	7053795.5	2153947.5	4574818.0	3950243.2	4480221.0	2597449.0	3462887.0	4988699.5	2573216.2	2368453.5	1797691.4	1135003.8	
sp|Q6P7E4|PDLI7_DANRE	Q6P7E4	PDLI7_DANRE	pdlim7	419	Danio rerio	2:Experimental evidence at transcript level	PDZ and LIM domain protein 7	0.6212	0.9576	1	4	4	4	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	746430.06	0.0	713853.5	0.0	0.0	0.0	746430.06	0.0	713853.5	0.0	0.0	0.0	
sp|Q6PBW5|RP65A_DANRE	Q6PBW5	RP65A_DANRE	rpe65a	531	Danio rerio	2:Experimental evidence at transcript level	Retinoid isomerohydrolase	0.8118	0.9834	1	4	4	4	3	1	0	0	0	0	3	1	0	0	0	0	3	1	0	0	0	0	707459.56	414950.2	0.0	0.0	0.0	0.0	707459.56	414950.2	0.0	0.0	0.0	0.0	
sp|Q6PC91|BT3L4_DANRE	Q6PC91	BT3L4_DANRE	btf3l4	158	Danio rerio	2:Experimental evidence at transcript level	Transcription factor BTF3 homolog 4	0.7043	0.9704	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	315787.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6PE25|EF1G_DANRE	Q6PE25	EF1G_DANRE	eef1g	442	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-gamma	0.9997	0.993	1	3	3	3	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6PH57|GBB1_DANRE	Q6PH57	GBB1_DANRE	gnb1	340	Danio rerio	2:Experimental evidence at transcript level	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	1.0	0.998	2	9	9	9	7	0	2	0	0	0	7	0	2	0	0	0	7	0	2	0	0	0	1930418.1	0.0	1576838.5	0.0	0.0	0.0	1006706.6	0.0	1576838.5	0.0	0.0	0.0	
sp|Q6PI20|H33_DANRE	Q6PI20	H33_DANRE	h3f3a	136	Danio rerio	2:Experimental evidence at transcript level	Histone H3.3	1.0	0.9935	3	7	7	9	5	0	0	1	1	0	5	0	0	1	1	0	6	0	1	1	1	0	4949564.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7SY23|AL4A1_DANRE	Q7SY23	AL4A1_DANRE	aldh4a1	556	Danio rerio	2:Experimental evidence at transcript level	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	0.5832	0.9507	1	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	464819.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7T2A5|EIF3L_DANRE	Q7T2A5	EIF3L_DANRE	eif3l	576	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit L	0.6163	0.9567	1	2	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	195938.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7T356|143BB_DANRE	Q7T356	143BB_DANRE	ywhabb	242	Danio rerio	2:Experimental evidence at transcript level	14-3-3 protein beta/alpha-B	1.0	0.9914	2	9	8	9	2	1	4	0	1	1	2	1	3	0	1	1	2	1	4	0	1	1	1053681.2	1203747.2	747321.44	0.0	0.0	587446.6	1053681.2	1203747.2	729299.25	0.0	0.0	587446.6	
sp|Q7ZU99|TERA_DANRE	Q7ZU99	TERA_DANRE	vcp	806	Danio rerio	1:Experimental evidence at protein level	Transitional endoplasmic reticulum ATPase	0.9971	0.9161	1	2	2	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0.0	0.0	389972.3	612238.0	0.0	0.0	0.0	0.0	389972.3	612238.0	0.0	0.0	
sp|Q7ZUP0|AN32A_DANRE	Q7ZUP0	AN32A_DANRE	anp32a	254	Danio rerio	2:Experimental evidence at transcript level	Acidic leucine-rich nuclear phosphoprotein 32 family member A	0.4621	0.922	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7ZUY3|H2AX_DANRE	Q7ZUY3	H2AX_DANRE	h2ax	142	Danio rerio	2:Experimental evidence at transcript level	Histone H2AX	1.0	0.999	6	196	193	196	52	24	43	25	23	29	51	22	43	25	23	29	52	24	43	25	23	29	3.850238E7	6767985.0	2.912972E7	4.6943356E7	6.3349836E7	1.362328E8	7195354.0	4502613.5	3.7477136E7	1.07521912E8	3.965758E7	8.2646424E7	
sp|Q7ZV96|RL10_DANRE	Q7ZV96	RL10_DANRE	rpl10	215	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein uL16	0.5756	0.9492	1	2	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	422200.12	447319.8	0.0	0.0	0.0	0.0	422200.12	447319.8	0.0	0.0	0.0	0.0	
sp|Q7ZVF3|SDHA_DANRE	Q7ZVF3	SDHA_DANRE	sdha	661	Danio rerio	2:Experimental evidence at transcript level	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	0.9839	0.9988	1	2	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0.0	485696.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7ZVF9|ACTB2_DANRE	Q7ZVF9	ACTB2_DANRE	actbb	375	Danio rerio	1:Experimental evidence at protein level	Actin, cytoplasmic 2	1.0	0.9989	22	128	0	128	47	18	41	7	5	10	0	0	0	0	0	0	47	18	41	7	5	10	2.1742816E7	2069082.9	3.0937862E7	2495515.2	422608.12	4187742.0	5624659.5	8053728.5	5829946.5	3817662.2	341308.1	1673673.4	sp|Q7ZVI7|ACTB1_DANRE
sp|Q7ZVY5|CISY_DANRE	Q7ZVY5	CISY_DANRE	cs	468	Danio rerio	2:Experimental evidence at transcript level	Citrate synthase, mitochondrial	1.0	0.9984	3	8	8	8	4	1	3	0	0	0	4	1	3	0	0	0	4	1	3	0	0	0	6882911.0	520694.88	5424515.0	0.0	0.0	0.0	6882911.0	0.0	5424515.0	0.0	0.0	0.0	
sp|Q90XG0|TPISB_DANRE	Q90XG0	TPISB_DANRE	tpi1b	248	Danio rerio	2:Experimental evidence at transcript level	Triosephosphate isomerase B	1.0	0.947	4	17	17	17	4	2	2	2	5	2	4	2	2	2	5	2	4	2	2	2	5	2	2823262.5	0.0	5755190.5	1572059.5	2249829.2	2683118.0	0.0	0.0	0.0	1863054.4	1180112.8	1368575.0	
sp|Q90YL4|S61A2_DANRE	Q90YL4	S61A2_DANRE	sec61al2	476	Danio rerio	2:Experimental evidence at transcript level	Protein transport protein Sec61 subunit alpha-like 2	0.8534	0.9877	1	5	0	5	1	1	0	1	0	2	0	0	0	0	0	0	1	1	0	1	0	2	205327.75	190046.8	0.0	0.0	0.0	205477.0	205327.75	190046.8	0.0	0.0	0.0	205477.0	sp|Q90ZM2|S61A1_DANRE
sp|Q92005|EF1A_DANRE	Q92005	EF1A_DANRE	eef1a	462	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-alpha	1.0	0.9908	9	28	28	28	12	5	10	0	0	1	12	5	10	0	0	1	12	5	10	0	0	1	8077923.5	2373098.2	1.2300006E7	0.0	0.0	474069.94	3426015.8	3795882.2	4175967.5	0.0	0.0	0.0	
sp|Q98TZ8|FLOT2_DANRE	Q98TZ8	FLOT2_DANRE	flot2a	428	Danio rerio	2:Experimental evidence at transcript level	Flotillin-2a	0.8586	0.9882	1	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	3004794.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9DDE3|ACES_DANRE	Q9DDE3	ACES_DANRE	ache	634	Danio rerio	1:Experimental evidence at protein level	Acetylcholinesterase	0.5256	0.9385	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	167411.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9I8V0|PRV2_DANRE	Q9I8V0	PRV2_DANRE	pvalb2	109	Danio rerio	3:Protein inferred from homology	Parvalbumin-2	1.0	0.9987	2	19	19	19	4	2	4	3	3	3	4	2	4	3	3	3	4	2	4	3	3	3	606000.9	70759.08	1498757.0	7844209.5	4752371.0	4420838.5	1419964.9	67947.6	1020861.6	6979074.5	4099688.2	3091378.0	
sp|Q9I9N6|ASC_DANRE	Q9I9N6	ASC_DANRE	pycard	203	Danio rerio	1:Experimental evidence at protein level	Apoptosis-associated speck-like protein containing a CARD	0.3578	0.8847	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9MIY7|COX2_DANRE	Q9MIY7	COX2_DANRE	mt-co2	230	Danio rerio	3:Protein inferred from homology	Cytochrome c oxidase subunit 2	0.4722	0.9249	1	5	5	5	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	3828453.5	6480541.0	0.0	5194982.5	5599326.0	4395949.5	3828453.5	6480541.0	0.0	5194982.5	5599326.0	4395949.5	
sp|Q9PTF3|NDK3_DANRE	Q9PTF3	NDK3_DANRE	nme3	169	Danio rerio	2:Experimental evidence at transcript level	Nucleoside diphosphate kinase 3	1.0	0.9962	1	4	4	4	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	65673.23	550597.4	898439.7	0.0	0.0	0.0	0.0	550597.4	898439.7	0.0	0.0	0.0	
sp|Q9PVK4|LDHBA_DANRE	Q9PVK4	LDHBA_DANRE	ldhba	334	Danio rerio	2:Experimental evidence at transcript level	L-lactate dehydrogenase B-A chain	0.3666	0.8885	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
