Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	115_1 Spectral Count	119_2 Spectral Count	124_3 Spectral Count	2_5 Spectral Count	4_6 Spectral Count	57_4 Spectral Count	5_7 Spectral Count	d6_8 Spectral Count	115_1 Unique Spectral Count	119_2 Unique Spectral Count	124_3 Unique Spectral Count	2_5 Unique Spectral Count	4_6 Unique Spectral Count	57_4 Unique Spectral Count	5_7 Unique Spectral Count	d6_8 Unique Spectral Count	115_1 Total Spectral Count	119_2 Total Spectral Count	124_3 Total Spectral Count	2_5 Total Spectral Count	4_6 Total Spectral Count	57_4 Total Spectral Count	5_7 Total Spectral Count	d6_8 Total Spectral Count	115_1 Intensity	119_2 Intensity	124_3 Intensity	2_5 Intensity	4_6 Intensity	57_4 Intensity	5_7 Intensity	d6_8 Intensity	115_1 MaxLFQ Intensity	119_2 MaxLFQ Intensity	124_3 MaxLFQ Intensity	2_5 MaxLFQ Intensity	4_6 MaxLFQ Intensity	57_4 MaxLFQ Intensity	5_7 MaxLFQ Intensity	d6_8 MaxLFQ Intensity	Indistinguishable Proteins
sp|B0S6C5|RTSTL_DANRE	B0S6C5	RTSTL_DANRE	retsatl	604	Danio rerio	1:Experimental evidence at protein level	Inactive all-trans-retinol 13,14-reductase	1.0	0.9939	13	36	36	36	5	4	4	2	3	3	10	5	5	4	4	2	3	3	10	5	5	4	4	2	3	3	10	5	4.4503009E9	4.4424008E9	4.1270697E9	4.98328288E8	2.4736064E9	1.78191104E9	5.1292308E9	4.11465728E9	1.05375309E9	8.8490016E8	2.29573811E9	6.2757728E8	9.3824147E8	4.31429728E8	1.23105869E9	1.15212826E9	
sp|B5DE31|YBOX1_DANRE	B5DE31	YBOX1_DANRE	ybx1	310	Danio rerio	1:Experimental evidence at protein level	Y-box-binding protein 1	0.6015	0.949	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	1.1094309E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QCN0|GAL3A_DANRE	F1QCN0	GAL3A_DANRE	gatd3	262	Danio rerio	3:Protein inferred from homology	Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	0.4679	0.9156	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	9721472.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O73872|SODC_DANRE	O73872	SODC_DANRE	sod1	154	Danio rerio	2:Experimental evidence at transcript level	Superoxide dismutase [Cu-Zn]	1.0	0.9638	4	11	11	11	1	0	0	1	2	2	2	3	1	0	0	1	2	2	2	3	1	0	0	1	2	2	2	3	1.14443776E8	0.0	0.0	8.5013082E8	8.9852934E8	9.8086144E7	2.52928544E8	2.74699264E9	1.53525184E8	0.0	0.0	4.58373248E8	9.9215629E8	9.8353E7	1.66125184E8	8.0932186E8	
sp|Q0IIP8|CRP_DANRE	Q0IIP8	CRP_DANRE	crp	225	Danio rerio	1:Experimental evidence at protein level	C-reactive protein	1.0	0.9203	3	7	7	7	2	0	1	1	1	2	0	0	2	0	1	1	1	2	0	0	2	0	1	1	1	2	0	0	1.9563616E8	0.0	4.7904376E7	1.7257904E8	2.41571744E8	3.32176672E8	0.0	0.0	1.59181328E8	0.0	0.0	1.7257904E8	2.41571744E8	2.2832848E8	0.0	0.0	
sp|Q1MTI4|TPISA_DANRE	Q1MTI4	TPISA_DANRE	tpi1a	248	Danio rerio	2:Experimental evidence at transcript level	Triosephosphate isomerase A	1.0	0.9678	8	23	16	23	1	2	0	5	6	1	2	6	1	1	0	3	4	1	2	4	1	2	0	5	6	1	2	6	6.2798E7	4.75920128E8	0.0	2.95868877E9	3.78015488E9	1.98648096E8	1.36924851E9	2.73363277E9	1.7825288E8	6.2060858E8	0.0	1.10023066E9	1.31617126E9	4.21969312E8	5.4191878E8	8.410025E8	
sp|Q5XJ10|G3P_DANRE	Q5XJ10	G3P_DANRE	gapdh	333	Danio rerio	2:Experimental evidence at transcript level	Glyceraldehyde-3-phosphate dehydrogenase	1.0	0.9976	15	97	96	97	12	10	11	7	10	12	16	19	12	10	11	7	10	11	16	19	12	10	11	7	10	12	16	19	1.11539067E10	1.09280727E10	1.47951012E10	6.746775E9	1.15299103E10	7.2561751E9	1.40799713E10	2.10512486E10	3.55450547E9	3.25844582E9	5.5458529E9	2.75929139E9	3.72520166E9	2.15797018E9	4.3792988E9	5.9477914E9	
sp|Q6IQM2|CYC_DANRE	Q6IQM2	CYC_DANRE	cyc	104	Danio rerio	3:Protein inferred from homology	Cytochrome c	0.7089	0.9678	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	1.6672366E7	3.3025908E7	0.0	0.0	5.0469564E7	0.0	0.0	0.0	1.6672366E7	3.3025908E7	0.0	0.0	5.0469564E7	
sp|Q6PE25|EF1G_DANRE	Q6PE25	EF1G_DANRE	eef1g	442	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-gamma	1.0	0.9818	6	20	20	20	4	2	0	1	2	3	5	3	4	2	0	1	2	3	5	3	4	2	0	1	2	3	5	3	1.60350336E9	1.44460198E9	0.0	4.02167456E8	1.16372198E9	2.88974144E8	1.87060237E9	1.24955418E9	5.9983597E8	8.383193E8	0.0	4.10468032E8	6.3184518E8	1.62678176E8	6.4917715E8	4.87086976E8	
sp|Q7ZUY3|H2AX_DANRE	Q7ZUY3	H2AX_DANRE	h2ax	142	Danio rerio	2:Experimental evidence at transcript level	Histone H2AX	1.0	0.921	3	6	5	6	2	1	2	0	0	0	1	0	2	1	1	0	0	0	1	0	2	1	2	0	0	0	1	0	6.812976E7	1.220398E8	41048.68	0.0	0.0	0.0	9.9257856E7	0.0	5.1834392E7	8.5404744E7	0.0	0.0	0.0	0.0	7.6886792E7	0.0	
sp|Q7ZVB2|A9A1A_DANRE	Q7ZVB2	A9A1A_DANRE	aldh9a1a	508	Danio rerio	2:Experimental evidence at transcript level	4-trimethylaminobutyraldehyde dehydrogenase A	1.0	0.9614	3	9	9	9	1	0	0	0	2	2	2	2	1	0	0	0	2	2	2	2	1	0	0	0	2	2	2	2	4.43593696E8	3.01979072E8	0.0	0.0	7.3398925E8	1.1563488E8	4.29476288E8	5.7675578E8	2.79871936E8	1.7832496E8	0.0	0.0	4.18022176E8	9.9613904E7	2.73794112E8	3.62504032E8	
sp|Q7ZVI7|ACTB1_DANRE	Q7ZVI7	ACTB1_DANRE	actba	375	Danio rerio	1:Experimental evidence at protein level	Actin, cytoplasmic 1	1.0	0.9976	20	95	4	95	18	13	5	7	7	11	14	20	0	1	0	0	1	0	0	2	18	13	5	7	7	11	14	20	2.48535613E10	2.58295153E10	6.8382464E9	7.4760863E9	1.57049098E10	6.8797373E9	2.34293371E10	5.0423378E10	4.4871834E9	5.579735E9	9.8637896E9	3.65162752E9	5.9162982E9	1.37969446E9	4.9699026E9	1.1301417E10	
sp|Q803F6|RSSA_DANRE	Q803F6	RSSA_DANRE	rpsa	308	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2	0.9928	0.9434	1	2	2	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1.20896184E8	9.5753024E7	2.168424E8	0.0	0.0	0.0	0.0	0.0	1.20896184E8	9.5753024E7	2.168424E8	0.0	0.0	0.0	0.0	0.0	
sp|Q8JFV8|VAT1_DANRE	Q8JFV8	VAT1_DANRE	vat1	484	Danio rerio	2:Experimental evidence at transcript level	Synaptic vesicle membrane protein VAT-1 homolog	1.0	0.964	4	7	7	7	1	0	0	0	1	0	3	2	1	0	0	0	1	0	3	2	1	0	0	0	1	0	3	2	2.20051424E8	2.43916672E8	0.0	0.0	1.95668848E8	5.613026E7	3.49660512E8	3.0700928E8	1.33520824E8	1.04115624E8	0.0	0.0	1.7994696E8	5.162022E7	1.67207152E8	3.79924608E8	
sp|Q8JIU7|NACA_DANRE	Q8JIU7	NACA_DANRE	naca	215	Danio rerio	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha	1.0	0.9858	4	16	16	16	3	1	3	0	0	2	4	3	3	1	3	0	0	2	4	3	3	1	3	0	0	2	4	3	4.25393504E8	3.08754624E8	7.4911142E8	0.0	0.0	2.08894592E8	6.9460486E8	1.17279642E9	1.87331616E8	1.74835984E8	3.0633456E8	0.0	0.0	9.16886E7	2.44987136E8	4.1272224E8	
sp|Q90473|HSP7C_DANRE	Q90473	HSP7C_DANRE	hspa8	649	Danio rerio	2:Experimental evidence at transcript level	Heat shock cognate 71 kDa protein	1.0	0.9976	11	49	49	49	6	4	4	2	5	5	10	13	6	4	4	2	5	5	10	13	6	4	4	2	5	5	10	13	4.3165015E9	4.593046E9	4.5916442E9	4.62348E8	3.55674317E9	9.5932173E8	4.4755E9	9.4070886E9	1.32313651E9	1.35666278E9	3.02581274E9	1.60124877E9	1.25095526E9	5.2422688E8	1.40631731E9	3.12698138E9	
sp|Q90XG0|TPISB_DANRE	Q90XG0	TPISB_DANRE	tpi1b	248	Danio rerio	2:Experimental evidence at transcript level	Triosephosphate isomerase B	1.0	0.9535	6	8	8	15	2	1	0	2	1	0	0	2	2	1	0	2	1	0	0	2	2	2	0	4	3	0	0	4	7.1530872E7	1.7599222E7	0.0	1.7247136E8	1.55682576E8	0.0	0.0	2.11109728E8	3.4766892E7	1.951501E7	0.0	1.26226712E8	1.72629616E8	0.0	0.0	1.01416696E8	
sp|Q92005|EF1A_DANRE	Q92005	EF1A_DANRE	eef1a	462	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-alpha	1.0	0.9696	7	31	31	31	5	2	2	3	2	3	7	7	5	2	2	3	2	3	7	7	5	2	2	3	2	3	7	7	7.2617728E9	5.3235651E9	1.48944192E9	1.04690202E9	4.7936814E9	6.8887424E8	3.44164838E9	9.3925878E9	1.82179341E9	1.61227597E9	2.95331891E9	1.24015539E9	1.23981709E9	5.35952E8	1.65002675E9	2.40568704E9	
sp|Q9PT92|CATA_DANRE	Q9PT92	CATA_DANRE	cat	526	Danio rerio	2:Experimental evidence at transcript level	Catalase	1.0	0.9917	6	22	22	22	3	1	1	3	3	3	4	4	3	1	1	3	3	3	4	4	3	1	1	3	3	3	4	4	4.05751488E8	2.1533168E8	1.2379344E8	6.436352E8	8.9282362E8	3.17227808E8	1.15791091E9	3.9382448E8	1.588404E8	1.42095952E8	2.50124336E8	2.93217632E8	2.83565536E8	1.21825344E8	3.77527808E8	2.29922304E8	
sp|Q9PTF3|NDK3_DANRE	Q9PTF3	NDK3_DANRE	nme3	169	Danio rerio	2:Experimental evidence at transcript level	Nucleoside diphosphate kinase 3	1.0	0.9399	2	7	7	7	0	1	0	0	2	0	0	4	0	1	0	0	2	0	0	4	0	1	0	0	2	0	0	4	9.786264E7	1.456E8	0.0	0.0	1.27703142E9	0.0	0.0	1.63361997E9	1.86643536E8	2.77688192E8	0.0	0.0	4.02423968E8	0.0	0.0	3.2987024E8	
sp|Q9PTP1|PCNA_DANRE	Q9PTP1	PCNA_DANRE	pcna	260	Danio rerio	1:Experimental evidence at protein level	Proliferating cell nuclear antigen	0.9998	0.9903	2	7	7	7	2	1	0	0	0	1	2	1	2	1	0	0	0	1	2	1	2	1	0	0	0	1	2	1	1.60202864E8	1.538904E8	0.0	0.0	0.0	0.0	3.20167904E8	1.07610256E8	1.3931888E8	1.33829312E8	0.0	0.0	0.0	0.0	2.09804592E8	2.86096192E8	
sp|Q9PVK4|LDHBA_DANRE	Q9PVK4	LDHBA_DANRE	ldhba	334	Danio rerio	2:Experimental evidence at transcript level	L-lactate dehydrogenase B-A chain	1.0	0.979	8	22	13	22	3	2	0	2	2	1	5	7	2	1	0	1	1	0	3	5	3	2	0	2	2	1	5	7	2.96150042E9	2.46266573E9	0.0	3.06997658E9	3.96331981E9	2.75833856E8	2.56157619E9	6.3479772E9	1.52406336E9	1.3064855E9	0.0	1.65072435E9	2.08530317E9	2.81031712E8	1.31715149E9	2.27536384E9	
