Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	Hp_1 Spectral Count	Hp_2 Spectral Count	Hp_3 Spectral Count	Mx_1 Spectral Count	Mx_2 Spectral Count	Mx_3 Spectral Count	T_1 Spectral Count	T_2 Spectral Count	T_3 Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	Hp_1 Unique Spectral Count	Hp_2 Unique Spectral Count	Hp_3 Unique Spectral Count	Mx_1 Unique Spectral Count	Mx_2 Unique Spectral Count	Mx_3 Unique Spectral Count	T_1 Unique Spectral Count	T_2 Unique Spectral Count	T_3 Unique Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	Hp_1 Total Spectral Count	Hp_2 Total Spectral Count	Hp_3 Total Spectral Count	Mx_1 Total Spectral Count	Mx_2 Total Spectral Count	Mx_3 Total Spectral Count	T_1 Total Spectral Count	T_2 Total Spectral Count	T_3 Total Spectral Count	C_1 Intensity	C_2 Intensity	C_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	Hp_1 Intensity	Hp_2 Intensity	Hp_3 Intensity	Mx_1 Intensity	Mx_2 Intensity	Mx_3 Intensity	T_1 Intensity	T_2 Intensity	T_3 Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	Hp_1 MaxLFQ Intensity	Hp_2 MaxLFQ Intensity	Hp_3 MaxLFQ Intensity	Mx_1 MaxLFQ Intensity	Mx_2 MaxLFQ Intensity	Mx_3 MaxLFQ Intensity	T_1 MaxLFQ Intensity	T_2 MaxLFQ Intensity	T_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P02534|K1M1_SHEEP	P02534	K1M1_SHEEP		412	Ovis aries	1:Experimental evidence at protein level	Keratin, type I microfibrillar 48 kDa, component 8C-1	1.0	0.999	23	33	9	64	32	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	1	2	2	1	1	2	3	2	2	2	2	2	3	2	5.751551E9	5562513.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0505614E7	0.0	7.8892218E8	5562513.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0505614E7	0.0	
contam_sp|P02539|K2M1_SHEEP	P02539	K2M1_SHEEP		109	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar (Fragment)	1.0	0.999	8	15	12	17	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9.3993011E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7251432E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	13	31	29	31	3	0	5	0	2	6	0	0	4	0	2	6	0	1	2	3	0	5	0	2	6	0	0	4	0	1	5	0	1	2	3	0	5	0	2	6	0	0	4	0	2	6	0	1	2	2.43788032E8	0.0	1.55756192E8	2.3896248E8	7027965.5	3.7851056E7	2.22988208E8	0.0	3.2529144E7	0.0	1.784524E7	2.678609E7	2.6288128E8	5421799.0	3.0412628E7	2.8056816E7	0.0	2.9276396E7	1.4335387E7	2.3036452E7	4.3712796E7	2.6186284E7	0.0	3.8799144E7	0.0	2.3184958E7	3.0485032E7	3.0871068E7	1.7771716E7	4.620016E7	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.999	40	408	390	506	29	25	35	23	28	28	29	20	25	35	15	30	29	20	37	28	24	34	22	27	27	28	19	23	34	14	28	28	19	35	36	33	43	28	35	34	36	28	33	41	20	34	34	27	44	1.74142541E9	1.12566861E9	1.88273728E9	1.47909542E9	1.18631155E9	1.51819277E9	1.97140198E9	1.0796151E9	1.41680486E9	3.13420186E9	6.0950374E8	1.68758669E9	1.25354048E9	8.1468032E8	2.77958861E9	5.9457882E8	3.42235168E8	5.689625E8	4.08192992E8	4.1630752E8	4.37998112E8	6.2941997E8	3.90444064E8	5.21627968E8	5.4913626E8	2.63929664E8	5.423728E8	3.35252896E8	2.93154176E8	6.6421293E8	
contam_sp|P05413|FABPH_HUMAN	P05413	FABPH_HUMAN	FABP3	133	Homo sapiens	1:Experimental evidence at protein level	Fatty acid-binding protein, heart	1.0	0.9683	4	16	16	16	3	1	2	1	1	1	1	0	0	2	1	1	1	1	0	3	1	2	1	1	1	1	0	0	2	1	1	1	1	0	3	1	2	1	1	1	1	0	0	2	1	1	1	1	0	1.78681472E8	1.13996976E8	9.9752288E7	2.0682736E8	1.26216784E8	5.7502984E7	0.0	7.1939448E7	0.0	1.25490488E8	5.5949744E7	1.2432016E8	1.01037024E8	1.4032272E8	1.0222704E8	9.5734304E7	6.2330544E7	5.4385104E7	1.10476456E8	6.9294768E7	6.2217076E7	0.0	7.783704E7	0.0	5.8018136E7	6.1048804E7	6.8254328E7	1.09320032E8	7.7081552E7	5.5795716E7	
contam_sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin	0.9737	0.9926	2	4	4	4	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1.9554362E7	0.0	9014298.0	1.7866584E7	0.0	0.0	1.5463479E7	0.0	0.0	0.0	0.0	3511943.8	1.8532944E7	0.0	0.0	1.9554362E7	0.0	9014298.0	1.7866584E7	0.0	0.0	1.5463479E7	0.0	0.0	0.0	0.0	3511943.8	1.8532944E7	0.0	0.0	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	1.0	0.999	10	165	165	165	11	10	8	14	13	6	18	11	8	13	11	9	15	12	6	11	10	8	14	13	6	18	11	8	13	11	9	15	12	6	11	10	8	14	13	6	18	11	8	13	11	9	15	12	6	4.5859953E9	1.20499162E9	2.9639785E9	3.16180582E9	1.35827072E9	2.41657933E9	4.5039995E9	3.8916247E9	1.05405856E9	4.7866081E9	4.06140237E9	1.62126861E9	3.33527654E9	4.4019113E9	2.52495258E9	2.37620557E9	7.4798048E8	9.8525958E8	2.32379674E9	9.7189594E8	8.977808E8	2.18557926E9	1.10858432E9	9.0152486E8	2.46648038E9	1.04895494E9	8.374295E8	2.2634112E9	1.15234458E9	9.094199E8	
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	0.9996	0.9988	2	13	0	13	1	1	2	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	1	0	0	1	1	1	1	1	1	1.0770645E7	6102178.5	3.0474688E7	3.6856712E7	0.0	1.0498819E7	6781426.5	0.0	0.0	6066449.5	4071490.2	9240622.0	1.0944675E7	0.0	2.7257634E7	1.3323741E7	7548651.5	1.3244861E7	1.3076034E7	0.0	1.2987481E7	8388910.0	0.0	0.0	7504453.5	5036605.0	1.1431039E7	1.3539024E7	0.0	1.0310203E7	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.999	28	327	310	349	29	21	21	17	17	16	25	22	23	37	15	18	16	14	36	28	21	19	17	16	15	23	21	21	35	15	17	16	13	33	31	23	22	18	19	17	26	25	24	38	17	20	17	15	37	9.7345862E8	6.4415488E8	1.21957504E9	6.2858861E8	6.7533517E8	9.1867098E8	1.05677114E9	6.3215686E8	8.7738106E8	1.20635405E9	3.67805152E8	6.674505E8	5.9647066E8	3.67629792E8	1.5158208E9	1.860776E8	1.22644048E8	2.29682816E8	1.20475064E8	1.54558832E8	1.70531072E8	1.9796952E8	1.37102176E8	1.6877288E8	2.20801136E8	9.9268656E7	1.51367264E8	1.2045812E8	9.1211872E7	2.86832288E8	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	1.0	0.999	23	37	14	38	30	0	0	0	0	0	3	0	0	0	0	0	0	4	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	30	0	0	0	0	1	3	0	0	0	0	0	0	4	0	4.2933847E9	0.0	0.0	0.0	0.0	0.0	2.8520884E7	0.0	0.0	0.0	0.0	0.0	0.0	8.7933656E7	0.0	4.74708768E8	0.0	0.0	0.0	0.0	0.0	7.1312688E7	0.0	0.0	0.0	0.0	0.0	0.0	3.6737776E7	0.0	
contam_sp|P25690|K1M2_SHEEP	P25690	K1M2_SHEEP		404	Ovis aries	3:Protein inferred from homology	Keratin, type I microfibrillar, 47.6 kDa	1.0	0.999	18	7	4	40	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	1	1	0	0	2	1	1	1	1	1	1	2	1	3.8556864E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 5	1.0	0.999	25	19	13	33	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	1	1	0	0	0	0	0	0	3	0	1.33114829E9	0.0	1.1886423E7	8.0838131E8	0.0	1.87588582E9	8.4425261E8	0.0	0.0	8.5295802E8	0.0	0.0	8.467161E8	0.0	0.0	8.0997408E8	0.0	2.56701504E8	7.2764589E8	0.0	1.68853555E9	6.2716736E8	0.0	0.0	7.6777056E8	0.0	0.0	7.6215206E8	0.0	0.0	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	26	321	315	321	26	26	19	23	21	17	24	15	20	29	18	22	19	13	29	25	25	19	23	20	17	24	14	20	29	17	21	19	13	29	26	26	19	23	21	17	24	15	20	29	18	22	19	13	29	1.32932365E9	6.1548762E8	1.26697587E9	8.7927008E8	7.5366259E8	8.3625536E8	9.4166285E8	5.34231456E8	9.5580563E8	1.19779264E9	4.84127776E8	9.0171398E8	7.1248397E8	5.21905664E8	1.28398848E9	2.43388064E8	1.52312896E8	2.18566496E8	1.99533248E8	1.51070592E8	1.70802368E8	2.430132E8	1.39383984E8	2.05162704E8	2.62747728E8	1.0756024E8	2.10950928E8	1.29537968E8	1.39022128E8	2.1554384E8	
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.999	28	148	148	203	14	5	17	7	9	11	9	5	8	17	5	11	8	5	17	14	5	17	7	9	11	9	5	8	17	5	11	8	5	17	17	9	21	10	13	15	12	10	13	20	8	14	10	9	22	2.0969424E8	1.13514458E9	2.01035251E9	1.11134349E9	2.1474377E9	1.52643866E9	1.34327056E8	1.64407923E9	1.46795674E9	1.30944998E9	6.9561616E7	1.47277555E9	7.9827336E7	2.25625267E9	1.56657075E9	6.5619187E8	4.32330016E8	6.8957414E8	3.56209184E8	5.19371808E8	5.4355744E8	4.8327216E8	4.65385216E8	5.35869984E8	8.8857952E8	3.614584E8	5.26727296E8	2.89157984E8	4.4909536E8	7.792512E8	
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S27a	1.0	0.999	9	325	325	325	22	19	19	22	20	22	26	21	24	26	20	18	23	21	22	22	19	19	22	20	22	26	21	24	26	20	18	23	21	22	22	19	19	22	20	22	26	21	24	26	20	18	23	21	22	1.73455073E10	9.634006E9	1.25110477E10	1.35246981E10	1.01644616E10	1.34432174E10	1.64713277E10	1.1850582E10	1.38919096E10	1.54523259E10	1.01010698E10	1.34453166E10	1.59722516E10	1.17283676E10	1.44610171E10	6.7090442E9	3.4427287E9	4.8836378E9	5.3156547E9	3.93437824E9	5.3646618E9	6.3030717E9	4.4652508E9	5.6351642E9	5.9320986E9	4.01857613E9	5.3103396E9	6.3429053E9	4.9920722E9	5.7629184E9	
contam_sp|P78386|KRT85_HUMAN	P78386	KRT85_HUMAN	KRT85	507	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cuticular Hb5	0.9997	0.999	16	1	1	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	1	0	0	0	0	0	0	2	0	4.0084908E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Q02958|KRA61_SHEEP	Q02958	KRA61_SHEEP	KRTAP6-1	83	Ovis aries	1:Experimental evidence at protein level	Keratin-associated protein 6-1	0.9999	0.999	2	5	5	5	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	4.8355528E7	0.0	0.0	0.0	0.0	0.0	5.7772904E7	0.0	0.0	0.0	0.0	0.0	0.0	7413078.0	0.0	3.6283792E7	0.0	0.0	0.0	0.0	0.0	4.5371276E7	0.0	0.0	0.0	0.0	0.0	0.0	7413078.0	0.0	
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-1	1.0	0.997	4	31	31	31	2	2	2	2	2	2	2	2	2	3	2	3	2	1	2	2	2	2	2	2	2	2	2	2	3	2	3	2	1	2	2	2	2	2	2	2	2	2	2	3	2	3	2	1	2	2.94010592E8	1.081868E8	2.08682864E8	2.98107296E8	1.19233848E8	2.02743952E8	3.18163872E8	1.28453232E8	2.062084E8	4.39993728E8	1.2778196E8	2.25672016E8	3.22218304E8	1.51081856E8	1.95467808E8	2.2154424E8	1.00113784E8	1.74448448E8	2.2053544E8	9.9696192E7	1.64330288E8	2.4607152E8	1.15317592E8	1.81254592E8	2.36312688E8	1.16187336E8	1.76629424E8	2.3047624E8	1.20022872E8	1.67923456E8	
contam_sp|Q14525|KT33B_HUMAN	Q14525	KT33B_HUMAN	KRT33B	404	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha3-II	1.0	0.999	10	4	1	41	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	2	2	1	1	2	3	2	2	2	2	2	2	2	2.34493312E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Q15843|NEDD8_HUMAN	Q15843	NEDD8_HUMAN	NEDD8	81	Homo sapiens	1:Experimental evidence at protein level	NEDD8	0.9974	0.999	2	8	8	8	1	1	0	1	0	0	2	2	0	0	0	0	0	1	0	1	1	0	1	0	0	2	2	0	0	0	0	0	1	0	1	1	0	1	0	0	2	2	0	0	0	0	0	1	0	1.2025094E7	8149691.5	0.0	7968524.5	6512105.5	0.0	9727058.0	1.0647002E7	0.0	0.0	0.0	0.0	0.0	0.0	930879.25	1.2025094E7	8149691.5	0.0	7968524.5	6512105.5	0.0	9727058.0	1.0647002E7	0.0	0.0	0.0	0.0	0.0	0.0	930879.25	
contam_sp|Q9NSB2|KRT84_HUMAN	Q9NSB2	KRT84_HUMAN	KRT84	600	Homo sapiens	2:Experimental evidence at transcript level	Keratin, type II cuticular Hb4	1.0	0.9981	5	23	23	54	2	2	2	1	2	2	2	1	2	1	1	2	0	2	1	2	2	2	1	2	2	2	1	2	1	1	2	0	2	1	4	4	3	3	5	6	4	4	4	2	4	3	2	4	2	4.32264704E8	2.7236112E8	3.86076128E8	4.73347424E8	2.63735888E8	3.11022624E8	4.25956544E8	2.73771872E8	3.30099232E8	3.35193504E8	2.79497984E8	3.69710048E8	4.95155232E8	3.34256928E8	3.40292448E8	4.67583456E8	2.76190944E8	3.6040944E8	4.73347424E8	2.7278864E8	3.11022624E8	4.10602944E8	2.73771872E8	3.14597216E8	3.35193504E8	2.79497984E8	3.34197472E8	4.95155232E8	3.32249632E8	3.21967104E8	
