Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	5dpf_1 Spectral Count	5dpf_2 Spectral Count	5dpf_1 Unique Spectral Count	5dpf_2 Unique Spectral Count	5dpf_1 Total Spectral Count	5dpf_2 Total Spectral Count	5dpf_1 Intensity	5dpf_2 Intensity	Indistinguishable Proteins
sp|A1A5Y0|NELL2_DANRE	A1A5Y0	NELL2_DANRE	nell2a	811	Danio rerio	2:Experimental evidence at transcript level	Protein kinase C-binding protein NELL2a	1.0	0.9989	8	16	16	16	10	6	10	6	10	6	3.96316096E8	2.71597504E8	
sp|A1A5Z3|EFTS_DANRE	A1A5Z3	EFTS_DANRE	tsfm	305	Danio rerio	2:Experimental evidence at transcript level	Elongation factor Ts, mitochondrial	1.0	0.999	8	16	16	16	10	6	10	6	10	6	4.27967232E8	2.9478976E8	
sp|A1DZY4|RSLBL_DANRE	A1DZY4	RSLBL_DANRE	zgc:110179	253	Danio rerio	2:Experimental evidence at transcript level	Ras-like protein family member 11A-like	0.9062	0.9846	2	3	3	3	1	2	1	2	1	2	1717156.5	350608.97	
sp|A1IH00|GOGA2_DANRE	A1IH00	GOGA2_DANRE	golga2	1028	Danio rerio	2:Experimental evidence at transcript level	Golgin subfamily A member 2	0.9902	0.9965	3	4	4	4	1	3	1	3	1	3	8.6573576E7	8.705376E7	
sp|A1L1F1|NDUF3_DANRE	A1L1F1	NDUF3_DANRE	ndufaf3	174	Danio rerio	2:Experimental evidence at transcript level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	0.9563	0.9987	1	1	1	1	1	0	1	0	1	0	2.0079432E7	0.0	
sp|A1L1F4|PDS5A_DANRE	A1L1F4	PDS5A_DANRE	pds5a	1320	Danio rerio	2:Experimental evidence at transcript level	Sister chromatid cohesion protein PDS5 homolog A	1.0	0.999	32	71	71	71	48	23	48	23	48	23	3.21088691E9	1.6232832E9	
sp|A1L1G1|ESRP1_DANRE	A1L1G1	ESRP1_DANRE	esrp1	714	Danio rerio	2:Experimental evidence at transcript level	Epithelial splicing regulatory protein 1	1.0	0.999	6	11	11	11	8	3	8	3	8	3	2.27194448E8	7.9490528E7	
sp|A1L1M4|P4R2B_DANRE	A1L1M4	P4R2B_DANRE	ppp4r2b	426	Danio rerio	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 4 regulatory subunit 2-B	0.9991	0.999	3	3	3	7	1	2	1	2	3	4	1.45272176E8	1.19640584E8	
sp|A1L1N5|HN1BA_DANRE	A1L1N5	HN1BA_DANRE	hnf1ba	559	Danio rerio	2:Experimental evidence at transcript level	Hepatocyte nuclear factor 1-beta-A	0.7842	0.992	1	1	0	1	1	0	0	0	1	0	1.5723468E7	0.0	sp|Q8UW00|HN1BB_DANRE
sp|A1L1P7|DNLZ_DANRE	A1L1P7	DNLZ_DANRE	dnlz	183	Danio rerio	2:Experimental evidence at transcript level	DNL-type zinc finger protein	0.9726	0.9955	2	3	3	3	2	1	2	1	2	1	6.3675612E7	3.9311672E7	
sp|A1L1P9|S47A1_DANRE	A1L1P9	S47A1_DANRE	slc47a1	590	Danio rerio	2:Experimental evidence at transcript level	Multidrug and toxin extrusion protein 1	0.9471	0.9962	2	2	2	2	2	0	2	0	2	0	2.1791064E7	0.0	
