Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	6hpf Spectral Count	6hpf Unique Spectral Count	6hpf Total Spectral Count	6hpf Intensity	Indistinguishable Proteins
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus	1:Experimental evidence at protein level	Kappa-casein	1.0	0.999	3	9	9	9	9	9	9	3.3633495E9	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	40	102	90	102	102	90	102	3.4637771E10	
contam_sp|P02787|TRFE_HUMAN	P02787	TRFE_HUMAN	TF	698	Homo sapiens	1:Experimental evidence at protein level	Serotransferrin	0.6407	0.9691	1	2	2	2	2	2	2	1.05779034E9	
contam_sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	1.0	0.999	13	153	153	336	153	153	336	2.58635284E11	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.999	46	208	199	219	208	199	219	1.30214461E11	
contam_sp|P05413|FABPH_HUMAN	P05413	FABPH_HUMAN	FABP3	133	Homo sapiens	1:Experimental evidence at protein level	Fatty acid-binding protein, heart	0.9985	0.992	1	8	8	8	8	8	8	3.8537224E10	
contam_sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin	0.9878	0.9832	2	6	6	6	6	6	6	4.00205542E9	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	1.0	0.999	5	44	44	44	44	44	44	2.23403807E10	
contam_sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens	1:Experimental evidence at protein level	Cathepsin D	0.9987	0.999	1	3	3	3	3	3	3	3.08405658E9	
contam_sp|P08263|GSTA1_HUMAN	P08263	GSTA1_HUMAN	GSTA1	222	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase A1	0.929	0.9978	1	8	8	8	8	8	8	1.0796624E8	
contam_sp|P09211|GSTP1_HUMAN	P09211	GSTP1_HUMAN	GSTP1	210	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase P	0.5146	0.973	1	2	2	2	2	2	2	4.47730752E8	
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	0.9621	0.9988	1	3	0	3	3	0	3	1.61338086E9	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.999	37	200	176	216	200	176	216	7.9920382E10	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9448	0.9676	2	3	3	8	3	3	8	7.6562253E9	
contam_sp|P15252|REF_HEVBR	P15252	REF_HEVBR		138	Hevea brasiliensis	1:Experimental evidence at protein level	Rubber elongation factor protein	0.9992	0.9953	3	3	3	3	3	3	3	1.60695136E8	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	30	119	119	121	119	119	121	3.7762159E10	
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.999	39	107	106	120	107	106	120	3.21877156E10	
contam_sp|P51965|UB2E1_HUMAN	P51965	UB2E1_HUMAN	UBE2E1	193	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 E1	0.9999	0.9989	2	7	7	7	7	7	7	2.08447142E9	
contam_sp|P62937|PPIA_HUMAN	P62937	PPIA_HUMAN	PPIA	165	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase A	1.0	0.999	3	65	65	65	65	65	65	3.67391898E9	
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S27a	1.0	0.999	15	187	187	187	187	187	187	1.64099523E11	
contam_sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	Homo sapiens	1:Experimental evidence at protein level	SUMO-conjugating enzyme UBC9	1.0	0.999	10	5	0	48	5	0	48	4.77776704E8	sp|Q9DDJ0|UBC9B_DANRE
contam_sp|P99999|CYC_HUMAN	P99999	CYC_HUMAN	CYCS	105	Homo sapiens	1:Experimental evidence at protein level	Cytochrome c	0.9949	0.9936	3	13	13	32	13	13	32	3.20768768E8	
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-1	1.0	0.9988	4	68	68	68	68	68	68	1.1319323E11	
contam_sp|Q15843|NEDD8_HUMAN	Q15843	NEDD8_HUMAN	NEDD8	81	Homo sapiens	1:Experimental evidence at protein level	NEDD8	1.0	0.9989	5	44	44	44	44	44	44	3.13652531E10	
contam_sp|Q9NSB2|KRT84_HUMAN	Q9NSB2	KRT84_HUMAN	KRT84	600	Homo sapiens	2:Experimental evidence at transcript level	Keratin, type II cuticular Hb4	0.997	0.9915	5	10	10	23	10	10	23	5.2139848E9	
sp|A0A0G2KQY6|S39AE_DANRE	A0A0G2KQY6	S39AE_DANRE	slc39a14	494	Danio rerio	2:Experimental evidence at transcript level	Metal cation symporter ZIP14	0.9764	0.9984	2	2	2	2	2	2	2	2.84129088E8	
sp|A0A0G2KTI4|S12A2_DANRE	A0A0G2KTI4	S12A2_DANRE	slc12a2	1136	Danio rerio	1:Experimental evidence at protein level	Solute carrier family 12 member 2	1.0	0.999	24	43	43	43	43	43	43	1.32279091E10	
sp|A0A0R4I9Y1|R213B_DANRE	A0A0R4I9Y1	R213B_DANRE	rnf213b	5061	Danio rerio	3:Protein inferred from homology	E3 ubiquitin-protein ligase rnf213-beta	1.0	0.9699	9	17	17	17	17	17	17	7.7143132E9	
sp|A0A0R4IB93|UBP48_DANRE	A0A0R4IB93	UBP48_DANRE	usp48	1047	Danio rerio	3:Protein inferred from homology	Ubiquitin carboxyl-terminal hydrolase 48	1.0	0.999	18	23	23	23	23	23	23	5.591414E10	
sp|A0A0R4IBK5|R213A_DANRE	A0A0R4IBK5	R213A_DANRE	rnf213a	5209	Danio rerio	3:Protein inferred from homology	E3 ubiquitin-protein ligase rnf213-alpha	1.0	0.999	55	70	70	70	70	70	70	1.25314345E10	
sp|A0A0R4IBL7|HTF4_DANRE	A0A0R4IBL7	HTF4_DANRE	tcf12	726	Danio rerio	2:Experimental evidence at transcript level	Transcription factor 12	0.8948	0.9865	2	3	3	3	3	3	3	4.57986592E8	
sp|A0A0R4IC37|CPSF1_DANRE	A0A0R4IC37	CPSF1_DANRE	cpsf1	1451	Danio rerio	3:Protein inferred from homology	Cleavage and polyadenylation specificity factor subunit 1	1.0	0.999	47	95	95	95	95	95	95	1.77313751E10	
sp|A0A0R4IES7|BLTP1_DANRE	A0A0R4IES7	BLTP1_DANRE	bltp1	4923	Danio rerio	3:Protein inferred from homology	Bridge-like lipid transfer protein family member 1	1.0	0.9985	39	56	56	56	56	56	56	1.76792187E10	
sp|A0A0R4IEW8|ELAV4_DANRE	A0A0R4IEW8	ELAV4_DANRE	elavl4	411	Danio rerio	1:Experimental evidence at protein level	ELAV-like protein 4	1.0	0.9966	7	11	11	11	11	11	11	3.5886379E10	
sp|A0A0R4IGV4|JAM2A_DANRE	A0A0R4IGV4	JAM2A_DANRE	jam2a	307	Danio rerio	2:Experimental evidence at transcript level	Junctional adhesion molecule 2A	0.9998	0.9959	3	4	4	4	4	4	4	5.24679296E8	
sp|A0A0R4IKJ1|CAPAM_DANRE	A0A0R4IKJ1	CAPAM_DANRE	pcif1	721	Danio rerio	1:Experimental evidence at protein level	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase	0.9736	0.9809	3	3	3	3	3	3	3	2.01773984E8	
sp|A0A0R4IQZ2|ZDH13_DANRE	A0A0R4IQZ2	ZDH13_DANRE	zdhhc13	645	Danio rerio	2:Experimental evidence at transcript level	Putative palmitoyltransferase ZDHHC13	1.0	0.999	17	46	40	46	46	40	46	1.42405786E10	
sp|A0A0R4ITC5|TRRAP_DANRE	A0A0R4ITC5	TRRAP_DANRE	trrap	3841	Danio rerio	3:Protein inferred from homology	Transformation/transcription domain-associated protein	1.0	0.999	77	126	126	126	126	126	126	2.61071483E10	
sp|A0A0R4IVV0|MTP_DANRE	A0A0R4IVV0	MTP_DANRE	mttp	884	Danio rerio	1:Experimental evidence at protein level	Microsomal triglyceride transfer protein large subunit	1.0	0.999	30	68	68	68	68	68	68	4.3043525E10	
sp|A0A0R4IWG9|GCNA_DANRE	A0A0R4IWG9	GCNA_DANRE	gcna	586	Danio rerio	3:Protein inferred from homology	Germ cell nuclear acidic protein	1.0	0.999	13	19	19	19	19	19	19	2.10507251E9	
sp|A0A0R4IXF6|KAT2A_DANRE	A0A0R4IXF6	KAT2A_DANRE	kat2a	795	Danio rerio	2:Experimental evidence at transcript level	Histone acetyltransferase KAT2A	1.0	0.999	13	13	12	13	13	12	13	9.0731131E9	
sp|A0A0R4IZ84|EST1A_DANRE	A0A0R4IZ84	EST1A_DANRE	smg6	1544	Danio rerio	2:Experimental evidence at transcript level	Telomerase-binding protein EST1A	1.0	0.9972	12	14	14	14	14	14	14	4.21542502E9	
sp|A0A1L2F565|PTH4_DANRE	A0A1L2F565	PTH4_DANRE	pth4	121	Danio rerio	2:Experimental evidence at transcript level	Parathyroid hormone 4	0.4298	0.9624	1	1	1	1	1	1	1	8.4672496E7	
sp|A0A286Y9D1|PHF14_DANRE	A0A286Y9D1	PHF14_DANRE	phf14	914	Danio rerio	1:Experimental evidence at protein level	PHD finger protein 14	1.0	0.999	21	29	29	29	29	29	29	3.27293619E9	
sp|A0A2R8Q3S9|CLCC1_DANRE	A0A2R8Q3S9	CLCC1_DANRE	clcc1	609	Danio rerio	2:Experimental evidence at transcript level	Chloride channel CLIC-like protein 1	1.0	0.999	13	25	25	25	25	25	25	2.6065024E9	
sp|A0A2R8QCI3|DAPLE_DANRE	A0A2R8QCI3	DAPLE_DANRE	ccdc88c	2023	Danio rerio	2:Experimental evidence at transcript level	Protein Daple	1.0	0.999	45	58	58	58	58	58	58	6.6230979E9	
sp|A0A2R8QFQ6|FB11A_DANRE	A0A2R8QFQ6	FB11A_DANRE	fbxw11a	562	Danio rerio	2:Experimental evidence at transcript level	F-box and WD repeat domain-containing 11-A	1.0	0.9986	15	4	4	29	4	4	29	3.12436576E8	
sp|A0A2R8QP51|DPP9_DANRE	A0A2R8QP51	DPP9_DANRE	dpp9	885	Danio rerio	3:Protein inferred from homology	Dipeptidyl peptidase 9	1.0	0.999	18	31	31	31	31	31	31	4.4239642E9	
sp|A0A2R8RWN9|FB11B_DANRE	A0A2R8RWN9	FB11B_DANRE	fbxw11b	534	Danio rerio	2:Experimental evidence at transcript level	F-box and WD repeat domain-containing 11-B	1.0	0.9989	15	31	6	31	31	6	31	5.2014735E9	
sp|A0A8M1N5Y4|TMX3A_DANRE	A0A8M1N5Y4	TMX3A_DANRE	tmx3a	437	Danio rerio	2:Experimental evidence at transcript level	Protein disulfide-isomerase tmx3a	1.0	0.999	8	14	14	14	14	14	14	2.23526579E9	
sp|A0A8M2BID5|DESPA_DANRE	A0A8M2BID5	DESPA_DANRE	dspa	2059	Danio rerio	2:Experimental evidence at transcript level	Desmoplakin-A	1.0	0.999	32	34	34	36	34	34	36	7.695743E9	
sp|A0A8M3AJY3|ABRX2_DANRE	A0A8M3AJY3	ABRX2_DANRE	abraxas2	416	Danio rerio	1:Experimental evidence at protein level	BRISC complex subunit abraxas 2	1.0	0.999	9	13	13	13	13	13	13	2.35994906E9	
sp|A0A8M3B525|BRCC3_DANRE	A0A8M3B525	BRCC3_DANRE	brcc3	287	Danio rerio	1:Experimental evidence at protein level	Lys-63-specific deubiquitinase	1.0	0.999	12	28	28	28	28	28	28	2.5003456E9	
sp|A0A8M9PDM1|SACA6_DANRE	A0A8M9PDM1	SACA6_DANRE	spaca6	317	Danio rerio	2:Experimental evidence at transcript level	Sperm acrosome membrane-associated protein 6	0.4097	0.9593	1	1	1	1	1	1	1	1.01407456E8	
sp|A0A8M9PQ61|DESPB_DANRE	A0A8M9PQ61	DESPB_DANRE	dspb	2207	Danio rerio	2:Experimental evidence at transcript level	Desmoplakin-B	1.0	0.9989	26	31	29	31	31	29	31	5.8069504E9	
sp|A0AUR5|MINY3_DANRE	A0AUR5	MINY3_DANRE	mindy3	446	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin carboxyl-terminal hydrolase MINDY-3	1.0	0.999	16	51	51	51	51	51	51	9.3380157E9	
sp|A0AUS0|WSDU1_DANRE	A0AUS0	WSDU1_DANRE	wdsub1	487	Danio rerio	2:Experimental evidence at transcript level	WD repeat, SAM and U-box domain-containing protein 1	0.9569	0.9964	3	3	3	3	3	3	3	6.5656924E7	
sp|A0JMD0|CLU_DANRE	A0JMD0	CLU_DANRE	cluh	1400	Danio rerio	2:Experimental evidence at transcript level	Clustered mitochondria protein homolog	1.0	0.999	46	114	114	114	114	114	114	2.25429053E10	
sp|A0JMD4|TPC2_DANRE	A0JMD4	TPC2_DANRE	tpcn2	774	Danio rerio	2:Experimental evidence at transcript level	Two pore channel protein 2	0.997	0.9847	5	5	5	5	5	5	5	3.33432864E8	
sp|A0JME2|MCAF1_DANRE	A0JME2	MCAF1_DANRE	atf7ip	815	Danio rerio	1:Experimental evidence at protein level	Activating transcription factor 7-interacting protein 1	1.0	0.999	25	59	59	59	59	59	59	1.33989448E10	
sp|A0JME6|ISOC2_DANRE	A0JME6	ISOC2_DANRE	isoc2	197	Danio rerio	2:Experimental evidence at transcript level	Isochorismatase domain-containing protein 2	1.0	0.999	8	22	22	22	22	22	22	3.19846118E9	
sp|A0JMF6|MTMRA_DANRE	A0JMF6	MTMRA_DANRE	mtmr10	752	Danio rerio	2:Experimental evidence at transcript level	Myotubularin-related protein 10	1.0	0.999	12	16	16	16	16	16	16	1.41834022E9	
sp|A0JMF7|HAUS6_DANRE	A0JMF7	HAUS6_DANRE	haus6	794	Danio rerio	2:Experimental evidence at transcript level	HAUS augmin-like complex subunit 6	1.0	0.999	15	34	34	34	34	34	34	3.2447447E9	
sp|A0JMF8|RFX3_DANRE	A0JMF8	RFX3_DANRE	rfx3	765	Danio rerio	2:Experimental evidence at transcript level	Transcription factor RFX3	0.9999	0.9984	6	3	3	9	3	3	9	2.649216E8	
sp|A0JMI9|RRF2M_DANRE	A0JMI9	RRF2M_DANRE	gfm2	762	Danio rerio	2:Experimental evidence at transcript level	Ribosome-releasing factor 2, mitochondrial	1.0	0.999	29	66	66	66	66	66	66	1.10452111E10	
sp|A0JMK5|MTMR2_DANRE	A0JMK5	MTMR2_DANRE	mtmr2	620	Danio rerio	2:Experimental evidence at transcript level	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2	0.9927	0.9597	4	8	8	8	8	8	8	8.8374897E9	
sp|A0JMK9|CAF1A_DANRE	A0JMK9	CAF1A_DANRE	chaf1a	863	Danio rerio	1:Experimental evidence at protein level	Chromatin assembly factor 1 subunit A	1.0	0.999	31	83	83	83	83	83	83	2.28253E10	
sp|A0JML8|DALD3_DANRE	A0JML8	DALD3_DANRE	dalrd3	558	Danio rerio	2:Experimental evidence at transcript level	DALR anticodon-binding domain-containing protein 3	1.0	0.999	6	7	7	7	7	7	7	6.1171405E9	
sp|A0JMP0|PGGHG_DANRE	A0JMP0	PGGHG_DANRE	pgghg	655	Danio rerio	2:Experimental evidence at transcript level	Protein-glucosylgalactosylhydroxylysine glucosidase	1.0	0.999	9	15	15	15	15	15	15	1.3632553E9	
sp|A0JMQ0|BOP1_DANRE	A0JMQ0	BOP1_DANRE	bop1	777	Danio rerio	2:Experimental evidence at transcript level	Ribosome biogenesis protein bop1	1.0	0.999	27	52	52	52	52	52	52	9.8078679E9	
sp|A0JMQ7|MTS1A_DANRE	A0JMQ7	MTS1A_DANRE	mtus1a	440	Danio rerio	2:Experimental evidence at transcript level	Microtubule-associated tumor suppressor 1 homolog A	0.9997	0.9877	5	7	7	7	7	7	7	3.96604698E9	
sp|A0JPF5|FHI2B_DANRE	A0JPF5	FHI2B_DANRE	fhip2b	735	Danio rerio	2:Experimental evidence at transcript level	FHF complex subunit HOOK-interacting protein 2B	0.6997	0.9875	1	1	1	1	1	1	1	2944115.5	
sp|A0JPF9|ISPD_DANRE	A0JPF9	ISPD_DANRE	crppa	462	Danio rerio	2:Experimental evidence at transcript level	D-ribitol-5-phosphate cytidylyltransferase	1.0	0.999	10	17	17	17	17	17	17	2.03292634E9	
sp|A0MTA1|APEX1_DANRE	A0MTA1	APEX1_DANRE	apex1	310	Danio rerio	1:Experimental evidence at protein level	DNA repair nuclease APEX1	1.0	0.999	34	186	186	186	186	186	186	8.2888516E10	
sp|A0PJR5|ECHD3_DANRE	A0PJR5	ECHD3_DANRE	echdc3	289	Danio rerio	2:Experimental evidence at transcript level	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	1.0	0.999	12	69	69	69	69	69	69	3.02723011E10	
sp|A0T2N3|APJB_DANRE	A0T2N3	APJB_DANRE	aplnrb	359	Danio rerio	1:Experimental evidence at protein level	Apelin receptor B	0.9755	0.9989	2	3	3	3	3	3	3	6.4388275E8	
sp|A1A5H6|CNOT1_DANRE	A1A5H6	CNOT1_DANRE	cnot1	2374	Danio rerio	2:Experimental evidence at transcript level	CCR4-NOT transcription complex subunit 1	1.0	0.999	89	229	229	229	229	229	229	5.0126328E10	
sp|A1A5H8|YES_DANRE	A1A5H8	YES_DANRE	yes1	546	Danio rerio	1:Experimental evidence at protein level	Tyrosine-protein kinase yes	1.0	0.999	25	61	35	61	61	35	61	1.79419136E10	
sp|A1A5V7|TM41B_DANRE	A1A5V7	TM41B_DANRE	tmem41b	282	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 41B	1.0	0.999	4	10	10	10	10	10	10	9.3140557E8	
sp|A1A5V9|ELP5_DANRE	A1A5V9	ELP5_DANRE	elp5	296	Danio rerio	2:Experimental evidence at transcript level	Elongator complex protein 5	1.0	0.998	5	5	5	5	5	5	5	2.97809344E8	
sp|A1A5Y5|TT39A_DANRE	A1A5Y5	TT39A_DANRE	ttc39a	565	Danio rerio	2:Experimental evidence at transcript level	Tetratricopeptide repeat protein 39A	1.0	0.999	7	13	13	13	13	13	13	3.17561523E9	
sp|A1A5Z3|EFTS_DANRE	A1A5Z3	EFTS_DANRE	tsfm	305	Danio rerio	2:Experimental evidence at transcript level	Elongation factor Ts, mitochondrial	1.0	0.999	17	64	64	64	64	64	64	2.74238034E10	
sp|A1IH00|GOGA2_DANRE	A1IH00	GOGA2_DANRE	golga2	1028	Danio rerio	2:Experimental evidence at transcript level	Golgin subfamily A member 2	1.0	0.999	44	127	127	127	127	127	127	4.1727873E10	
sp|A1L1F1|NDUF3_DANRE	A1L1F1	NDUF3_DANRE	ndufaf3	174	Danio rerio	2:Experimental evidence at transcript level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	1.0	0.999	8	45	45	45	45	45	45	1.2693206E10	
sp|A1L1F4|PDS5A_DANRE	A1L1F4	PDS5A_DANRE	pds5a	1320	Danio rerio	2:Experimental evidence at transcript level	Sister chromatid cohesion protein PDS5 homolog A	1.0	0.999	56	115	115	115	115	115	115	3.5618181E10	
sp|A1L1F6|I80DB_DANRE	A1L1F6	I80DB_DANRE	ino80db	843	Danio rerio	2:Experimental evidence at transcript level	INO80 complex subunit D-B	0.9776	0.9944	3	3	3	3	3	3	3	9.774594E9	
sp|A1L1M4|P4R2B_DANRE	A1L1M4	P4R2B_DANRE	ppp4r2b	426	Danio rerio	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 4 regulatory subunit 2-B	1.0	0.999	14	35	32	35	35	32	35	6.8249994E9	
sp|A1L1N5|HN1BA_DANRE	A1L1N5	HN1BA_DANRE	hnf1ba	559	Danio rerio	2:Experimental evidence at transcript level	Hepatocyte nuclear factor 1-beta-A	0.6011	0.9808	1	1	1	1	1	1	1	0.0	
sp|A1L1P7|DNLZ_DANRE	A1L1P7	DNLZ_DANRE	dnlz	183	Danio rerio	2:Experimental evidence at transcript level	DNL-type zinc finger protein	1.0	0.9989	5	11	11	11	11	11	11	1.64946368E9	
sp|A1L1R0|SHQ1_DANRE	A1L1R0	SHQ1_DANRE	shq1	585	Danio rerio	1:Experimental evidence at protein level	Protein SHQ1 homolog	1.0	0.9988	11	16	16	16	16	16	16	9.1849042E9	
sp|A1L1R6|ZN423_DANRE	A1L1R6	ZN423_DANRE	znf423	1365	Danio rerio	2:Experimental evidence at transcript level	Zinc finger protein 423	1.0	0.999	5	5	5	5	5	5	5	4.1190304E8	
sp|A1L1W4|RD10A_DANRE	A1L1W4	RD10A_DANRE	rdh10a	339	Danio rerio	2:Experimental evidence at transcript level	Retinol dehydrogenase 10-A	1.0	0.9989	4	4	4	5	4	4	5	5.26283008E8	
sp|A1L1W9|MOT10_DANRE	A1L1W9	MOT10_DANRE	slc16a10	505	Danio rerio	2:Experimental evidence at transcript level	Monocarboxylate transporter 10	0.9208	0.996	2	2	2	2	2	2	2	1.07675168E8	
sp|A1L209|AT7L3_DANRE	A1L209	AT7L3_DANRE	atxn7l3	367	Danio rerio	2:Experimental evidence at transcript level	Ataxin-7-like protein 3	0.4129	0.9598	1	1	1	1	1	1	1	8.038064E7	
sp|A1L243|MESD_DANRE	A1L243	MESD_DANRE	mesd	206	Danio rerio	2:Experimental evidence at transcript level	LRP chaperone MESD	1.0	0.999	21	269	269	269	269	269	269	3.06180096E11	
sp|A1L244|SAC1B_DANRE	A1L244	SAC1B_DANRE	sacm1lb	586	Danio rerio	2:Experimental evidence at transcript level	Phosphatidylinositol-3-phosphatase SAC1-B	1.0	0.999	28	103	103	163	103	103	163	4.0463188E10	
sp|A1L251|ENASE_DANRE	A1L251	ENASE_DANRE	engase	713	Danio rerio	2:Experimental evidence at transcript level	Cytosolic endo-beta-N-acetylglucosaminidase	1.0	0.999	17	38	38	38	38	38	38	2.19174564E10	
sp|A1L252|RANB9_DANRE	A1L252	RANB9_DANRE	ranbp9	597	Danio rerio	2:Experimental evidence at transcript level	Ran-binding protein 9	1.0	0.999	14	24	23	24	24	23	24	2.2189015E9	
sp|A1L253|F149B_DANRE	A1L253	F149B_DANRE	fam149b1	644	Danio rerio	2:Experimental evidence at transcript level	Protein FAM149B1	0.7364	0.9642	2	5	5	5	5	5	5	3.72250317E9	
sp|A1L258|D2HDH_DANRE	A1L258	D2HDH_DANRE	d2hgdh	533	Danio rerio	2:Experimental evidence at transcript level	D-2-hydroxyglutarate dehydrogenase, mitochondrial	1.0	0.999	19	89	89	89	89	89	89	3.4370527E10	
sp|A1L2E4|MRM3B_DANRE	A1L2E4	MRM3B_DANRE	rnmtl1b	445	Danio rerio	2:Experimental evidence at transcript level	rRNA methyltransferase 3B, mitochondrial	1.0	0.999	24	77	77	77	77	77	77	1.45615923E10	
sp|A1L2F3|NUSAP_DANRE	A1L2F3	NUSAP_DANRE	nusap1	446	Danio rerio	2:Experimental evidence at transcript level	Nucleolar and spindle-associated protein 1	1.0	0.999	10	13	13	13	13	13	13	1.2118647E9	
sp|A1L2G3|BAP1_DANRE	A1L2G3	BAP1_DANRE	bap1	755	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin carboxyl-terminal hydrolase BAP1	1.0	0.9981	5	6	6	6	6	6	6	1.7242839E9	
sp|A1YB07|AML2A_DANRE	A1YB07	AML2A_DANRE	amotl2a	721	Danio rerio	1:Experimental evidence at protein level	Angiomotin-like 2a	0.993	0.9947	3	4	4	4	4	4	4	7.9852864E8	
