Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	E Spectral Count	L Spectral Count	E Unique Spectral Count	L Unique Spectral Count	E Total Spectral Count	L Total Spectral Count	E Intensity	L Intensity	Indistinguishable Proteins
sp|A1L259|URAD_DANRE	A1L259	URAD_DANRE	urad	174	Danio rerio	1:Experimental evidence at protein level	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	1.0	0.999	7	17	17	17	0	17	0	17	0	17	0.0	3.47291315E9	
sp|A2BGU9|SERHL_DANRE	A2BGU9	SERHL_DANRE	serhl	326	Danio rerio	2:Experimental evidence at transcript level	Serine hydrolase-like protein	1.0	0.9988	2	3	3	3	0	3	0	3	0	3	0.0	3.03772352E8	
sp|A3QK15|AACS_DANRE	A3QK15	AACS_DANRE	aacs	673	Danio rerio	2:Experimental evidence at transcript level	Acetoacetyl-CoA synthetase	1.0	0.9987	3	7	7	7	0	7	0	7	0	7	0.0	7.9936864E8	
sp|A4FUM1|SEP8B_DANRE	A4FUM1	SEP8B_DANRE	sept8b	423	Danio rerio	2:Experimental evidence at transcript level	Septin-8-B	0.6202	0.9767	1	1	0	1	0	1	0	0	0	1	0.0	9.6934192E7	sp|Q642H3|SEP8A_DANRE
sp|A5PLK2|LHPP_DANRE	A5PLK2	LHPP_DANRE	lhpp	270	Danio rerio	2:Experimental evidence at transcript level	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	0.9972	0.9983	1	2	2	2	0	2	0	2	0	2	0.0	1.5001674E7	
sp|A7MBU6|T23OA_DANRE	A7MBU6	T23OA_DANRE	tdo2a	406	Danio rerio	2:Experimental evidence at transcript level	Tryptophan 2,3-dioxygenase A	0.9996	0.9977	1	3	3	3	0	3	0	3	0	3	0.0	1.21911928E8	
sp|A9C3P0|MLEC_DANRE	A9C3P0	MLEC_DANRE	mlec	285	Danio rerio	3:Protein inferred from homology	Malectin	1.0	0.9989	2	5	5	5	0	5	0	5	0	5	0.0	1.59928016E8	
sp|B0R0D7|COR1C_DANRE	B0R0D7	COR1C_DANRE	coro1ca	474	Danio rerio	2:Experimental evidence at transcript level	Coronin-1C-A	1.0	0.997	3	5	5	5	0	5	0	5	0	5	0.0	6.7622568E7	
sp|B5DE31|YBOX1_DANRE	B5DE31	YBOX1_DANRE	ybx1	310	Danio rerio	1:Experimental evidence at protein level	Y-box-binding protein 1	1.0	0.999	5	28	28	28	1	27	1	27	1	27	2.5612344E7	4.2092521E9	
sp|B8A5I7|SSBP_DANRE	B8A5I7	SSBP_DANRE	ssbp1	146	Danio rerio	1:Experimental evidence at protein level	Single-stranded DNA-binding protein, mitochondrial	0.9053	0.9959	1	3	3	3	0	3	0	3	0	3	0.0	3.3012424E7	
sp|B8A5W4|DHRSX_DANRE	B8A5W4	DHRSX_DANRE	dhrsx	324	Danio rerio	3:Protein inferred from homology	Polyprenol dehydrogenase	0.5035	0.963	1	2	2	2	0	2	0	2	0	2	0.0	3.2045908E7	
sp|E7FDW8|TRD7B_DANRE	E7FDW8	TRD7B_DANRE	tdrd7b	1085	Danio rerio	3:Protein inferred from homology	Tudor domain-containing protein 7B	0.6612	0.9804	1	1	1	1	0	1	0	1	0	1	0.0	2.16551728E8	
sp|E9QI36|HARS1_DANRE	E9QI36	HARS1_DANRE	hars	513	Danio rerio	3:Protein inferred from homology	Histidine--tRNA ligase	1.0	0.9892	3	5	2	5	0	5	0	2	0	5	0.0	1.7333048E8	
sp|F1Q749|DKC1_DANRE	F1Q749	DKC1_DANRE	dkc1	506	Danio rerio	2:Experimental evidence at transcript level	H/ACA ribonucleoprotein complex subunit DKC1	1.0	0.999	6	14	14	14	0	14	0	14	0	14	0.0	1.14216589E9	
sp|F1Q8C3|CP2K6_DANRE	F1Q8C3	CP2K6_DANRE	cyp2k6	505	Danio rerio	1:Experimental evidence at protein level	Cytochrome P450 2K6	0.9999	0.9697	2	6	6	6	0	6	0	6	0	6	0.0	3.77048768E8	
sp|F1QB54|PABPA_DANRE	F1QB54	PABPA_DANRE	pabpc1a	634	Danio rerio	1:Experimental evidence at protein level	Polyadenylate-binding protein 1A	1.0	0.999	11	40	40	40	0	40	0	40	0	40	0.0	5.2272435E9	
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	Danio rerio	1:Experimental evidence at protein level	Catenin beta-1	0.7381	0.9615	1	3	3	3	0	3	0	3	0	3	0.0	3.343963E7	
sp|F1QGW6|IF2G_DANRE	F1QGW6	IF2G_DANRE	eif2s3	472	Danio rerio	3:Protein inferred from homology	Eukaryotic translation initiation factor 2 subunit 3	1.0	0.9988	6	20	20	20	0	20	0	20	0	20	0.0	1.32193766E9	
sp|F1R4U0|TXTPB_DANRE	F1R4U0	TXTPB_DANRE	slc25a1b	317	Danio rerio	3:Protein inferred from homology	Tricarboxylate transport protein B, mitochondrial	1.0	0.999	3	4	3	4	0	4	0	3	0	4	0.0	1.57467456E8	
sp|F4ZGF2|COMTA_DANRE	F4ZGF2	COMTA_DANRE	comta	256	Danio rerio	1:Experimental evidence at protein level	Catechol O-methyltransferase A	1.0	0.9988	5	9	9	9	0	9	0	9	0	9	0.0	1.67622042E9	
sp|F8W2M8|TPP1_DANRE	F8W2M8	TPP1_DANRE	tpp1	557	Danio rerio	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0	0.999	5	14	14	14	0	14	0	14	0	14	0.0	1.1802688E9	
sp|O42248|GBLP_DANRE	O42248	GBLP_DANRE	gnb2l1	317	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein RACK1	1.0	0.9989	10	20	20	20	0	20	0	20	0	20	0.0	6.8223672E9	
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	Danio rerio	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	1.0	0.999	21	85	73	85	0	85	0	73	0	85	0.0	1.20679916E10	
sp|O73872|SODC_DANRE	O73872	SODC_DANRE	sod1	154	Danio rerio	2:Experimental evidence at transcript level	Superoxide dismutase [Cu-Zn]	1.0	0.999	8	31	31	31	1	30	1	30	1	30	7.0688248E7	8.7345142E9	
sp|P62247|RS8_DANRE	P62247	RS8_DANRE	rps8	208	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS8	1.0	0.999	4	4	4	4	0	4	0	4	0	4	0.0	1.65886554E9	
sp|P79735|RAN_DANRE	P79735	RAN_DANRE	ran	215	Danio rerio	2:Experimental evidence at transcript level	GTP-binding nuclear protein Ran	1.0	0.9916	4	9	9	9	0	9	0	9	0	9	0.0	1.36024691E9	
sp|Q06S87|HIUH_DANRE	Q06S87	HIUH_DANRE	urah	138	Danio rerio	1:Experimental evidence at protein level	5-hydroxyisourate hydrolase	1.0	0.999	3	16	16	16	0	16	0	16	0	16	0.0	2.05114291E9	
sp|Q08BL7|GLCTK_DANRE	Q08BL7	GLCTK_DANRE	glyctk	502	Danio rerio	2:Experimental evidence at transcript level	Glycerate kinase	1.0	0.9853	4	6	6	6	0	6	0	6	0	6	0.0	3.54681312E8	
sp|Q0P3Z2|PTER_DANRE	Q0P3Z2	PTER_DANRE	pter	349	Danio rerio	2:Experimental evidence at transcript level	Phosphotriesterase-related protein	1.0	0.9987	7	26	26	26	0	26	0	26	0	26	0.0	1.99276723E9	
sp|Q0P4F7|ACSF2_DANRE	Q0P4F7	ACSF2_DANRE	acsf2	606	Danio rerio	2:Experimental evidence at transcript level	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	1.0	0.9988	16	49	49	49	0	49	0	49	0	49	0.0	5.2110899E9	
sp|Q1JPX3|SYFA_DANRE	Q1JPX3	SYFA_DANRE	farsa	497	Danio rerio	2:Experimental evidence at transcript level	Phenylalanine--tRNA ligase alpha subunit	1.0	0.9987	4	13	13	13	0	13	0	13	0	13	0.0	4.14666752E8	
sp|Q1JPY5|CYP51_DANRE	Q1JPY5	CYP51_DANRE	cyp51	499	Danio rerio	1:Experimental evidence at protein level	Lanosterol 14-alpha demethylase	1.0	0.998	7	17	17	17	0	17	0	17	0	17	0.0	1.55562931E9	
sp|Q1L8L9|KAD2_DANRE	Q1L8L9	KAD2_DANRE	ak2	241	Danio rerio	2:Experimental evidence at transcript level	Adenylate kinase 2, mitochondrial	1.0	0.9981	5	19	19	19	1	18	1	18	1	18	3234243.2	1.31962816E9	
sp|Q1LXK4|M10B1_DANRE	Q1LXK4	M10B1_DANRE	mov10b.1	1013	Danio rerio	2:Experimental evidence at transcript level	Putative helicase mov-10-B.1	0.6903	0.9828	1	1	1	1	0	1	0	1	0	1	0.0	2.20014416E8	
sp|Q1RLY6|KMO_DANRE	Q1RLY6	KMO_DANRE	kmo	474	Danio rerio	2:Experimental evidence at transcript level	Kynurenine 3-monooxygenase	1.0	0.9988	6	20	20	20	0	20	0	20	0	20	0.0	2.3065047E9	
sp|Q2L6L1|CNPY1_DANRE	Q2L6L1	CNPY1_DANRE	cnpy1	187	Danio rerio	1:Experimental evidence at protein level	Protein canopy-1	0.9898	0.9951	1	3	3	3	0	3	0	3	0	3	0.0	3.8517388E7	
sp|Q32LQ4|BHMT1_DANRE	Q32LQ4	BHMT1_DANRE	bhmt	400	Danio rerio	2:Experimental evidence at transcript level	Betaine--homocysteine S-methyltransferase 1	1.0	0.999	16	93	93	93	0	93	0	93	0	93	0.0	3.6585107E10	
sp|Q4QRF4|H32_DANRE	Q4QRF4	H32_DANRE	zgc:113984	136	Danio rerio	2:Experimental evidence at transcript level	Histone H3.2	1.0	0.999	2	14	12	14	0	14	0	12	0	14	0.0	1.3923552E9	
sp|Q4VBV9|NIT2_DANRE	Q4VBV9	NIT2_DANRE	nit2	277	Danio rerio	2:Experimental evidence at transcript level	Omega-amidase NIT2	1.0	0.9989	3	8	8	8	0	8	0	8	0	8	0.0	3.94613088E8	
sp|Q502D1|GLOD5_DANRE	Q502D1	GLOD5_DANRE	glod5	163	Danio rerio	2:Experimental evidence at transcript level	Glyoxalase domain-containing protein 5	1.0	0.9988	3	15	15	15	0	15	0	15	0	15	0.0	2.27613082E9	
sp|Q504A5|TPMT_DANRE	Q504A5	TPMT_DANRE	tpmt	232	Danio rerio	2:Experimental evidence at transcript level	Probable thiopurine S-methyltransferase	1.0	0.9989	3	8	8	8	0	8	0	8	0	8	0.0	9.9299885E8	
sp|Q566U4|KFA_DANRE	Q566U4	KFA_DANRE	afmid	293	Danio rerio	2:Experimental evidence at transcript level	Kynurenine formamidase	1.0	0.9984	2	3	3	3	0	3	0	3	0	3	0.0	3.39929248E8	
sp|Q567V6|EIF3K_DANRE	Q567V6	EIF3K_DANRE	eif3k	219	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit K	0.8925	0.9953	1	5	5	5	0	5	0	5	0	5	0.0	2.5283376E8	
sp|Q568F6|PURA2_DANRE	Q568F6	PURA2_DANRE	adss2	455	Danio rerio	2:Experimental evidence at transcript level	Adenylosuccinate synthetase isozyme 2	0.8498	0.9932	1	1	1	1	0	1	0	1	0	1	0.0	3.1758628E7	
sp|Q568L5|A1A1B_DANRE	Q568L5	A1A1B_DANRE	akr1a1b	324	Danio rerio	2:Experimental evidence at transcript level	Aldo-keto reductase family 1 member A1-B	1.0	0.9975	4	10	10	10	0	10	0	10	0	10	0.0	7.0960704E8	
sp|Q568T4|HIKES_DANRE	Q568T4	HIKES_DANRE	hikeshi	197	Danio rerio	2:Experimental evidence at transcript level	Protein Hikeshi	0.9139	0.9963	1	2	2	2	0	2	0	2	0	2	0.0	3.3269604E7	
sp|Q56A35|ARP2B_DANRE	Q56A35	ARP2B_DANRE	actr2b	394	Danio rerio	2:Experimental evidence at transcript level	Actin-related protein 2-B	0.5046	0.9632	1	1	0	1	0	1	0	0	0	1	0.0	8.1716864E7	sp|Q7SXW6|ARP2A_DANRE
sp|Q5BJA5|H2B1_DANRE	Q5BJA5	H2B1_DANRE	zgc:112234	124	Danio rerio	2:Experimental evidence at transcript level	Histone H2B 1/2	1.0	0.9989	5	36	0	36	0	36	0	0	0	36	0.0	2.42618655E10	sp|Q6PC60|H2B3_DANRE
sp|Q5BJJ6|MAT2B_DANRE	Q5BJJ6	MAT2B_DANRE	mat2b	323	Danio rerio	2:Experimental evidence at transcript level	Methionine adenosyltransferase 2 subunit beta	0.8431	0.9928	1	4	4	4	0	4	0	4	0	4	0.0	4.7364016E7	
sp|Q5BJJ7|BCCIP_DANRE	Q5BJJ7	BCCIP_DANRE	bccip	301	Danio rerio	2:Experimental evidence at transcript level	Protein BCCIP homolog	0.904	0.9959	1	2	2	2	0	2	0	2	0	2	0.0	2.43998912E8	
sp|Q5BLE8|RETST_DANRE	Q5BLE8	RETST_DANRE	retsat	607	Danio rerio	1:Experimental evidence at protein level	All-trans-retinol 13,14-reductase	1.0	0.999	11	28	28	28	0	28	0	28	0	28	0.0	4.28632755E9	
sp|Q5D018|RBM8A_DANRE	Q5D018	RBM8A_DANRE	rbm8a	174	Danio rerio	2:Experimental evidence at transcript level	RNA-binding protein 8A	0.9601	0.9984	1	1	1	1	0	1	0	1	0	1	0.0	3.5231572E7	
sp|Q5MJ86|G3P2_DANRE	Q5MJ86	G3P2_DANRE	gapdh-2	335	Danio rerio	2:Experimental evidence at transcript level	Glyceraldehyde-3-phosphate dehydrogenase 2	1.0	0.9985	2	7	7	7	0	7	0	7	0	7	0.0	3.16821216E8	
sp|Q5PR98|NDRG2_DANRE	Q5PR98	NDRG2_DANRE	ndrg2	368	Danio rerio	2:Experimental evidence at transcript level	Protein NDRG2	1.0	0.999	3	7	7	7	0	7	0	7	0	7	0.0	1.01532486E9	
sp|Q5PRA2|DHTK1_DANRE	Q5PRA2	DHTK1_DANRE	dhtkd1	920	Danio rerio	2:Experimental evidence at transcript level	2-oxoadipate dehydrogenase complex component E1	1.0	0.9988	3	10	10	10	0	10	0	10	0	10	0.0	4.93891744E8	
sp|Q5PRD0|143BA_DANRE	Q5PRD0	143BA_DANRE	ywhaba	244	Danio rerio	2:Experimental evidence at transcript level	14-3-3 protein beta/alpha-A	1.0	0.999	13	53	26	53	1	52	0	26	1	52	2.4853486E7	1.15489044E10	
sp|Q5RFU5|MMAC_DANRE	Q5RFU5	MMAC_DANRE	mmachc	250	Danio rerio	3:Protein inferred from homology	Cyanocobalamin reductase / alkylcobalamin dealkylase	0.9631	0.9985	1	1	1	1	0	1	0	1	0	1	0.0	2.4490326E7	
sp|Q5RGV1|IMDH3_DANRE	Q5RGV1	IMDH3_DANRE	impdh1b	514	Danio rerio	2:Experimental evidence at transcript level	Inosine-5'-monophosphate dehydrogenase 1b	0.6109	0.9758	1	2	0	2	0	2	0	0	0	2	0.0	1.56283504E8	sp|Q6GMG5|IMDH1_DANRE
sp|Q5RHZ6|OSGEP_DANRE	Q5RHZ6	OSGEP_DANRE	osgep	335	Danio rerio	2:Experimental evidence at transcript level	tRNA N6-adenosine threonylcarbamoyltransferase	0.997	0.9982	1	3	3	3	0	3	0	3	0	3	0.0	3.4463176E7	
sp|Q5RZ65|AGR2_DANRE	Q5RZ65	AGR2_DANRE	agr2	171	Danio rerio	2:Experimental evidence at transcript level	Anterior gradient protein 2 homolog	0.5505	0.9692	1	1	1	1	0	1	0	1	0	1	0.0	5631779.0	
sp|Q5SPD7|P5CR3_DANRE	Q5SPD7	P5CR3_DANRE	pycr3	288	Danio rerio	2:Experimental evidence at transcript level	Pyrroline-5-carboxylate reductase 3	0.9999	0.9972	1	5	5	5	0	5	0	5	0	5	0.0	7.9724152E7	
sp|Q5U3F8|3HAO_DANRE	Q5U3F8	3HAO_DANRE	haao	287	Danio rerio	2:Experimental evidence at transcript level	3-hydroxyanthranilate 3,4-dioxygenase	1.0	0.999	9	42	42	42	0	42	0	42	0	42	0.0	9.8073068E9	
sp|Q5U3U0|PHYD1_DANRE	Q5U3U0	PHYD1_DANRE	phyhd1	291	Danio rerio	2:Experimental evidence at transcript level	Phytanoyl-CoA dioxygenase domain-containing protein 1	1.0	0.9988	4	4	4	4	0	4	0	4	0	4	0.0	7.9267994E8	
sp|Q5U3U3|CPT2_DANRE	Q5U3U3	CPT2_DANRE	cpt2	669	Danio rerio	2:Experimental evidence at transcript level	Carnitine O-palmitoyltransferase 2, mitochondrial	1.0	0.9987	4	6	6	6	0	6	0	6	0	6	0.0	4.30343808E8	
sp|Q5U403|MVD1_DANRE	Q5U403	MVD1_DANRE	mvd	400	Danio rerio	2:Experimental evidence at transcript level	Diphosphomevalonate decarboxylase	1.0	0.9977	8	13	13	13	0	13	0	13	0	13	0.0	9.5036269E8	
sp|Q5XJ10|G3P_DANRE	Q5XJ10	G3P_DANRE	gapdh	333	Danio rerio	2:Experimental evidence at transcript level	Glyceraldehyde-3-phosphate dehydrogenase	1.0	0.999	14	131	131	131	9	122	9	122	9	122	7.7099795E8	5.9960242E10	
sp|Q5XJ36|PARK7_DANRE	Q5XJ36	PARK7_DANRE	park7	189	Danio rerio	2:Experimental evidence at transcript level	Parkinson disease protein 7 homolog	0.9695	0.9845	1	2	2	2	0	2	0	2	0	2	0.0	1.01186048E8	
sp|Q5XJ54|GLRX3_DANRE	Q5XJ54	GLRX3_DANRE	glrx3	326	Danio rerio	2:Experimental evidence at transcript level	Glutaredoxin 3	1.0	0.9983	3	7	7	7	0	7	0	7	0	7	0.0	6.1900262E8	
sp|Q5XJA3|PRRC1_DANRE	Q5XJA3	PRRC1_DANRE	prrc1	435	Danio rerio	1:Experimental evidence at protein level	Protein PRRC1	0.9683	0.9987	1	3	3	3	0	3	0	3	0	3	0.0	3.9945888E7	
sp|Q642H9|RS4X_DANRE	Q642H9	RS4X_DANRE	rps4x	263	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS4	1.0	0.999	10	14	14	14	0	14	0	14	0	14	0.0	3.55142784E9	
sp|Q642M9|DHDH_DANRE	Q642M9	DHDH_DANRE	dhdh	334	Danio rerio	2:Experimental evidence at transcript level	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	1.0	0.9988	7	22	22	22	0	22	0	22	0	22	0.0	2.50759091E9	
sp|Q66HV4|COPB_DANRE	Q66HV4	COPB_DANRE	copb1	953	Danio rerio	2:Experimental evidence at transcript level	Coatomer subunit beta	1.0	0.988	2	7	7	7	0	7	0	7	0	7	0.0	2.64865456E8	
sp|Q66I08|OSTA_DANRE	Q66I08	OSTA_DANRE	slc51a	326	Danio rerio	2:Experimental evidence at transcript level	Organic solute transporter subunit alpha	0.9989	0.9897	2	2	2	2	0	2	0	2	0	2	0.0	7.2864838E8	
sp|Q66I21|AL8A1_DANRE	Q66I21	AL8A1_DANRE	aldh8a1	487	Danio rerio	2:Experimental evidence at transcript level	2-aminomuconic semialdehyde dehydrogenase	1.0	0.9989	5	20	20	20	0	20	0	20	0	20	0.0	1.29380173E9	
sp|Q66I59|ASPDH_DANRE	Q66I59	ASPDH_DANRE	aspdh	276	Danio rerio	2:Experimental evidence at transcript level	Aspartate dehydrogenase domain-containing protein	1.0	0.9982	3	5	5	5	0	5	0	5	0	5	0.0	4.04377536E8	
sp|Q68EK7|RAB4B_DANRE	Q68EK7	RAB4B_DANRE	rab4b	213	Danio rerio	2:Experimental evidence at transcript level	Ras-related protein Rab-4B	0.9901	0.9969	1	6	0	6	0	6	0	0	0	6	0.0	6.4786829E8	
sp|Q6AZA0|THIL_DANRE	Q6AZA0	THIL_DANRE	acat1	420	Danio rerio	2:Experimental evidence at transcript level	Acetyl-CoA acetyltransferase, mitochondrial	1.0	0.9989	4	9	9	9	0	9	0	9	0	9	0.0	5.5567456E8	
sp|Q6AZW2|A1A1A_DANRE	Q6AZW2	A1A1A_DANRE	akr1a1a	324	Danio rerio	2:Experimental evidence at transcript level	Aldo-keto reductase family 1 member A1-A	1.0	0.999	8	33	33	33	0	33	0	33	0	33	0.0	1.94518874E9	
sp|Q6DEH3|KC2D1_DANRE	Q6DEH3	KC2D1_DANRE	camk2d1	491	Danio rerio	2:Experimental evidence at transcript level	Calcium/calmodulin-dependent protein kinase type II delta 1 chain	0.7517	0.9873	1	1	0	1	0	1	0	0	0	1	0.0	7.3686112E7	sp|Q6DGS3|KC2D2_DANRE
sp|Q6DG81|PLST_DANRE	Q6DG81	PLST_DANRE	pls3	627	Danio rerio	2:Experimental evidence at transcript level	Plastin-3	1.0	0.9989	12	29	21	29	0	29	0	21	0	29	0.0	2.66461133E9	
sp|Q6DG85|URIC_DANRE	Q6DG85	URIC_DANRE	uox	298	Danio rerio	1:Experimental evidence at protein level	Uricase	1.0	0.999	16	58	58	58	0	58	0	58	0	58	0.0	1.39509647E10	
sp|Q6DGA6|ALLC_DANRE	Q6DGA6	ALLC_DANRE	allc	395	Danio rerio	2:Experimental evidence at transcript level	Allantoicase	1.0	0.9989	5	14	14	14	0	14	0	14	0	14	0.0	1.48632461E9	
sp|Q6DGK2|LDHBB_DANRE	Q6DGK2	LDHBB_DANRE	ldhbb	334	Danio rerio	2:Experimental evidence at transcript level	L-lactate dehydrogenase B-B chain	1.0	0.999	14	78	60	78	1	77	0	60	1	77	1.16959384E8	1.94194842E10	
sp|Q6DGW9|TMCO1_DANRE	Q6DGW9	TMCO1_DANRE	tmco1	188	Danio rerio	2:Experimental evidence at transcript level	Calcium load-activated calcium channel	0.9479	0.9979	1	3	3	3	0	3	0	3	0	3	0.0	5.7437907E8	
sp|Q6DH69|FAH2A_DANRE	Q6DH69	FAH2A_DANRE	faah2a	532	Danio rerio	2:Experimental evidence at transcript level	Fatty-acid amide hydrolase 2-A	1.0	0.999	2	13	13	13	0	13	0	13	0	13	0.0	3.45474688E8	
sp|Q6DHL4|SUMO2_DANRE	Q6DHL4	SUMO2_DANRE	sumo2	96	Danio rerio	3:Protein inferred from homology	Small ubiquitin-related modifier 2	0.8113	0.991	1	2	0	2	0	2	0	0	0	2	0.0	1.88124272E8	sp|Q6DI05|SUMO3_DANRE, sp|Q6NV25|SMO3L_DANRE
sp|Q6DHQ3|ACY3B_DANRE	Q6DHQ3	ACY3B_DANRE	acy3.2	314	Danio rerio	2:Experimental evidence at transcript level	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) B	1.0	0.999	4	13	13	13	0	13	0	13	0	13	0.0	5.9164314E8	
sp|Q6DRC0|SYSC_DANRE	Q6DRC0	SYSC_DANRE	sars1	515	Danio rerio	1:Experimental evidence at protein level	Serine--tRNA ligase, cytoplasmic	1.0	0.999	10	28	28	28	0	28	0	28	0	28	0.0	2.34175309E9	
sp|Q6DRH5|NOP10_DANRE	Q6DRH5	NOP10_DANRE	nop10	64	Danio rerio	3:Protein inferred from homology	H/ACA ribonucleoprotein complex subunit 3	1.0	0.9956	2	8	8	8	0	8	0	8	0	8	0.0	3.49307168E8	
sp|Q6DRI1|EI3EA_DANRE	Q6DRI1	EI3EA_DANRE	eif3ea	446	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit E-A	1.0	0.9976	6	12	2	12	0	12	0	2	0	12	0.0	7.4280512E8	
sp|Q6GML7|TATD1_DANRE	Q6GML7	TATD1_DANRE	tatdn1	298	Danio rerio	1:Experimental evidence at protein level	Deoxyribonuclease TATDN1	0.9999	0.9976	2	2	2	2	0	2	0	2	0	2	0.0	3039247.2	
