Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	5dpf_1 Spectral Count	5dpf_2 Spectral Count	5dpf_3 Spectral Count	5dpf_1 Unique Spectral Count	5dpf_2 Unique Spectral Count	5dpf_3 Unique Spectral Count	5dpf_1 Total Spectral Count	5dpf_2 Total Spectral Count	5dpf_3 Total Spectral Count	5dpf_1 Intensity	5dpf_2 Intensity	5dpf_3 Intensity	5dpf_1 MaxLFQ Intensity	5dpf_2 MaxLFQ Intensity	5dpf_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A9JRE2|MTNA_DANRE	A9JRE2	MTNA_DANRE	mri1	353	Danio rerio	2:Experimental evidence at transcript level	Methylthioribose-1-phosphate isomerase	1.0	0.999	2	23	23	23	12	7	4	12	7	4	12	7	4	7796746.0	813565.06	0.0	0.0	0.0	0.0	
sp|B0R034|DOC11_DANRE	B0R034	DOC11_DANRE	dock11	2067	Danio rerio	3:Protein inferred from homology	Dedicator of cytokinesis protein 11	0.9907	0.8659	1	7	7	7	4	2	1	4	2	1	4	2	1	1.2810666E7	7005796.5	5820428.0	6405333.0	7005796.5	5820428.0	
sp|B0R0I6|CHD8_DANRE	B0R0I6	CHD8_DANRE	chd8	2511	Danio rerio	3:Protein inferred from homology	Chromodomain-helicase-DNA-binding protein 8	0.8595	0.8701	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B8A4W9|LOX3B_DANRE	B8A4W9	LOX3B_DANRE	loxl3b	807	Danio rerio	2:Experimental evidence at transcript level	Lysyl oxidase homolog 3B	0.9159	0.9227	1	2	2	2	2	0	0	2	0	0	2	0	0	2539097.5	0.0	0.0	0.0	0.0	0.0	
sp|B8JMH0|CAF17_DANRE	B8JMH0	CAF17_DANRE	iba57	354	Danio rerio	3:Protein inferred from homology	Putative transferase CAF17 homolog, mitochondrial	0.9952	0.9956	1	2	2	2	2	0	0	2	0	0	2	0	0	444966.28	0.0	0.0	0.0	0.0	0.0	
sp|E7FF10|VWA1_DANRE	E7FF10	VWA1_DANRE	vwa1	503	Danio rerio	3:Protein inferred from homology	von Willebrand factor A domain-containing protein 1	0.8345	0.8467	1	3	3	3	3	0	0	3	0	0	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E9QI36|HARS1_DANRE	E9QI36	HARS1_DANRE	hars	513	Danio rerio	3:Protein inferred from homology	Histidine--tRNA ligase	0.8767	0.8862	1	2	2	2	2	0	0	2	0	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1R4C4|PIS4A_DANRE	F1R4C4	PIS4A_DANRE	pias4a	505	Danio rerio	2:Experimental evidence at transcript level	E3 SUMO-protein ligase PIAS4-A	0.9087	0.916	1	4	4	4	2	2	0	2	2	0	2	2	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1RCY6|RENT1_DANRE	F1RCY6	RENT1_DANRE	upf1	1100	Danio rerio	2:Experimental evidence at transcript level	Regulator of nonsense transcripts 1	0.9523	0.9563	1	3	3	3	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O42363|APOA1_DANRE	O42363	APOA1_DANRE	apoa1a	262	Danio rerio	1:Experimental evidence at protein level	Apolipoprotein A-Ia	0.9811	0.9827	1	8	8	8	7	1	0	7	1	0	7	1	0	2.595262E7	1.396657E7	0.0	2.595262E7	1.396657E7	0.0	
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	Danio rerio	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	0.9956	0.996	1	9	0	9	4	3	2	0	0	0	4	3	2	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q90474|H90A1_DANRE
sp|O93409|MLRSA_DANRE	O93409	MLRSA_DANRE	mylpfa	169	Danio rerio	1:Experimental evidence at protein level	Myosin regulatory light chain 2, skeletal muscle isoform A	0.9523	0.9563	1	7	7	7	4	3	0	4	3	0	4	3	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P0CH95|PHF8_DANRE	P0CH95	PHF8_DANRE	phf8	1032	Danio rerio	1:Experimental evidence at protein level	Histone lysine demethylase PHF8	0.9978	0.998	1	7	7	7	5	2	0	5	2	0	5	2	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P13104|TPM1_DANRE	P13104	TPM1_DANRE	tpma	284	Danio rerio	2:Experimental evidence at transcript level	Tropomyosin alpha-1 chain	0.9958	0.9962	1	9	9	9	4	3	2	4	3	2	4	3	2	3912654.0	5892107.5	6198725.0	3912654.0	5892107.5	6198725.0	
sp|P52889|LHX5_DANRE	P52889	LHX5_DANRE	lhx5	399	Danio rerio	2:Experimental evidence at transcript level	LIM/homeobox protein Lhx5	0.8455	0.8571	1	1	0	1	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q90476|LHX1_DANRE
sp|P59015|VPS18_DANRE	P59015	VPS18_DANRE	vps18	974	Danio rerio	2:Experimental evidence at transcript level	Vacuolar protein sorting-associated protein 18 homolog	0.8781	0.8876	1	1	1	1	1	0	0	1	0	0	1	0	0	2440049.8	0.0	0.0	0.0	0.0	0.0	
sp|Q0P487|NB5R2_DANRE	Q0P487	NB5R2_DANRE	cyb5r2	309	Danio rerio	2:Experimental evidence at transcript level	NADH-cytochrome b5 reductase 2	0.9403	0.9453	1	1	1	1	1	0	0	1	0	0	1	0	0	7717168.0	0.0	0.0	0.0	0.0	0.0	
sp|Q0P4F7|ACSF2_DANRE	Q0P4F7	ACSF2_DANRE	acsf2	606	Danio rerio	2:Experimental evidence at transcript level	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	0.9978	0.998	1	17	17	17	9	5	3	9	5	3	9	5	3	1.2418356E7	1.128432E7	4422363.5	1.2418356E7	1.128432E7	4422363.5	
sp|Q1LVF0|LAMC1_DANRE	Q1LVF0	LAMC1_DANRE	lamc1	1593	Danio rerio	2:Experimental evidence at transcript level	Laminin subunit gamma-1	0.9988	0.9989	1	10	10	10	5	4	1	5	4	1	5	4	1	1.6187722E7	2.5574032E7	2.7640176E7	1.6187722E7	2.5574032E7	2.7640176E7	
sp|Q2L6L1|CNPY1_DANRE	Q2L6L1	CNPY1_DANRE	cnpy1	187	Danio rerio	1:Experimental evidence at protein level	Protein canopy-1	0.9896	0.9163	1	2	2	2	1	1	0	1	1	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q4V909|CCD22_DANRE	Q4V909	CCD22_DANRE	ccdc22	639	Danio rerio	2:Experimental evidence at transcript level	Coiled-coil domain-containing protein 22	0.9843	0.9856	1	4	4	4	2	1	1	2	1	1	2	1	1	1.6024844E7	1.5392532E7	0.0	1.6024844E7	1.5392532E7	0.0	
sp|Q4V9P9|NOL11_DANRE	Q4V9P9	NOL11_DANRE	nol11	708	Danio rerio	2:Experimental evidence at transcript level	Nucleolar protein 11-like	0.9155	0.9223	1	4	4	4	3	1	0	3	1	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q4VBV9|NIT2_DANRE	Q4VBV9	NIT2_DANRE	nit2	277	Danio rerio	2:Experimental evidence at transcript level	Omega-amidase NIT2	0.9872	0.9883	1	7	7	7	5	2	0	5	2	0	5	2	0	3.8728936E7	2.466358E7	0.0	3.8728936E7	2.466358E7	0.0	
sp|Q4VSN1|DUSTY_DANRE	Q4VSN1	DUSTY_DANRE	dstyk	885	Danio rerio	2:Experimental evidence at transcript level	Dual serine/threonine and tyrosine protein kinase	0.9727	0.975	1	2	2	2	0	1	1	0	1	1	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q568P1|MESH1_DANRE	Q568P1	MESH1_DANRE	hddc3	180	Danio rerio	2:Experimental evidence at transcript level	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1	0.8307	0.8432	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q5BJA5|H2B1_DANRE	Q5BJA5	H2B1_DANRE	zgc:112234	124	Danio rerio	2:Experimental evidence at transcript level	Histone H2B 1/2	0.9962	0.9966	1	54	0	54	28	21	5	0	0	0	28	21	5	9.8559805E9	8.7317647E9	4.914368E9	9.8559805E9	8.7317647E9	4.914368E9	sp|Q6PC60|H2B3_DANRE
sp|Q5CZR5|AEP1_DANRE	Q5CZR5	AEP1_DANRE	aep1	315	Danio rerio	1:Experimental evidence at protein level	Aerolysin-like protein	0.9859	0.9871	1	10	10	10	7	2	1	7	2	1	7	2	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q5I2W8|NBN_DANRE	Q5I2W8	NBN_DANRE	nbn	818	Danio rerio	2:Experimental evidence at transcript level	Nibrin	0.8818	0.891	1	3	3	3	2	1	0	2	1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q5RGU1|COQ8A_DANRE	Q5RGU1	COQ8A_DANRE	coq8a	619	Danio rerio	2:Experimental evidence at transcript level	Atypical kinase COQ8A, mitochondrial	0.9938	0.9943	1	9	9	9	5	2	2	5	2	2	5	2	2	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q5RHR0|PARP1_DANRE	Q5RHR0	PARP1_DANRE	parp1	1013	Danio rerio	2:Experimental evidence at transcript level	Poly [ADP-ribose] polymerase 1	0.9947	0.9951	1	3	3	3	2	1	0	2	1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q5U3U3|CPT2_DANRE	Q5U3U3	CPT2_DANRE	cpt2	669	Danio rerio	2:Experimental evidence at transcript level	Carnitine O-palmitoyltransferase 2, mitochondrial	0.9998	0.9942	2	15	15	15	9	2	4	9	2	4	9	2	4	4334418.0	3043855.2	3599199.8	4334418.0	3043855.2	3599199.8	
sp|Q642H9|RS4X_DANRE	Q642H9	RS4X_DANRE	rps4x	263	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS4	1.0	0.9985	2	36	36	36	23	12	1	23	12	1	23	12	1	1.99845952E8	1.84987664E8	8.4842528E7	1.04098632E8	9.8471352E7	1.17600136E8	
sp|Q66HV4|COPB_DANRE	Q66HV4	COPB_DANRE	copb1	953	Danio rerio	2:Experimental evidence at transcript level	Coatomer subunit beta	0.9906	0.858	2	2	2	2	0	2	0	0	2	0	0	2	0	0.0	1.0039046E7	0.0	0.0	0.0	0.0	
sp|Q66HX8|GDAP2_DANRE	Q66HX8	GDAP2_DANRE	gdap2	504	Danio rerio	2:Experimental evidence at transcript level	Ganglioside-induced differentiation-associated protein 2	0.9361	0.9414	1	15	15	15	6	4	5	6	4	5	6	4	5	1.45616368E8	1.45243744E8	7.6442072E7	1.45616368E8	1.45243744E8	7.6442072E7	
sp|Q66I75|MTNB_DANRE	Q66I75	MTNB_DANRE	apip	241	Danio rerio	2:Experimental evidence at transcript level	Methylthioribulose-1-phosphate dehydratase	0.8906	0.8992	1	2	2	2	0	2	0	0	2	0	0	2	0	0.0	2284282.0	0.0	0.0	0.0	0.0	
sp|Q6AXJ2|EI3HA_DANRE	Q6AXJ2	EI3HA_DANRE	eif3ha	335	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit H-A	0.9053	0.9128	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6AXK4|BABA1_DANRE	Q6AXK4	BABA1_DANRE	babam1	370	Danio rerio	1:Experimental evidence at protein level	BRISC and BRCA1-A complex member 1	0.9208	0.9272	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6DEH3|KC2D1_DANRE	Q6DEH3	KC2D1_DANRE	camk2d1	491	Danio rerio	2:Experimental evidence at transcript level	Calcium/calmodulin-dependent protein kinase type II delta 1 chain	0.9852	0.9865	1	11	0	11	4	5	2	0	0	0	4	5	2	7.8006904E7	4.0681304E7	3.6206908E7	7.8006904E7	4.0681304E7	3.6206908E7	sp|Q6DGS3|KC2D2_DANRE
sp|Q6DG22|ADA_DANRE	Q6DG22	ADA_DANRE	ada	359	Danio rerio	2:Experimental evidence at transcript level	Adenosine deaminase	0.9836	0.985	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6DGE9|UN45B_DANRE	Q6DGE9	UN45B_DANRE	unc45b	934	Danio rerio	1:Experimental evidence at protein level	Protein unc-45 homolog B	0.9987	0.9936	1	4	4	4	3	1	0	3	1	0	3	1	0	1.0514046E7	1.138402E7	1175188.8	1.0514046E7	1.138402E7	1175188.8	
sp|Q6DGP2|SYF2_DANRE	Q6DGP2	SYF2_DANRE	syf2	238	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-splicing factor syf2	0.9758	0.9779	1	4	4	4	4	0	0	4	0	0	4	0	0	3192777.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6NSN1|LS12B_DANRE	Q6NSN1	LS12B_DANRE	lsm12b	196	Danio rerio	2:Experimental evidence at transcript level	Protein LSM12 homolog B	0.8981	0.9062	1	1	1	1	1	0	0	1	0	0	1	0	0	3422942.5	0.0	0.0	0.0	0.0	0.0	
sp|Q6NWF6|K2C8_DANRE	Q6NWF6	K2C8_DANRE	krt8	520	Danio rerio	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 8	0.9879	0.9889	1	19	19	19	11	7	1	11	7	1	11	7	1	2.91103424E8	2.40423632E8	1.99975296E8	2.91103424E8	2.40423632E8	1.99975296E8	
sp|Q6NY82|UBE2F_DANRE	Q6NY82	UBE2F_DANRE	ube2f	185	Danio rerio	2:Experimental evidence at transcript level	NEDD8-conjugating enzyme UBE2F	0.9965	0.9968	1	8	8	8	5	2	1	5	2	1	5	2	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6NYW6|CLAP2_DANRE	Q6NYW6	CLAP2_DANRE	clasp2	1288	Danio rerio	2:Experimental evidence at transcript level	CLIP-associating protein 2	0.9781	0.9799	1	8	8	8	5	2	1	5	2	1	5	2	1	6861331.5	5578971.5	3224151.2	6861331.5	5578971.5	3224151.2	
sp|Q6NZS4|RTCB_DANRE	Q6NZS4	RTCB_DANRE	rtcb	505	Danio rerio	2:Experimental evidence at transcript level	RNA-splicing ligase RtcB homolog	0.9903	0.9912	1	10	10	10	5	3	2	5	3	2	5	3	2	0.0	4652436.0	0.0	0.0	0.0	0.0	
sp|Q6P0G6|MYL1_DANRE	Q6P0G6	MYL1_DANRE	myl1	190	Danio rerio	2:Experimental evidence at transcript level	Myosin, light chain 1, alkali; skeletal, fast	0.9988	0.9989	1	17	17	17	8	6	3	8	6	3	8	6	3	1.28489232E8	9.9208512E7	1.5162176E7	1.28489232E8	9.9208512E7	1.5162176E7	
sp|Q6P3L0|MVP_DANRE	Q6P3L0	MVP_DANRE	mvp	863	Danio rerio	2:Experimental evidence at transcript level	Major vault protein	0.9999	0.9937	2	16	16	16	8	5	3	8	5	3	8	5	3	9.7375648E7	1.19910312E8	2.9758624E7	5.2393864E7	6.0763432E7	3.200456E7	
sp|Q6P5L3|RL19_DANRE	Q6P5L3	RL19_DANRE	rpl19	196	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL19	0.9926	0.9933	1	12	12	12	6	5	1	6	5	1	6	5	1	6.1979456E8	5.5870765E8	2.88881056E8	6.1979456E8	5.5870765E8	2.88881056E8	
sp|Q6P698|PLSL_DANRE	Q6P698	PLSL_DANRE	lcp1	624	Danio rerio	1:Experimental evidence at protein level	Plastin-2	0.9263	0.9323	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6P6X9|NUP35_DANRE	Q6P6X9	NUP35_DANRE	nup35	308	Danio rerio	1:Experimental evidence at protein level	Nucleoporin NUP35	0.9092	0.9164	1	3	3	3	3	0	0	3	0	0	3	0	0	4760996.5	0.0	0.0	0.0	0.0	0.0	
sp|Q6PBY1|RS3A_DANRE	Q6PBY1	RS3A_DANRE	rps3a	267	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS1	1.0	0.9989	2	40	40	40	22	10	8	22	10	8	22	10	8	9.0171309E8	7.5704307E8	6.0950502E8	6.2293382E8	5.5513248E8	4.42999136E8	
sp|Q6PC69|RL10A_DANRE	Q6PC69	RL10A_DANRE	rpl10a	216	Danio rerio	2:Experimental evidence at transcript level	Large ribosomal subunit protein uL1	0.899	0.907	1	26	26	26	12	13	1	12	13	1	12	13	1	3.57305024E8	3.3323792E8	2.19445888E8	3.57305024E8	3.3323792E8	2.19445888E8	
sp|Q6PCR7|EIF3A_DANRE	Q6PCR7	EIF3A_DANRE	eif3a	1267	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit A	0.9039	0.9116	1	2	2	2	2	0	0	2	0	0	2	0	0	3.78412E7	0.0	0.0	0.0	0.0	0.0	
sp|Q6PHH3|PD10A_DANRE	Q6PHH3	PD10A_DANRE	pdcd10a	210	Danio rerio	1:Experimental evidence at protein level	Programmed cell death protein 10-A	0.8653	0.8756	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6TEL1|RA21A_DANRE	Q6TEL1	RA21A_DANRE	rad21a	643	Danio rerio	1:Experimental evidence at protein level	Double-strand-break repair protein rad21 homolog A	0.9656	0.9685	1	2	2	2	0	1	1	0	1	1	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6TGZ5|HPPD_DANRE	Q6TGZ5	HPPD_DANRE	hpd	397	Danio rerio	2:Experimental evidence at transcript level	4-hydroxyphenylpyruvate dioxygenase	0.8498	0.8611	1	4	4	4	0	2	2	0	2	2	0	2	2	0.0	1.5860666E7	0.0	0.0	0.0	0.0	
sp|Q6TLF6|RGN_DANRE	Q6TLF6	RGN_DANRE	rgn	295	Danio rerio	2:Experimental evidence at transcript level	Regucalcin	0.9437	0.9484	1	3	3	3	3	0	0	3	0	0	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7SXG4|SAE2_DANRE	Q7SXG4	SAE2_DANRE	uba2	650	Danio rerio	1:Experimental evidence at protein level	SUMO-activating enzyme subunit 2	0.991	0.9918	1	12	12	12	5	5	2	5	5	2	5	5	2	1.43610656E8	5968792.5	0.0	1.43610656E8	5968792.5	0.0	
sp|Q7SZQ7|SURF4_DANRE	Q7SZQ7	SURF4_DANRE	surf4	269	Danio rerio	2:Experimental evidence at transcript level	Surfeit locus protein 4	0.8382	0.8502	1	5	5	5	3	1	1	3	1	1	3	1	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7T385|VTC1A_DANRE	Q7T385	VTC1A_DANRE	atp6v1c1a	383	Danio rerio	2:Experimental evidence at transcript level	V-type proton ATPase subunit C 1-A	0.9975	0.9977	1	24	24	24	13	7	4	13	7	4	13	7	4	6912685.0	6952855.5	3972290.2	6912685.0	6952855.5	3972290.2	
sp|Q7ZT42|SND1_DANRE	Q7ZT42	SND1_DANRE	snd1	897	Danio rerio	2:Experimental evidence at transcript level	Staphylococcal nuclease domain-containing protein 1	0.9916	0.9923	1	16	16	16	6	6	4	6	6	4	6	6	4	1.14750608E8	1.30198288E8	1.5128016E8	1.14750608E8	1.30198288E8	1.5128016E8	
sp|Q7ZTY4|RBBP7_DANRE	Q7ZTY4	RBBP7_DANRE	rbbp7	426	Danio rerio	2:Experimental evidence at transcript level	Histone-binding protein RBBP7	0.9916	0.9923	1	8	8	8	3	4	1	3	4	1	3	4	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7ZUC7|PGES2_DANRE	Q7ZUC7	PGES2_DANRE	ptges2	377	Danio rerio	2:Experimental evidence at transcript level	Prostaglandin E synthase 2	0.9352	0.9405	1	4	4	4	3	0	1	3	0	1	3	0	1	0.0	0.0	406560.06	0.0	0.0	0.0	
sp|Q7ZUH1|RTRAF_DANRE	Q7ZUH1	RTRAF_DANRE	rtraf	242	Danio rerio	2:Experimental evidence at transcript level	RNA transcription, translation and transport factor protein	0.9916	0.9923	1	7	7	7	3	3	1	3	3	1	3	3	1	2861448.5	3435071.8	3737100.8	2861448.5	3435071.8	3737100.8	
sp|Q7ZWD4|UAP1L_DANRE	Q7ZWD4	UAP1L_DANRE	uap1l1	505	Danio rerio	2:Experimental evidence at transcript level	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	0.9932	0.9594	1	5	5	5	4	1	0	4	1	0	4	1	0	6353089.0	0.0	0.0	0.0	0.0	0.0	
sp|Q803R5|CMTR1_DANRE	Q803R5	CMTR1_DANRE	cmtr1	829	Danio rerio	2:Experimental evidence at transcript level	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1	0.9908	0.9916	1	7	7	7	6	1	0	6	1	0	6	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q803T2|STRP1_DANRE	Q803T2	STRP1_DANRE	strip1	813	Danio rerio	1:Experimental evidence at protein level	Striatin-interacting protein 1 homolog	0.9326	0.9381	1	5	5	5	3	1	1	3	1	1	3	1	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q8AWW7|RUVB1_DANRE	Q8AWW7	RUVB1_DANRE	ruvbl1	456	Danio rerio	2:Experimental evidence at transcript level	RuvB-like 1	0.9974	0.9977	1	19	19	19	9	6	4	9	6	4	9	6	4	3.8857984E7	3.5554884E7	0.0	3.8857984E7	3.5554884E7	0.0	
sp|Q8JHV6|LAMB4_DANRE	Q8JHV6	LAMB4_DANRE	lamb4	1827	Danio rerio	2:Experimental evidence at transcript level	Laminin subunit beta-4	0.9795	0.9813	1	3	3	3	3	0	0	3	0	0	3	0	0	1099698.5	0.0	0.0	0.0	0.0	0.0	
sp|Q8JIU7|NACA_DANRE	Q8JIU7	NACA_DANRE	naca	215	Danio rerio	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha	0.9983	0.9984	1	11	11	11	6	4	1	6	4	1	6	4	1	5.2434184E7	3.1311932E7	1.5384558E7	5.2434184E7	3.1311932E7	1.5384558E7	
sp|Q8UVK2|SPT6H_DANRE	Q8UVK2	SPT6H_DANRE	supt6h	1726	Danio rerio	1:Experimental evidence at protein level	Transcription elongation factor SPT6	0.9938	0.9943	1	3	3	3	1	2	0	1	2	0	1	2	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q90Z10|RL13_DANRE	Q90Z10	RL13_DANRE	rpl13	211	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL13	1.0	0.9989	2	13	13	13	6	2	5	6	2	5	6	2	5	1.09401112E8	2.13434096E8	1.29894384E8	1.09401112E8	2.13434096E8	1.29894384E8	
sp|Q9DDT5|SPT5H_DANRE	Q9DDT5	SPT5H_DANRE	supt5h	1084	Danio rerio	1:Experimental evidence at protein level	Transcription elongation factor SPT5	0.9784	0.9803	1	6	6	6	5	1	0	5	1	0	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
