Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Set_1_1 Spectral Count	Set_1_2 Spectral Count	Set_1_3 Spectral Count	Set_2_1 Spectral Count	Set_2_2 Spectral Count	Set_2_3 Spectral Count	Set_1_1 Unique Spectral Count	Set_1_2 Unique Spectral Count	Set_1_3 Unique Spectral Count	Set_2_1 Unique Spectral Count	Set_2_2 Unique Spectral Count	Set_2_3 Unique Spectral Count	Set_1_1 Total Spectral Count	Set_1_2 Total Spectral Count	Set_1_3 Total Spectral Count	Set_2_1 Total Spectral Count	Set_2_2 Total Spectral Count	Set_2_3 Total Spectral Count	Set_1_1 Intensity	Set_1_2 Intensity	Set_1_3 Intensity	Set_2_1 Intensity	Set_2_2 Intensity	Set_2_3 Intensity	Set_1_1 MaxLFQ Intensity	Set_1_2 MaxLFQ Intensity	Set_1_3 MaxLFQ Intensity	Set_2_1 MaxLFQ Intensity	Set_2_2 MaxLFQ Intensity	Set_2_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.999	38	1316	1035	1316	227	227	225	214	210	213	181	179	179	166	165	165	227	227	225	214	210	213	2.08221914E9	2.06286093E9	2.03485389E9	2.25852928E9	2.2302167E9	2.2618729E9	3.48486656E8	3.55927616E8	3.49374336E8	3.65635808E8	3.50499872E8	3.52295488E8	
contam_sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin	0.9932	0.9952	2	32	32	32	7	5	5	7	3	5	7	5	5	7	3	5	7	5	5	7	3	5	4.2322108E7	4.4734068E7	4.1220912E7	4.2874008E7	4.1583904E7	3.9238244E7	3.0547018E7	3.3078864E7	3.0785718E7	3.0754802E7	2.9367384E7	2.8829542E7	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	1.0	0.999	20	1328	1328	1328	233	237	268	195	198	197	233	237	268	195	198	197	233	237	268	195	198	197	1.70510572E10	1.6294571E10	1.58759096E10	1.62847468E10	1.61307812E10	1.59468227E10	5.8296699E9	5.7010053E9	5.5974001E9	4.8495222E9	4.7741778E9	4.6430239E9	
contam_sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens	1:Experimental evidence at protein level	Cathepsin D	0.9984	0.9988	1	40	40	40	5	8	6	9	5	7	5	8	6	9	5	7	5	8	6	9	5	7	4.1307816E7	4.6123352E7	4.54614E7	5.4532704E7	4.8714108E7	4.9402968E7	3.258415E7	3.4854752E7	3.4535592E7	4.1300388E7	3.8827352E7	3.9462936E7	
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	1.0	0.999	3	35	0	35	8	7	7	4	3	6	0	0	0	0	0	0	8	7	7	4	3	6	2.5874844E7	2.9174512E7	2.6784724E7	4787632.5	6754768.0	5838232.0	1.8685666E7	2.1267988E7	1.9526836E7	4787632.5	6754768.0	5838232.0	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.999	32	1167	1041	1167	202	197	201	191	187	189	182	177	179	169	165	169	202	197	201	191	187	189	1.44400614E9	1.39270682E9	2.50027085E9	1.15142323E9	2.42112282E9	1.21980928E9	8.3148666E8	8.5425811E8	8.6373069E8	5.7916608E8	5.9728E8	5.9795379E8	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	26	775	775	786	130	130	130	128	131	126	130	130	130	128	131	126	132	131	131	131	133	128	4.53269472E8	5.1382656E8	5.18222528E8	5.506217E8	5.5559654E8	5.5971898E8	5.3244656E7	5.2676016E7	5.336192E7	5.951394E7	5.7156868E7	5.7495032E7	
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.999	36	768	768	917	139	143	133	113	120	120	139	143	133	113	120	120	167	167	160	137	144	142	2.86235904E8	2.78921088E8	2.90268448E8	3.08225376E8	3.21880992E8	3.06763232E8	2.8179974E7	2.7782078E7	2.7912492E7	2.7893998E7	2.9168502E7	2.7859514E7	
contam_sp|P51965|UB2E1_HUMAN	P51965	UB2E1_HUMAN	UBE2E1	193	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 E1	1.0	0.9961	3	66	66	66	14	13	13	7	8	11	14	13	13	7	8	11	14	13	13	7	8	11	1.8467812E7	1.7445252E7	1.956032E7	1.0938346E7	1.0640096E7	1.1693031E7	7416940.5	7023772.0	7316562.0	4301915.0	4517559.0	4947879.5	
contam_sp|P62937|PPIA_HUMAN	P62937	PPIA_HUMAN	PPIA	165	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase A	0.9471	0.9976	1	4	4	4	3	1	0	0	0	0	3	1	0	0	0	0	3	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S27a	1.0	0.999	9	474	474	474	82	82	86	79	69	76	82	82	86	79	69	76	82	82	86	79	69	76	1.63774541E9	1.58068339E9	1.69453376E9	1.67586278E9	1.61083405E9	1.61726336E9	7.091273E8	7.1936147E8	7.6624678E8	7.2911974E8	6.5074771E8	6.5928205E8	
contam_sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	Homo sapiens	1:Experimental evidence at protein level	SUMO-conjugating enzyme UBC9	1.0	0.999	6	71	0	71	12	7	15	13	13	11	0	0	0	0	0	0	12	7	15	13	13	11	4.2025336E7	4.3005804E7	4.6137216E7	5.6542592E7	5.4827464E7	5.2365448E7	1.6694533E7	1.6582134E7	1.8433002E7	1.5522764E7	1.52325E7	1.4243293E7	sp|Q9DDJ0|UBC9B_DANRE
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-1	1.0	0.999	3	63	63	63	10	10	11	11	12	9	10	10	11	11	12	9	10	10	11	11	12	9	1.29437952E8	1.30366528E8	1.35640624E8	9.6135992E7	1.0469328E8	1.031626E8	6.506838E7	6.5522384E7	6.7773552E7	6.1663096E7	6.7940248E7	6.6289108E7	
contam_sp|Q15843|NEDD8_HUMAN	Q15843	NEDD8_HUMAN	NEDD8	81	Homo sapiens	1:Experimental evidence at protein level	NEDD8	0.8874	0.9946	1	36	36	36	7	7	7	5	6	4	7	7	7	5	6	4	7	7	7	5	6	4	8158880.5	6550303.0	6145624.5	4514765.5	3585848.2	4025009.0	8158880.5	6550303.0	6145624.5	4514765.5	3585848.2	4025009.0	
contam_sp|Q9NSB2|KRT84_HUMAN	Q9NSB2	KRT84_HUMAN	KRT84	600	Homo sapiens	2:Experimental evidence at transcript level	Keratin, type II cuticular Hb4	0.9984	0.998	4	30	30	138	5	5	5	4	5	6	5	5	5	4	5	6	26	19	25	22	22	24	1.1785276E8	1.07914944E8	1.01221768E8	1.2537692E8	1.26836392E8	1.2111084E8	1.1785276E8	1.07914944E8	1.01221768E8	1.2537692E8	1.26836392E8	1.2111084E8	
sp|A0A0G2KTI4|S12A2_DANRE	A0A0G2KTI4	S12A2_DANRE	slc12a2	1136	Danio rerio	1:Experimental evidence at protein level	Solute carrier family 12 member 2	1.0	0.9989	14	133	133	133	20	24	18	20	26	25	20	24	18	20	26	25	20	24	18	20	26	25	2.8275712E7	2.5866658E7	4.5075456E7	4.6023088E7	6.62248E7	8.0410544E7	1.0638684E7	1.0060502E7	1.0559085E7	1.2780437E7	1.195101E7	1.3279807E7	
sp|A0A0R4IB93|UBP48_DANRE	A0A0R4IB93	UBP48_DANRE	usp48	1047	Danio rerio	3:Protein inferred from homology	Ubiquitin carboxyl-terminal hydrolase 48	0.9818	0.9961	2	3	3	3	0	0	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0R4IC37|CPSF1_DANRE	A0A0R4IC37	CPSF1_DANRE	cpsf1	1451	Danio rerio	3:Protein inferred from homology	Cleavage and polyadenylation specificity factor subunit 1	1.0	0.9987	12	47	47	47	7	6	7	9	7	11	7	6	7	9	7	11	7	6	7	9	7	11	1.6540295E7	1.494408E7	1.2781726E7	1.8692828E7	1.6545433E7	1.9493726E7	9391614.0	9083135.0	7143742.5	7981666.5	6617768.5	7814542.0	
sp|A0A0R4IEW8|ELAV4_DANRE	A0A0R4IEW8	ELAV4_DANRE	elavl4	411	Danio rerio	1:Experimental evidence at protein level	ELAV-like protein 4	1.0	0.999	19	433	433	433	66	67	64	81	76	79	66	67	64	81	76	79	66	67	64	81	76	79	2.58248176E8	2.52176224E8	2.53568016E8	3.12502208E8	3.16246048E8	3.13217536E8	6.878816E7	6.6470236E7	6.6772612E7	7.260376E7	7.2467816E7	7.5893216E7	
sp|A0A0R4IKJ1|CAPAM_DANRE	A0A0R4IKJ1	CAPAM_DANRE	pcif1	721	Danio rerio	1:Experimental evidence at protein level	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase	1.0	0.9973	5	20	20	20	1	2	3	6	5	3	1	2	3	6	5	3	1	2	3	6	5	3	6883352.0	7966496.0	8373798.0	6865888.5	5493797.0	6391566.5	3718566.2	4223201.0	4004740.8	6208654.5	5125795.5	4777999.0	
sp|A0A0R4IKU3|RECK_DANRE	A0A0R4IKU3	RECK_DANRE	reck	955	Danio rerio	1:Experimental evidence at protein level	Reversion-inducing cysteine-rich protein with Kazal motifs	1.0	0.999	6	66	66	66	18	18	14	5	7	4	18	18	14	5	7	4	18	18	14	5	7	4	6473291.5	6869189.5	6455827.0	2032934.8	2066337.8	2056961.5	2196433.2	2243613.0	2149907.5	1270853.2	1536734.0	1271958.9	
sp|A0A0R4ITC5|TRRAP_DANRE	A0A0R4ITC5	TRRAP_DANRE	trrap	3841	Danio rerio	3:Protein inferred from homology	Transformation/transcription domain-associated protein	1.0	0.999	30	132	132	132	18	18	15	30	25	26	18	18	15	30	25	26	18	18	15	30	25	26	2.7275376E7	2.8857638E7	2.8503588E7	8.9127312E7	8.2741368E7	8.0796872E7	1.796224E7	1.886349E7	1.8040872E7	2.4433678E7	2.422416E7	2.440063E7	
sp|A0A0R4IVV0|MTP_DANRE	A0A0R4IVV0	MTP_DANRE	mttp	884	Danio rerio	1:Experimental evidence at protein level	Microsomal triglyceride transfer protein large subunit	1.0	0.999	29	591	591	591	124	124	120	74	70	79	124	124	120	74	70	79	124	124	120	74	70	79	3.20601408E8	3.3138832E8	3.1280448E8	1.74908E8	1.79106064E8	1.80387312E8	4.3805372E7	4.3616616E7	4.2157668E7	2.4635966E7	2.3361554E7	2.3692182E7	
sp|A0A0R4IWI1|COE1A_DANRE	A0A0R4IWI1	COE1A_DANRE	ebf1a	591	Danio rerio	2:Experimental evidence at transcript level	Transcription factor COE1-A	1.0	0.9984	5	55	32	55	9	8	11	9	10	8	5	4	5	5	7	6	9	8	11	9	10	8	9646598.0	8558653.0	9393905.0	1.0202569E7	1.0912342E7	1.056853E7	4602447.5	4191416.8	4412649.0	3918568.2	4515532.0	4289428.0	
sp|A0A2R8QF68|GRIK2_DANRE	A0A2R8QF68	GRIK2_DANRE	grik2	908	Danio rerio	3:Protein inferred from homology	Glutamate receptor ionotropic, kainate 2	1.0	0.999	3	22	22	22	0	1	1	9	8	3	0	1	1	9	8	3	0	1	1	9	8	3	9241426.0	8821633.0	1.014162E7	1.0213672E7	9805220.0	9640037.0	7516684.5	7853190.0	7685212.5	8930228.0	8526325.0	7676560.0	
sp|A0A2R8QP51|DPP9_DANRE	A0A2R8QP51	DPP9_DANRE	dpp9	885	Danio rerio	3:Protein inferred from homology	Dipeptidyl peptidase 9	1.0	0.999	18	245	245	245	47	42	50	34	35	37	47	42	50	34	35	37	47	42	50	34	35	37	8.5828736E7	8.8664024E7	9.9103984E7	6.8939296E7	6.880164E7	6.9580952E7	1.1110858E7	1.1872887E7	1.1952552E7	9399913.0	9353984.0	9275961.0	
sp|A0A8M1N5Y4|TMX3A_DANRE	A0A8M1N5Y4	TMX3A_DANRE	tmx3a	437	Danio rerio	2:Experimental evidence at transcript level	Protein disulfide-isomerase tmx3a	1.0	0.9981	4	45	45	45	10	8	8	6	6	7	10	8	8	6	6	7	10	8	8	6	6	7	1.4832474E7	1.3272942E7	1.3121563E7	1.0993399E7	1.0316122E7	1.063963E7	7713636.5	7881432.5	7384775.5	7404600.0	7007189.5	7484966.5	
sp|A0A8M1NHK4|RBM47_DANRE	A0A8M1NHK4	RBM47_DANRE	rbm47	600	Danio rerio	1:Experimental evidence at protein level	RNA-binding protein 47	1.0	0.9989	3	37	37	37	6	6	4	4	10	7	6	6	4	4	10	7	6	6	4	4	10	7	4.7243148E7	4.5166284E7	4.4076412E7	5.5871708E7	5.4053004E7	5.4442668E7	4.3269088E7	3.9916004E7	4.254362E7	5.5068516E7	5.1029428E7	4.941132E7	
sp|A0A8M2BID5|DESPA_DANRE	A0A8M2BID5	DESPA_DANRE	dspa	2059	Danio rerio	2:Experimental evidence at transcript level	Desmoplakin-A	1.0	0.999	42	390	390	409	78	77	78	54	57	46	78	77	78	54	57	46	81	81	82	55	61	49	1.22845408E8	1.22129896E8	1.2089564E8	9.9111888E7	9.377728E7	9.3369784E7	1.7766752E7	1.8066474E7	1.74657E7	1.4797677E7	1.402769E7	1.4066551E7	
sp|A0A8M3AJY3|ABRX2_DANRE	A0A8M3AJY3	ABRX2_DANRE	abraxas2	416	Danio rerio	1:Experimental evidence at protein level	BRISC complex subunit abraxas 2	0.9995	0.9989	2	20	20	20	1	1	3	7	3	5	1	1	3	7	3	5	1	1	3	7	3	5	3029297.5	3021501.0	3160493.5	2623867.8	2747240.0	2471028.5	1607666.8	1606424.1	1679923.2	1390237.5	1451788.1	1311259.1	
sp|A0A8M9PQ61|DESPB_DANRE	A0A8M9PQ61	DESPB_DANRE	dspb	2207	Danio rerio	2:Experimental evidence at transcript level	Desmoplakin-B	1.0	0.999	62	791	772	791	151	154	128	119	131	108	148	150	124	118	127	105	151	154	128	119	131	108	2.98059776E8	2.48104832E8	3.013272E8	3.35496384E8	3.4832192E8	3.10864416E8	5.0476508E7	4.9912664E7	5.1016884E7	4.9529928E7	4.9229608E7	4.6122344E7	
sp|A0JMD0|CLU_DANRE	A0JMD0	CLU_DANRE	cluh	1400	Danio rerio	2:Experimental evidence at transcript level	Clustered mitochondria protein homolog	1.0	0.9987	12	70	70	70	23	20	23	0	2	2	23	20	23	0	2	2	23	20	23	0	2	2	3.5033888E7	3.2707674E7	3.44044E7	1.21526E7	1.1696381E7	1.1927708E7	1.2061394E7	1.2386404E7	1.1661111E7	5889963.5	5241628.0	5021168.5	
sp|A0JME2|MCAF1_DANRE	A0JME2	MCAF1_DANRE	atf7ip	815	Danio rerio	1:Experimental evidence at protein level	Activating transcription factor 7-interacting protein 1	0.9749	0.9911	1	2	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0.0	0.0	255913.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0JME6|ISOC2_DANRE	A0JME6	ISOC2_DANRE	isoc2	197	Danio rerio	2:Experimental evidence at transcript level	Isochorismatase domain-containing protein 2	1.0	0.9981	4	8	8	8	0	3	1	3	0	1	0	3	1	3	0	1	0	3	1	3	0	1	1895307.4	1906793.1	2362053.5	1870014.8	1561014.0	2070560.6	1895307.4	1906793.1	2362053.5	1870014.8	1561014.0	2070560.6	
sp|A0JMK5|MTMR2_DANRE	A0JMK5	MTMR2_DANRE	mtmr2	620	Danio rerio	2:Experimental evidence at transcript level	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2	1.0	0.9812	4	21	21	21	8	5	3	1	1	3	8	5	3	1	1	3	8	5	3	1	1	3	1.0460634E7	1.1719593E7	1.1440849E7	4.9209452E7	4.75291E7	4.7012848E7	6445745.5	7140747.0	1.2269675E7	4.1026596E7	3.558636E7	3.8801044E7	
sp|A0JMQ0|BOP1_DANRE	A0JMQ0	BOP1_DANRE	bop1	777	Danio rerio	2:Experimental evidence at transcript level	Ribosome biogenesis protein bop1	0.9999	0.999	2	49	49	49	5	7	11	9	8	9	5	7	11	9	8	9	5	7	11	9	8	9	4328868.5	4887720.0	5213419.0	4964444.5	5741794.5	4924389.0	2774824.8	3239750.8	3439293.8	3014976.5	3527848.2	2996028.2	
sp|A0MTA1|APEX1_DANRE	A0MTA1	APEX1_DANRE	apex1	310	Danio rerio	1:Experimental evidence at protein level	DNA repair nuclease APEX1	1.0	0.999	13	289	289	289	42	42	39	57	58	51	42	42	39	57	58	51	42	42	39	57	58	51	1.04607648E8	1.21783E8	1.20944504E8	1.55977104E8	1.43947216E8	1.40551088E8	2.4777286E7	2.8021352E7	2.696068E7	3.4806044E7	3.1645526E7	3.3388302E7	
sp|A0PJR5|ECHD3_DANRE	A0PJR5	ECHD3_DANRE	echdc3	289	Danio rerio	2:Experimental evidence at transcript level	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	0.9702	0.9967	1	4	4	4	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0	973799.0	999555.4	1176564.2	1239476.8	0.0	0.0	973799.0	999555.4	1176564.2	1239476.8	0.0	0.0	
sp|A1A5H6|CNOT1_DANRE	A1A5H6	CNOT1_DANRE	cnot1	2374	Danio rerio	2:Experimental evidence at transcript level	CCR4-NOT transcription complex subunit 1	1.0	0.999	33	407	407	407	75	67	70	62	67	66	75	67	70	62	67	66	75	67	70	62	67	66	1.04909984E8	1.08288024E8	1.07335808E8	9.7725336E7	9.727384E7	1.08592208E8	1.9169272E7	1.8512206E7	1.7850178E7	1.9024074E7	1.9501146E7	1.9351478E7	
sp|A1A5H8|YES_DANRE	A1A5H8	YES_DANRE	yes1	546	Danio rerio	1:Experimental evidence at protein level	Tyrosine-protein kinase yes	1.0	0.9989	13	110	43	110	13	19	15	24	23	16	5	8	7	9	9	5	13	19	15	24	23	16	7.0563832E7	7.4286408E7	7.2688824E7	8.0660472E7	7.7832048E7	7.9865816E7	2.980155E7	2.9047344E7	3.0196398E7	3.2840074E7	2.9932588E7	2.941676E7	
sp|A1A5V7|TM41B_DANRE	A1A5V7	TM41B_DANRE	tmem41b	282	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 41B	0.9928	0.9964	2	19	19	19	4	2	4	3	3	3	4	2	4	3	3	3	4	2	4	3	3	3	360194.28	626409.94	566042.8	164595.05	348592.75	314023.25	360194.28	475819.78	425004.94	164595.05	348592.75	314023.25	
sp|A1A5Y0|NELL2_DANRE	A1A5Y0	NELL2_DANRE	nell2a	811	Danio rerio	2:Experimental evidence at transcript level	Protein kinase C-binding protein NELL2a	1.0	0.9988	2	7	7	7	4	0	2	1	0	0	4	0	2	1	0	0	4	0	2	1	0	0	0.0	0.0	0.0	496224.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1A5Z3|EFTS_DANRE	A1A5Z3	EFTS_DANRE	tsfm	305	Danio rerio	2:Experimental evidence at transcript level	Elongation factor Ts, mitochondrial	1.0	0.999	4	19	19	19	7	3	6	1	1	1	7	3	6	1	1	1	7	3	6	1	1	1	1.014628E7	8689336.0	9395560.0	1.168559E7	8942846.0	1.059885E7	5590418.0	4891516.5	5345423.5	6609124.5	5068072.0	6024098.0	
sp|A1IH00|GOGA2_DANRE	A1IH00	GOGA2_DANRE	golga2	1028	Danio rerio	2:Experimental evidence at transcript level	Golgin subfamily A member 2	1.0	0.9912	8	11	11	11	0	1	3	3	2	2	0	1	3	3	2	2	0	1	3	3	2	2	4.0313432E7	4.0430676E7	4.295124E7	1269826.1	2.2903246E7	2.7237444E7	2.5194012E7	2.5267284E7	3.0828618E7	4.6671208E7	1.3812072E7	1.3947265E7	
sp|A1L1F1|NDUF3_DANRE	A1L1F1	NDUF3_DANRE	ndufaf3	174	Danio rerio	2:Experimental evidence at transcript level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	0.9922	0.9959	2	18	18	18	4	3	2	3	5	1	4	3	2	3	5	1	4	3	2	3	5	1	1000989.94	821223.1	3231426.5	1466442.8	1831459.4	1339689.6	1000989.94	821223.1	3231426.5	1466442.8	1831459.4	1339689.6	
sp|A1L1F4|PDS5A_DANRE	A1L1F4	PDS5A_DANRE	pds5a	1320	Danio rerio	2:Experimental evidence at transcript level	Sister chromatid cohesion protein PDS5 homolog A	1.0	0.999	29	271	271	271	22	36	31	58	65	59	22	36	31	58	65	59	22	36	31	58	65	59	2.0563928E8	1.94749584E8	1.91975072E8	1.23632336E8	1.25437976E8	1.20809024E8	2.6624392E7	2.575259E7	2.844327E7	5.0805384E7	5.1510056E7	4.8805056E7	
