Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	120h_1 Spectral Count	120h_10 Spectral Count	120h_11 Spectral Count	120h_12 Spectral Count	120h_2 Spectral Count	120h_3 Spectral Count	120h_4 Spectral Count	120h_5 Spectral Count	120h_6 Spectral Count	120h_7 Spectral Count	120h_8 Spectral Count	120h_9 Spectral Count	72h_1 Spectral Count	72h_10 Spectral Count	72h_11 Spectral Count	72h_12 Spectral Count	72h_2 Spectral Count	72h_3 Spectral Count	72h_4 Spectral Count	72h_5 Spectral Count	72h_6 Spectral Count	72h_7 Spectral Count	72h_8 Spectral Count	72h_9 Spectral Count	120h_1 Unique Spectral Count	120h_10 Unique Spectral Count	120h_11 Unique Spectral Count	120h_12 Unique Spectral Count	120h_2 Unique Spectral Count	120h_3 Unique Spectral Count	120h_4 Unique Spectral Count	120h_5 Unique Spectral Count	120h_6 Unique Spectral Count	120h_7 Unique Spectral Count	120h_8 Unique Spectral Count	120h_9 Unique Spectral Count	72h_1 Unique Spectral Count	72h_10 Unique Spectral Count	72h_11 Unique Spectral Count	72h_12 Unique Spectral Count	72h_2 Unique Spectral Count	72h_3 Unique Spectral Count	72h_4 Unique Spectral Count	72h_5 Unique Spectral Count	72h_6 Unique Spectral Count	72h_7 Unique Spectral Count	72h_8 Unique Spectral Count	72h_9 Unique Spectral Count	120h_1 Total Spectral Count	120h_10 Total Spectral Count	120h_11 Total Spectral Count	120h_12 Total Spectral Count	120h_2 Total Spectral Count	120h_3 Total Spectral Count	120h_4 Total Spectral Count	120h_5 Total Spectral Count	120h_6 Total Spectral Count	120h_7 Total Spectral Count	120h_8 Total Spectral Count	120h_9 Total Spectral Count	72h_1 Total Spectral Count	72h_10 Total Spectral Count	72h_11 Total Spectral Count	72h_12 Total Spectral Count	72h_2 Total Spectral Count	72h_3 Total Spectral Count	72h_4 Total Spectral Count	72h_5 Total Spectral Count	72h_6 Total Spectral Count	72h_7 Total Spectral Count	72h_8 Total Spectral Count	72h_9 Total Spectral Count	120h_1 Intensity	120h_10 Intensity	120h_11 Intensity	120h_12 Intensity	120h_2 Intensity	120h_3 Intensity	120h_4 Intensity	120h_5 Intensity	120h_6 Intensity	120h_7 Intensity	120h_8 Intensity	120h_9 Intensity	72h_1 Intensity	72h_10 Intensity	72h_11 Intensity	72h_12 Intensity	72h_2 Intensity	72h_3 Intensity	72h_4 Intensity	72h_5 Intensity	72h_6 Intensity	72h_7 Intensity	72h_8 Intensity	72h_9 Intensity	120h_1 MaxLFQ Intensity	120h_10 MaxLFQ Intensity	120h_11 MaxLFQ Intensity	120h_12 MaxLFQ Intensity	120h_2 MaxLFQ Intensity	120h_3 MaxLFQ Intensity	120h_4 MaxLFQ Intensity	120h_5 MaxLFQ Intensity	120h_6 MaxLFQ Intensity	120h_7 MaxLFQ Intensity	120h_8 MaxLFQ Intensity	120h_9 MaxLFQ Intensity	72h_1 MaxLFQ Intensity	72h_10 MaxLFQ Intensity	72h_11 MaxLFQ Intensity	72h_12 MaxLFQ Intensity	72h_2 MaxLFQ Intensity	72h_3 MaxLFQ Intensity	72h_4 MaxLFQ Intensity	72h_5 MaxLFQ Intensity	72h_6 MaxLFQ Intensity	72h_7 MaxLFQ Intensity	72h_8 MaxLFQ Intensity	72h_9 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q0P499|SYEM_DANRE	Q0P499	SYEM_DANRE	ears2	503	Danio rerio	2:Experimental evidence at transcript level	Nondiscriminating glutamyl-tRNA synthetase EARS2, mitochondrial	0.9963	0.9989	2	11	11	11	0	0	0	0	2	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0.0	7525969.0	0.0	1.1777687E7	2502122.2	0.0	0.0	4661172.5	0.0	0.0	5251923.5	0.0	5887239.0	5553673.5	0.0	0.0	4677146.5	5918109.0	3.076804E7	6687707.0	0.0	7143973.5	3086420.2	5419052.5	0.0	8182340.5	0.0	1.2804868E7	2720342.8	0.0	0.0	5067693.0	0.0	0.0	5709966.0	0.0	6400690.0	6038032.5	0.0	0.0	5085060.0	6434252.0	7919349.5	7270970.0	0.0	7767029.5	3355600.0	5891671.0	
sp|Q0P4A4|NAT14_DANRE	Q0P4A4	NAT14_DANRE	nat14	280	Danio rerio	2:Experimental evidence at transcript level	Probable N-acetyltransferase 14	0.977	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1100365.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q0P4A6|TSSC4_DANRE	Q0P4A6	TSSC4_DANRE	tssc4	306	Danio rerio	2:Experimental evidence at transcript level	U5 small nuclear ribonucleoprotein TSSC4	1.0	0.999	5	64	64	64	2	3	1	3	2	3	1	2	3	3	3	4	3	3	2	1	3	2	3	2	4	4	4	3	2	3	1	3	2	3	1	2	3	3	3	4	3	3	2	1	3	2	3	2	4	4	4	3	2	3	1	3	2	3	1	2	3	3	3	4	3	3	2	1	3	2	3	2	4	4	4	3	4.0033016E7	5.8497288E7	4.7666904E7	3.4195436E7	3.8964456E7	4.1012008E7	2.3478268E7	4.608034E7	9.1731568E7	4.34438E7	7.5843616E7	7.0807456E7	3.225765E7	4.2362472E7	2.3682016E7	1.2919374E7	3.4134644E7	5.8045304E7	4.7474412E7	1.5507986E7	2.19206464E8	5.4220888E7	5.8096528E7	8.0701312E7	3.0279986E7	3.17792E7	2.8374558E7	2.6243894E7	2.4640434E7	3.2852126E7	1.698069E7	2.4157968E7	4.6323496E7	2.8238126E7	3.8560812E7	3.6842796E7	1.8367356E7	1.0715487E7	1.362221E7	8703833.0	1.90823E7	2.0366342E7	1.4946748E7	1.2565969E7	9.6589784E7	2.0747344E7	2.1019942E7	2.845283E7	
sp|Q0P4A7|SNP47_DANRE	Q0P4A7	SNP47_DANRE	snap47	419	Danio rerio	2:Experimental evidence at transcript level	Synaptosomal-associated protein 47	0.9334	0.9969	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	743137.94	1033418.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	743137.94	1033418.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q0P4B9|MCRI1_DANRE	Q0P4B9	MCRI1_DANRE	mcrip1	97	Danio rerio	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1	0.8556	0.9959	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3624225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q0P4F7|ACSF2_DANRE	Q0P4F7	ACSF2_DANRE	acsf2	606	Danio rerio	2:Experimental evidence at transcript level	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	1.0	0.999	18	154	154	154	7	5	3	4	10	8	3	5	3	7	5	7	10	9	6	4	7	4	7	8	0	9	10	13	7	5	3	4	10	8	3	5	3	7	5	7	10	9	6	4	7	4	7	8	0	9	10	13	7	5	3	4	10	8	3	5	3	7	5	7	10	9	6	4	7	4	7	8	0	9	10	13	1.79405488E8	1.78601024E8	1.44494048E8	1.48528976E8	1.53378816E8	1.80187872E8	1.982392E8	1.76526448E8	1.53955072E8	3.14602112E8	2.08967584E8	2.45896976E8	1.13021328E8	1.46889088E8	8.6379264E7	1.1328392E8	9.1042696E7	1.2665816E8	9.3957536E7	1.04431504E8	4.4042168E7	1.26984624E8	1.65585408E8	1.4938304E8	4.0625312E7	3.8081052E7	3.4585112E7	3.4605964E7	2.964286E7	3.63944E7	3.6629796E7	3.802436E7	3.6787284E7	5.6254484E7	4.942172E7	4.8830504E7	2.2941268E7	2.1182654E7	1.705649E7	2.0442648E7	2.14414E7	2.2022886E7	2.0213366E7	2.203325E7	1.6314477E7	2.4092632E7	2.9025072E7	2.683941E7	
sp|Q0V947|T161A_DANRE	Q0V947	T161A_DANRE	tmem161a	495	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 161A	1.0	0.999	5	71	71	71	4	2	1	3	2	3	2	3	4	4	2	2	2	5	4	5	2	2	4	4	1	3	4	3	4	2	1	3	2	3	2	3	4	4	2	2	2	5	4	5	2	2	4	4	1	3	4	3	4	2	1	3	2	3	2	3	4	4	2	2	2	5	4	5	2	2	4	4	1	3	4	3	5.6032368E7	3.1755462E7	5.809792E7	5.9847272E7	2.4795424E7	5.931314E7	4.0787184E7	5.853442E7	3.3802296E7	4.8238984E7	5.2488468E7	4.2630656E7	6.5272056E7	9.4085744E7	1.09350944E8	7.7049336E7	6.482756E7	4.9568712E7	9.4376912E7	8.6358184E7	5.071426E9	4.046278E7	4.4463736E7	4.6762996E7	2.6915956E7	2.4200248E7	3.236963E7	3.0163216E7	3.3918084E7	3.1831724E7	1.7763052E7	2.6496826E7	3.0399238E7	2.177374E7	2.2973792E7	2.2528556E7	2.9077592E7	4.6502032E7	5.0045348E7	3.5636424E7	2.8641104E7	2.6517506E7	4.3905884E7	3.522598E7	3.0553872E8	2.2753352E7	2.06043E7	2.73661E7	
sp|Q0VFV6|SELS_DANRE	Q0VFV6	SELS_DANRE	vimp	190	Danio rerio	2:Experimental evidence at transcript level	Selenoprotein S	1.0	0.999	2	20	20	20	1	1	0	0	2	0	0	0	1	0	0	0	2	1	2	0	1	2	1	0	0	4	1	1	1	1	0	0	2	0	0	0	1	0	0	0	2	1	2	0	1	2	1	0	0	4	1	1	1	1	0	0	2	0	0	0	1	0	0	0	2	1	2	0	1	2	1	0	0	4	1	1	7105383.0	7608141.5	0.0	0.0	6905675.0	1.0849366E7	5398687.0	9558786.0	1.1965572E7	6570429.5	9822190.0	6502382.0	8824464.0	1.1977423E7	1.12542E7	6151111.0	7684339.0	1.1710671E7	4099513.5	5207646.5	0.0	1.1211906E7	1.0480958E7	0.0	5843343.0	7729489.5	0.0	0.0	5670844.0	1.102241E7	5484794.5	9711246.0	1.215642E7	6675226.0	9978851.0	6606093.5	7263505.5	6424064.0	5690737.0	5072928.0	6326678.5	5860412.5	4164899.8	5290707.0	0.0	4834911.5	5076043.5	0.0	
sp|Q0VIA1|MED10_DANRE	Q0VIA1	MED10_DANRE	med10	134	Danio rerio	2:Experimental evidence at transcript level	Mediator of RNA polymerase II transcription subunit 10	0.9773	0.999	1	5	5	5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1489086.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q0VIL3|OTOMP_DANRE	Q0VIL3	OTOMP_DANRE	otomp	371	Danio rerio	2:Experimental evidence at transcript level	Otolith matrix protein 1	1.0	0.999	11	156	156	156	9	12	13	10	6	6	3	5	7	12	15	14	2	3	1	3	3	9	1	3	5	7	2	5	9	12	13	10	6	6	3	5	7	12	15	14	2	3	1	3	3	9	1	3	5	7	2	5	9	12	13	10	6	6	3	5	7	12	15	14	2	3	1	3	3	9	1	3	5	7	2	5	5.20360544E8	1.58914906E9	1.5405975E9	4.0382272E8	3.22788448E8	6.9961008E7	9.5312064E7	8.6832192E7	7.1896032E8	9.4481754E8	1.60410368E9	1.41388339E9	5.6015568E7	2.89684E7	8321682.5	3.3743264E7	7.6644664E7	2.91550176E8	2.2614184E7	7.4056192E7	2.85006624E8	8.965416E7	3.5819064E7	9.6584192E7	1.00267664E8	2.63678384E8	2.64154928E8	7.2930952E7	5.7197028E7	1.8422746E7	2.3804756E7	2.1718592E7	1.32679792E8	1.66849872E8	2.718704E8	2.37848432E8	1.363288E7	1.0708355E7	8215920.0	7737899.0	1.7342142E7	6.5552148E7	7984543.0	1.914532E7	6.7439224E7	2.1988596E7	1.1908004E7	2.2233894E7	
sp|Q155U0|VPS51_DANRE	Q155U0	VPS51_DANRE	vps51	827	Danio rerio	2:Experimental evidence at transcript level	Vacuolar protein sorting-associated protein 51 homolog	1.0	0.999	6	55	55	55	3	4	2	4	3	2	2	3	3	0	2	2	3	3	1	2	4	3	1	1	0	3	2	2	3	4	2	4	3	2	2	3	3	0	2	2	3	3	1	2	4	3	1	1	0	3	2	2	3	4	2	4	3	2	2	3	3	0	2	2	3	3	1	2	4	3	1	1	0	3	2	2	1.217054E7	1.26504E7	4117291.2	7612176.5	1.6020826E7	1.3427813E7	1.0139649E7	7539200.0	4549060.5	2532256.0	3061300.5	5563799.0	1.1718128E7	4714477.5	2893634.0	3930364.0	1.2462422E7	7367982.0	3667343.0	6228760.0	0.0	8465952.0	9535242.0	1.0129649E7	5469914.0	4180334.5	4244091.5	4623690.5	5928168.5	4400432.5	3031240.2	3381061.0	1968986.0	5525561.0	3155579.2	3349663.5	4936403.5	2714809.5	2982749.2	2060503.4	3707965.5	2868647.8	2814605.8	2441160.2	0.0	2643123.8	3258067.5	4017129.0	
sp|Q1ECW6|LEGL_DANRE	Q1ECW6	LEGL_DANRE	lgalsl	164	Danio rerio	2:Experimental evidence at transcript level	Galectin-related protein	0.808	0.9942	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1ECX4|TLK2_DANRE	Q1ECX4	TLK2_DANRE	tlk2	697	Danio rerio	2:Experimental evidence at transcript level	Serine/threonine-protein kinase tousled-like 2	0.9818	0.9823	6	3	3	29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	3	3	1	1	3	2	1	1	0	3	4	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1090158.8	0.0	933472.56	0.0	0.0	0.0	737497.0	0.0	2283658.0	0.0	1910546.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1090158.8	0.0	933472.56	0.0	0.0	0.0	737497.0	0.0	2283658.0	0.0	1910546.1	
sp|Q1ECZ2|KEP1A_DANRE	Q1ECZ2	KEP1A_DANRE	keap1a	601	Danio rerio	1:Experimental evidence at protein level	Kelch-like ECH-associated protein 1A	0.9835	0.9787	2	4	4	4	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	2949168.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1ECZ4|CASC3_DANRE	Q1ECZ4	CASC3_DANRE	casc3	754	Danio rerio	1:Experimental evidence at protein level	Protein CASC3	1.0	0.999	6	25	25	25	1	0	0	0	0	2	0	0	0	1	1	1	1	2	1	1	0	3	2	1	2	3	1	2	1	0	0	0	0	2	0	0	0	1	1	1	1	2	1	1	0	3	2	1	2	3	1	2	1	0	0	0	0	2	0	0	0	1	1	1	1	2	1	1	0	3	2	1	2	3	1	2	1849271.9	0.0	0.0	0.0	1177686.0	0.0	0.0	0.0	0.0	2693775.5	3885921.8	3328960.0	0.0	1305916.9	2419498.2	882893.56	2521092.0	2983802.2	1516345.4	0.0	0.0	3103340.0	2451683.2	2959480.5	1834115.8	0.0	0.0	0.0	1168034.0	0.0	0.0	0.0	0.0	2671698.0	3854073.8	3301676.8	0.0	1295214.0	2399668.8	1691545.5	1399355.5	2959348.0	1503917.9	0.0	0.0	2200992.5	2431590.0	2935225.5	
sp|Q1ED21|NR2CA_DANRE	Q1ED21	NR2CA_DANRE	nr2c2ap	141	Danio rerio	2:Experimental evidence at transcript level	Nuclear receptor 2C2-associated protein	0.9688	0.9986	1	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1142952.1	0.0	1670099.4	0.0	586391.44	623747.56	0.0	0.0	666271.3	1057486.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1142952.1	0.0	1670099.4	0.0	586391.44	623747.56	0.0	0.0	666271.3	1057486.1	0.0	
sp|Q1JPX3|SYFA_DANRE	Q1JPX3	SYFA_DANRE	farsa	497	Danio rerio	2:Experimental evidence at transcript level	Phenylalanine--tRNA ligase alpha subunit	1.0	0.999	12	205	205	205	8	7	3	8	6	6	6	7	9	7	9	9	10	10	13	8	10	10	12	13	4	9	10	11	8	7	3	8	6	6	6	7	9	7	9	9	10	10	13	8	10	10	12	13	4	9	10	11	8	7	3	8	6	6	6	7	9	7	9	9	10	10	13	8	10	10	12	13	4	9	10	11	1.74546432E8	1.63007792E8	1.24255456E8	1.23166392E8	2.18310624E8	1.71872928E8	1.4157416E8	1.67368896E8	1.8062208E8	1.53511616E8	1.63869296E8	1.72518688E8	2.92720992E8	2.720536E8	2.59787824E8	2.50381632E8	2.84291744E8	2.78458592E8	2.72713984E8	2.83179424E8	1.80979424E8	2.79861856E8	2.8604288E8	2.85796608E8	4.894192E7	4.4105488E7	3.9519188E7	4.0291256E7	4.9545636E7	4.6901364E7	4.2516792E7	4.6502752E7	4.8677184E7	4.4645024E7	4.1068116E7	4.641468E7	5.4424508E7	4.8993188E7	4.8039552E7	4.6022424E7	5.3342756E7	5.2121064E7	4.912962E7	5.2387936E7	3.971722E7	5.2583664E7	5.2142356E7	5.2918348E7	
sp|Q1JPY5|CYP51_DANRE	Q1JPY5	CYP51_DANRE	cyp51	499	Danio rerio	1:Experimental evidence at protein level	Lanosterol 14-alpha demethylase	0.9999	0.9974	3	6	6	6	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4165961.2	1748077.0	0.0	1.1105732E7	0.0	3107667.8	0.0	4260703.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5688041.5	2386756.2	0.0	2639446.8	0.0	4243088.5	0.0	5817398.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1JPY8|PSPC1_DANRE	Q1JPY8	PSPC1_DANRE	pspc1	512	Danio rerio	2:Experimental evidence at transcript level	Paraspeckle component 1	1.0	0.999	9	170	170	170	8	7	2	5	6	9	6	5	9	7	4	8	13	7	5	5	8	10	9	7	2	12	7	9	8	7	2	5	6	9	6	5	9	7	4	8	13	7	5	5	8	10	9	7	2	12	7	9	8	7	2	5	6	9	6	5	9	7	4	8	13	7	5	5	8	10	9	7	2	12	7	9	4.87043936E8	4.7961088E8	4.58647456E8	4.49246208E8	4.45480608E8	5.03873856E8	4.2149584E8	4.51412672E8	4.58114976E8	4.91809312E8	4.48433856E8	4.76080192E8	5.7265946E8	5.7669293E8	5.7843002E8	5.4215072E8	6.1927968E8	6.4428819E8	5.4847021E8	5.21007904E8	6.3871418E8	6.1197766E8	6.290695E8	6.5125722E8	4.79601728E8	3.735912E8	3.92274624E8	4.07187008E8	4.83910368E8	4.87823392E8	4.21956448E8	4.3518768E8	4.16505344E8	4.777264E8	3.96966016E8	4.42298144E8	5.5811174E8	4.46393024E8	4.08627296E8	4.41716512E8	5.7855059E8	6.2953261E8	4.8894896E8	4.63434848E8	4.30077088E8	5.700249E8	6.1421517E8	5.845664E8	
sp|Q1JPZ3|SRC_DANRE	Q1JPZ3	SRC_DANRE	src	534	Danio rerio	1:Experimental evidence at protein level	Proto-oncogene tyrosine-protein kinase Src	1.0	0.999	7	30	30	85	2	1	2	2	2	1	2	1	0	1	0	1	2	1	0	0	2	3	1	1	0	2	1	2	2	1	2	2	2	1	2	1	0	1	0	1	2	1	0	0	2	3	1	1	0	2	1	2	4	3	5	4	4	3	4	4	3	3	2	3	4	3	1	3	5	6	4	4	0	6	3	4	8999957.0	9001056.0	8054285.0	2993302.8	1.3029276E7	8861683.0	2.3068506E7	5207766.5	7143761.5	6518251.0	9047487.0	8806836.0	1.3416172E7	5965802.0	6786315.0	6446060.0	1.1506949E7	1.0686014E7	8745817.0	8020971.5	0.0	1.3765455E7	8551836.0	1.4836393E7	9762421.0	9763613.0	8736633.0	3246891.2	9844971.0	9612432.0	6580031.0	5648961.0	7748971.0	7070468.0	9813977.0	9552939.0	9869327.0	3530761.5	5681915.0	3617913.5	8466343.0	5566693.0	3856406.5	3775160.5	0.0	4974839.0	4567256.5	4683776.0	
sp|Q1JPZ7|PRP39_DANRE	Q1JPZ7	PRP39_DANRE	prpf39	752	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-processing factor 39	1.0	0.999	24	394	394	394	13	12	13	16	17	12	14	15	11	10	6	11	23	25	27	24	22	19	17	23	5	16	21	22	13	12	13	16	17	12	14	15	11	10	6	11	23	25	27	24	22	19	17	23	5	16	21	22	13	12	13	16	17	12	14	15	11	10	6	11	23	25	27	24	22	19	17	23	5	16	21	22	5.7914099E8	5.5806157E8	6.0863923E8	6.1291277E8	5.22835776E8	5.6949498E8	6.1806483E8	6.3596301E8	7.1192832E8	4.95918144E8	4.29082016E8	5.7741037E8	6.7886061E8	1.01935219E9	8.7583539E8	7.6600115E8	8.4727142E8	6.3695002E8	8.1310573E8	7.3914387E8	5.5272173E8	8.5197037E8	6.2855821E8	5.9415981E8	1.06586688E8	1.12160008E8	1.11592944E8	1.10539808E8	1.07095528E8	1.03895856E8	1.0713844E8	1.02963096E8	1.10067408E8	1.02996424E8	1.00807056E8	1.03815488E8	1.24056464E8	1.387616E8	1.31308752E8	1.4125296E8	1.21863056E8	1.14044064E8	1.34186344E8	1.29004704E8	1.10116392E8	1.20361312E8	1.21419624E8	1.23109384E8	
sp|Q1L673|VDRB_DANRE	Q1L673	VDRB_DANRE	vdrb	422	Danio rerio	2:Experimental evidence at transcript level	Vitamin D3 receptor B	0.925	0.9982	2	6	5	6	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	1917111.2	0.0	2178175.5	222687.12	0.0	0.0	548086.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1917111.2	0.0	2178175.5	222687.12	0.0	0.0	548086.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1L8F4|T178B_DANRE	Q1L8F4	T178B_DANRE	tmem178b	294	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 178B	0.9602	0.999	1	11	11	11	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	7620735.5	3151991.8	0.0	0.0	0.0	1.0527342E7	0.0	5491177.0	2622574.0	7963666.0	0.0	7898705.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7620735.5	3151991.8	0.0	0.0	0.0	1.0527342E7	0.0	5491177.0	2622574.0	7963666.0	0.0	7898705.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
