Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	24hpf_FT1_1 Spectral Count	24hpf_FT1_2 Spectral Count	24hpf_FT1_3 Spectral Count	24hpf_pH11_1 Spectral Count	24hpf_pH11_2 Spectral Count	24hpf_pH11_3 Spectral Count	24hpf_pH2_1 Spectral Count	24hpf_pH2_2 Spectral Count	24hpf_pH2_3 Spectral Count	24hpf_pH5_1 Spectral Count	24hpf_pH5_2 Spectral Count	24hpf_pH5_3 Spectral Count	24hpf_pH8_1 Spectral Count	24hpf_pH8_2 Spectral Count	24hpf_pH8_3 Spectral Count	24hpf_FT1_1 Unique Spectral Count	24hpf_FT1_2 Unique Spectral Count	24hpf_FT1_3 Unique Spectral Count	24hpf_pH11_1 Unique Spectral Count	24hpf_pH11_2 Unique Spectral Count	24hpf_pH11_3 Unique Spectral Count	24hpf_pH2_1 Unique Spectral Count	24hpf_pH2_2 Unique Spectral Count	24hpf_pH2_3 Unique Spectral Count	24hpf_pH5_1 Unique Spectral Count	24hpf_pH5_2 Unique Spectral Count	24hpf_pH5_3 Unique Spectral Count	24hpf_pH8_1 Unique Spectral Count	24hpf_pH8_2 Unique Spectral Count	24hpf_pH8_3 Unique Spectral Count	24hpf_FT1_1 Total Spectral Count	24hpf_FT1_2 Total Spectral Count	24hpf_FT1_3 Total Spectral Count	24hpf_pH11_1 Total Spectral Count	24hpf_pH11_2 Total Spectral Count	24hpf_pH11_3 Total Spectral Count	24hpf_pH2_1 Total Spectral Count	24hpf_pH2_2 Total Spectral Count	24hpf_pH2_3 Total Spectral Count	24hpf_pH5_1 Total Spectral Count	24hpf_pH5_2 Total Spectral Count	24hpf_pH5_3 Total Spectral Count	24hpf_pH8_1 Total Spectral Count	24hpf_pH8_2 Total Spectral Count	24hpf_pH8_3 Total Spectral Count	24hpf_FT1_1 Intensity	24hpf_FT1_2 Intensity	24hpf_FT1_3 Intensity	24hpf_pH11_1 Intensity	24hpf_pH11_2 Intensity	24hpf_pH11_3 Intensity	24hpf_pH2_1 Intensity	24hpf_pH2_2 Intensity	24hpf_pH2_3 Intensity	24hpf_pH5_1 Intensity	24hpf_pH5_2 Intensity	24hpf_pH5_3 Intensity	24hpf_pH8_1 Intensity	24hpf_pH8_2 Intensity	24hpf_pH8_3 Intensity	24hpf_FT1_1 MaxLFQ Intensity	24hpf_FT1_2 MaxLFQ Intensity	24hpf_FT1_3 MaxLFQ Intensity	24hpf_pH11_1 MaxLFQ Intensity	24hpf_pH11_2 MaxLFQ Intensity	24hpf_pH11_3 MaxLFQ Intensity	24hpf_pH2_1 MaxLFQ Intensity	24hpf_pH2_2 MaxLFQ Intensity	24hpf_pH2_3 MaxLFQ Intensity	24hpf_pH5_1 MaxLFQ Intensity	24hpf_pH5_2 MaxLFQ Intensity	24hpf_pH5_3 MaxLFQ Intensity	24hpf_pH8_1 MaxLFQ Intensity	24hpf_pH8_2 MaxLFQ Intensity	24hpf_pH8_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	8	227	227	227	8	4	6	8	4	4	46	54	46	20	9	7	4	4	3	8	4	6	8	4	4	46	54	46	20	9	7	4	4	3	8	4	6	8	4	4	46	54	46	20	9	7	4	4	3	3.4973904E8	1.84121408E8	4.49920352E8	1.5539552E8	1.05815368E8	6.72348E7	1.31615222E10	2.27738583E10	8.6530181E9	2.28779008E9	1.6386616E8	1.10300792E8	1.83637216E8	5.4121408E7	8.1675376E7	1.76795952E8	1.26515712E8	1.41054928E8	1.55737056E8	3.850716E7	1.51004448E8	2.73776666E9	4.9985981E9	8.7114259E8	1.01244375E10	1.20368976E8	8.5419696E7	2.35347136E8	3.9860188E7	1.33629216E8	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	0.9971	0.9976	4	1	1	74	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	9	7	4	4	4	11	7	10	1	1	1	1	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3419655.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00921|CAH2_BOVIN	P00921	CAH2_BOVIN	CA2	260	Bos taurus	1:Experimental evidence at protein level	Carbonic anhydrase 2	0.5495	0.9698	1	6	6	6	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	4.3766932E7	0.0	0.0	0.0	1.32669128E8	6.1377252E7	5.617314E7	1.51610704E8	1.1325468E8	6.077978E7	0.0	0.0	0.0	0.0	0.0	4.3766932E7	0.0	0.0	0.0	1.32669128E8	6.1377252E7	5.617314E7	1.51610704E8	1.1325468E8	6.077978E7	
contam_sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	Homo sapiens	1:Experimental evidence at protein level	GTPase HRas	1.0	0.999	8	38	12	38	1	2	1	1	3	1	5	5	3	2	2	3	4	2	3	0	1	0	0	2	1	0	0	0	0	1	2	2	1	2	1	2	1	1	3	1	5	5	3	2	2	3	4	2	3	1.1979314E7	7448322.0	4729302.0	1208858.9	2.964055E7	261793.42	8.2222248E7	3.056344E8	3.50859232E8	3.7982096E7	1.4596195E7	1.2961161E7	2.9300472E7	3.4257584E7	2.4204948E7	2.1390064E7	1.2501093E7	8444563.0	390221.22	2.7737112E7	693768.75	2.1509742E7	3.126501E7	5.3749196E7	2.7274934E7	2.6062724E7	1.6656925E7	5.2318436E7	3.95754E7	3.1030498E7	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	1.0	0.999	4	37	37	37	4	4	2	2	3	3	2	2	3	4	2	2	0	2	2	4	4	2	2	3	3	2	2	3	4	2	2	0	2	2	4	4	2	2	3	3	2	2	3	4	2	2	0	2	2	5.879408E7	1.5966681E7	5785835.0	1.02671544E8	5.6733284E7	1.5541383E7	1.21141478E9	2.22557491E9	7.7506867E8	5.2817952E8	7.7284384E7	2.3658468E7	0.0	9.60848E7	6.6055596E7	4.8923184E7	1.8132776E7	1.4785448E7	1.18468816E8	1.12178024E8	3.0729786E7	2.27689184E8	6.8911482E8	5117612.0	5.4107418E8	7.917116E7	1.7829034E7	0.0	1.1273952E8	7.73206E7	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	1.0	0.9989	7	35	35	35	2	2	4	3	4	4	0	2	1	0	2	2	1	5	3	2	2	4	3	4	4	0	2	1	0	2	2	1	5	3	2	2	4	3	4	4	0	2	1	0	2	2	1	5	3	3.5018616E7	0.0	611402.7	4.5075468E7	5.136826E7	3.4420084E7	0.0	4.311498E7	4.314008E7	0.0	2.4208554E7	1.4732154E7	5.020474E7	8.2926384E7	5.3419408E7	1.2076871E7	0.0	5799328.0	3.6967024E7	2.5431816E7	1.1659423E7	0.0	4.9881896E7	4.9910936E7	0.0	2.889326E7	1.6767959E7	4.1173612E7	3.73468E7	1.5868757E7	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	1.0	0.999	3	15	15	15	1	0	0	3	2	2	1	2	4	0	0	0	0	0	0	1	0	0	3	2	2	1	2	4	0	0	0	0	0	0	1	0	0	3	2	2	1	2	4	0	0	0	0	0	0	0.0	0.0	0.0	1.0094663E7	4793656.0	3162582.5	9545255.0	3.1321976E7	2.5161284E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0779952E7	5119079.5	3377278.5	1.0193247E7	1.5655177E7	1.1180026E7	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus	1:Experimental evidence at protein level	Kappa-casein	1.0	0.999	3	20	20	20	2	2	1	2	0	0	0	1	1	3	4	3	1	0	0	2	2	1	2	0	0	0	1	1	3	4	3	1	0	0	2	2	1	2	0	0	0	1	1	3	4	3	1	0	0	1.6985312E7	1.5454649E7	4930904.5	536336.2	0.0	0.0	0.0	8595406.0	0.0	5011163.5	9.0174168E7	6.7188056E7	1.51413024E8	0.0	0.0	9898939.0	9128724.0	3256768.5	2818707.8	0.0	0.0	0.0	6488305.5	0.0	3.5888684E7	6.7525952E7	5.07174E7	9.0619176E7	0.0	0.0	
contam_sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	Homo sapiens	1:Experimental evidence at protein level	Albumin	1.0	0.9989	17	48	38	48	6	0	0	11	1	1	9	0	0	6	1	2	10	0	1	3	0	0	7	1	1	9	0	0	6	1	2	7	0	1	6	0	0	11	1	1	9	0	0	6	1	2	10	0	1	1.2422848E7	0.0	0.0	1.44434288E8	4639172.0	640332.06	2.83237216E8	0.0	0.0	2.81964E8	8881498.0	2.5384416E7	3.13161088E8	0.0	2.6386292E7	1.4584966E7	0.0	0.0	6.5911724E7	7114130.0	4887828.5	1.2978268E7	0.0	0.0	9.1234224E7	1.1464404E7	2.1010496E7	1.01707728E8	0.0	4.091582E7	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.9937	7	5	5	15	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	3	0	0	4	1	1	0	0	0	1	0	0	4	1	0	0.0	0.0	0.0	0.0	48702.11	0.0	0.0	0.0	0.0	1.8544524E7	0.0	0.0	2199315.8	5695273.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8544524E7	0.0	0.0	0.0	5695273.5	0.0	
contam_sp|P02787|TRFE_HUMAN	P02787	TRFE_HUMAN	TF	698	Homo sapiens	1:Experimental evidence at protein level	Serotransferrin	1.0	0.9989	7	7	7	7	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	5949691.5	0.0	0.0	2301505.5	0.0	0.0	9.3689488E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02788|TRFL_HUMAN	P02788	TRFL_HUMAN	LTF	710	Homo sapiens	1:Experimental evidence at protein level	Lactotransferrin	0.9932	0.9781	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	1.0	0.9988	7	22	22	66	2	4	3	2	3	2	2	1	0	0	1	1	0	0	1	2	4	3	2	3	2	2	1	0	0	1	1	0	0	1	2	4	4	7	5	5	11	7	5	2	2	3	2	3	4	3.0495164E7	5.6334416E7	4.4196676E7	6.055668E7	2.6045548E7	1.9582608E7	0.0	0.0	0.0	0.0	0.0	4502681.0	0.0	0.0	0.0	8150206.0	3.7851656E7	3.0636928E7	4.6941384E7	2.0077496E7	1.4592015E7	0.0	0.0	0.0	0.0	0.0	5786023.0	0.0	0.0	0.0	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.999	53	829	726	829	88	29	30	123	40	40	91	35	32	80	37	45	90	30	39	72	23	24	115	33	35	81	32	28	72	31	38	82	26	34	88	29	30	123	40	40	91	35	32	80	37	45	90	30	39	3.12635494E9	3.3802592E8	3.31685952E8	8.6254469E9	5.1181168E8	4.75086816E8	1.63780127E10	7.0901203E8	5.894336E8	7.2664228E9	5.8857434E8	4.9449424E8	7.0447698E9	6.6380666E8	6.0152307E8	5.27539488E8	2.21120784E8	1.54324112E8	1.27322419E9	1.31170608E8	1.22689832E8	2.95707936E8	9.4268016E7	5.9591744E7	1.11944499E9	2.19702864E8	1.25430776E8	1.01556896E9	1.94047744E8	1.42425392E8	
contam_sp|P05413|FABPH_HUMAN	P05413	FABPH_HUMAN	FABP3	133	Homo sapiens	1:Experimental evidence at protein level	Fatty acid-binding protein, heart	0.9998	0.9889	3	8	8	8	2	1	1	0	1	1	0	1	0	0	0	0	0	1	0	2	1	1	0	1	1	0	1	0	0	0	0	0	1	0	2	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1.01231872E8	1.3551763E7	6192699.5	0.0	6799411.5	8031562.5	0.0	6032546.0	0.0	0.0	0.0	0.0	0.0	2.7118316E7	0.0	1.01231872E8	1.3551763E7	6192699.5	0.0	6799411.5	8031562.5	0.0	6032546.0	0.0	0.0	0.0	0.0	0.0	2.7118316E7	0.0	
contam_sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin	0.9888	0.995	3	4	4	4	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1183489.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	1.0	0.999	12	167	167	167	13	10	7	23	24	19	6	5	6	10	7	7	12	10	8	13	10	7	23	24	19	6	5	6	10	7	7	12	10	8	13	10	7	23	24	19	6	5	6	10	7	7	12	10	8	2.09088288E8	1.59284528E8	4.948218E7	6.8655949E8	4.78310176E8	3.9286928E8	4.6197632E8	1.03900813E9	9.8654106E8	8.4337184E8	3.39672512E8	3.260928E8	9.8677472E8	4.98753664E8	2.88536064E8	1.03744288E8	9.786112E7	5.7172896E7	3.25164896E8	1.82537248E8	1.12070608E8	2.87965728E8	2.34860736E8	1.46668272E8	5.13232192E8	1.7249032E8	1.00412344E8	3.80135584E8	1.87143264E8	9.967564E7	
contam_sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens	1:Experimental evidence at protein level	Cathepsin D	1.0	0.9985	8	24	24	24	0	0	0	2	2	1	0	3	0	3	3	4	4	2	0	0	0	0	2	2	1	0	3	0	3	3	4	4	2	0	0	0	0	2	2	1	0	3	0	3	3	4	4	2	0	0.0	0.0	0.0	1.3223797E7	9557112.0	0.0	0.0	2.3379218E7	0.0	1.47511616E8	4.7944556E7	5.0626476E7	5.8447364E7	3.7363236E7	6661540.5	0.0	0.0	0.0	1.5578736E7	6244707.5	0.0	0.0	2.20227712E8	0.0	1.29588616E8	2.3720648E7	2.8511782E7	1.9781136E7	9893557.0	9593196.0	
contam_sp|P09211|GSTP1_HUMAN	P09211	GSTP1_HUMAN	GSTP1	210	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase P	0.9984	0.9978	2	3	3	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2965375.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	1.0	0.9988	3	3	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2639315.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
