Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	WT Spectral Count	vtg1_KO Spectral Count	vtg3_KO Spectral Count	WT Unique Spectral Count	vtg1_KO Unique Spectral Count	vtg3_KO Unique Spectral Count	WT Total Spectral Count	vtg1_KO Total Spectral Count	vtg3_KO Total Spectral Count	WT Intensity	vtg1_KO Intensity	vtg3_KO Intensity	WT MaxLFQ Intensity	vtg1_KO MaxLFQ Intensity	vtg3_KO MaxLFQ Intensity	Indistinguishable Proteins
sp|Q1LX29|TERB1_DANRE	Q1LX29	TERB1_DANRE	ccdc79	814	Danio rerio	3:Protein inferred from homology	Telomere repeats-binding bouquet formation protein 1	0.6357	0.7676	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	2.10569968E8	0.0	0.0	0.0	0.0	
sp|Q1MTI4|TPISA_DANRE	Q1MTI4	TPISA_DANRE	tpi1a	248	Danio rerio	2:Experimental evidence at transcript level	Triosephosphate isomerase A	0.9796	0.9891	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	2.23478736E8	0.0	0.0	0.0	
sp|Q5XJ10|G3P_DANRE	Q5XJ10	G3P_DANRE	gapdh	333	Danio rerio	2:Experimental evidence at transcript level	Glyceraldehyde-3-phosphate dehydrogenase	1.0	0.9891	6	12	12	12	1	5	6	1	5	6	1	5	6	4.3657104E7	2.01560397E9	6.9595643E9	3.24410752E8	7.4901126E8	9.6722541E8	
sp|Q6DGZ0|GPT11_DANRE	Q6DGZ0	GPT11_DANRE	gpatch11	262	Danio rerio	2:Experimental evidence at transcript level	G patch domain-containing protein 11	0.9796	0.9891	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6P132|TXB1B_DANRE	Q6P132	TXB1B_DANRE	tax1bp1b	823	Danio rerio	2:Experimental evidence at transcript level	Tax1-binding protein 1 homolog B	0.9796	0.9891	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6PE25|EF1G_DANRE	Q6PE25	EF1G_DANRE	eef1g	442	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-gamma	0.5512	0.6992	1	1	1	1	1	0	0	1	0	0	1	0	0	2.2331352E7	0.0	0.0	0.0	0.0	0.0	
sp|Q7SXG4|SAE2_DANRE	Q7SXG4	SAE2_DANRE	uba2	650	Danio rerio	1:Experimental evidence at protein level	SUMO-activating enzyme subunit 2	0.607	0.7451	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	8925736.0	0.0	0.0	0.0	0.0	
sp|Q7ZVF9|ACTB2_DANRE	Q7ZVF9	ACTB2_DANRE	actbb	375	Danio rerio	1:Experimental evidence at protein level	Actin, cytoplasmic 2	0.9999	0.7743	3	9	0	9	3	4	2	0	0	0	3	4	2	7.808601E8	3.83703136E8	3.8929424E8	7.808601E8	3.83703136E8	0.0	sp|Q7ZVI7|ACTB1_DANRE
sp|Q7ZVT3|SAS6_DANRE	Q7ZVT3	SAS6_DANRE	sass6	627	Danio rerio	1:Experimental evidence at protein level	Spindle assembly abnormal protein 6 homolog	0.9796	0.9891	1	3	3	3	2	0	1	2	0	1	2	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q90473|HSP7C_DANRE	Q90473	HSP7C_DANRE	hspa8	649	Danio rerio	2:Experimental evidence at transcript level	Heat shock cognate 71 kDa protein	1.0	0.9891	7	7	7	7	1	4	2	1	4	2	1	4	2	5.986046E7	4.80896608E8	8.2481946E8	0.0	0.0	0.0	
sp|Q92005|EF1A_DANRE	Q92005	EF1A_DANRE	eef1a	462	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-alpha	0.9787	0.7198	2	2	2	2	1	0	1	1	0	1	1	0	1	3.18325056E8	0.0	1.23003904E8	0.0	0.0	0.0	
sp|Q9PT92|CATA_DANRE	Q9PT92	CATA_DANRE	cat	526	Danio rerio	2:Experimental evidence at transcript level	Catalase	0.9993	0.9891	2	2	2	2	0	0	2	0	0	2	0	0	2	0.0	0.0	1.7253904E8	0.0	0.0	0.0	
sp|Q9PTF3|NDK3_DANRE	Q9PTF3	NDK3_DANRE	nme3	169	Danio rerio	2:Experimental evidence at transcript level	Nucleoside diphosphate kinase 3	0.9796	0.9891	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	1.64838963E9	0.0	0.0	0.0	
sp|Q9PVK4|LDHBA_DANRE	Q9PVK4	LDHBA_DANRE	ldhba	334	Danio rerio	2:Experimental evidence at transcript level	L-lactate dehydrogenase B-A chain	0.9683	0.8789	2	2	1	2	0	1	1	0	1	0	0	1	1	0.0	2.50064096E8	6.1681434E8	0.0	0.0	0.0	
