Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	TL1a Spectral Count	TL1b Spectral Count	TL2a Spectral Count	TL2b Spectral Count	TL1a Unique Spectral Count	TL1b Unique Spectral Count	TL2a Unique Spectral Count	TL2b Unique Spectral Count	TL1a Total Spectral Count	TL1b Total Spectral Count	TL2a Total Spectral Count	TL2b Total Spectral Count	TL1a Intensity	TL1b Intensity	TL2a Intensity	TL2b Intensity	TL1a MaxLFQ Intensity	TL1b MaxLFQ Intensity	TL2a MaxLFQ Intensity	TL2b MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin	0.9999	0.9905	3	15	15	15	2	3	5	5	2	3	5	5	2	3	5	5	4.63839872E8	7.6865037E8	1.16770509E9	2.02568371E9	4.55092608E8	4.51302144E8	6.4744493E8	9.6009901E8	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	1.0	0.999	14	619	619	619	168	167	156	128	168	167	156	128	168	167	156	128	2.34645291E11	2.11704726E11	2.43961561E11	2.01343025E11	9.7204724E10	8.8406139E10	9.4078386E10	8.0934478E10	
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	1.0	0.999	4	85	0	85	17	25	16	27	0	0	0	0	17	25	16	27	4.1453545E9	7.7524275E9	4.12758067E9	1.03524557E10	2.52985395E9	3.78442035E9	2.24268544E9	6.3901404E9	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.999	42	341	294	341	22	53	253	13	13	41	233	7	22	53	253	13	1.06686894E10	1.65414646E10	7.6715893E10	1.0276309E10	3.11213491E9	7.9977559E9	4.5147955E10	3.44497357E9	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	18	98	98	104	25	38	22	13	25	38	22	13	28	40	23	13	1.98681869E9	3.19687194E9	1.82221261E9	1.53351898E9	2.72138368E8	6.5652538E8	4.18780576E8	3.84972448E8	
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.999	41	151	149	222	9	20	118	4	9	20	116	4	26	40	139	17	3.50041824E8	5.1258895E9	3.22327777E10	9.4858419E8	3.1507808E8	9.245065E8	4.5061294E9	5.8328627E8	
contam_sp|P61626|LYSC_HUMAN	P61626	LYSC_HUMAN	LYZ	148	Homo sapiens	1:Experimental evidence at protein level	Lysozyme C	1.0	0.999	3	11	11	11	0	1	10	0	0	1	10	0	0	1	10	0	0.0	0.0	5.11646656E8	0.0	0.0	0.0	0.0	0.0	
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S27a	1.0	0.999	8	407	407	407	109	101	91	106	109	101	91	106	109	101	91	106	2.68060836E10	2.69672346E10	1.7855742E10	2.31779062E10	1.05718241E10	9.2747284E9	7.87552E9	1.12407501E10	
contam_sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	Homo sapiens	1:Experimental evidence at protein level	SUMO-conjugating enzyme UBC9	0.9612	0.9626	2	3	0	3	1	0	1	1	0	0	0	0	1	0	1	1	1.15243136E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q9DDJ0|UBC9B_DANRE, sp|Q9W6H5|UBC9A_DANRE
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-1	0.998	0.9662	3	11	11	11	4	3	2	2	4	3	2	2	4	3	2	2	1.77989606E9	1.7336727E9	1.61621133E9	2.03993715E9	1.27359027E9	1.17699098E9	1.61621133E9	1.4620983E9	
contam_sp|Q14525|KT33B_HUMAN	Q14525	KT33B_HUMAN	KRT33B	404	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha3-II	0.9014	0.9777	4	13	0	55	2	5	3	3	0	0	0	0	11	15	17	12	5.25656672E8	1.13219968E9	6.11776E8	9.0417344E8	5.25656672E8	6.8949549E8	6.11776E8	5.8432973E8	contam_sp|Q15323|K1H1_HUMAN
contam_sp|Q15843|NEDD8_HUMAN	Q15843	NEDD8_HUMAN	NEDD8	81	Homo sapiens	1:Experimental evidence at protein level	NEDD8	1.0	0.999	3	18	18	18	6	6	2	4	6	6	2	4	6	6	2	4	7.0421958E8	8.7661325E8	1.29923504E8	3.17282496E8	4.33718208E8	3.35573152E8	2.4489184E8	2.73243392E8	
sp|A0A0G2KTI4|S12A2_DANRE	A0A0G2KTI4	S12A2_DANRE	slc12a2	1136	Danio rerio	1:Experimental evidence at protein level	Solute carrier family 12 member 2	0.909	0.9983	1	3	3	3	1	2	0	0	1	2	0	0	1	2	0	0	3.15473088E8	3.15989888E8	0.0	0.0	3.15473088E8	3.15989888E8	0.0	0.0	
sp|A0A0R4IC37|CPSF1_DANRE	A0A0R4IC37	CPSF1_DANRE	cpsf1	1451	Danio rerio	3:Protein inferred from homology	Cleavage and polyadenylation specificity factor subunit 1	1.0	0.999	6	32	32	32	11	10	9	2	11	10	9	2	11	10	9	2	3.90702816E8	2.36072384E8	2.78513984E8	2.4031992E7	6.262456E7	7.49166E7	1.2628628E8	7.6703E7	
sp|A0A0R4IDP3|ZH15A_DANRE	A0A0R4IDP3	ZH15A_DANRE	zdhhc15a	328	Danio rerio	3:Protein inferred from homology	Palmitoyltransferase ZDHHC15A	0.2775	0.9572	1	9	9	9	4	1	3	1	4	1	3	1	4	1	3	1	1.0740632E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0R4IEW8|ELAV4_DANRE	A0A0R4IEW8	ELAV4_DANRE	elavl4	411	Danio rerio	1:Experimental evidence at protein level	ELAV-like protein 4	1.0	0.999	5	26	26	26	9	5	8	4	9	5	8	4	9	5	8	4	2.25541786E9	2.66343936E9	1.46011008E9	7.8270131E8	8.1922842E8	1.17993715E9	1.06709587E9	6.0032947E8	
sp|A0A0R4IVV0|MTP_DANRE	A0A0R4IVV0	MTP_DANRE	mttp	884	Danio rerio	1:Experimental evidence at protein level	Microsomal triglyceride transfer protein large subunit	1.0	0.999	14	76	76	76	21	25	14	16	21	25	14	16	21	25	14	16	3.9604352E9	4.1574528E9	2.58729242E9	3.28584525E9	1.28055053E9	1.20714317E9	1.21277056E9	1.45233869E9	
sp|A0A0R4IWI1|COE1A_DANRE	A0A0R4IWI1	COE1A_DANRE	ebf1a	591	Danio rerio	2:Experimental evidence at transcript level	Transcription factor COE1-A	0.992	0.9975	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A2R8Q1W5|KEP1B_DANRE	A0A2R8Q1W5	KEP1B_DANRE	keap1b	587	Danio rerio	1:Experimental evidence at protein level	Kelch-like ECH-associated protein 1B	0.9153	0.9698	1	6	6	6	1	2	1	2	1	2	1	2	1	2	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A2R8QP51|DPP9_DANRE	A0A2R8QP51	DPP9_DANRE	dpp9	885	Danio rerio	3:Protein inferred from homology	Dipeptidyl peptidase 9	0.9928	0.9816	3	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	0.0	7353751.0	4.76999168E8	0.0	0.0	0.0	0.0	0.0	
sp|A0A8M1N5Y4|TMX3A_DANRE	A0A8M1N5Y4	TMX3A_DANRE	tmx3a	437	Danio rerio	2:Experimental evidence at transcript level	Protein disulfide-isomerase tmx3a	0.898	0.9663	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A8M2BID5|DESPA_DANRE	A0A8M2BID5	DESPA_DANRE	dspa	2059	Danio rerio	2:Experimental evidence at transcript level	Desmoplakin-A	1.0	0.999	13	41	41	41	13	13	6	9	13	13	6	9	13	13	6	9	1.85818406E9	1.36455347E9	6.2375635E8	1.6826912E9	3.87082176E8	2.72398464E8	2.28388256E8	3.631888E8	
sp|A0A8M3AJY3|ABRX2_DANRE	A0A8M3AJY3	ABRX2_DANRE	abraxas2	416	Danio rerio	1:Experimental evidence at protein level	BRISC complex subunit abraxas 2	0.9412	0.9989	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	1.8876398E7	2.1971996E7	0.0	1.0646192E7	1.8876398E7	2.1971996E7	0.0	1.0646192E7	
sp|A0A8M9PQ61|DESPB_DANRE	A0A8M9PQ61	DESPB_DANRE	dspb	2207	Danio rerio	2:Experimental evidence at transcript level	Desmoplakin-B	1.0	0.999	16	44	44	44	16	17	6	5	16	17	6	5	16	17	6	5	8.8811693E8	9.4963955E8	2.64313696E8	7.3960115E8	2.880696E8	2.50654496E8	2.55093456E8	3.094968E8	
sp|A0JMD0|CLU_DANRE	A0JMD0	CLU_DANRE	cluh	1400	Danio rerio	2:Experimental evidence at transcript level	Clustered mitochondria protein homolog	1.0	0.9978	4	9	9	9	2	1	3	3	2	1	3	3	2	1	3	3	0.0	0.0	0.0	1.67684896E8	0.0	0.0	0.0	0.0	
sp|A0JMQ0|BOP1_DANRE	A0JMQ0	BOP1_DANRE	bop1	777	Danio rerio	2:Experimental evidence at transcript level	Ribosome biogenesis protein bop1	0.9922	0.9863	2	3	3	3	0	1	1	1	0	1	1	1	0	1	1	1	0.0	0.0	1.50351488E8	1.4843592E8	0.0	0.0	1.50351488E8	1.4843592E8	
sp|A0MTA1|APEX1_DANRE	A0MTA1	APEX1_DANRE	apex1	310	Danio rerio	1:Experimental evidence at protein level	DNA repair nuclease APEX1	1.0	0.999	11	42	42	42	17	18	3	4	17	18	3	4	17	18	3	4	1.0768759E9	1.09124378E9	4.2798816E8	1.29032141E9	4.75576256E8	5.09786656E8	0.0	9.4669453E8	
sp|A1A5H6|CNOT1_DANRE	A1A5H6	CNOT1_DANRE	cnot1	2374	Danio rerio	2:Experimental evidence at transcript level	CCR4-NOT transcription complex subunit 1	1.0	0.999	7	17	17	17	3	5	7	2	3	5	7	2	3	5	7	2	2.07741424E8	2.9321392E8	2.22832624E8	1.15221456E8	1.50411744E8	1.79450688E8	1.39191872E8	1.15221456E8	
sp|A1A5H8|YES_DANRE	A1A5H8	YES_DANRE	yes1	546	Danio rerio	1:Experimental evidence at protein level	Tyrosine-protein kinase yes	1.0	0.999	8	42	12	42	15	13	8	6	4	3	3	2	15	13	8	6	2.23945037E9	1.96667546E9	1.50597619E9	1.83946765E9	7.4959648E8	5.7812454E8	4.73479744E8	5.29380608E8	
sp|A1A5Z3|EFTS_DANRE	A1A5Z3	EFTS_DANRE	tsfm	305	Danio rerio	2:Experimental evidence at transcript level	Elongation factor Ts, mitochondrial	0.5326	0.9851	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1DZY4|RSLBL_DANRE	A1DZY4	RSLBL_DANRE	zgc:110179	253	Danio rerio	2:Experimental evidence at transcript level	Ras-like protein family member 11A-like	0.3671	0.9712	1	3	3	3	0	2	1	0	0	2	1	0	0	2	1	0	1.4366016E9	1.26609779E9	1.13571866E9	1.69985306E9	1.4366016E9	1.26609779E9	1.13571866E9	1.69985306E9	
sp|A1L1F4|PDS5A_DANRE	A1L1F4	PDS5A_DANRE	pds5a	1320	Danio rerio	2:Experimental evidence at transcript level	Sister chromatid cohesion protein PDS5 homolog A	1.0	0.999	8	15	15	15	3	4	3	5	3	4	3	5	3	4	3	5	5.24713344E8	7.3004934E8	5.5411507E8	7.4905965E8	4.3912768E8	4.91818656E8	3.27071136E8	5.1871424E8	
sp|A1L1G1|ESRP1_DANRE	A1L1G1	ESRP1_DANRE	esrp1	714	Danio rerio	2:Experimental evidence at transcript level	Epithelial splicing regulatory protein 1	0.515	0.9841	1	2	2	2	0	1	1	0	0	1	1	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L1W9|MOT10_DANRE	A1L1W9	MOT10_DANRE	slc16a10	505	Danio rerio	2:Experimental evidence at transcript level	Monocarboxylate transporter 10	0.9875	0.9876	2	8	8	8	1	1	3	3	1	1	3	3	1	1	3	3	1.9067264E8	1.93195059E9	3.90016384E8	1.30193677E9	3.05476512E8	1.20592947E9	6.2484499E8	5.8481408E8	
sp|A1L243|MESD_DANRE	A1L243	MESD_DANRE	mesd	206	Danio rerio	2:Experimental evidence at transcript level	LRP chaperone MESD	0.9443	0.999	1	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	1.9193544E8	1.20868224E8	0.0	0.0	1.9193544E8	1.20868224E8	0.0	0.0	
sp|A1L251|ENASE_DANRE	A1L251	ENASE_DANRE	engase	713	Danio rerio	2:Experimental evidence at transcript level	Cytosolic endo-beta-N-acetylglucosaminidase	0.9964	0.9986	2	5	5	5	2	2	1	0	2	2	1	0	2	2	1	0	1.7527536E7	1.22093232E8	2.6879632E8	0.0	3.5261572E7	6.9393352E7	2.12929808E8	0.0	
sp|A1L260|CVN4A_DANRE	A1L260	CVN4A_DANRE	cavin4a	329	Danio rerio	1:Experimental evidence at protein level	Caveolae-associated protein 4a	1.0	0.999	7	31	31	31	9	11	6	5	9	11	6	5	9	11	6	5	1.11973478E9	1.31662093E9	9.9097331E8	1.75704858E9	6.8311443E8	6.4446496E8	6.9928755E8	1.0373712E9	
sp|A1XQX0|NR1AA_DANRE	A1XQX0	NR1AA_DANRE	nrxn1a	1491	Danio rerio	2:Experimental evidence at transcript level	Neurexin-1a	0.9989	0.9858	3	4	4	4	2	0	0	2	2	0	0	2	2	0	0	2	0.0	0.0	0.0	1.08865856E8	0.0	0.0	0.0	0.0	
sp|A2BGU8|SEPT3_DANRE	A2BGU8	SEPT3_DANRE	septin3	361	Danio rerio	2:Experimental evidence at transcript level	Neuronal-specific septin-3	1.0	0.999	5	20	20	20	6	6	6	2	6	6	6	2	6	6	6	2	3.65117952E8	5.3639772E7	4.26174976E8	0.0	1.46860304E8	1.34196168E8	2.21641184E8	0.0	
sp|A2RV29|ZN346_DANRE	A2RV29	ZN346_DANRE	znf346	301	Danio rerio	2:Experimental evidence at transcript level	Zinc finger protein 346	1.0	0.9989	3	10	10	10	3	4	2	1	3	4	2	1	3	4	2	1	1.79151088E8	1.30702936E8	9.05502E7	7.7885424E7	8.6639896E7	6.9003832E7	9.05502E7	7.7885424E7	
sp|A2VD23|STM_DANRE	A2VD23	STM_DANRE	stm	613	Danio rerio	2:Experimental evidence at transcript level	Protein starmaker	1.0	0.999	3	12	12	12	2	4	2	4	2	4	2	4	2	4	2	4	3.1059198E7	8.624816E7	3.6419824E7	2.74170624E8	3.4535672E7	3.3283186E7	4.0496316E7	9.7142608E7	
sp|A3KP59|RIOX1_DANRE	A3KP59	RIOX1_DANRE	riox1	544	Danio rerio	2:Experimental evidence at transcript level	Ribosomal oxygenase 1	0.9415	0.9989	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	4.7216492E7	4.5113328E7	2.9347898E7	2.9846044E7	4.7216492E7	4.5113328E7	2.9347898E7	2.9846044E7	
sp|A3KP77|OXND1_DANRE	A3KP77	OXND1_DANRE	oxnad1	270	Danio rerio	2:Experimental evidence at transcript level	Oxidoreductase NAD-binding domain-containing protein 1	0.6647	0.9914	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KPA0|JAM3B_DANRE	A3KPA0	JAM3B_DANRE	jam3b	302	Danio rerio	1:Experimental evidence at protein level	Junctional adhesion molecule 3B	0.5903	0.9882	1	6	6	6	3	2	1	0	3	2	1	0	3	2	1	0	4.8247652E7	4.2402168E7	4.5300732E7	0.0	4.8247652E7	4.2402168E7	4.5300732E7	0.0	
sp|A3KPK0|AGO3_DANRE	A3KPK0	AGO3_DANRE	ago3	860	Danio rerio	3:Protein inferred from homology	Protein argonaute-3	0.9999	0.999	2	4	4	4	1	2	1	0	1	2	1	0	1	2	1	0	1.09626048E8	1.28684992E8	3.60879872E8	0.0	1.09626048E8	1.28684992E8	0.0	0.0	
sp|A3KPW9|BAG6_DANRE	A3KPW9	BAG6_DANRE	Bag6	1160	Danio rerio	3:Protein inferred from homology	Large proline-rich protein BAG6	0.8429	0.9968	1	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	6.8590888E7	2.6735768E7	0.0	0.0	6.8590888E7	2.6735768E7	0.0	0.0	
sp|A3QK16|ERLN2_DANRE	A3QK16	ERLN2_DANRE	erlin2	331	Danio rerio	2:Experimental evidence at transcript level	Erlin-2	0.9459	0.9732	2	3	3	3	1	0	1	1	1	0	1	1	1	0	1	1	0.0	0.0	1.2484524E8	1.26239936E8	0.0	0.0	1.2484524E8	1.26239936E8	
sp|A4IFW2|PTPRF_DANRE	A4IFW2	PTPRF_DANRE	ptprf	1909	Danio rerio	2:Experimental evidence at transcript level	Receptor-type tyrosine-protein phosphatase F	1.0	0.9983	3	3	3	3	0	1	1	1	0	1	1	1	0	1	1	1	0.0	0.0	0.0	1.224188E8	0.0	0.0	0.0	0.0	
sp|A4IG53|COMTB_DANRE	A4IG53	COMTB_DANRE	comtb	264	Danio rerio	2:Experimental evidence at transcript level	Catechol O-methyltransferase B	0.6831	0.9921	1	3	3	3	1	0	1	1	1	0	1	1	1	0	1	1	4.808068E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4QNZ7|P33MX_DANRE	A4QNZ7	P33MX_DANRE	p33monox	317	Danio rerio	1:Experimental evidence at protein level	Putative monooxygenase p33MONOX	0.5647	0.9869	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1.4008659E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5D6U8|ACP7_DANRE	A5D6U8	ACP7_DANRE	acp7	443	Danio rerio	2:Experimental evidence at transcript level	Acid phosphatase type 7	0.9999	0.9988	2	11	11	11	4	2	2	3	4	2	2	3	4	2	2	3	4.20996544E8	3.32127456E8	1.14612096E8	5.03507552E8	2.14373568E8	1.8288864E8	1.43220432E8	2.6886576E8	
sp|A5PF48|MYO1C_DANRE	A5PF48	MYO1C_DANRE	myo1c	1026	Danio rerio	3:Protein inferred from homology	Unconventional myosin-Ic	0.9999	0.999	2	4	4	4	1	2	0	1	1	2	0	1	1	2	0	1	3.17128672E8	2.8296784E8	0.0	3.48220352E8	3.17128672E8	2.23068736E8	0.0	3.48220352E8	
sp|A5PF61|LEG1A_DANRE	A5PF61	LEG1A_DANRE	leg1a	364	Danio rerio	1:Experimental evidence at protein level	Protein leg1a	1.0	0.999	2	4	4	4	2	2	0	0	2	2	0	0	2	2	0	0	9.2049128E7	1.98913456E8	0.0	0.0	9.2049128E7	1.26359816E8	0.0	0.0	
sp|A5PL98|SDHB_DANRE	A5PL98	SDHB_DANRE	sdhb	280	Danio rerio	2:Experimental evidence at transcript level	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	1.0	0.9978	4	7	7	7	4	1	1	1	4	1	1	1	4	1	1	1	3.87853472E8	1.42278896E8	1.27755136E8	3.7642192E8	2.18340048E8	2.49137488E8	0.0	3.12306304E8	
sp|A5PLC8|PTMAB_DANRE	A5PLC8	PTMAB_DANRE	ptmab	106	Danio rerio	1:Experimental evidence at protein level	Prothymosin alpha-B	1.0	0.999	6	60	60	60	18	15	15	12	18	15	15	12	18	15	15	12	3.15564723E9	2.8787497E9	3.60634394E9	3.95505664E9	1.62853952E9	1.03627373E9	1.97532045E9	2.60833357E9	
sp|A5PLK2|LHPP_DANRE	A5PLK2	LHPP_DANRE	lhpp	270	Danio rerio	2:Experimental evidence at transcript level	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	1.0	0.999	3	11	11	11	4	2	5	0	4	2	5	0	4	2	5	0	3.2615492E7	5.5798008E7	4.0268208E7	0.0	3.2615492E7	4.3730696E7	2.5243712E7	0.0	
sp|A5PMX1|ZNT7_DANRE	A5PMX1	ZNT7_DANRE	slc30a7	387	Danio rerio	2:Experimental evidence at transcript level	Zinc transporter 7	0.9133	0.9984	1	2	2	2	0	0	1	1	0	0	1	1	0	0	1	1	0.0	1.18372496E8	0.0	1.99650464E8	0.0	1.18372496E8	0.0	1.99650464E8	
sp|A5PMY6|COL12_DANRE	A5PMY6	COL12_DANRE	colec12	720	Danio rerio	2:Experimental evidence at transcript level	Collectin-12	1.0	0.9988	2	7	7	7	1	2	1	3	1	2	1	3	1	2	1	3	1.7192172E7	2.1501584E7	1.8842006E7	8.3883352E7	1.7192172E7	2.1501584E7	1.8842006E7	5.2509944E7	
sp|A5WVX9|ZDH17_DANRE	A5WVX9	ZDH17_DANRE	zdhhc17	620	Danio rerio	2:Experimental evidence at transcript level	Palmitoyltransferase ZDHHC17	0.9999	0.9798	3	4	3	4	2	1	0	1	2	1	0	0	2	1	0	1	1.50364864E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A7E2M3|EMC10_DANRE	A7E2M3	EMC10_DANRE	emc10	257	Danio rerio	2:Experimental evidence at transcript level	ER membrane protein complex subunit 10	0.99	0.9948	2	4	4	4	1	0	1	2	1	0	1	2	1	0	1	2	0.0	0.0	3.08831296E8	2.82150272E8	0.0	0.0	0.0	0.0	
sp|A7MCB7|TMA16_DANRE	A7MCB7	TMA16_DANRE	tma16	194	Danio rerio	2:Experimental evidence at transcript level	Translation machinery-associated protein 16	0.5223	0.9845	1	4	4	4	2	1	1	0	2	1	1	0	2	1	1	0	2.33454144E8	1.36540016E8	1.28609608E8	2.33184528E8	2.33454144E8	1.36540016E8	1.28609608E8	2.33184528E8	
