Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,C_1 Spectral Count,C_2 Spectral Count,C_3 Spectral Count,E_1 Spectral Count,E_2 Spectral Count,E_3 Spectral Count,Hp_1 Spectral Count,Hp_2 Spectral Count,Hp_3 Spectral Count,Mx_1 Spectral Count,Mx_2 Spectral Count,Mx_3 Spectral Count,T_1 Spectral Count,T_2 Spectral Count,T_3 Spectral Count,C_1 Unique Spectral Count,C_2 Unique Spectral Count,C_3 Unique Spectral Count,E_1 Unique Spectral Count,E_2 Unique Spectral Count,E_3 Unique Spectral Count,Hp_1 Unique Spectral Count,Hp_2 Unique Spectral Count,Hp_3 Unique Spectral Count,Mx_1 Unique Spectral Count,Mx_2 Unique Spectral Count,Mx_3 Unique Spectral Count,T_1 Unique Spectral Count,T_2 Unique Spectral Count,T_3 Unique Spectral Count,C_1 Total Spectral Count,C_2 Total Spectral Count,C_3 Total Spectral Count,E_1 Total Spectral Count,E_2 Total Spectral Count,E_3 Total Spectral Count,Hp_1 Total Spectral Count,Hp_2 Total Spectral Count,Hp_3 Total Spectral Count,Mx_1 Total Spectral Count,Mx_2 Total Spectral Count,Mx_3 Total Spectral Count,T_1 Total Spectral Count,T_2 Total Spectral Count,T_3 Total Spectral Count,C_1_5dpf_Intensity,C_2_5dpf_Intensity,C_3_5dpf_Intensity,E_1_5dpf_Intensity,E_2_5dpf_Intensity,E_3_5dpf_Intensity,Hp_1_5dpf_Intensity,Hp_2_5dpf_Intensity,Hp_3_5dpf_Intensity,Mx_1_5dpf_Intensity,Mx_2_5dpf_Intensity,Mx_3_5dpf_Intensity,T_1_5dpf_Intensity,T_2_5dpf_Intensity,T_3_5dpf_Intensity,C_1 MaxLFQ_5dpf_Intensity,C_2 MaxLFQ_5dpf_Intensity,C_3 MaxLFQ_5dpf_Intensity,E_1 MaxLFQ_5dpf_Intensity,E_2 MaxLFQ_5dpf_Intensity,E_3 MaxLFQ_5dpf_Intensity,Hp_1 MaxLFQ_5dpf_Intensity,Hp_2 MaxLFQ_5dpf_Intensity,Hp_3 MaxLFQ_5dpf_Intensity,Mx_1 MaxLFQ_5dpf_Intensity,Mx_2 MaxLFQ_5dpf_Intensity,Mx_3 MaxLFQ_5dpf_Intensity,T_1 MaxLFQ_5dpf_Intensity,T_2 MaxLFQ_5dpf_Intensity,T_3 MaxLFQ_5dpf_Intensity,Indistinguishable Proteins
sp|A0JME6|ISOC2_DANRE,A0JME6,ISOC2_DANRE,isoc2,197,Danio rerio,2:Experimental evidence at transcript level,Isochorismatase domain-containing protein 2,0.9937,0.9981,2,3,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16965674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0JMK6|SCG2B_DANRE,A0JMK6,SCG2B_DANRE,scg2b,583,Danio rerio,2:Experimental evidence at transcript level,Secretogranin-2b,0.9407,0.999,1,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6885109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0JMQ7|MTS1A_DANRE,A0JMQ7,MTS1A_DANRE,mtus1a,440,Danio rerio,2:Experimental evidence at transcript level,Microtubule-associated tumor suppressor 1 homolog A,0.9193,0.974,2,23,23,23,2,1,0,3,2,2,2,1,2,2,2,0,2,1,1,2,1,0,3,2,2,2,1,2,2,2,0,2,1,1,2,1,0,3,2,2,2,1,2,2,2,0,2,1,1,40215496,17196180,27858386,20244904,17656904,32035568,25152320,14559695,36960636,51566192,28311628,44776756,31283546,11794427,24133410,40215496,17196180,27858386,20244904,17656904,32035568,25152320,14559695,36960636,51566192,28311628,44776756,31283546,11794427,24133410,
sp|A0MSJ1|CRA1B_DANRE,A0MSJ1,CRA1B_DANRE,col27a1b,1658,Danio rerio,2:Experimental evidence at transcript level,Collagen alpha-1(XXVII) chain B,0.9474,0.9876,1,8,8,8,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0MTA1|APEX1_DANRE,A0MTA1,APEX1_DANRE,apex1,310,Danio rerio,1:Experimental evidence at protein level,DNA repair nuclease APEX1,1,0.999,11,43,43,43,4,1,3,5,3,3,2,2,3,4,3,3,3,2,2,4,1,3,5,3,3,2,2,3,4,3,3,3,2,2,4,1,3,5,3,3,2,2,3,4,3,3,3,2,2,54383104,156296320,126455088,111878624,95019648,45176812,25789660,81326016,75769424,44629112,79692512,56875240,81969344,77008848,63381000,31600392,43637916,45034236,34096388,49263868,36620760,31912418,46947596,37368868,0,51380900,35544148,32977724,45258036,35444608,
sp|A1IH00|GOGA2_DANRE,A1IH00,GOGA2_DANRE,golga2,1028,Danio rerio,2:Experimental evidence at transcript level,Golgin subfamily A member 2,1,0.9985,3,6,6,6,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,4011445.2,0,0,5785315.5,0,0,5079749,0,0,3960337.8,0,0,2241812.2,0,0,4011445.2,0,0,5785315.5,0,0,5079749,0,0,0,0,0,2241812.2,0,
sp|A1L1F4|PDS5A_DANRE,A1L1F4,PDS5A_DANRE,pds5a,1320,Danio rerio,2:Experimental evidence at transcript level,Sister chromatid cohesion protein PDS5 homolog A,0.9969,0.999,2,7,7,7,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,30621366,56655508,57143536,49422592,58300104,0,35736804,7711528.5,40191176,51956744,61615912,52223252,48589060,69154200,90690736,26478534,41663132,38296804,35541288,34364868,0,30901892,23200132,34753624,156311856,35520872,35107972,35091044,29418094,69906976,
sp|A1L1M4|P4R2B_DANRE,A1L1M4,P4R2B_DANRE,ppp4r2b,426,Danio rerio,1:Experimental evidence at protein level,Serine/threonine-protein phosphatase 4 regulatory subunit 2-B,0.9264,0.9987,1,10,10,10,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,763126.8,944145.8,277221.47,467033,362212,287627.6,0,0,0,1009498.44,413592.22,390661.44,461736.03,400210.16,542251.75,763126.8,944145.8,277221.47,467033,362212,287627.6,0,0,0,1009498.44,413592.22,390661.44,461736.03,400210.16,542251.75,
sp|A1L243|MESD_DANRE,A1L243,MESD_DANRE,mesd,206,Danio rerio,2:Experimental evidence at transcript level,LRP chaperone MESD,1,0.9989,8,26,26,26,2,2,2,3,2,1,2,2,1,2,2,2,0,0,3,2,2,2,3,2,1,2,2,1,2,2,2,0,0,3,2,2,2,3,2,1,2,2,1,2,2,2,0,0,3,11175129,79269440,37219476,39003396,43892276,44351164,16733954,20435760,4879597,22922270,20468802,62541136,0,15187496,42924656,28189146,19161178,14924760,20185052,28256104,37566272,14369504,25302674,12308733,16198984,16830042,16120233,0,18804500,15030264,
sp|A1L260|CVN4A_DANRE,A1L260,CVN4A_DANRE,cavin4a,329,Danio rerio,1:Experimental evidence at protein level,Caveolae-associated protein 4a,1,0.999,8,33,33,33,0,5,1,1,1,2,2,4,2,2,4,1,2,4,2,0,5,1,1,1,2,2,4,2,2,4,1,2,4,2,0,5,1,1,1,2,2,4,2,2,4,1,2,4,2,8167974,112010224,27391096,19079076,98658808,28833172,18807264,115814576,33042926,9428360,126779568,27753324,18179764,144875488,47441924,8312422.5,41018844,14802900,10194725,53928884,15615485,10228574,52567440,18096814,8382320.5,45135644,15176228,9956984,61867400,16561358,
sp|A2BGU8|SEPT3_DANRE,A2BGU8,SEPT3_DANRE,septin3,361,Danio rerio,2:Experimental evidence at transcript level,Neuronal-specific septin-3,0.9532,0.957,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4419855,0,0,2195088.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A2BIL7|BAZ1B_DANRE,A2BIL7,BAZ1B_DANRE,baz1b,1536,Danio rerio,1:Experimental evidence at protein level,Tyrosine-protein kinase BAZ1B,0.4166,0.9782,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4605291,0,0,0,0,0,0,0,0,4305871,0,0,0,0,0,4605291,0,0,0,0,0,0,0,0,4305871,0,0,0,0,
sp|A2RV29|ZN346_DANRE,A2RV29,ZN346_DANRE,znf346,301,Danio rerio,2:Experimental evidence at transcript level,Zinc finger protein 346,1,0.999,6,60,60,60,4,7,4,4,4,4,4,2,4,4,4,4,3,5,3,4,7,4,4,4,4,4,2,4,4,4,4,3,5,3,4,7,4,4,4,4,4,2,4,4,4,4,3,5,3,39050212,82247872,50601368,39832760,53881952,12824593,32077924,35600696,51060416,47919308,56155812,45596048,38221160,126070864,79225936,26382332,35373684,17109060,17702276,29162486,15907897,16139825,35894104,22745056,17279862,34108948,21152182,19392816,40872404,21018270,
sp|A2VD23|STM_DANRE,A2VD23,STM_DANRE,stm,613,Danio rerio,2:Experimental evidence at transcript level,Protein starmaker,1,0.999,6,44,44,44,5,3,3,4,3,3,3,0,3,4,2,3,4,2,2,5,3,3,4,3,3,3,0,3,4,2,3,4,2,2,5,3,3,4,3,3,3,0,3,4,2,3,4,2,2,60073200,28059548,55671576,49630652,37954976,65116024,26419640,0,46219488,60792408,27873346,55163248,44955812,32241880,61045528,19048674,17897674,28977964,20098434,17460064,28567564,11661794,0,20841330,21515208,28239314,23886594,21179564,20644862,27940068,
sp|A3KNS2|CNPY3_DANRE,A3KNS2,CNPY3_DANRE,cnpy3,276,Danio rerio,2:Experimental evidence at transcript level,Protein canopy homolog 3,0.9983,0.999,2,9,9,9,1,1,1,1,2,1,0,0,0,1,0,0,0,1,0,1,1,1,1,2,1,0,0,0,1,0,0,0,1,0,1,1,1,1,2,1,0,0,0,1,0,0,0,1,0,5303040.5,10144378,8051679,6404597,10781620,6879542.5,0,0,0,0,0,0,0,3660950.8,2104833,5556551,5593499,4445210.5,3532291.8,5635243.5,3802983.2,0,0,0,0,0,0,0,3835961.8,2450775.5,
sp|A3KP74|SDHF2_DANRE,A3KP74,SDHF2_DANRE,sdhaf2,158,Danio rerio,2:Experimental evidence at transcript level,"Succinate dehydrogenase assembly factor 2, mitochondrial",0.511,0.985,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A3KPK0|AGO3_DANRE,A3KPK0,AGO3_DANRE,ago3,860,Danio rerio,3:Protein inferred from homology,Protein argonaute-3,0.9806,0.986,2,7,7,7,0,0,1,2,0,2,0,0,0,0,0,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,1,0,1,0,0,7313217.5,11624111,0,7720405.5,0,0,0,0,0,0,6851295.5,0,6960245,0,0,7313217.5,6969219.5,0,4629367.5,0,0,0,0,0,0,6851295.5,0,4177193.8,
sp|A3KPW9|BAG6_DANRE,A3KPW9,BAG6_DANRE,Bag6,1160,Danio rerio,3:Protein inferred from homology,Large proline-rich protein BAG6,0.9049,0.9983,1,5,5,5,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,17629720,15128306,16341412,14448432,16137900,0,0,0,0,0,14583018,14553302,14484074,0,16570561,17629720,15128306,16341412,14448432,16137900,0,0,0,0,0,14583018,14553302,14484074,0,16570561,
sp|A3KQQ9|SCG3_DANRE,A3KQQ9,SCG3_DANRE,scg3,478,Danio rerio,2:Experimental evidence at transcript level,Secretogranin-3,1,0.9984,6,28,28,28,3,2,2,4,2,2,2,2,1,1,0,2,3,1,1,3,2,2,4,2,2,2,2,1,1,0,2,3,1,1,3,2,2,4,2,2,2,2,1,1,0,2,3,1,1,12119809,10321727,10879500,9364013,6775728.5,9430599,12093461,11938489,10051362,0,0,12250067,11945742,1848104.8,2946766.2,6884945.5,16770171,5593186.5,5438816,4828196.5,5496058,7844095.5,8375090.5,7162322.5,0,0,7160914.5,8210552,7869381.5,12547572,
sp|A3QK16|ERLN2_DANRE,A3QK16,ERLN2_DANRE,erlin2,331,Danio rerio,2:Experimental evidence at transcript level,Erlin-2,0.9924,0.9987,2,3,3,13,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,1,1,0,2,1,0,1,1,0,0,4479016.5,0,0,0,3928274.8,0,0,0,3162098,0,0,0,0,0,0,4479016.5,0,0,0,3928274.8,0,0,0,3162098,0,0,0,0,
sp|A4IG32|MICU1_DANRE,A4IG32,MICU1_DANRE,micu1,489,Danio rerio,2:Experimental evidence at transcript level,"Calcium uptake protein 1, mitochondrial",0.4434,0.9804,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4659614.5,4071965.8,0,0,0,0,0,0,0,0,0,0,3741639.5,0,0,4659614.5,4071965.8,0,0,0,0,0,0,0,0,0,0,3741639.5,
sp|A4IG66|TM201_DANRE,A4IG66,TM201_DANRE,tmem201,651,Danio rerio,2:Experimental evidence at transcript level,Transmembrane protein 201,0.386,0.9753,1,3,3,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2687304,0,4026759.2,0,3558903.2,0,0,4226874,0,0,3062716.2,0,0,0,0,2687304,0,4026759.2,0,3558903.2,0,0,4226874,0,0,3062716.2,0,0,0,0,
sp|A4QP16|ADN2A_DANRE,A4QP16,ADN2A_DANRE,adnp2a,962,Danio rerio,2:Experimental evidence at transcript level,Activity-dependent neuroprotective protein 2a,0.8859,0.9634,2,5,5,5,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A5PF61|LEG1A_DANRE,A5PF61,LEG1A_DANRE,leg1a,364,Danio rerio,1:Experimental evidence at protein level,Protein leg1a,0.9996,0.9985,2,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2199122.8,0,0,0,0,0,0,0,0,15251713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A5PL98|SDHB_DANRE,A5PL98,SDHB_DANRE,sdhb,280,Danio rerio,2:Experimental evidence at transcript level,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",1,0.9989,5,17,17,17,5,1,0,2,0,0,3,0,0,0,1,1,3,0,1,5,1,0,2,0,0,3,0,0,0,1,1,3,0,1,5,1,0,2,0,0,3,0,0,0,1,1,3,0,1,40070576,3589863.8,15284546,29286696,0,0,27875104,0,0,0,7035023.5,8439030,42615672,0,18376832,12389943,3865273.2,6656232,11433734,0,0,14478830,0,0,0,7574741,9086461,13942345,0,8398002,
sp|A5PLC8|PTMAB_DANRE,A5PLC8,PTMAB_DANRE,ptmab,106,Danio rerio,1:Experimental evidence at protein level,Prothymosin alpha-B,1,0.999,5,38,38,38,3,4,2,2,4,1,2,3,2,5,2,2,2,2,2,3,4,2,2,4,1,2,3,2,5,2,2,2,2,2,3,4,2,2,4,1,2,3,2,5,2,2,2,2,2,490962432,767929340,487347200,538686400,767485570,79464016,546045950,634341630,453691232,614242500,730686660,502267712,545624830,949030270,363025728,334108768,607463550,342303264,384761376,456189664,218605136,381564064,385670240,296801344,399229344,491463136,334181120,384018432,603027840,267676496,
sp|A5PMY6|COL12_DANRE,A5PMY6,COL12_DANRE,colec12,720,Danio rerio,2:Experimental evidence at transcript level,Collectin-12,1,0.9987,9,18,18,18,0,1,1,0,2,3,1,0,0,0,6,0,1,2,1,0,1,1,0,2,3,1,0,0,0,6,0,1,2,1,0,1,1,0,2,3,1,0,0,0,6,0,1,2,1,0,26917244,32576856,10866172,5018352.5,17316392,6631993,0,0,0,22089824,13004568,1850724.2,21109712,7226900,0,8789011,12190347,13703825,12978197,11405884,5330045.5,0,0,0,10125258,10451600,6145654.5,12135656,11984560,
sp|A5WVX9|ZDH17_DANRE,A5WVX9,ZDH17_DANRE,zdhhc17,620,Danio rerio,2:Experimental evidence at transcript level,Palmitoyltransferase ZDHHC17,0.8412,0.9558,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1096846.4,0,0,0,0,0,0,0,0,0,1345567.8,0,0,0,0,1096846.4,0,0,0,0,0,0,0,0,0,1345567.8,0,0,
sp|A7MBS7|THS7A_DANRE,A7MBS7,THS7A_DANRE,thsd7aa,1686,Danio rerio,1:Experimental evidence at protein level,Thrombospondin type-1 domain-containing protein 7A,1,0.9945,3,8,8,8,1,0,0,0,1,2,0,0,1,1,0,1,1,0,0,1,0,0,0,1,2,0,0,1,1,0,1,1,0,0,1,0,0,0,1,2,0,0,1,1,0,1,1,0,0,3971164,0,0,0,5576392,12976626,0,0,6719966.5,0,0,2044210.9,9850344,0,0,3971164,0,0,0,5576392,7280845.5,0,0,6719966.5,0,0,2044210.9,9850344,0,0,
