Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,170928_MW_1 Spectral Count,170928_MW_2 Spectral Count,170928_MW_3 Spectral Count,170928_MW_4 Spectral Count,170928_MW_5 Spectral Count,170928_MW_6 Spectral Count,170928_MW_1 Unique Spectral Count,170928_MW_2 Unique Spectral Count,170928_MW_3 Unique Spectral Count,170928_MW_4 Unique Spectral Count,170928_MW_5 Unique Spectral Count,170928_MW_6 Unique Spectral Count,170928_MW_1 Total Spectral Count,170928_MW_2 Total Spectral Count,170928_MW_3 Total Spectral Count,170928_MW_4 Total Spectral Count,170928_MW_5 Total Spectral Count,170928_MW_6 Total Spectral Count,170928_MW_1_6dpf_Intensity,170928_MW_2_6dpf_Intensity,170928_MW_3_6dpf_Intensity,170928_MW_4_6dpf_Intensity,170928_MW_5_6dpf_Intensity,170928_MW_6_6dpf_Intensity,170928_MW_1 MaxLFQ_6dpf_Intensity,170928_MW_2 MaxLFQ_6dpf_Intensity,170928_MW_3 MaxLFQ_6dpf_Intensity,170928_MW_4 MaxLFQ_6dpf_Intensity,170928_MW_5 MaxLFQ_6dpf_Intensity,170928_MW_6 MaxLFQ_6dpf_Intensity,Indistinguishable Proteins
sp|A1L260|CVN4A_DANRE,A1L260,CVN4A_DANRE,cavin4a,329,Danio rerio,1:Experimental evidence at protein level,Caveolae-associated protein 4a,1,0.999,7,20,20,20,2,2,3,3,6,4,2,2,3,3,6,4,2,2,3,3,6,4,185687136,143551600,97194736,184404592,169681104,179362032,91586256,106644176,73049288,129207616,96417472,133352120,
sp|A2BGP7|CC125_DANRE,A2BGP7,CC125_DANRE,ccdc125,465,Danio rerio,3:Protein inferred from homology,Coiled-coil domain-containing protein 125,0.9668,0.9767,2,3,3,3,0,1,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,2,0,194541776,0,0,121353200,159944032,0,194541776,0,0,121353200,159944032,
sp|A2BGU8|SEPT3_DANRE,A2BGU8,SEPT3_DANRE,septin3,361,Danio rerio,2:Experimental evidence at transcript level,Neuronal-specific septin-3,1,0.9976,5,15,15,15,1,2,5,1,3,3,1,2,5,1,3,3,1,2,5,1,3,3,0,180734400,137265568,77749840,178985744,172661184,0,79531096,61884180,97768776,79190792,75203160,
sp|A2RV29|ZN346_DANRE,A2RV29,ZN346_DANRE,znf346,301,Danio rerio,2:Experimental evidence at transcript level,Zinc finger protein 346,0.5485,0.9782,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A3KP59|RIOX1_DANRE,A3KP59,RIOX1_DANRE,riox1,544,Danio rerio,2:Experimental evidence at transcript level,Ribosomal oxygenase 1,0.9698,0.9788,2,2,2,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,46831148,0,0,0,0,0,0,0,
sp|A3KPA0|JAM3B_DANRE,A3KPA0,JAM3B_DANRE,jam3b,302,Danio rerio,1:Experimental evidence at protein level,Junctional adhesion molecule 3B,0.9703,0.9768,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2213795,0,0,0,0,0,0,
sp|A3KPK0|AGO3_DANRE,A3KPK0,AGO3_DANRE,ago3,860,Danio rerio,3:Protein inferred from homology,Protein argonaute-3,1,0.9985,4,17,17,17,3,6,2,2,2,2,3,6,2,2,2,2,3,6,2,2,2,2,42039048,188006864,40601572,21882608,38285408,18026444,38017784,60471456,41206040,26622742,26035094,25031066,
sp|A3QK16|ERLN2_DANRE,A3QK16,ERLN2_DANRE,erlin2,331,Danio rerio,2:Experimental evidence at transcript level,Erlin-2,0.9048,0.9733,3,2,2,8,0,0,1,0,1,0,0,0,1,0,1,0,0,3,1,0,2,2,0,0,0,0,12047786,0,0,0,0,0,0,0,
sp|A4FUN7|UBP12_DANRE,A4FUN7,UBP12_DANRE,usp12a,371,Danio rerio,2:Experimental evidence at transcript level,Ubiquitin carboxyl-terminal hydrolase 12A,0.3807,0.9578,1,4,0,4,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,sp|A5WWB0|UBP46_DANRE
sp|A4IFW2|PTPRF_DANRE,A4IFW2,PTPRF_DANRE,ptprf,1909,Danio rerio,2:Experimental evidence at transcript level,Receptor-type tyrosine-protein phosphatase F,1,0.999,6,11,11,11,2,0,1,3,1,4,2,0,1,3,1,4,2,0,1,3,1,4,0,0,21645640,131552784,0,50495928,0,0,36781932,0,0,22072492,
sp|A4IG53|COMTB_DANRE,A4IG53,COMTB_DANRE,comtb,264,Danio rerio,2:Experimental evidence at transcript level,Catechol O-methyltransferase B,1,0.9989,3,8,8,8,4,0,1,1,2,0,4,0,1,1,2,0,4,0,1,1,2,0,14243922,0,12911375,0,4989575,0,14243922,0,12911375,0,4989575,0,
sp|A4QNW7|PHIPL_DANRE,A4QNW7,PHIPL_DANRE,phyhipl,377,Danio rerio,2:Experimental evidence at transcript level,Phytanoyl-CoA hydroxylase-interacting protein-like,1,0.9987,3,7,7,7,2,1,0,1,1,2,2,1,0,1,1,2,2,1,0,1,1,2,0,0,0,21920478,0,0,0,0,0,0,0,0,
sp|A4VCH0|SAC1A_DANRE,A4VCH0,SAC1A_DANRE,sacm1la,586,Danio rerio,2:Experimental evidence at transcript level,Phosphatidylinositol-3-phosphatase SAC1-A,0.9994,0.9977,5,8,2,8,2,3,1,1,1,0,2,0,0,0,0,0,2,3,1,1,1,0,14682260,68679112,39920888,24057924,0,0,0,27046580,34103436,38590288,0,0,
sp|A4VCH4|VP35L_DANRE,A4VCH4,VP35L_DANRE,vps35l,963,Danio rerio,2:Experimental evidence at transcript level,VPS35 endosomal protein-sorting factor-like,0.4354,0.966,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A5D6R3|PLD3A_DANRE,A5D6R3,PLD3A_DANRE,plcd3a,784,Danio rerio,2:Experimental evidence at transcript level,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3-A",0.9885,0.9929,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5156234,0,0,0,0,0,0,0,0,0,0,
sp|A5PF48|MYO1C_DANRE,A5PF48,MYO1C_DANRE,myo1c,1026,Danio rerio,3:Protein inferred from homology,Unconventional myosin-Ic,0.9896,0.999,1,6,6,6,2,1,1,0,1,1,2,1,1,0,1,1,2,1,1,0,1,1,6649819.5,0,0,0,0,0,0,0,0,0,0,0,
sp|A5PL98|SDHB_DANRE,A5PL98,SDHB_DANRE,sdhb,280,Danio rerio,2:Experimental evidence at transcript level,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",1,0.9987,3,20,20,20,3,3,5,3,3,3,3,3,5,3,3,3,3,3,5,3,3,3,175303760,236622080,145634176,64034880,218072448,81944008,118957344,117243624,66808364,59592928,84168432,92591936,
sp|A5PLC8|PTMAB_DANRE,A5PLC8,PTMAB_DANRE,ptmab,106,Danio rerio,1:Experimental evidence at protein level,Prothymosin alpha-B,0.9789,0.9872,2,4,4,4,0,1,2,1,0,0,0,1,2,1,0,0,0,1,2,1,0,0,0,22860952,39461496,33097664,0,0,0,22860952,39461496,33097664,0,0,
sp|A5PLK2|LHPP_DANRE,A5PLK2,LHPP_DANRE,lhpp,270,Danio rerio,2:Experimental evidence at transcript level,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,0.9999,0.999,2,3,3,3,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,3266857.5,0,4579051.5,1081138.8,0,0,3266857.5,0,4579051.5,0,0,
sp|A8E5C5|DS7CA_DANRE,A8E5C5,DS7CA_DANRE,dhrs7ca,324,Danio rerio,2:Experimental evidence at transcript level,Dehydrogenase/reductase SDR family member 7C-A,1,0.999,4,22,22,22,7,2,3,3,4,3,7,2,3,3,4,3,7,2,3,3,4,3,24128708,10524752,51564736,21534652,91243216,62298148,9935364,4438841.5,45940644,34136420,34593544,27706764,
sp|A8E7G5|SFXN4_DANRE,A8E7G5,SFXN4_DANRE,sfxn4,316,Danio rerio,2:Experimental evidence at transcript level,Sideroflexin-4,1,0.999,1,6,6,6,1,0,1,1,2,1,1,0,1,1,2,1,1,0,1,1,2,1,12027046,0,13313921,0,40990304,0,12027046,0,13313921,0,26557480,0,
sp|A8Y5U1|RIMC1_DANRE,A8Y5U1,RIMC1_DANRE,rimoc1,276,Danio rerio,2:Experimental evidence at transcript level,RAB7A-interacting MON1-CCZ1 complex subunit 1,0.9458,0.9984,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A9C3P0|MLEC_DANRE,A9C3P0,MLEC_DANRE,mlec,285,Danio rerio,3:Protein inferred from homology,Malectin,0.9641,0.999,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29567634,48900720,56152900,0,41299864,34777120,29567634,48900720,56152900,0,41299864,34777120,
sp|A9C3R9|RP65B_DANRE,A9C3R9,RP65B_DANRE,rpe65b,532,Danio rerio,1:Experimental evidence at protein level,All-trans-retinyl ester 13-cis isomerohydrolase,1,0.9985,4,9,9,9,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,0,0,0,9527142,0,0,0,0,0,0,0,0,
sp|A9JRC7|PP4CB_DANRE,A9JRC7,PP4CB_DANRE,ppp4cb,307,Danio rerio,2:Experimental evidence at transcript level,Serine/threonine-protein phosphatase 4 catalytic subunit B,1,0.9989,4,9,8,9,1,0,2,2,2,2,1,0,2,2,2,1,1,0,2,2,2,2,0,18495096,24681176,0,0,27570218,0,18495096,24681176,0,0,27570218,
sp|A9JRE2|MTNA_DANRE,A9JRE2,MTNA_DANRE,mri1,353,Danio rerio,2:Experimental evidence at transcript level,Methylthioribose-1-phosphate isomerase,1,0.999,7,27,27,27,4,4,6,5,3,5,4,4,6,5,3,5,4,4,6,5,3,5,113170216,163728800,238634976,159277856,240574960,208370384,52410220,58583420,90329352,69194552,165978560,90806344,
sp|A9JRI0|HEAT6_DANRE,A9JRI0,HEAT6_DANRE,heatr6,1201,Danio rerio,2:Experimental evidence at transcript level,HEAT repeat-containing protein 6,0.7239,0.9604,1,2,2,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A9JRZ0|SMUF2_DANRE,A9JRZ0,SMUF2_DANRE,smurf2,765,Danio rerio,2:Experimental evidence at transcript level,E3 ubiquitin-protein ligase SMURF2,0.9951,0.9925,3,5,5,5,1,0,1,0,1,2,1,0,1,0,1,2,1,0,1,0,1,2,0,0,0,0,6096046,15571427,0,0,0,0,0,0,
sp|A9JTH1|NCLDA_DANRE,A9JTH1,NCLDA_DANRE,ncalda,193,Danio rerio,2:Experimental evidence at transcript level,Neurocalcin-delta A,0.6517,0.9857,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7028211.5,0,0,0,0,0,0,0,0,
sp|B0R0D7|COR1C_DANRE,B0R0D7,COR1C_DANRE,coro1ca,474,Danio rerio,2:Experimental evidence at transcript level,Coronin-1C-A,1,0.9984,8,22,22,22,3,4,4,4,2,5,3,4,4,4,2,5,3,4,4,4,2,5,159817104,74497776,53685744,133452152,108507744,99502288,63359660,57079392,67519168,64304520,55401548,52561884,
sp|B0R0T1|VWA8_DANRE,B0R0T1,VWA8_DANRE,vwa8,1896,Danio rerio,3:Protein inferred from homology,von Willebrand factor A domain-containing protein 8,0.9799,0.9829,2,6,6,6,0,1,1,1,2,1,0,1,1,1,2,1,0,1,1,1,2,1,0,0,0,0,55976128,18382876,0,0,0,0,0,0,
sp|B0S5N4|PLXA3_DANRE,B0S5N4,PLXA3_DANRE,plxna3,1892,Danio rerio,2:Experimental evidence at transcript level,Plexin A3,1,0.9987,6,9,5,9,1,3,0,1,3,1,0,2,0,0,2,1,1,3,0,1,3,1,28809050,93344944,0,79687168,24412696,0,23336970,51837852,0,47322496,56699732,0,
sp|B0S6R1|NCKP1_DANRE,B0S6R1,NCKP1_DANRE,nckap1,1128,Danio rerio,3:Protein inferred from homology,Nck-associated protein 1,1,0.999,13,51,51,51,5,8,8,11,6,13,5,8,8,11,6,13,5,8,8,11,6,13,57349468,413443616,197295248,408109312,223781904,377458400,143694144,127170112,93783728,160446288,79997112,135056192,
sp|B0UXP9|IMDH2_DANRE,B0UXP9,IMDH2_DANRE,impdh2,514,Danio rerio,3:Protein inferred from homology,Inosine-5'-monophosphate dehydrogenase 2,0.9027,0.9896,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|B0V3F8|PRKRA_DANRE,B0V3F8,PRKRA_DANRE,prkra,282,Danio rerio,2:Experimental evidence at transcript level,Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog,1,0.9985,3,7,7,7,3,1,1,1,1,0,3,1,1,1,1,0,3,1,1,1,1,0,19116650,58400308,43778612,0,0,0,19116650,58400308,43778612,0,0,0,
sp|B2ZGJ1|CLAT_DANRE,B2ZGJ1,CLAT_DANRE,chat,637,Danio rerio,2:Experimental evidence at transcript level,Choline O-acetyltransferase,0.9282,0.9688,1,3,3,3,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,15312846,0,0,0,0,0,0,
sp|B3DJT0|SART3_DANRE,B3DJT0,SART3_DANRE,sart3,951,Danio rerio,2:Experimental evidence at transcript level,Squamous cell carcinoma antigen recognized by T-cells 3,1,0.9985,6,8,8,8,0,1,3,0,2,2,0,1,3,0,2,2,0,1,3,0,2,2,0,0,16728008,0,6747231,0,0,0,0,0,0,0,
sp|B5DE31|YBOX1_DANRE,B5DE31,YBOX1_DANRE,ybx1,310,Danio rerio,1:Experimental evidence at protein level,Y-box-binding protein 1,1,0.999,6,26,26,26,0,7,4,5,5,5,0,7,4,5,5,5,0,7,4,5,5,5,0,81974640,25207756,49149296,63865092,48910976,0,27518036,15271470,23776660,32070962,21348626,
sp|B7ZC77|CTNA2_DANRE,B7ZC77,CTNA2_DANRE,Ctnna2,865,Danio rerio,3:Protein inferred from homology,Catenin alpha-2,1,0.999,7,13,13,16,4,3,2,0,3,1,4,3,2,0,3,1,5,4,2,0,3,2,18773428,0,0,0,4150596.5,0,0,0,0,0,0,0,
sp|B8A5G9|TRM5_DANRE,B8A5G9,TRM5_DANRE,trmt5,480,Danio rerio,3:Protein inferred from homology,tRNA (guanine(37)-N1)-methyltransferase,0.9996,0.9986,2,2,2,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|B8A5I7|SSBP_DANRE,B8A5I7,SSBP_DANRE,ssbp1,146,Danio rerio,1:Experimental evidence at protein level,"Single-stranded DNA-binding protein, mitochondrial",0.9579,0.9988,1,2,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,12516038,0,0,0,0,0,0,0,0,
sp|E7F1H9|YTHD2_DANRE,E7F1H9,YTHD2_DANRE,ythdf2,613,Danio rerio,1:Experimental evidence at protein level,YTH domain-containing family protein 2,0.8627,0.9957,1,4,4,4,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,3050316.8,2947771,2076585.4,3041080,0,0,3050316.8,2947771,2076585.4,3041080,0,
sp|E7F6F7|ABCB7_DANRE,E7F6F7,ABCB7_DANRE,abcb7,743,Danio rerio,3:Protein inferred from homology,"Iron-sulfur clusters transporter ABCB7, mitochondrial",0.9916,0.9931,2,3,3,3,0,0,1,0,2,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|E7F6H7|DCI2A_DANRE,E7F6H7,DCI2A_DANRE,dync1i2a,626,Danio rerio,3:Protein inferred from homology,"Dynein, cytoplasmic 1, intermediate chain 2a",1,0.999,3,6,6,6,1,1,2,1,1,0,1,1,2,1,1,0,1,1,2,1,1,0,23393624,26759462,2072614,16404886,13146845,16482833,0,17867472,4811585,15375869,12322193,15448927,
sp|E7FBU4|MMS19_DANRE,E7FBU4,MMS19_DANRE,mms19,1043,Danio rerio,3:Protein inferred from homology,MMS19 nucleotide excision repair protein homolog,1,0.999,3,10,10,10,2,1,3,1,1,2,2,1,3,1,1,2,2,1,3,1,1,2,0,5622056,5760138,3392668,37085912,36150792,0,4294038,6721578.5,5815985.5,28325638,19100996,
sp|E7FC72|EXOC7_DANRE,E7FC72,EXOC7_DANRE,exoc7,720,Danio rerio,3:Protein inferred from homology,Exocyst complex component 7,0.3157,0.9445,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22861582,0,0,0,0,0,0,
sp|E9QI36|HARS1_DANRE,E9QI36,HARS1_DANRE,hars,513,Danio rerio,3:Protein inferred from homology,Histidine--tRNA ligase,1,0.9988,3,11,5,11,2,1,1,2,3,2,1,0,0,1,2,1,2,1,1,2,3,2,0,0,0,46248660,34342692,0,0,0,0,49523496,23415548,0,
sp|E9QJ30|KL40B_DANRE,E9QJ30,KL40B_DANRE,klhl40b,618,Danio rerio,2:Experimental evidence at transcript level,Kelch-like protein 40b,0.964,0.999,1,7,7,7,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,4155299.8,10558860,4170868.2,23101228,12574821,11504337,4155299.8,10558860,4170868.2,23101228,12574821,11504337,
sp|F1Q575|NNRD_DANRE,F1Q575,NNRD_DANRE,naxd,330,Danio rerio,3:Protein inferred from homology,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,0.6806,0.98740000000000006,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11306234,0,0,0,0,0,0,0,
sp|F1Q749|DKC1_DANRE,F1Q749,DKC1_DANRE,dkc1,506,Danio rerio,2:Experimental evidence at transcript level,H/ACA ribonucleoprotein complex subunit DKC1,1,0.999,7,19,19,19,4,4,3,4,1,3,4,4,3,4,1,3,4,4,3,4,1,3,90221056,48162440,98742176,82930536,41231820,108850520,46050672,26345476,48113384,65756044,41301292,41569428,
sp|F1Q7H8|ZD20A_DANRE,F1Q7H8,ZD20A_DANRE,zdhhc20a,357,Danio rerio,2:Experimental evidence at transcript level,Palmitoyltransferase ZDHHC20-A,0.8014,0.9933,1,2,2,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,11576679,0,0,0,0,0,0,
