accession,name,ensembl_gene_id,ensembl_transcript_id,chromosome_name,4h_logFC,4h_adj.P.Val
Q6PHI8,tktb,ENSDARG00000006019,ENSDART00000005021,23,1.7395939621958745,0.019317269857483
A2RV29,znf346,ENSDARG00000060695,ENSDART00000182971,21,1.6799811405215506,1.17409049e-7
Q802C9,eif4a1a,ENSDARG00000092115,ENSDART00000058913,7,1.6730323878555724,0.045910974106852
E7F0E8,xpo1a,ENSDARG00000078041,ENSDART00000108906,1,1.627453614130925,0.006472667014581
Q803T5,ahcy,ENSDARG00000005191,ENSDART00000018523,6,1.6223730263494711,0.026197401847361
Q8JHI0,slc25a5,ENSDARG00000092553,ENSDART00000105726,14,1.609858799712824,0.035662543221892
E7F789,specc1,ENSDARG00000029480,ENSDART00000047143,5,1.6016822154461274,7.10555351661e-4
F1Q5L3,sfswap,ENSDARG00000005980,ENSDART00000143113,21,1.5517563734961968,6.94041084667e-4
F1QV15,vtg6,ENSDARG00000016825,ENSDART00000143443,22,1.5461910293019976,0.021454118027535
A0A0R4INF8,nots,ENSDARG00000099824,ENSDART00000162341,4,1.5461633950422715,0.011872817851095
Q7ZW95,rpl4,ENSDARG00000041182,ENSDART00000060363,18,1.5417186412964698,0.020114245621089
A8WGC6,atp5f1b,ENSDARG00000070083,ENSDART00000060310,11,1.541324734228397,0.020139853020279
Q6PE25,eef1g,ENSDARG00000056119,ENSDART00000172927,14,1.5390245495683503,0.043214444062126
Q6NXA5,pon2,ENSDARG00000016856,ENSDART00000008326,16,1.5094943576699509,0.016317581178754
Q1LU98,gmnn,ENSDARG00000035957,ENSDART00000132182,19,1.5086107623115277,2.6935614e-8
F1Q4N4,ndufs2,ENSDARG00000007526,ENSDART00000108787,7,1.496557036917097,0.033313794422653
B8A5W1,si:ch211-193e13.5,ENSDARG00000052656,ENSDART00000141147,10,1.4870338496732471,0.015670923133622
F1R8S0,drap1,ENSDARG00000041203,ENSDART00000060399,7,1.4762359634488753,2.309284827e-6
E9QET5,si:ch211-210c8.7,ENSDARG00000092856,ENSDART00000136386,23,1.4753552848663491,8.74461062494e-4
Q7ZU96,cct8,ENSDARG00000008243,ENSDART00000009477,10,1.4626717393995503,0.044321976524186
A2CEM2,atl3,ENSDARG00000004270,ENSDART00000139552,14,1.4454274439873431,0.005223661275941
F1QXP8,khsrp,ENSDARG00000026489,ENSDART00000038330,1,1.4188624578804794,5.164851e-9
Q4QRG0,ewsr1b,ENSDARG00000020465,ENSDART00000003998,5,1.4072234882503227,5.886414031e-6
P79732,rrm1,ENSDARG00000014017,ENSDART00000012091,21,1.3999435847221495,0.048183391163774
F1R4C8,ndufs3,ENSDARG00000015385,ENSDART00000015682,7,1.3940702820614992,0.006398188841345
E7EZ90,thop1,ENSDARG00000013776,ENSDART00000125619,11,1.389421295383026,0.02516855057131
Q6IQI6,rpl11,ENSDARG00000043509,ENSDART00000063870,19,1.3866020257356255,0.047712868762159
Q6NWC3,rps2,ENSDARG00000077291,ENSDART00000110842,3,1.3704817396145996,9.88225164778e-4
E9QI62,flna,ENSDARG00000074201,ENSDART00000135820,23,1.363132265652825,0.022832461479125
A0A0R4IIN9,lnpep,ENSDARG00000100394,ENSDART00000163973,5,1.3508945619027966,0.009273233946409
A0A0R4ICN6,fam193b,ENSDARG00000102831,ENSDART00000159988,14,1.331009607371802,1.0366101769e-5
Q9PTP1,pcna,ENSDARG00000054155,ENSDART00000076304,10,1.32107747663675,0.033791912450446
A0A0R4INU8,ccdc50,ENSDARG00000105136,ENSDART00000165618,22,1.3154736994339,1.58685459e-6
B0S5D9,tm9sf2,ENSDARG00000003866,ENSDART00000019743,1,1.311060123559724,2.2787086106e-4
H0WFG6,si:dkey-122c11.8,ENSDARG00000115506,ENSDART00000150394,4,1.3086631827412505,0.012297621070276
P79735,ran,ENSDARG00000057026,ENSDART00000137589,14,1.2985565605764742,0.022960552189292
A0A0R4IWN8,si:ch73-281n10.2,ENSDARG00000097102,ENSDART00000155252,15,1.2979170319699551,4.0846542e-8
E7FFZ8,pon3.2,ENSDARG00000040290,ENSDART00000012807,16,1.2885680391157266,0.02897626025639
A0A0R4IFA2,nde1,ENSDARG00000103902,ENSDART00000159033,3,1.2355372469940011,2.353346281e-6
Q6NVI6,cct5,ENSDARG00000045399,ENSDART00000066760,24,1.1986026323411236,0.029491306582939
A8KBJ5,h3-like,ENSDARG00000105345,ENSDART00000161592,7,1.1948511942685225,0.032659974330491
A2BHA8,srsf7a,ENSDARG00000035325,ENSDART00000147561,5,1.1681874980394995,1.6440699551e-5
B7ZVQ3,znf609b,ENSDARG00000104530,ENSDART00000184497,7,1.164664603720017,0.004576421426409
F1QAX0,ess2,ENSDARG00000060922,ENSDART00000132976,10,1.1501605330989464,2.2594036243e-5
Q8JGS9,rps18,ENSDARG00000100392,ENSDART00000167704,19,1.1437394983808484,0.014485293062159
A0A0R4I9C7,pou5f3,ENSDARG00000044774,ENSDART00000065817,21,1.1275320629789765,3.38025666848e-4
F1QEW4,flot1a,ENSDARG00000001710,ENSDART00000139122,19,1.1110599160560224,0.008625435273743
A0A2R8QRS8,dnmbp,ENSDARG00000074121,ENSDART00000184216,12,1.1084514097729248,0.001438977051221
A3KQX1,cndp2,ENSDARG00000003931,ENSDART00000143457,19,1.103289649086001,0.023802852486234
Q7ZVL5,serpine2,ENSDARG00000029353,ENSDART00000166805,15,1.0888439219611998,1.5997114181e-4
X1WFZ9,si:ch211-165g14.1,ENSDARG00000086459,ENSDART00000154122,3,1.0845466331199467,1.5567513961e-5
B3DHT3,zgc:194285,ENSDARG00000078423,ENSDART00000110429,14,1.0788224019993684,0.024193267805857
Q7SXM7,prpf31,ENSDARG00000095904,ENSDART00000190122,16,1.068200946656173,0.002474221053956
F1R1J6,pxna,ENSDARG00000088590,ENSDART00000126598,5,1.0537328337097496,5.8424186392e-5
Q6NYR0,shmt1,ENSDARG00000052816,ENSDART00000074737,3,1.0349998420776234,0.029540308917517
Q6DGP2,syf2,ENSDARG00000004706,ENSDART00000146278,13,1.0309967291211526,2.309284827e-6
A0A0G2KYR2,lsp1b,ENSDARG00000099385,ENSDART00000185173,7,1.0299198690383269,1.3846181646e-5
Q502P0,arl6ip4,ENSDARG00000105036,ENSDART00000169013,5,1.0270204282563489,1.53762125754e-4
F1QZF5,C7H17orf49,ENSDARG00000099273,ENSDART00000171298,10,1.0258053792432995,0.002883931733129
E7EYQ0,serbp1b,ENSDARG00000087421,ENSDART00000124032,2,1.0246617931325734,7.99742996e-7
Q1L8J7,yap1,ENSDARG00000068401,ENSDART00000098914,18,1.0176748376317268,6.47389153481e-4
A2BGQ3,oclnb,ENSDARG00000003091,ENSDART00000134432,5,1.015559064250375,0.007195330768784
