Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,E Spectral Count,L Spectral Count,E Unique Spectral Count,L Unique Spectral Count,E Total Spectral Count,L Total Spectral Count,Oocyte_Intensity,Liver_Intensity,Indistinguishable Proteins
sp|Q08BL7|GLCTK_DANRE,Q08BL7,GLCTK_DANRE,glyctk,502,Danio rerio,2:Experimental evidence at transcript level,Glycerate kinase,1,0.9853,4,6,6,6,0,6,0,6,0,6,0,354681312,
sp|Q0P3Z2|PTER_DANRE,Q0P3Z2,PTER_DANRE,pter,349,Danio rerio,2:Experimental evidence at transcript level,Phosphotriesterase-related protein,1,0.9987,7,26,26,26,0,26,0,26,0,26,0,1992767230,
sp|Q0P4F7|ACSF2_DANRE,Q0P4F7,ACSF2_DANRE,acsf2,606,Danio rerio,2:Experimental evidence at transcript level,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",1,0.9988,16,49,49,49,0,49,0,49,0,49,0,5211089900,
sp|Q1JPX3|SYFA_DANRE,Q1JPX3,SYFA_DANRE,farsa,497,Danio rerio,2:Experimental evidence at transcript level,Phenylalanine--tRNA ligase alpha subunit,1,0.9987,4,13,13,13,0,13,0,13,0,13,0,414666752,
sp|Q1JPY5|CYP51_DANRE,Q1JPY5,CYP51_DANRE,cyp51,499,Danio rerio,1:Experimental evidence at protein level,Lanosterol 14-alpha demethylase,1,0.998,7,17,17,17,0,17,0,17,0,17,0,1555629310,
sp|Q1L8L9|KAD2_DANRE,Q1L8L9,KAD2_DANRE,ak2,241,Danio rerio,2:Experimental evidence at transcript level,"Adenylate kinase 2, mitochondrial",1,0.9981,5,19,19,19,1,18,1,18,1,18,3234243.2,1319628160,
sp|Q1LXK4|M10B1_DANRE,Q1LXK4,M10B1_DANRE,mov10b.1,1013,Danio rerio,2:Experimental evidence at transcript level,Putative helicase mov-10-B.1,0.6903,0.9828,1,1,1,1,0,1,0,1,0,1,0,220014416,
sp|Q1RLY6|KMO_DANRE,Q1RLY6,KMO_DANRE,kmo,474,Danio rerio,2:Experimental evidence at transcript level,Kynurenine 3-monooxygenase,1,0.9988,6,20,20,20,0,20,0,20,0,20,0,2306504700,
sp|Q2L6L1|CNPY1_DANRE,Q2L6L1,CNPY1_DANRE,cnpy1,187,Danio rerio,1:Experimental evidence at protein level,Protein canopy-1,0.9898,0.9951,1,3,3,3,0,3,0,3,0,3,0,38517388,
sp|Q32LQ4|BHMT1_DANRE,Q32LQ4,BHMT1_DANRE,bhmt,400,Danio rerio,2:Experimental evidence at transcript level,Betaine--homocysteine S-methyltransferase 1,1,0.999,16,93,93,93,0,93,0,93,0,93,0,36585107000,
sp|Q4QRF4|H32_DANRE,Q4QRF4,H32_DANRE,zgc:113984,136,Danio rerio,2:Experimental evidence at transcript level,Histone H3.2,1,0.999,2,14,12,14,0,14,0,12,0,14,0,1392355200,
sp|Q4VBV9|NIT2_DANRE,Q4VBV9,NIT2_DANRE,nit2,277,Danio rerio,2:Experimental evidence at transcript level,Omega-amidase NIT2,1,0.9989,3,8,8,8,0,8,0,8,0,8,0,394613088,
sp|Q502D1|GLOD5_DANRE,Q502D1,GLOD5_DANRE,glod5,163,Danio rerio,2:Experimental evidence at transcript level,Glyoxalase domain-containing protein 5,1,0.9988,3,15,15,15,0,15,0,15,0,15,0,2276130820,
sp|Q504A5|TPMT_DANRE,Q504A5,TPMT_DANRE,tpmt,232,Danio rerio,2:Experimental evidence at transcript level,Probable thiopurine S-methyltransferase,1,0.9989,3,8,8,8,0,8,0,8,0,8,0,992998850,
sp|Q566U4|KFA_DANRE,Q566U4,KFA_DANRE,afmid,293,Danio rerio,2:Experimental evidence at transcript level,Kynurenine formamidase,1,0.9984,2,3,3,3,0,3,0,3,0,3,0,339929248,
sp|Q567V6|EIF3K_DANRE,Q567V6,EIF3K_DANRE,eif3k,219,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 3 subunit K,0.8925,0.9953,1,5,5,5,0,5,0,5,0,5,0,252833760,
sp|Q568F6|PURA2_DANRE,Q568F6,PURA2_DANRE,adss2,455,Danio rerio,2:Experimental evidence at transcript level,Adenylosuccinate synthetase isozyme 2,0.8498,0.9932,1,1,1,1,0,1,0,1,0,1,0,31758628,
sp|Q568L5|A1A1B_DANRE,Q568L5,A1A1B_DANRE,akr1a1b,324,Danio rerio,2:Experimental evidence at transcript level,Aldo-keto reductase family 1 member A1-B,1,0.9975,4,10,10,10,0,10,0,10,0,10,0,709607040,
sp|Q568T4|HIKES_DANRE,Q568T4,HIKES_DANRE,hikeshi,197,Danio rerio,2:Experimental evidence at transcript level,Protein Hikeshi,0.9139,0.9963,1,2,2,2,0,2,0,2,0,2,0,33269604,
sp|Q56A35|ARP2B_DANRE,Q56A35,ARP2B_DANRE,actr2b,394,Danio rerio,2:Experimental evidence at transcript level,Actin-related protein 2-B,0.5046,0.9632,1,1,0,1,0,1,0,0,0,1,0,81716864,sp|Q7SXW6|ARP2A_DANRE
sp|Q5BJA5|H2B1_DANRE,Q5BJA5,H2B1_DANRE,zgc:112234,124,Danio rerio,2:Experimental evidence at transcript level,Histone H2B 1/2,1,0.9989,5,36,0,36,0,36,0,0,0,36,0,24261865500,sp|Q6PC60|H2B3_DANRE
sp|Q5BJJ6|MAT2B_DANRE,Q5BJJ6,MAT2B_DANRE,mat2b,323,Danio rerio,2:Experimental evidence at transcript level,Methionine adenosyltransferase 2 subunit beta,0.8431,0.9928,1,4,4,4,0,4,0,4,0,4,0,47364016,
sp|Q5BJJ7|BCCIP_DANRE,Q5BJJ7,BCCIP_DANRE,bccip,301,Danio rerio,2:Experimental evidence at transcript level,Protein BCCIP homolog,0.904,0.9959,1,2,2,2,0,2,0,2,0,2,0,243998912,
sp|Q5BLE8|RETST_DANRE,Q5BLE8,RETST_DANRE,retsat,607,Danio rerio,1:Experimental evidence at protein level,"All-trans-retinol 13,14-reductase",1,0.999,11,28,28,28,0,28,0,28,0,28,0,4286327550,
sp|Q5D018|RBM8A_DANRE,Q5D018,RBM8A_DANRE,rbm8a,174,Danio rerio,2:Experimental evidence at transcript level,RNA-binding protein 8A,0.9601,0.9984,1,1,1,1,0,1,0,1,0,1,0,35231572,
sp|Q5MJ86|G3P2_DANRE,Q5MJ86,G3P2_DANRE,gapdh-2,335,Danio rerio,2:Experimental evidence at transcript level,Glyceraldehyde-3-phosphate dehydrogenase 2,1,0.9985,2,7,7,7,0,7,0,7,0,7,0,316821216,
sp|Q5PR98|NDRG2_DANRE,Q5PR98,NDRG2_DANRE,ndrg2,368,Danio rerio,2:Experimental evidence at transcript level,Protein NDRG2,1,0.999,3,7,7,7,0,7,0,7,0,7,0,1015324860,
sp|Q5PRA2|DHTK1_DANRE,Q5PRA2,DHTK1_DANRE,dhtkd1,920,Danio rerio,2:Experimental evidence at transcript level,2-oxoadipate dehydrogenase complex component E1,1,0.9988,3,10,10,10,0,10,0,10,0,10,0,493891744,
sp|Q5PRD0|143BA_DANRE,Q5PRD0,143BA_DANRE,ywhaba,244,Danio rerio,2:Experimental evidence at transcript level,14-3-3 protein beta/alpha-A,1,0.999,13,53,26,53,1,52,0,26,1,52,24853486,11548904400,
sp|Q5RFU5|MMAC_DANRE,Q5RFU5,MMAC_DANRE,mmachc,250,Danio rerio,3:Protein inferred from homology,Cyanocobalamin reductase / alkylcobalamin dealkylase,0.9631,0.9985,1,1,1,1,0,1,0,1,0,1,0,24490326,
sp|Q5RGV1|IMDH3_DANRE,Q5RGV1,IMDH3_DANRE,impdh1b,514,Danio rerio,2:Experimental evidence at transcript level,Inosine-5'-monophosphate dehydrogenase 1b,0.6109,0.9758,1,2,0,2,0,2,0,0,0,2,0,156283504,sp|Q6GMG5|IMDH1_DANRE
sp|Q5RHZ6|OSGEP_DANRE,Q5RHZ6,OSGEP_DANRE,osgep,335,Danio rerio,2:Experimental evidence at transcript level,tRNA N6-adenosine threonylcarbamoyltransferase,0.997,0.9982,1,3,3,3,0,3,0,3,0,3,0,34463176,
sp|Q5RZ65|AGR2_DANRE,Q5RZ65,AGR2_DANRE,agr2,171,Danio rerio,2:Experimental evidence at transcript level,Anterior gradient protein 2 homolog,0.5505,0.9692,1,1,1,1,0,1,0,1,0,1,0,5631779,
sp|Q5SPD7|P5CR3_DANRE,Q5SPD7,P5CR3_DANRE,pycr3,288,Danio rerio,2:Experimental evidence at transcript level,Pyrroline-5-carboxylate reductase 3,0.9999,0.9972,1,5,5,5,0,5,0,5,0,5,0,79724152,
sp|Q5U3F8|3HAO_DANRE,Q5U3F8,3HAO_DANRE,haao,287,Danio rerio,2:Experimental evidence at transcript level,"3-hydroxyanthranilate 3,4-dioxygenase",1,0.999,9,42,42,42,0,42,0,42,0,42,0,9807306800,
sp|Q5U3U0|PHYD1_DANRE,Q5U3U0,PHYD1_DANRE,phyhd1,291,Danio rerio,2:Experimental evidence at transcript level,Phytanoyl-CoA dioxygenase domain-containing protein 1,1,0.9988,4,4,4,4,0,4,0,4,0,4,0,792679940,
sp|Q5U3U3|CPT2_DANRE,Q5U3U3,CPT2_DANRE,cpt2,669,Danio rerio,2:Experimental evidence at transcript level,"Carnitine O-palmitoyltransferase 2, mitochondrial",1,0.9987,4,6,6,6,0,6,0,6,0,6,0,430343808,
sp|Q5U403|MVD1_DANRE,Q5U403,MVD1_DANRE,mvd,400,Danio rerio,2:Experimental evidence at transcript level,Diphosphomevalonate decarboxylase,1,0.9977,8,13,13,13,0,13,0,13,0,13,0,950362690,
sp|Q5XJ10|G3P_DANRE,Q5XJ10,G3P_DANRE,gapdh,333,Danio rerio,2:Experimental evidence at transcript level,Glyceraldehyde-3-phosphate dehydrogenase,1,0.999,14,131,131,131,9,122,9,122,9,122,770997950,59960242000,
sp|Q5XJ36|PARK7_DANRE,Q5XJ36,PARK7_DANRE,park7,189,Danio rerio,2:Experimental evidence at transcript level,Parkinson disease protein 7 homolog,0.9695,0.9845,1,2,2,2,0,2,0,2,0,2,0,101186048,
sp|Q5XJ54|GLRX3_DANRE,Q5XJ54,GLRX3_DANRE,glrx3,326,Danio rerio,2:Experimental evidence at transcript level,Glutaredoxin 3,1,0.9983,3,7,7,7,0,7,0,7,0,7,0,619002620,
sp|Q5XJA3|PRRC1_DANRE,Q5XJA3,PRRC1_DANRE,prrc1,435,Danio rerio,1:Experimental evidence at protein level,Protein PRRC1,0.9683,0.9987,1,3,3,3,0,3,0,3,0,3,0,39945888,
sp|Q642H9|RS4X_DANRE,Q642H9,RS4X_DANRE,rps4x,263,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS4,1,0.999,10,14,14,14,0,14,0,14,0,14,0,3551427840,
sp|Q642M9|DHDH_DANRE,Q642M9,DHDH_DANRE,dhdh,334,Danio rerio,2:Experimental evidence at transcript level,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase",1,0.9988,7,22,22,22,0,22,0,22,0,22,0,2507590910,
sp|Q66HV4|COPB_DANRE,Q66HV4,COPB_DANRE,copb1,953,Danio rerio,2:Experimental evidence at transcript level,Coatomer subunit beta,1,0.988,2,7,7,7,0,7,0,7,0,7,0,264865456,
sp|Q66I08|OSTA_DANRE,Q66I08,OSTA_DANRE,slc51a,326,Danio rerio,2:Experimental evidence at transcript level,Organic solute transporter subunit alpha,0.9989,0.9897,2,2,2,2,0,2,0,2,0,2,0,728648380,
sp|Q66I21|AL8A1_DANRE,Q66I21,AL8A1_DANRE,aldh8a1,487,Danio rerio,2:Experimental evidence at transcript level,2-aminomuconic semialdehyde dehydrogenase,1,0.9989,5,20,20,20,0,20,0,20,0,20,0,1293801730,
sp|Q66I59|ASPDH_DANRE,Q66I59,ASPDH_DANRE,aspdh,276,Danio rerio,2:Experimental evidence at transcript level,Aspartate dehydrogenase domain-containing protein,1,0.9982,3,5,5,5,0,5,0,5,0,5,0,404377536,
sp|Q68EK7|RAB4B_DANRE,Q68EK7,RAB4B_DANRE,rab4b,213,Danio rerio,2:Experimental evidence at transcript level,Ras-related protein Rab-4B,0.9901,0.9969,1,6,0,6,0,6,0,0,0,6,0,647868290,
sp|Q6AZA0|THIL_DANRE,Q6AZA0,THIL_DANRE,acat1,420,Danio rerio,2:Experimental evidence at transcript level,"Acetyl-CoA acetyltransferase, mitochondrial",1,0.9989,4,9,9,9,0,9,0,9,0,9,0,555674560,
sp|Q6AZW2|A1A1A_DANRE,Q6AZW2,A1A1A_DANRE,akr1a1a,324,Danio rerio,2:Experimental evidence at transcript level,Aldo-keto reductase family 1 member A1-A,1,0.999,8,33,33,33,0,33,0,33,0,33,0,1945188740,
sp|Q6DEH3|KC2D1_DANRE,Q6DEH3,KC2D1_DANRE,camk2d1,491,Danio rerio,2:Experimental evidence at transcript level,Calcium/calmodulin-dependent protein kinase type II delta 1 chain,0.7517,0.9873,1,1,0,1,0,1,0,0,0,1,0,73686112,sp|Q6DGS3|KC2D2_DANRE
sp|Q6DG81|PLST_DANRE,Q6DG81,PLST_DANRE,pls3,627,Danio rerio,2:Experimental evidence at transcript level,Plastin-3,1,0.9989,12,29,21,29,0,29,0,21,0,29,0,2664611330,
sp|Q6DG85|URIC_DANRE,Q6DG85,URIC_DANRE,uox,298,Danio rerio,1:Experimental evidence at protein level,Uricase,1,0.999,16,58,58,58,0,58,0,58,0,58,0,13950964700,
sp|Q6DGA6|ALLC_DANRE,Q6DGA6,ALLC_DANRE,allc,395,Danio rerio,2:Experimental evidence at transcript level,Allantoicase,1,0.9989,5,14,14,14,0,14,0,14,0,14,0,1486324610,
sp|Q6DGK2|LDHBB_DANRE,Q6DGK2,LDHBB_DANRE,ldhbb,334,Danio rerio,2:Experimental evidence at transcript level,L-lactate dehydrogenase B-B chain,1,0.999,14,78,60,78,1,77,0,60,1,77,116959384,19419484200,
sp|Q6DGW9|TMCO1_DANRE,Q6DGW9,TMCO1_DANRE,tmco1,188,Danio rerio,2:Experimental evidence at transcript level,Calcium load-activated calcium channel,0.9479,0.9979,1,3,3,3,0,3,0,3,0,3,0,574379070,
sp|Q6DH69|FAH2A_DANRE,Q6DH69,FAH2A_DANRE,faah2a,532,Danio rerio,2:Experimental evidence at transcript level,Fatty-acid amide hydrolase 2-A,1,0.999,2,13,13,13,0,13,0,13,0,13,0,345474688,
sp|Q6DHL4|SUMO2_DANRE,Q6DHL4,SUMO2_DANRE,sumo2,96,Danio rerio,3:Protein inferred from homology,Small ubiquitin-related modifier 2,0.8113,0.991,1,2,0,2,0,2,0,0,0,2,0,188124272,"sp|Q6DI05|SUMO3_DANRE, sp|Q6NV25|SMO3L_DANRE"
sp|Q6DHQ3|ACY3B_DANRE,Q6DHQ3,ACY3B_DANRE,acy3.2,314,Danio rerio,2:Experimental evidence at transcript level,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) B,1,0.999,4,13,13,13,0,13,0,13,0,13,0,591643140,
sp|Q6DRC0|SYSC_DANRE,Q6DRC0,SYSC_DANRE,sars1,515,Danio rerio,1:Experimental evidence at protein level,"Serine--tRNA ligase, cytoplasmic",1,0.999,10,28,28,28,0,28,0,28,0,28,0,2341753090,
sp|Q6DRH5|NOP10_DANRE,Q6DRH5,NOP10_DANRE,nop10,64,Danio rerio,3:Protein inferred from homology,H/ACA ribonucleoprotein complex subunit 3,1,0.9956,2,8,8,8,0,8,0,8,0,8,0,349307168,
sp|Q6DRI1|EI3EA_DANRE,Q6DRI1,EI3EA_DANRE,eif3ea,446,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 3 subunit E-A,1,0.9976,6,12,2,12,0,12,0,2,0,12,0,742805120,
sp|Q6GML7|TATD1_DANRE,Q6GML7,TATD1_DANRE,tatdn1,298,Danio rerio,1:Experimental evidence at protein level,Deoxyribonuclease TATDN1,0.9999,0.9976,2,2,2,2,0,2,0,2,0,2,0,3039247.2,
sp|Q6IQM2|CYC_DANRE,Q6IQM2,CYC_DANRE,cyc,104,Danio rerio,3:Protein inferred from homology,Cytochrome c,1,0.999,5,18,17,18,0,18,0,17,0,18,0,2026058500,
sp|Q6IQP3|CALUA_DANRE,Q6IQP3,CALUA_DANRE,calua,315,Danio rerio,2:Experimental evidence at transcript level,Calumenin-A,0.9999,0.9976,1,4,4,4,0,4,0,4,0,4,0,105063728,
sp|Q6NUW5|AN32E_DANRE,Q6NUW5,AN32E_DANRE,anp32e,250,Danio rerio,1:Experimental evidence at protein level,Acidic leucine-rich nuclear phosphoprotein 32 family member E,1,0.9975,3,6,6,6,0,6,0,6,0,6,0,518111712,
sp|Q6NUW9|FGGY_DANRE,Q6NUW9,FGGY_DANRE,fggy,545,Danio rerio,2:Experimental evidence at transcript level,FGGY carbohydrate kinase domain-containing protein,0.9052,0.9734,1,2,2,2,0,2,0,2,0,2,0,36202120,
sp|Q6NWE0|CK054_DANRE,Q6NWE0,CK054_DANRE,zgc:85789,319,Danio rerio,2:Experimental evidence at transcript level,Ester hydrolase C11orf54 homolog,1,0.999,9,20,20,20,0,20,0,20,0,20,0,1766232830,
sp|Q6NWF6|K2C8_DANRE,Q6NWF6,K2C8_DANRE,krt8,520,Danio rerio,1:Experimental evidence at protein level,"Keratin, type II cytoskeletal 8",1,0.999,23,80,71,80,0,80,0,71,0,80,0,16615721000,
sp|Q6NX89|IF5A1_DANRE,Q6NX89,IF5A1_DANRE,eif5a,155,Danio rerio,1:Experimental evidence at protein level,Eukaryotic translation initiation factor 5A-1,1,0.9784,4,4,4,4,0,4,0,4,0,4,0,1120151680,
sp|Q6NXA4|ILF3_DANRE,Q6NXA4,ILF3_DANRE,ilf3,833,Danio rerio,1:Experimental evidence at protein level,Interleukin enhancer-binding factor 3 homolog,0.9518,0.998,1,1,1,1,0,1,0,1,0,1,0,26226466,
sp|Q6NY77|HOGA1_DANRE,Q6NY77,HOGA1_DANRE,zgc:77082,324,Danio rerio,2:Experimental evidence at transcript level,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",1,0.9987,5,15,15,15,0,15,0,15,0,15,0,458148864,
sp|Q6NYA0|SRS1B_DANRE,Q6NYA0,SRS1B_DANRE,srsf1b,245,Danio rerio,2:Experimental evidence at transcript level,Serine/arginine-rich splicing factor 1B,0.9986,0.9896,2,4,0,4,0,4,0,0,0,4,0,27274490,sp|Q7SXP4|SRS1A_DANRE
sp|Q6NYG8|DPYD_DANRE,Q6NYG8,DPYD_DANRE,dpyd,1022,Danio rerio,2:Experimental evidence at transcript level,Dihydropyrimidine dehydrogenase [NADP(+)],1,0.999,12,37,37,37,0,37,0,37,0,37,0,3274453500,
sp|Q6NYL3|ECHP_DANRE,Q6NYL3,ECHP_DANRE,ehhadh,718,Danio rerio,2:Experimental evidence at transcript level,Peroxisomal bifunctional enzyme,0.9514,0.9823,1,1,1,1,0,1,0,1,0,1,0,78827888,
sp|Q6NYL5|ALAT2_DANRE,Q6NYL5,ALAT2_DANRE,gpt2l,549,Danio rerio,2:Experimental evidence at transcript level,Alanine aminotransferase 2-like,1,0.999,8,19,19,19,0,19,0,19,0,19,0,2014015740,
sp|Q6NYS8|OST48_DANRE,Q6NYS8,OST48_DANRE,ddost,441,Danio rerio,2:Experimental evidence at transcript level,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,1,0.9963,7,15,15,15,0,15,0,15,0,15,0,2430758660,
sp|Q6NZ06|ILF2_DANRE,Q6NZ06,ILF2_DANRE,ilf2,387,Danio rerio,2:Experimental evidence at transcript level,Interleukin enhancer-binding factor 2 homolog,0.8943,0.9607,1,1,1,1,0,1,0,1,0,1,0,188779200,
sp|Q6P0D9|CIAO1_DANRE,Q6P0D9,CIAO1_DANRE,ciao1,330,Danio rerio,2:Experimental evidence at transcript level,Probable cytosolic iron-sulfur protein assembly protein ciao1,0.5296,0.9666,1,1,1,1,0,1,0,1,0,1,0,45094644,
sp|Q6P0E5|DDRGK_DANRE,Q6P0E5,DDRGK_DANRE,ddrgk1,300,Danio rerio,2:Experimental evidence at transcript level,DDRGK domain-containing protein 1,0.9997,0.9977,1,2,2,2,0,2,0,2,0,2,0,11140636,
sp|Q6P0V6|RL8_DANRE,Q6P0V6,RL8_DANRE,rpl8,257,Danio rerio,1:Experimental evidence at protein level,Large ribosomal subunit protein uL2,0.9997,0.9927,1,1,1,1,0,1,0,1,0,1,0,507821472,
sp|Q6P3J5|EF2_DANRE,Q6P3J5,EF2_DANRE,eef2b,858,Danio rerio,1:Experimental evidence at protein level,Elongation factor 2b,1,0.999,46,305,305,305,4,301,4,301,4,301,26940012,90906853000,
