accession,name,ensembl_gene_id,ensembl_transcript_id,chromosome_name,6h_logFC,6h_adj.P.Val
O42248,rack1,ENSDARG00000041619,ENSDART00000159470,14,2.516630366699602,0.00746762153672704
F1REN8,srpk1b,ENSDARG00000031560,ENSDART00000042972,11,2.499756893922597,0.0121738090751647
B8JLL1,umps,ENSDARG00000012215,ENSDART00000030995,9,2.442604924509422,0.0012481718060907
A0A0R4IJB0,si:ch211-222l21.1,ENSDARG00000076532,ENSDART00000159713,11,2.410769154474522,9.16484273823e-6
F1QYX8,hadhab,ENSDARG00000060594,ENSDART00000076009,17,2.3814213882301996,0.01213942650991
B0JZL0,tubg1,ENSDARG00000015610,ENSDART00000110716,3,2.378700551068347,0.00767075081679252
Q5XJ10,gapdh,ENSDARG00000043457,ENSDART00000139939,16,2.37164377669385,0.011578971385073
A3KPZ2,cratb,ENSDARG00000098782,ENSDART00000187164,19,2.3384911370007764,0.0118722108374715
Q6P102,ywhabl,ENSDARG00000040287,ENSDART00000189335,16,2.3349107366411466,0.00235126383998656
Q802C9,eif4a1a,ENSDARG00000092115,ENSDART00000058913,7,2.3252476269138733,0.00536692572683986
Q6PHI8,tktb,ENSDARG00000006019,ENSDART00000005021,23,2.321899299016925,0.00214070028973174
A8KC30,psmc1a,ENSDARG00000030537,ENSDART00000036668,17,2.3192328427995723,0.00679181869840812
F6P2R4,gcat,ENSDARG00000005643,ENSDART00000007398,3,2.3094641569818,0.0271862671630525
E7F0E8,xpo1a,ENSDARG00000078041,ENSDART00000108906,1,2.30936906188135,2.85726285621762e-4
Q1LWH1,rps16,ENSDARG00000045487,ENSDART00000066898,4,2.296145035977974,0.0070168199676027
A0A0R4IFJ4,pcxa,ENSDARG00000098766,ENSDART00000169025,21,2.267980477707499,0.00279545363831943
A2RV29,znf346,ENSDARG00000060695,ENSDART00000085786,21,2.246557543060125,1.552078764e-9
Q803T5,ahcy,ENSDARG00000005191,ENSDART00000018523,6,2.1947068300847214,0.00290064523097979
Q8JHI0,slc25a5,ENSDARG00000092553,ENSDART00000105726,14,2.1934138063779756,0.00423475929453163
F1Q4N4,ndufs2,ENSDARG00000007526,ENSDART00000108787,7,2.190155705199522,0.00241682737146258
Q6NXA5,pon2,ENSDARG00000016856,ENSDART00000008326,16,2.1723892878510007,9.44215837675911e-4
Q6PE25,eef1g,ENSDARG00000056119,ENSDART00000078522,14,2.143541205319826,0.00478781961226574
Q1LYB7,rpl13a,ENSDARG00000044093,ENSDART00000064739,17,2.137896690500547,0.00790945171045961
B0S6C5,retsatl,ENSDARG00000034989,ENSDART00000141434,9,2.131665273218804,0.0112224349843352
F1QVH3,ebag9,ENSDARG00000040021,ENSDART00000058546,16,2.1298711658584764,5.1814956774e-8
A0A0R4IWN8,si:ch73-281n10.2,ENSDARG00000097102,ENSDART00000155252,15,2.126890320794004,4.5142563e-11
E7F789,specc1,ENSDARG00000029480,ENSDART00000047143,5,2.114522011825627,3.0299363563269e-5
A0A0R4IRX9,nfkbiz,ENSDARG00000102097,ENSDART00000161190,1,2.1064446194962283,0.0170971423036642
Q7ZW95,rpl4,ENSDARG00000041182,ENSDART00000060363,18,2.1029120563298194,0.00195942388095508
A8WGC6,atp5f1b,ENSDARG00000070083,ENSDART00000060310,11,2.0947218483871475,0.00201028577750458
A0A0R4IF65,mcm2,ENSDARG00000102798,ENSDART00000159629,22,2.0930434760933605,0.0212969259998602
Q7ZU96,cct8,ENSDARG00000008243,ENSDART00000009477,10,2.08901425900965,0.00423475929453163
Q6PD83,bzw1a,ENSDARG00000010481,ENSDART00000013575,22,2.0823543491253167,0.0064177884192397
F1Q5L3,sfswap,ENSDARG00000005980,ENSDART00000143113,21,2.0649095852566983,2.7203347015372e-5
A5JNG8,nanog,ENSDARG00000075113,ENSDART00000114762,24,2.0640639751041765,8.5250011747e-7
F1Q6S1,npepl1,ENSDARG00000012871,ENSDART00000024578,6,2.0600253544067493,0.015201554335466501
A0A2R8QPY7,FO834857.1,ENSDARG00000112895,ENSDART00000183228,6,2.0528329088638477,1.740673582619e-6
A8E526,rpl14,ENSDARG00000103433,ENSDART00000169464,19,2.016700140173698,0.00495065470517628
E7FFZ8,pon3.2,ENSDARG00000040290,ENSDART00000012807,16,1.9681334887730009,0.00145060847125942
F1QRM9,npepps,ENSDARG00000044943,ENSDART00000147670,11,1.9671336517982727,0.0069361565037948
Q9PTP1,pcna,ENSDARG00000054155,ENSDART00000076304,10,1.960222360944676,0.00224165447969594
A0A0R4INF8,nots,ENSDARG00000099824,ENSDART00000162341,4,1.958789812674672,0.00160694452614334
F1QV15,vtg6,ENSDARG00000016825,ENSDART00000143443,22,1.9536732429448476,0.00353942623942826
E9QI62,flna,ENSDARG00000074201,ENSDART00000135820,23,1.9469982305256743,0.00171120910465995
A0A2R8QDC7,actn4,ENSDARG00000099786,ENSDART00000187688,15,1.9428210235622776,0.0305534273918332
P79732,rrm1,ENSDARG00000014017,ENSDART00000012091,21,1.941377118327624,0.00588581707035348
Q4QRG0,ewsr1b,ENSDARG00000020465,ENSDART00000003998,5,1.939376411346899,7.0730960994e-8
Q1L907,gstr,ENSDARG00000042620,ENSDART00000062518,19,1.9291498972002223,0.00543699250512778
F1QXP8,khsrp,ENSDARG00000026489,ENSDART00000038330,1,1.9278447331855544,4.5142563e-11
Q9W792,tcp1,ENSDARG00000017891,ENSDART00000180200,23,1.919489650479374,0.0153057051665811
B8A5W1,si:ch211-193e13.5,ENSDARG00000052656,ENSDART00000141147,10,1.911816463617048,0.00209898888323134
A4IGC8,aldh18a1,ENSDARG00000099579,ENSDART00000181501,12,1.907604654348624,0.0159858968286891
E7EZ90,thop1,ENSDARG00000013776,ENSDART00000125619,11,1.8966678309074756,0.00259615846960354
Q6P5M3,rps9,ENSDARG00000011405,ENSDART00000176928,16,1.8808757208115776,0.00653692040306697
A0A286Y917,anln,ENSDARG00000060917,ENSDART00000179357,19,1.8674851276836255,4.56233487e-10
Q6IQI6,rpl11,ENSDARG00000043509,ENSDART00000063870,19,1.8645438446941751,0.00683316750907709
Q6YBS2,cap1,ENSDARG00000016350,ENSDART00000006344,19,1.8621989479760983,0.0102966967154096
Q6P0T1,C21H18orf25,ENSDARG00000046071,ENSDART00000067733,21,1.844376017099229,0.00627878592752495
Q6NZZ2,arpc4l,ENSDARG00000058225,ENSDART00000123665,11,1.8411973743252992,0.00611234169218874
B3DHT3,zgc:194285,ENSDARG00000078423,ENSDART00000110429,14,1.8366063124692935,5.24980949644007e-4
F1QZU7,aldh2.2,ENSDARG00000028087,ENSDART00000097248,5,1.8358318006779777,0.0247969667194708
P79735,ran,ENSDARG00000057026,ENSDART00000034438,14,1.8223721122182477,0.00194949900512503
Q90ZZ7,aldh3b1,ENSDARG00000013839,ENSDART00000174929,3,1.818305840088476,0.00259615846960354
Q6DGP2,syf2,ENSDARG00000004706,ENSDART00000145016,13,1.8118972279618517,1.2615311e-9
F1R8S0,drap1,ENSDARG00000041203,ENSDART00000060399,7,1.769561233261,1.37359173229e-7
Q6NVI6,cct5,ENSDARG00000045399,ENSDART00000066760,24,1.763066233440723,0.00196099005564113
A0A140UHW3,MYG1,ENSDARG00000069977,ENSDART00000102293,11,1.7590220701934258,0.00744892287434995
F1R4C8,ndufs3,ENSDARG00000015385,ENSDART00000015682,7,1.7534160008241988,7.62585034499924e-4
A0A0R4I9C7,pou5f3,ENSDARG00000044774,ENSDART00000065817,21,1.7526304145226257,1.945419069383e-6
Q1L8J7,yap1,ENSDARG00000068401,ENSDART00000098914,18,1.7419064518196266,1.681999012565e-6
A7YT47,hadhaa,ENSDARG00000057128,ENSDART00000079734,20,1.7307390251042751,0.0109010866820229
A0A2R8RZX0,ipo4,ENSDARG00000041493,ENSDART00000182027,24,1.7167755157701747,0.00611234169218874
E9QET5,si:ch211-210c8.7,ENSDARG00000092856,ENSDART00000131680,23,1.7143199767123245,1.32728399823812e-4
A0A0R4IIN9,lnpep,ENSDARG00000100394,ENSDART00000163973,5,1.6917828380613713,0.00129977314656483
E9QIR9,rpl10,ENSDARG00000025581,ENSDART00000143764,23,1.674530379844626,0.00746762153672704
Q6PC69,rpl10a,ENSDARG00000042905,ENSDART00000138427,8,1.6585805761499488,0.00328563333827572
F1R9I6,mfap1,ENSDARG00000018241,ENSDART00000028105,7,1.655389189245802,1.196597797e-9
F1QAX0,ess2,ENSDARG00000060922,ENSDART00000132976,10,1.653261530606296,1.73393256883e-7
A2CEM2,atl3,ENSDARG00000004270,ENSDART00000139552,14,1.646821670014619,0.00127850516334892
Q6Q420,rps15a,ENSDARG00000010160,ENSDART00000128613,3,1.6424558378465737,0.00443740389472689
A3KQX1,cndp2,ENSDARG00000003931,ENSDART00000143457,19,1.6367346762260009,0.00137397473629623
A0A0R4ICN6,fam193b,ENSDARG00000102831,ENSDART00000159988,14,1.6286687454411777,5.16577555705e-7
Q78AP9,arf3b,ENSDARG00000036998,ENSDART00000053775,6,1.6286177984127728,0.0108785014159816
Q502P0,arl6ip4,ENSDARG00000105036,ENSDART00000169013,5,1.627572370506449,6.24023501693e-7
P62247,rps8a,ENSDARG00000055996,ENSDART00000131292,2,1.627132231309974,0.00557707067934083
F1QB21,decr1,ENSDARG00000003869,ENSDART00000139069,16,1.6079387076753748,0.0304944973590497
A2CEW4,atic,ENSDARG00000016706,ENSDART00000022307,1,1.6032307866521986,0.016406160579822
A0A0R4INU8,ccdc50,ENSDARG00000105136,ENSDART00000165618,22,1.5929291194859498,7.4622705484e-8
A0A2R8PVJ3,WDR1,ENSDARG00000114022,ENSDART00000185606,14,1.5646746515742622,0.0366811594085586
Q6NWC3,rps2,ENSDARG00000077291,ENSDART00000138107,3,1.5476011543193238,1.96986762875616e-4
Q6DI20,dpp3,ENSDARG00000020676,ENSDART00000011305,21,1.5349009208811497,0.0228740645453496
Q7ZW27,arcn1a,ENSDARG00000002792,ENSDART00000014666,5,1.521581386426874,0.00914103908013537
F1QZA5,psmd6,ENSDARG00000070674,ENSDART00000103987,11,1.5176431269664996,0.00531914126010093
Q7T2P2,cct3,ENSDARG00000016173,ENSDART00000003752,16,1.5083303484320492,0.0115772614714765
F1R1J6,pxna,ENSDARG00000088590,ENSDART00000126598,5,1.506951380701124,6.18866228125e-7
Q6TLH9,zmat2,ENSDARG00000004956,ENSDART00000007412,21,1.5030611903025253,8.93477601099e-7
Q6NYR0,shmt1,ENSDARG00000052816,ENSDART00000074737,3,1.4602920596189246,0.00258260572139475
Q7ZTZ4,fbl,ENSDARG00000053912,ENSDART00000076030,16,1.4580454430999492,1.595667933484e-6
Q5RGK8,snd1,ENSDARG00000006766,ENSDART00000040405,4,1.4562788880008777,0.00627878592752495
B1H1L4,tcf3b,ENSDARG00000099999,ENSDART00000161610,22,1.4428366048484764,1.52666159199668e-4
Q5RHK8,pinx1,ENSDARG00000023532,ENSDART00000128435,20,1.4361017335993256,9.9550186224888e-5
Q8JGS9,rps18,ENSDARG00000100392,ENSDART00000168004,19,1.4313123669167984,0.00227909529095846
Q8AW07,psmd12,ENSDARG00000052377,ENSDART00000126186,6,1.4300404997871012,0.00441618446462984
A0A0G2KYR2,lsp1b,ENSDARG00000099385,ENSDART00000168641,7,1.4270961953860022,1.59169944378e-7
A2CE73,khdrbs1a,ENSDARG00000052856,ENSDART00000183589,13,1.4232480854303995,4.294686766622e-6
Q1LU98,gmnn,ENSDARG00000035957,ENSDART00000052185,19,1.410676912509577,3.1929689763e-8
Q7ZWF2,rabggtb,ENSDARG00000068587,ENSDART00000099247,2,1.4011324970586392,0.0304944973590497
O42364,apoeb,ENSDARG00000040295,ENSDART00000133484,16,1.3945950818126274,0.00281515118790203
F8W246,rps13,ENSDARG00000036298,ENSDART00000132683,7,1.3936364830099262,0.00874883332348538
F1R211,sox19b,ENSDARG00000040266,ENSDART00000058910,7,1.3841176823835488,1.55193453904e-6
Q1LY88,stim1a,ENSDARG00000060723,ENSDART00000122134,15,1.3823983446553254,0.00160694452614334
A2BHA8,srsf7a,ENSDARG00000035325,ENSDART00000147561,5,1.3738812517020251,1.180466240878e-6
Q7ZVW8,cwc25,ENSDARG00000003382,ENSDART00000100924,2,1.3733336979375503,6.9337879483767e-5
F1QET7,fscn1a,ENSDARG00000059680,ENSDART00000083212,3,1.3705298770690486,0.00128059111654539
F1QZF5,C7H17orf49,ENSDARG00000099273,ENSDART00000171298,10,1.36685768030085,1.68662895337591e-4
B0S5D9,tm9sf2,ENSDARG00000003866,ENSDART00000019743,1,1.3584214699037742,8.2905434155969e-5
Q7ZUS9,etfa,ENSDARG00000101631,ENSDART00000162188,25,1.3579614347794264,0.0363031888119675
Q8JGR4,rpl24,ENSDARG00000099104,ENSDART00000157701,1,1.3536640757986245,0.0070168199676027
F8W265,hnrnpa0b,ENSDARG00000036162,ENSDART00000144599,14,1.3536230475612991,1.177032323507e-6
Q6PBK9,prdx6,ENSDARG00000043511,ENSDART00000063877,20,1.3515555987592247,0.0215816215484716
A0A2R8Q9K6,rpl7a,ENSDARG00000019230,ENSDART00000184426,5,1.3503657037071024,0.00630142911268658
Q66I37,nucks1a,ENSDARG00000078473,ENSDART00000102858,11,1.3470361094636016,7.284261747144e-6
A0A0R4I9F5,ddost,ENSDARG00000037318,ENSDART00000124539,23,1.3399670515434472,0.0381065251977219
Q7ZVL5,serpine2,ENSDARG00000029353,ENSDART00000041677,15,1.3217208293100506,1.17866874643e-5
Q7SXM7,prpf31,ENSDARG00000095904,ENSDART00000190122,16,1.3131780019723225,2.69014167242512e-4
P79733,rrm2,ENSDARG00000078069,ENSDART00000165841,19,1.3056502853908287,5.535355011e-9
F1QNQ8,c1d,ENSDARG00000021112,ENSDART00000177957,13,1.3051888875470503,1.9782194685003e-5
A0A0R4IAX0,fnbp1l,ENSDARG00000020131,ENSDART00000171867,8,1.2972774141526515,0.00496241546241204
Q24JV4,zgc:136864,ENSDARG00000059816,ENSDART00000083572,1,1.2963004960315507,7.7028367290673e-5
P62084,rps7,ENSDARG00000042566,ENSDART00000126229,20,1.2894205272511006,0.00245178559037804
Q7T1D8,phb,ENSDARG00000057414,ENSDART00000080075,3,1.2752564591268485,0.00397866620266784
Q7SXP4,srsf1a,ENSDARG00000057691,ENSDART00000133755,15,1.2614087098144022,8.5250011747e-7
E7EYQ0,serbp1b,ENSDARG00000087421,ENSDART00000124032,2,1.2488525248507227,3.957961201e-8
O57521,hsp90ab1,ENSDARG00000029150,ENSDART00000153452,20,1.2468215694927016,0.0346428645475446
A0A2R8QRS8,dnmbp,ENSDARG00000074121,ENSDART00000184216,12,1.241392558750475,3.07330586497322e-4
A0A0N4SUG1,cobll1b,ENSDARG00000102829,ENSDART00000170352,9,1.2223197044211742,7.0051197293016e-5
Q567N5,rpl6,ENSDARG00000058451,ENSDART00000125124,8,1.219804849307449,0.00243809970733611
Q6PBX2,sar1b,ENSDARG00000103403,ENSDART00000162422,21,1.2067857556200758,0.0314611044784119
Q7ZVT2,pkma,ENSDARG00000099730,ENSDART00000167229,18,1.2049022145341,0.0157963770064881
Q6P5L7,arglu1a,ENSDARG00000019223,ENSDART00000142272,9,1.2031098526422763,1.7951996900886e-4
Q1MT86,usp5,ENSDARG00000014517,ENSDART00000029121,16,1.201881334330676,0.00366522741788525
F1QXP5,mthfd1b,ENSDARG00000040492,ENSDART00000021950,17,1.1955184029630994,0.0371263099440623
A0A2R8QL12,ncoa6,ENSDARG00000071272,ENSDART00000182512,23,1.1849553459775235,2.094763288939e-6
Q504E7,szrd1,ENSDARG00000056338,ENSDART00000078824,23,1.183616569272076,3.089400029729e-6
A2BGQ3,oclnb,ENSDARG00000003091,ENSDART00000134432,5,1.1611005223189,0.00186883543348678
Q6Q417,rpl7,ENSDARG00000007320,ENSDART00000019149,2,1.1604557422598232,6.80246855744703e-4
Q7SZQ4,mff,ENSDARG00000053753,ENSDART00000144153,15,1.1580364832436758,9.44215837675911e-4
A0A0G2KTT4,si:dkey-167k11.5,ENSDARG00000039752,ENSDART00000154296,3,1.1523939962045848,0.00223111594311924
Q5BJJ2,rpl3,ENSDARG00000003599,ENSDART00000011251,3,1.1505638460979764,0.00538923072739409
Q4KMC9,C20H1orf198,ENSDARG00000043842,ENSDART00000064365,20,1.1487465848897,0.0129059189447765
A0A0J9YJ24,poldip3,ENSDARG00000099375,ENSDART00000171287,3,1.148586528711926,1.19738041560925e-4
A0A2R8QAC6,wipf2a,ENSDARG00000045298,ENSDART00000188314,11,1.1438768168777005,1.1823870385715e-5
A1A5X4,add1,ENSDARG00000103962,ENSDART00000171131,21,1.1406168603260003,7.45980777004e-7
Q6IQT4,cops2,ENSDARG00000004785,ENSDART00000006124,25,1.1315583748178222,0.0135445205556398
Q2TLY1,maco1b,ENSDARG00000012741,ENSDART00000074567,13,1.12335318063905,0.00263289952188377
F1QBT1,nfya,ENSDARG00000042004,ENSDART00000140397,11,1.1230699638729724,3.60170327205555e-4
Q568A0,prkrip1,ENSDARG00000033126,ENSDART00000045518,5,1.1218271499163468,1.530753068407e-6
E7FAQ8,hnrnpa1a,ENSDARG00000011020,ENSDART00000018131,11,1.1214153610067028,5.67906932244e-7
Q7SYM1,foxk1,ENSDARG00000037872,ENSDART00000055201,3,1.1211717427626489,1.08675436358978e-4
F1Q4N6,zgc:77056,ENSDARG00000029615,ENSDART00000102510,16,1.1132132341481007,1.17389465005e-7
E9QHY6,eaf1,ENSDARG00000070795,ENSDART00000144763,16,1.1028013154827991,0.0127205111910573
B8JIY2,nolc1,ENSDARG00000024561,ENSDART00000102651,13,1.1016121437806243,1.24583505898e-7
Q9PVK4,ldhba,ENSDARG00000019644,ENSDART00000179867,4,1.0947365078522784,0.00931887048968336
A0A0R4IMZ7,kmt5ab,ENSDARG00000104114,ENSDART00000166893,5,1.0938409540767728,0.0178619865181104
E7FB74,atxn1l,ENSDARG00000086977,ENSDART00000127351,7,1.0931627656013756,1.61182227395447e-4
Q6DHL6,rps6,ENSDARG00000019778,ENSDART00000023336,1,1.0862547225032249,0.0065978671026187
Q6PBY1,rps3a,ENSDARG00000035692,ENSDART00000051763,1,1.084932898156202,0.0105433381830456
B7ZVQ3,znf609b,ENSDARG00000104530,ENSDART00000184497,7,1.0804111290154996,0.00445282740327595
Q7SZ61,gps2,ENSDARG00000035558,ENSDART00000133355,5,1.0747102204085512,4.7518392128866e-5
Q802Y1,srsf4,ENSDARG00000105293,ENSDART00000165033,19,1.0675901497667477,4.870236241678e-6
Q6P3J5,eef2b,ENSDARG00000100371,ENSDART00000168497,2,1.0673415412964755,0.0018027504641186
F1QCF9,ccdc9,ENSDARG00000004636,ENSDART00000126046,15,1.0551571438774716,9.61191665845e-7
Q803K8,creb1a,ENSDARG00000053586,ENSDART00000187346,1,1.047569898220376,3.54060615178e-7
E7FCK6,nufip2,ENSDARG00000069066,ENSDART00000100214,15,1.0445607876505252,0.0193983615014682
A0A0G2KCY3,ap3b1a,ENSDARG00000100082,ENSDART00000169834,21,1.0431995885415504,0.0212969259998602
F1R799,oclna,ENSDARG00000005108,ENSDART00000188698,10,1.0425898727627017,1.9613126853694e-5
E7FC99,ctnnb2,ENSDARG00000023472,ENSDART00000081675,19,1.0379262239057736,1.7437105008352e-5
Q7T1K0,rpl17,ENSDARG00000057556,ENSDART00000131366,21,1.0352010250155503,0.0104728954399831
F1QZG1,myof,ENSDARG00000006112,ENSDART00000144283,12,1.0336108209602506,1.96986762875616e-4
B8JLJ3,ywhaz,ENSDARG00000032575,ENSDART00000041960,19,1.0302248776426737,0.00960526257372996
Q7ZZA3,fkbp11,ENSDARG00000037000,ENSDART00000053776,6,1.0272172814416505,0.00659803788043322
F1QDR0,ubap2a,ENSDARG00000088318,ENSDART00000136103,21,1.0251815432051268,3.647733814e-9
Q1LV81,safb,ENSDARG00000020467,ENSDART00000017838,22,1.0147257311208784,1.628799956129e-6
E7F4J8,tbl2,ENSDARG00000043357,ENSDART00000063642,10,1.0145811933217486,3.09272267849602e-4
F1QDY2,ugp2b,ENSDARG00000008200,ENSDART00000140467,17,1.0132185833577985,0.0161403657185832
E9QB86,zgc:77486,ENSDARG00000093978,ENSDART00000137994,8,1.0116828558957998,1.4848615624992e-5
F1QT45,pnn,ENSDARG00000015851,ENSDART00000012670,17,1.0112156288061478,2.44485224677755e-4
Q6AXK4,babam1,ENSDARG00000077526,ENSDART00000122262,11,1.0094072195285984,0.0182776106805511
A0A0R4IM03,EPB41L2,ENSDARG00000093374,ENSDART00000172130,20,1.0066389104342013,1.96986762875616e-4
Q1L9A1,hnrnpul1,ENSDARG00000040564,ENSDART00000059360,18,1.0003705705919017,4.9551351332878e-5
