Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,5dpf_1 Spectral Count,5dpf_2 Spectral Count,5dpf_1 Unique Spectral Count,5dpf_2 Unique Spectral Count,5dpf_1 Total Spectral Count,5dpf_2 Total Spectral Count,5dpf_1 Intensity,5dpf_2 Intensity,Indistinguishable Proteins
sp|A0A286Y9D1|PHF14_DANRE,A0A286Y9D1,PHF14_DANRE,phf14,914,Danio rerio,1:Experimental evidence at protein level,PHD finger protein 14,0.6443,0.9841,1,1,1,1,1,0,1,0,1,0,26591018,0,
sp|A0A2R8Q3S9|CLCC1_DANRE,A0A2R8Q3S9,CLCC1_DANRE,clcc1,609,Danio rerio,2:Experimental evidence at transcript level,Chloride channel CLIC-like protein 1,0.9785,0.999,1,2,2,2,2,0,2,0,2,0,25130184,0,
sp|A0A2R8QCI3|DAPLE_DANRE,A0A2R8QCI3,DAPLE_DANRE,ccdc88c,2023,Danio rerio,2:Experimental evidence at transcript level,Protein Daple,1,0.9858,4,51,51,51,28,23,28,23,28,23,71519617000,53526041000,
sp|A0A2R8QF68|GRIK2_DANRE,A0A2R8QF68,GRIK2_DANRE,grik2,908,Danio rerio,3:Protein inferred from homology,"Glutamate receptor ionotropic, kainate 2",0.9999,0.9968,4,4,4,4,3,1,3,1,3,1,69983264,30649922,
sp|A0A2R8QFQ6|FB11A_DANRE,A0A2R8QFQ6,FB11A_DANRE,fbxw11a,562,Danio rerio,2:Experimental evidence at transcript level,F-box and WD repeat domain-containing 11-A,0.9997,0.9979,3,4,0,4,2,2,0,0,2,2,85608552,48217488,
sp|A0A2R8QP51|DPP9_DANRE,A0A2R8QP51,DPP9_DANRE,dpp9,885,Danio rerio,3:Protein inferred from homology,Dipeptidyl peptidase 9,1,0.999,27,77,77,77,42,35,42,35,42,35,3265288450,2325917700,
sp|A0A8M1N5Y4|TMX3A_DANRE,A0A8M1N5Y4,TMX3A_DANRE,tmx3a,437,Danio rerio,2:Experimental evidence at transcript level,Protein disulfide-isomerase tmx3a,1,0.9989,6,11,11,11,7,4,7,4,7,4,416246720,232805232,
sp|A0A8M1NHK4|RBM47_DANRE,A0A8M1NHK4,RBM47_DANRE,rbm47,600,Danio rerio,1:Experimental evidence at protein level,RNA-binding protein 47,0.9999,0.9958,4,6,6,6,3,3,3,3,3,3,255066720,130838920,
sp|A0A8M2B5N2|TSN18_DANRE,A0A8M2B5N2,TSN18_DANRE,tspan18b,258,Danio rerio,2:Experimental evidence at transcript level,Tetraspanin-18B,0.4517,0.9656,1,2,2,2,2,0,2,0,2,0,37703164,0,
sp|A0A8M2BIB6|DSG2L_DANRE,A0A8M2BIB6,DSG2L_DANRE,dsg2l,1063,Danio rerio,2:Experimental evidence at transcript level,Desmoglein-2-like protein,1,0.999,8,10,10,10,9,1,9,1,9,1,409769504,77941176,
sp|A0A8M2BID5|DESPA_DANRE,A0A8M2BID5,DESPA_DANRE,dspa,2059,Danio rerio,2:Experimental evidence at transcript level,Desmoplakin-A,1,0.999,86,208,204,208,107,101,105,99,107,101,9665986600,6281354200,
sp|A0A8M3AJY3|ABRX2_DANRE,A0A8M3AJY3,ABRX2_DANRE,abraxas2,416,Danio rerio,1:Experimental evidence at protein level,BRISC complex subunit abraxas 2,0.9992,0.9968,4,7,7,7,4,3,4,3,4,3,169969552,98616512,
sp|A0A8M3B525|BRCC3_DANRE,A0A8M3B525,BRCC3_DANRE,brcc3,287,Danio rerio,1:Experimental evidence at protein level,Lys-63-specific deubiquitinase,1,0.999,5,11,11,11,7,4,7,4,7,4,420606176,221523104,
sp|A0A8M9PFP2|CSTN3_DANRE,A0A8M9PFP2,CSTN3_DANRE,clstn3,956,Danio rerio,1:Experimental evidence at protein level,Calsyntenin-3,0.9985,0.9989,2,2,2,2,2,0,2,0,2,0,14951157,0,
sp|A0A8M9PQ61|DESPB_DANRE,A0A8M9PQ61,DESPB_DANRE,dspb,2207,Danio rerio,2:Experimental evidence at transcript level,Desmoplakin-B,1,0.999,91,194,194,198,113,81,113,81,115,83,8151835600,4724693000,
sp|A0AUR5|MINY3_DANRE,A0AUR5,MINY3_DANRE,mindy3,446,Danio rerio,2:Experimental evidence at transcript level,Ubiquitin carboxyl-terminal hydrolase MINDY-3,0.9999,0.999,2,4,4,4,2,2,2,2,2,2,131462016,65592784,
sp|A0AUS0|WSDU1_DANRE,A0AUS0,WSDU1_DANRE,wdsub1,487,Danio rerio,2:Experimental evidence at transcript level,"WD repeat, SAM and U-box domain-containing protein 1",1,0.999,4,6,6,6,3,3,3,3,3,3,32946542,26611146,
sp|A0JMD0|CLU_DANRE,A0JMD0,CLU_DANRE,cluh,1400,Danio rerio,2:Experimental evidence at transcript level,Clustered mitochondria protein homolog,1,0.999,36,87,87,87,46,41,46,41,46,41,4055414780,2959370750,
sp|A0JME2|MCAF1_DANRE,A0JME2,MCAF1_DANRE,atf7ip,815,Danio rerio,1:Experimental evidence at protein level,Activating transcription factor 7-interacting protein 1,0.9065,0.997,2,4,4,4,3,1,3,1,3,1,26472926,14299734,
sp|A0JME6|ISOC2_DANRE,A0JME6,ISOC2_DANRE,isoc2,197,Danio rerio,2:Experimental evidence at transcript level,Isochorismatase domain-containing protein 2,1,0.999,6,20,20,20,11,9,11,9,11,9,1496988290,1069750400,
sp|A0JMI9|RRF2M_DANRE,A0JMI9,RRF2M_DANRE,gfm2,762,Danio rerio,2:Experimental evidence at transcript level,"Ribosome-releasing factor 2, mitochondrial",0.9976,0.9984,5,6,6,6,5,1,5,1,5,1,137113952,27445602,
sp|A0JMK5|MTMR2_DANRE,A0JMK5,MTMR2_DANRE,mtmr2,620,Danio rerio,2:Experimental evidence at transcript level,"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2",1,0.999,10,23,23,23,14,9,14,9,14,9,3953136900,2539842560,
sp|A0JML8|DALD3_DANRE,A0JML8,DALD3_DANRE,dalrd3,558,Danio rerio,2:Experimental evidence at transcript level,DALR anticodon-binding domain-containing protein 3,0.753,0.9905,2,2,2,2,2,0,2,0,2,0,79831016,0,
sp|A0JMP0|PGGHG_DANRE,A0JMP0,PGGHG_DANRE,pgghg,655,Danio rerio,2:Experimental evidence at transcript level,Protein-glucosylgalactosylhydroxylysine glucosidase,1,0.999,5,7,7,7,4,3,4,3,4,3,250002256,170968512,
sp|A0MS83|ZN148_DANRE,A0MS83,ZN148_DANRE,znf148,808,Danio rerio,2:Experimental evidence at transcript level,Zinc finger protein 148,0.8506,0.9949,1,2,2,2,1,1,1,1,1,1,47785440,23587326,
sp|A0MTA1|APEX1_DANRE,A0MTA1,APEX1_DANRE,apex1,310,Danio rerio,1:Experimental evidence at protein level,DNA repair nuclease APEX1,1,0.999,21,73,73,73,39,34,39,34,39,34,5452295700,4262644990,
sp|A0PJR5|ECHD3_DANRE,A0PJR5,ECHD3_DANRE,echdc3,289,Danio rerio,2:Experimental evidence at transcript level,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",0.9959,0.9962,4,5,5,5,4,1,4,1,4,1,608109440,96611000,
sp|A1A5H6|CNOT1_DANRE,A1A5H6,CNOT1_DANRE,cnot1,2374,Danio rerio,2:Experimental evidence at transcript level,CCR4-NOT transcription complex subunit 1,1,0.999,40,64,64,64,40,24,40,24,40,24,2543007740,1860999810,
sp|A1A5H8|YES_DANRE,A1A5H8,YES_DANRE,yes1,546,Danio rerio,1:Experimental evidence at protein level,Tyrosine-protein kinase yes,1,0.999,26,62,30,62,35,27,18,12,35,27,3669534720,3779495420,
sp|A1A5V7|TM41B_DANRE,A1A5V7,TM41B_DANRE,tmem41b,282,Danio rerio,2:Experimental evidence at transcript level,Transmembrane protein 41B,0.9893,0.9866,2,4,4,4,2,2,2,2,2,2,108007720,88504104,
sp|A1A5V9|ELP5_DANRE,A1A5V9,ELP5_DANRE,elp5,296,Danio rerio,2:Experimental evidence at transcript level,Elongator complex protein 5,0.9573,0.9987,1,1,1,1,1,0,1,0,1,0,40609156,0,
sp|A1A5Y0|NELL2_DANRE,A1A5Y0,NELL2_DANRE,nell2a,811,Danio rerio,2:Experimental evidence at transcript level,Protein kinase C-binding protein NELL2a,1,0.9989,8,16,16,16,10,6,10,6,10,6,396316096,271597504,
sp|A1A5Z3|EFTS_DANRE,A1A5Z3,EFTS_DANRE,tsfm,305,Danio rerio,2:Experimental evidence at transcript level,"Elongation factor Ts, mitochondrial",1,0.999,8,16,16,16,10,6,10,6,10,6,427967232,294789760,
sp|A1DZY4|RSLBL_DANRE,A1DZY4,RSLBL_DANRE,zgc:110179,253,Danio rerio,2:Experimental evidence at transcript level,Ras-like protein family member 11A-like,0.9062,0.9846,2,3,3,3,1,2,1,2,1,2,1717156.5,350608.97,
sp|A1IH00|GOGA2_DANRE,A1IH00,GOGA2_DANRE,golga2,1028,Danio rerio,2:Experimental evidence at transcript level,Golgin subfamily A member 2,0.9902,0.9965,3,4,4,4,1,3,1,3,1,3,86573576,87053760,
sp|A1L1F1|NDUF3_DANRE,A1L1F1,NDUF3_DANRE,ndufaf3,174,Danio rerio,2:Experimental evidence at transcript level,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,0.9563,0.9987,1,1,1,1,1,0,1,0,1,0,20079432,0,
sp|A1L1F4|PDS5A_DANRE,A1L1F4,PDS5A_DANRE,pds5a,1320,Danio rerio,2:Experimental evidence at transcript level,Sister chromatid cohesion protein PDS5 homolog A,1,0.999,32,71,71,71,48,23,48,23,48,23,3210886910,1623283200,
sp|A1L1G1|ESRP1_DANRE,A1L1G1,ESRP1_DANRE,esrp1,714,Danio rerio,2:Experimental evidence at transcript level,Epithelial splicing regulatory protein 1,1,0.999,6,11,11,11,8,3,8,3,8,3,227194448,79490528,
sp|A1L1M4|P4R2B_DANRE,A1L1M4,P4R2B_DANRE,ppp4r2b,426,Danio rerio,1:Experimental evidence at protein level,Serine/threonine-protein phosphatase 4 regulatory subunit 2-B,0.9991,0.999,3,3,3,7,1,2,1,2,3,4,145272176,119640584,
sp|A1L1N5|HN1BA_DANRE,A1L1N5,HN1BA_DANRE,hnf1ba,559,Danio rerio,2:Experimental evidence at transcript level,Hepatocyte nuclear factor 1-beta-A,0.7842,0.992,1,1,0,1,1,0,0,0,1,0,15723468,0,sp|Q8UW00|HN1BB_DANRE
sp|A1L1P7|DNLZ_DANRE,A1L1P7,DNLZ_DANRE,dnlz,183,Danio rerio,2:Experimental evidence at transcript level,DNL-type zinc finger protein,0.9726,0.9955,2,3,3,3,2,1,2,1,2,1,63675612,39311672,
sp|A1L1P9|S47A1_DANRE,A1L1P9,S47A1_DANRE,slc47a1,590,Danio rerio,2:Experimental evidence at transcript level,Multidrug and toxin extrusion protein 1,0.9471,0.9962,2,2,2,2,2,0,2,0,2,0,21791064,0,
sp|A1L1R6|ZN423_DANRE,A1L1R6,ZN423_DANRE,znf423,1365,Danio rerio,2:Experimental evidence at transcript level,Zinc finger protein 423,1,0.999,12,20,20,20,13,7,13,7,13,7,636580860,291381376,
sp|A1L1V4|LOL2B_DANRE,A1L1V4,LOL2B_DANRE,loxl2b,762,Danio rerio,2:Experimental evidence at transcript level,Lysyl oxidase homolog 2B,0.4141,0.9601,1,1,1,1,0,1,0,1,0,1,0,0,
sp|A1L1W9|MOT10_DANRE,A1L1W9,MOT10_DANRE,slc16a10,505,Danio rerio,2:Experimental evidence at transcript level,Monocarboxylate transporter 10,0.3793,0.9542,1,1,1,1,1,0,1,0,1,0,9832262,0,
sp|A1L237|ENDUA_DANRE,A1L237,ENDUA_DANRE,endoua,303,Danio rerio,2:Experimental evidence at transcript level,Uridylate-specific endoribonuclease A,1,0.999,5,9,9,9,6,3,6,3,6,3,551868990,179150832,
sp|A1L243|MESD_DANRE,A1L243,MESD_DANRE,mesd,206,Danio rerio,2:Experimental evidence at transcript level,LRP chaperone MESD,1,0.999,7,22,22,22,13,9,13,9,13,9,1626743420,961986620,
sp|A1L244|SAC1B_DANRE,A1L244,SAC1B_DANRE,sacm1lb,586,Danio rerio,2:Experimental evidence at transcript level,Phosphatidylinositol-3-phosphatase SAC1-B,0.9997,0.9989,7,4,4,11,3,1,3,1,8,3,89009160,69240352,
sp|A1L251|ENASE_DANRE,A1L251,ENASE_DANRE,engase,713,Danio rerio,2:Experimental evidence at transcript level,Cytosolic endo-beta-N-acetylglucosaminidase,1,0.9987,4,6,6,6,4,2,4,2,4,2,277292288,87951288,
sp|A1L252|RANB9_DANRE,A1L252,RANB9_DANRE,ranbp9,597,Danio rerio,2:Experimental evidence at transcript level,Ran-binding protein 9,1,0.999,5,7,7,7,4,3,4,3,4,3,161746896,63434772,
sp|A1L258|D2HDH_DANRE,A1L258,D2HDH_DANRE,d2hgdh,533,Danio rerio,2:Experimental evidence at transcript level,"D-2-hydroxyglutarate dehydrogenase, mitochondrial",1,0.999,10,15,15,15,8,7,8,7,8,7,526939456,264568112,
sp|A1L259|URAD_DANRE,A1L259,URAD_DANRE,urad,174,Danio rerio,1:Experimental evidence at protein level,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,0.4082,0.9592,1,1,1,1,1,0,1,0,1,0,34061604,0,
sp|A1L260|CVN4A_DANRE,A1L260,CVN4A_DANRE,cavin4a,329,Danio rerio,1:Experimental evidence at protein level,Caveolae-associated protein 4a,1,0.999,12,28,28,28,16,12,16,12,16,12,2496063230,1177672190,
sp|A1L271|GNB5A_DANRE,A1L271,GNB5A_DANRE,gnb5a,355,Danio rerio,2:Experimental evidence at transcript level,Guanine nucleotide-binding protein subunit beta-5a,1,0.9984,10,7,7,19,4,3,4,3,11,8,164724736,115717712,
sp|A1L2F6|TM205_DANRE,A1L2F6,TM205_DANRE,tmem205,188,Danio rerio,2:Experimental evidence at transcript level,Transmembrane protein 205,0.967,0.999,1,1,1,1,1,0,1,0,1,0,39706776,0,
sp|A1XQX0|NR1AA_DANRE,A1XQX0,NR1AA_DANRE,nrxn1a,1491,Danio rerio,2:Experimental evidence at transcript level,Neurexin-1a,1,0.999,22,43,28,43,23,20,16,12,23,20,1601315200,978538110,
sp|A1XQX8|NR3AA_DANRE,A1XQX8,NR3AA_DANRE,nrxn3a,1697,Danio rerio,2:Experimental evidence at transcript level,Neurexin-3a,1,0.999,11,10,10,21,4,6,4,6,11,10,210894736,497947520,
sp|A1XQY1|NR3BA_DANRE,A1XQY1,NR3BA_DANRE,nrxn3b,1686,Danio rerio,2:Experimental evidence at transcript level,Neurexin-3b,1,0.999,12,17,9,24,12,5,6,3,16,8,317852032,174030624,
sp|A1XQY3|NR3BB_DANRE,A1XQY3,NR3BB_DANRE,nrxn3b,675,Danio rerio,2:Experimental evidence at transcript level,Neurexin-3b-beta,0.946,0.9983,2,1,1,2,0,1,0,1,1,1,0,113955456,
sp|A2AV36|ANM7_DANRE,A2AV36,ANM7_DANRE,prmt7,683,Danio rerio,2:Experimental evidence at transcript level,Protein arginine N-methyltransferase 7,1,0.999,4,7,7,7,4,3,4,3,4,3,156493232,81263456,
sp|A2BEA6|ARI3A_DANRE,A2BEA6,ARI3A_DANRE,arid3a,570,Danio rerio,1:Experimental evidence at protein level,AT-rich interactive domain-containing protein 3A,0.922,0.9957,2,3,3,3,2,1,2,1,2,1,67200584,32436888,
sp|A2BG43|GLTP_DANRE,A2BG43,GLTP_DANRE,gltp,209,Danio rerio,3:Protein inferred from homology,Glycolipid transfer protein,1,0.9983,9,16,16,16,9,7,9,7,9,7,983746820,414820352,
sp|A2BGD5|CACO1_DANRE,A2BGD5,CACO1_DANRE,calcoco1,640,Danio rerio,3:Protein inferred from homology,Calcium-binding and coiled-coil domain-containing protein 1,1,0.999,5,7,7,7,4,3,4,3,4,3,177474688,56161264,
sp|A2BGG1|MTMRC_DANRE,A2BGG1,MTMRC_DANRE,mtmr12,736,Danio rerio,1:Experimental evidence at protein level,Myotubularin-related protein 12,0.938,0.9823,2,2,2,2,2,0,2,0,2,0,34001156,0,
sp|A2BGU8|SEPT3_DANRE,A2BGU8,SEPT3_DANRE,septin3,361,Danio rerio,2:Experimental evidence at transcript level,Neuronal-specific septin-3,1,0.999,14,30,30,30,19,11,19,11,19,11,1348999680,1156438400,
sp|A2BGU9|SERHL_DANRE,A2BGU9,SERHL_DANRE,serhl,326,Danio rerio,2:Experimental evidence at transcript level,Serine hydrolase-like protein,1,0.999,6,12,12,12,7,5,7,5,7,5,369470272,108397760,
sp|A2BHJ4|CNO6L_DANRE,A2BHJ4,CNO6L_DANRE,cnot6l,559,Danio rerio,2:Experimental evidence at transcript level,CCR4-NOT transcription complex subunit 6-like,0.9995,0.9988,1,4,4,4,2,2,2,2,2,2,134197272,77415728,
sp|A2BID7|PRD10_DANRE,A2BID7,PRD10_DANRE,prdm10,1121,Danio rerio,3:Protein inferred from homology,PR domain zinc finger protein 10,0.9981,0.9968,3,3,3,3,3,0,3,0,3,0,70774952,0,
sp|A2BIJ3|BSDC1_DANRE,A2BIJ3,BSDC1_DANRE,bsdc1,412,Danio rerio,1:Experimental evidence at protein level,BSD domain-containing protein 1,0.9944,0.999,2,2,2,2,2,0,2,0,2,0,70754904,0,
sp|A2BIL7|BAZ1B_DANRE,A2BIL7,BAZ1B_DANRE,baz1b,1536,Danio rerio,1:Experimental evidence at protein level,Tyrosine-protein kinase BAZ1B,1,0.9986,6,7,7,7,3,4,3,4,3,4,958628540,53283784,
sp|A2CEH0|POC1B_DANRE,A2CEH0,POC1B_DANRE,poc1b,490,Danio rerio,2:Experimental evidence at transcript level,POC1 centriolar protein homolog B,0.6287,0.9748,2,3,2,3,2,1,1,1,2,1,29726330,1374148.6,
sp|A2CEI4|NUP88_DANRE,A2CEI4,NUP88_DANRE,nup88,720,Danio rerio,1:Experimental evidence at protein level,Nucleoporin 88,1,0.9989,6,9,9,9,5,4,5,4,5,4,212066192,153999744,
sp|A2CEQ0|SCM2B_DANRE,A2CEQ0,SCM2B_DANRE,slc25a25b,469,Danio rerio,3:Protein inferred from homology,Calcium-binding mitochondrial carrier protein SCaMC-2-B,0.9669,0.999,1,1,1,1,1,0,1,0,1,0,7890727,0,
sp|A2CES0|NEUFC_DANRE,A2CES0,NEUFC_DANRE,cyb5d2,267,Danio rerio,3:Protein inferred from homology,Neuferricin,0.9943,0.999,2,3,3,3,2,1,2,1,2,1,77945160,45662332,
sp|A2RRV3|PATL1_DANRE,A2RRV3,PATL1_DANRE,patl1,765,Danio rerio,1:Experimental evidence at protein level,Protein PAT1 homolog 1,0.9181,0.9974,1,1,1,1,1,0,1,0,1,0,40247668,0,
sp|A2RRV9|NARFL_DANRE,A2RRV9,NARFL_DANRE,narfl,411,Danio rerio,2:Experimental evidence at transcript level,Cytosolic Fe-S cluster assembly factor narfl,1,0.999,9,12,12,12,8,4,8,4,8,4,360774496,169024240,
sp|A2RV01|DPH6_DANRE,A2RV01,DPH6_DANRE,dph6,255,Danio rerio,2:Experimental evidence at transcript level,Diphthine--ammonia ligase,0.9999,0.998,3,6,6,6,3,3,3,3,3,3,283248704,216632816,
sp|A2RV18|DI3L1_DANRE,A2RV18,DI3L1_DANRE,dis3l,1057,Danio rerio,2:Experimental evidence at transcript level,DIS3-like exonuclease 1,0.8337,0.9752,1,1,1,1,1,0,1,0,1,0,24506796,0,
sp|A2RV29|ZN346_DANRE,A2RV29,ZN346_DANRE,znf346,301,Danio rerio,2:Experimental evidence at transcript level,Zinc finger protein 346,1,0.999,10,54,54,54,29,25,29,25,29,25,5180588500,2875071230,
sp|A2T929|RXRAA_DANRE,A2T929,RXRAA_DANRE,rxraa,430,Danio rerio,2:Experimental evidence at transcript level,Retinoic acid receptor RXR-alpha-A,1,0.9988,9,12,0,12,9,3,0,0,9,3,319516416,74550112,"sp|Q90415|RXRAB_DANRE, sp|Q90416|RXRGA_DANRE"
sp|A2VD23|STM_DANRE,A2VD23,STM_DANRE,stm,613,Danio rerio,2:Experimental evidence at transcript level,Protein starmaker,1,0.999,7,20,20,20,13,7,13,7,13,7,885126660,357378624,
sp|A3KNL5|ATF1A_DANRE,A3KNL5,ATF1A_DANRE,atp5if1a,105,Danio rerio,3:Protein inferred from homology,"ATPase inhibitor A, mitochondrial",1,0.9988,7,29,29,29,17,12,17,12,17,12,1233911420,940828800,
sp|A3KNS2|CNPY3_DANRE,A3KNS2,CNPY3_DANRE,cnpy3,276,Danio rerio,2:Experimental evidence at transcript level,Protein canopy homolog 3,0.5008,0.9716,1,1,1,1,1,0,1,0,1,0,0,0,
sp|A3KP48|F162B_DANRE,A3KP48,F162B_DANRE,fam162b,155,Danio rerio,2:Experimental evidence at transcript level,Protein FAM162B,0.9996,0.998,4,6,6,6,4,2,4,2,4,2,185719296,91835656,
sp|A3KP59|RIOX1_DANRE,A3KP59,RIOX1_DANRE,riox1,544,Danio rerio,2:Experimental evidence at transcript level,Ribosomal oxygenase 1,0.9551,0.9939,2,2,2,2,1,1,1,1,1,1,15528034,0,
sp|A3KP74|SDHF2_DANRE,A3KP74,SDHF2_DANRE,sdhaf2,158,Danio rerio,2:Experimental evidence at transcript level,"Succinate dehydrogenase assembly factor 2, mitochondrial",0.9513,0.9954,2,3,3,3,2,1,2,1,2,1,264312720,28339414,
sp|A3KP77|OXND1_DANRE,A3KP77,OXND1_DANRE,oxnad1,270,Danio rerio,2:Experimental evidence at transcript level,Oxidoreductase NAD-binding domain-containing protein 1,1,0.999,5,8,8,8,4,4,4,4,4,4,789734400,517990496,
sp|A3KPA0|JAM3B_DANRE,A3KPA0,JAM3B_DANRE,jam3b,302,Danio rerio,1:Experimental evidence at protein level,Junctional adhesion molecule 3B,1,0.999,13,35,35,35,18,17,18,17,18,17,2984563200,2541827580,
sp|A3KPK0|AGO3_DANRE,A3KPK0,AGO3_DANRE,ago3,860,Danio rerio,3:Protein inferred from homology,Protein argonaute-3,1,0.999,34,105,105,105,55,50,55,50,55,50,7013784100,5294425100,
sp|A3KPN8|TTC38_DANRE,A3KPN8,TTC38_DANRE,ttc38,466,Danio rerio,3:Protein inferred from homology,Tetratricopeptide repeat protein 38,1,0.999,7,10,10,10,6,4,6,4,6,4,342878272,176695872,
sp|A3KPP3|MOG1_DANRE,A3KPP3,MOG1_DANRE,rangrf,183,Danio rerio,2:Experimental evidence at transcript level,Ran guanine nucleotide release factor,0.3835,0.955,1,1,1,1,1,0,1,0,1,0,34215912,0,
sp|A3KPQ7|CEIP2_DANRE,A3KPQ7,CEIP2_DANRE,cemip2,1378,Danio rerio,1:Experimental evidence at protein level,Cell surface hyaluronidase,1,0.999,14,23,23,23,14,9,14,9,14,9,676172350,453168896,
sp|A3KPW9|BAG6_DANRE,A3KPW9,BAG6_DANRE,Bag6,1160,Danio rerio,3:Protein inferred from homology,Large proline-rich protein BAG6,1,0.999,3,9,9,9,6,3,6,3,6,3,467017120,266923824,
sp|A3KQQ9|SCG3_DANRE,A3KQQ9,SCG3_DANRE,scg3,478,Danio rerio,2:Experimental evidence at transcript level,Secretogranin-3,1,0.999,6,15,15,15,7,8,7,8,7,8,753918400,574228030,
sp|A3KQS4|MINY1_DANRE,A3KQS4,MINY1_DANRE,mindy1,520,Danio rerio,3:Protein inferred from homology,Ubiquitin carboxyl-terminal hydrolase MINDY-1,0.9935,0.9976,2,3,3,3,2,1,2,1,2,1,96906728,42808728,
