Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,Set_1_1 Spectral Count,Set_1_2 Spectral Count,Set_1_3 Spectral Count,Set_2_1 Spectral Count,Set_2_2 Spectral Count,Set_2_3 Spectral Count,Set_1_1 Unique Spectral Count,Set_1_2 Unique Spectral Count,Set_1_3 Unique Spectral Count,Set_2_1 Unique Spectral Count,Set_2_2 Unique Spectral Count,Set_2_3 Unique Spectral Count,Set_1_1 Total Spectral Count,Set_1_2 Total Spectral Count,Set_1_3 Total Spectral Count,Set_2_1 Total Spectral Count,Set_2_2 Total Spectral Count,Set_2_3 Total Spectral Count,Set_1_1_7-10dpf_Intensity,Set_1_2_7-10dpf_Intensity,Set_1_3_7-10dpf_Intensity,Set_2_1_7-10dpf_Intensity,Set_2_2_7-10dpf_Intensity,Set_2_3_7-10dpf_Intensity,Set_1_1 MaxLFQ_7-10dpf_Intensity,Set_1_2 MaxLFQ_7-10dpf_Intensity,Set_1_3 MaxLFQ_7-10dpf_Intensity,Set_2_1 MaxLFQ_7-10dpf_Intensity,Set_2_2 MaxLFQ_7-10dpf_Intensity,Set_2_3 MaxLFQ_7-10dpf_Intensity,Indistinguishable Proteins
sp|A0A2R8QP51|DPP9_DANRE,A0A2R8QP51,DPP9_DANRE,dpp9,885,Danio rerio,3:Protein inferred from homology,Dipeptidyl peptidase 9,1,0.999,18,245,245,245,47,42,50,34,35,37,47,42,50,34,35,37,47,42,50,34,35,37,85828736,88664024,99103984,68939296,68801640,69580952,11110858,11872887,11952552,9399913,9353984,9275961,
sp|A0A8M1N5Y4|TMX3A_DANRE,A0A8M1N5Y4,TMX3A_DANRE,tmx3a,437,Danio rerio,2:Experimental evidence at transcript level,Protein disulfide-isomerase tmx3a,1,0.9981,4,45,45,45,10,8,8,6,6,7,10,8,8,6,6,7,10,8,8,6,6,7,14832474,13272942,13121563,10993399,10316122,10639630,7713636.5,7881432.5,7384775.5,7404600,7007189.5,7484966.5,
sp|A0A8M1NHK4|RBM47_DANRE,A0A8M1NHK4,RBM47_DANRE,rbm47,600,Danio rerio,1:Experimental evidence at protein level,RNA-binding protein 47,1,0.9989,3,37,37,37,6,6,4,4,10,7,6,6,4,4,10,7,6,6,4,4,10,7,47243148,45166284,44076412,55871708,54053004,54442668,43269088,39916004,42543620,55068516,51029428,49411320,
sp|A0A8M2BID5|DESPA_DANRE,A0A8M2BID5,DESPA_DANRE,dspa,2059,Danio rerio,2:Experimental evidence at transcript level,Desmoplakin-A,1,0.999,42,390,390,409,78,77,78,54,57,46,78,77,78,54,57,46,81,81,82,55,61,49,122845408,122129896,120895640,99111888,93777280,93369784,17766752,18066474,17465700,14797677,14027690,14066551,
sp|A0A8M3AJY3|ABRX2_DANRE,A0A8M3AJY3,ABRX2_DANRE,abraxas2,416,Danio rerio,1:Experimental evidence at protein level,BRISC complex subunit abraxas 2,0.9995,0.9989,2,20,20,20,1,1,3,7,3,5,1,1,3,7,3,5,1,1,3,7,3,5,3029297.5,3021501,3160493.5,2623867.8,2747240,2471028.5,1607666.8,1606424.1,1679923.2,1390237.5,1451788.1,1311259.1,
sp|A0A8M9PQ61|DESPB_DANRE,A0A8M9PQ61,DESPB_DANRE,dspb,2207,Danio rerio,2:Experimental evidence at transcript level,Desmoplakin-B,1,0.999,62,791,772,791,151,154,128,119,131,108,148,150,124,118,127,105,151,154,128,119,131,108,298059776,248104832,301327200,335496384,348321920,310864416,50476508,49912664,51016884,49529928,49229608,46122344,
sp|A0JMD0|CLU_DANRE,A0JMD0,CLU_DANRE,cluh,1400,Danio rerio,2:Experimental evidence at transcript level,Clustered mitochondria protein homolog,1,0.9987,12,70,70,70,23,20,23,0,2,2,23,20,23,0,2,2,23,20,23,0,2,2,35033888,32707674,34404400,12152600,11696381,11927708,12061394,12386404,11661111,5889963.5,5241628,5021168.5,
sp|A0JME2|MCAF1_DANRE,A0JME2,MCAF1_DANRE,atf7ip,815,Danio rerio,1:Experimental evidence at protein level,Activating transcription factor 7-interacting protein 1,0.9749,0.9911,1,2,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,255913.38,0,0,0,0,0,0,0,0,0,
sp|A0JME6|ISOC2_DANRE,A0JME6,ISOC2_DANRE,isoc2,197,Danio rerio,2:Experimental evidence at transcript level,Isochorismatase domain-containing protein 2,1,0.9981,4,8,8,8,0,3,1,3,0,1,0,3,1,3,0,1,0,3,1,3,0,1,1895307.4,1906793.1,2362053.5,1870014.8,1561014,2070560.6,1895307.4,1906793.1,2362053.5,1870014.8,1561014,2070560.6,
sp|A0JMK5|MTMR2_DANRE,A0JMK5,MTMR2_DANRE,mtmr2,620,Danio rerio,2:Experimental evidence at transcript level,"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2",1,0.9812,4,21,21,21,8,5,3,1,1,3,8,5,3,1,1,3,8,5,3,1,1,3,10460634,11719593,11440849,49209452,47529100,47012848,6445745.5,7140747,12269675,41026596,35586360,38801044,
sp|A0JMQ0|BOP1_DANRE,A0JMQ0,BOP1_DANRE,bop1,777,Danio rerio,2:Experimental evidence at transcript level,Ribosome biogenesis protein bop1,0.9999,0.999,2,49,49,49,5,7,11,9,8,9,5,7,11,9,8,9,5,7,11,9,8,9,4328868.5,4887720,5213419,4964444.5,5741794.5,4924389,2774824.8,3239750.8,3439293.8,3014976.5,3527848.2,2996028.2,
sp|A0MTA1|APEX1_DANRE,A0MTA1,APEX1_DANRE,apex1,310,Danio rerio,1:Experimental evidence at protein level,DNA repair nuclease APEX1,1,0.999,13,289,289,289,42,42,39,57,58,51,42,42,39,57,58,51,42,42,39,57,58,51,104607648,121783000,120944504,155977104,143947216,140551088,24777286,28021352,26960680,34806044,31645526,33388302,
sp|A0PJR5|ECHD3_DANRE,A0PJR5,ECHD3_DANRE,echdc3,289,Danio rerio,2:Experimental evidence at transcript level,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",0.9702,0.9967,1,4,4,4,1,1,2,0,0,0,1,1,2,0,0,0,1,1,2,0,0,0,973799,999555.4,1176564.2,1239476.8,0,0,973799,999555.4,1176564.2,1239476.8,0,0,
sp|A1A5H6|CNOT1_DANRE,A1A5H6,CNOT1_DANRE,cnot1,2374,Danio rerio,2:Experimental evidence at transcript level,CCR4-NOT transcription complex subunit 1,1,0.999,33,407,407,407,75,67,70,62,67,66,75,67,70,62,67,66,75,67,70,62,67,66,104909984,108288024,107335808,97725336,97273840,108592208,19169272,18512206,17850178,19024074,19501146,19351478,
sp|A1A5H8|YES_DANRE,A1A5H8,YES_DANRE,yes1,546,Danio rerio,1:Experimental evidence at protein level,Tyrosine-protein kinase yes,1,0.9989,13,110,43,110,13,19,15,24,23,16,5,8,7,9,9,5,13,19,15,24,23,16,70563832,74286408,72688824,80660472,77832048,79865816,29801550,29047344,30196398,32840074,29932588,29416760,
sp|A1A5V7|TM41B_DANRE,A1A5V7,TM41B_DANRE,tmem41b,282,Danio rerio,2:Experimental evidence at transcript level,Transmembrane protein 41B,0.9928,0.9964,2,19,19,19,4,2,4,3,3,3,4,2,4,3,3,3,4,2,4,3,3,3,360194.28,626409.94,566042.8,164595.05,348592.75,314023.25,360194.28,475819.78,425004.94,164595.05,348592.75,314023.25,
sp|A1A5Y0|NELL2_DANRE,A1A5Y0,NELL2_DANRE,nell2a,811,Danio rerio,2:Experimental evidence at transcript level,Protein kinase C-binding protein NELL2a,1,0.9988,2,7,7,7,4,0,2,1,0,0,4,0,2,1,0,0,4,0,2,1,0,0,0,0,0,496224.8,0,0,0,0,0,0,0,0,
sp|A1A5Z3|EFTS_DANRE,A1A5Z3,EFTS_DANRE,tsfm,305,Danio rerio,2:Experimental evidence at transcript level,"Elongation factor Ts, mitochondrial",1,0.999,4,19,19,19,7,3,6,1,1,1,7,3,6,1,1,1,7,3,6,1,1,1,10146280,8689336,9395560,11685590,8942846,10598850,5590418,4891516.5,5345423.5,6609124.5,5068072,6024098,
sp|A1IH00|GOGA2_DANRE,A1IH00,GOGA2_DANRE,golga2,1028,Danio rerio,2:Experimental evidence at transcript level,Golgin subfamily A member 2,1,0.9912,8,11,11,11,0,1,3,3,2,2,0,1,3,3,2,2,0,1,3,3,2,2,40313432,40430676,42951240,1269826.1,22903246,27237444,25194012,25267284,30828618,46671208,13812072,13947265,
sp|A1L1F1|NDUF3_DANRE,A1L1F1,NDUF3_DANRE,ndufaf3,174,Danio rerio,2:Experimental evidence at transcript level,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,0.9922,0.9959,2,18,18,18,4,3,2,3,5,1,4,3,2,3,5,1,4,3,2,3,5,1,1000989.94,821223.1,3231426.5,1466442.8,1831459.4,1339689.6,1000989.94,821223.1,3231426.5,1466442.8,1831459.4,1339689.6,
sp|A1L1F4|PDS5A_DANRE,A1L1F4,PDS5A_DANRE,pds5a,1320,Danio rerio,2:Experimental evidence at transcript level,Sister chromatid cohesion protein PDS5 homolog A,1,0.999,29,271,271,271,22,36,31,58,65,59,22,36,31,58,65,59,22,36,31,58,65,59,205639280,194749584,191975072,123632336,125437976,120809024,26624392,25752590,28443270,50805384,51510056,48805056,
sp|A1L1W9|MOT10_DANRE,A1L1W9,MOT10_DANRE,slc16a10,505,Danio rerio,2:Experimental evidence at transcript level,Monocarboxylate transporter 10,0.7145,0.9833,1,9,9,9,2,0,1,3,2,1,2,0,1,3,2,1,2,0,1,3,2,1,2064684.6,2785065.2,1710502.4,2898760.2,3720975.2,3459454.5,2064684.6,2785065.2,1710502.4,2898760.2,3720975.2,3459454.5,
sp|A1L244|SAC1B_DANRE,A1L244,SAC1B_DANRE,sacm1lb,586,Danio rerio,2:Experimental evidence at transcript level,Phosphatidylinositol-3-phosphatase SAC1-B,1,0.999,6,72,58,72,12,8,9,15,14,14,11,8,8,11,11,9,12,8,9,15,14,14,10946246,9027963,12629804,21634428,20322752,20715288,4748634,4593423,4380212.5,5687303,5044537,5164539.5,
sp|A1L251|ENASE_DANRE,A1L251,ENASE_DANRE,engase,713,Danio rerio,2:Experimental evidence at transcript level,Cytosolic endo-beta-N-acetylglucosaminidase,1,0.999,11,140,140,140,24,27,25,20,21,23,24,27,25,20,21,23,24,27,25,20,21,23,20848844,25385020,23367696,26320608,24876106,22829286,5972431.5,6042144.5,6073043.5,6458539.5,5870557.5,5682089,
sp|A1L252|RANB9_DANRE,A1L252,RANB9_DANRE,ranbp9,597,Danio rerio,2:Experimental evidence at transcript level,Ran-binding protein 9,1,0.9981,4,34,34,34,9,4,10,2,4,5,9,4,10,2,4,5,9,4,10,2,4,5,4919184,4400540.5,4435670.5,4006319.5,2479254.8,4349647.5,2078411.5,1677360,1747383,1775392.2,1077261.6,2061320.9,
sp|A1L260|CVN4A_DANRE,A1L260,CVN4A_DANRE,cavin4a,329,Danio rerio,1:Experimental evidence at protein level,Caveolae-associated protein 4a,1,0.999,11,141,141,141,18,15,18,27,30,33,18,15,18,27,30,33,18,15,18,27,30,33,40856676,45621124,39223176,102292296,106523424,106226408,11521600,11660054,10530519,25417088,26951960,26615190,
sp|A1L271|GNB5A_DANRE,A1L271,GNB5A_DANRE,gnb5a,355,Danio rerio,2:Experimental evidence at transcript level,Guanine nucleotide-binding protein subunit beta-5a,1,0.999,11,79,79,192,17,17,9,14,11,11,17,17,9,14,11,11,38,37,26,34,29,28,14854963,15263600,18899706,18854862,17594642,20048316,6045949.5,5758641,7102697,6604271,6340925.5,7248659.5,
sp|A1XQX0|NR1AA_DANRE,A1XQX0,NR1AA_DANRE,nrxn1a,1491,Danio rerio,2:Experimental evidence at transcript level,Neurexin-1a,1,0.999,18,178,95,178,45,44,40,14,18,17,21,24,22,8,10,10,45,44,40,14,18,17,31564370,27339768,30857044,21166120,22421118,20754894,5397915,4911864,4977011,3706978.2,3654035.2,3428552.8,
sp|A2AV36|ANM7_DANRE,A2AV36,ANM7_DANRE,prmt7,683,Danio rerio,2:Experimental evidence at transcript level,Protein arginine N-methyltransferase 7,0.7595,0.9835,1,3,3,3,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,491428.72,464662.62,494260.12,162372.08,297240.6,234382.97,491428.72,464662.62,494260.12,162372.08,297240.6,234382.97,
sp|A2BEA6|ARI3A_DANRE,A2BEA6,ARI3A_DANRE,arid3a,570,Danio rerio,1:Experimental evidence at protein level,AT-rich interactive domain-containing protein 3A,0.9998,0.999,2,10,10,10,1,0,1,2,3,3,1,0,1,2,3,3,1,0,1,2,3,3,1904417.6,2023756.6,1975402.4,3936793.5,3708452.8,3750840.5,1904417.6,2023756.6,1975402.4,3936793.5,3708452.8,3750840.5,
sp|A2BGP7|CC125_DANRE,A2BGP7,CC125_DANRE,ccdc125,465,Danio rerio,3:Protein inferred from homology,Coiled-coil domain-containing protein 125,0.9025,0.9913,1,30,30,30,4,6,4,5,5,6,4,6,4,5,5,6,4,6,4,5,5,6,6718006.5,6605109,7383883.5,5128533,4912185,4778169.5,6718006.5,6605109,7383883.5,5128533,4912185,4778169.5,
sp|A2BGU8|SEPT3_DANRE,A2BGU8,SEPT3_DANRE,septin3,361,Danio rerio,2:Experimental evidence at transcript level,Neuronal-specific septin-3,1,0.999,16,276,276,276,38,43,36,58,47,54,38,43,36,58,47,54,38,43,36,58,47,54,52276596,51838676,53243860,83156824,77272672,75435176,9357511,10026430,10426951,13715906,13364645,12904816,
sp|A2BGU9|SERHL_DANRE,A2BGU9,SERHL_DANRE,serhl,326,Danio rerio,2:Experimental evidence at transcript level,Serine hydrolase-like protein,0.999,0.9988,2,15,15,15,2,4,4,3,2,0,2,4,4,3,2,0,2,4,4,3,2,0,6183922,6002044,7914490,6253684,4222102.5,3891641.2,4506861,4179080.8,5739198.5,3500625.5,4222102.5,3891641.2,
sp|A2BHJ4|CNO6L_DANRE,A2BHJ4,CNO6L_DANRE,cnot6l,559,Danio rerio,2:Experimental evidence at transcript level,CCR4-NOT transcription complex subunit 6-like,0.8679,0.9878,1,7,7,7,4,1,2,0,0,0,4,1,2,0,0,0,4,1,2,0,0,0,2908437.2,2905112.5,3622815.5,3142248.8,3209353.5,3177334.5,2908437.2,2905112.5,3622815.5,3142248.8,3209353.5,3177334.5,
sp|A2BIL7|BAZ1B_DANRE,A2BIL7,BAZ1B_DANRE,baz1b,1536,Danio rerio,1:Experimental evidence at protein level,Tyrosine-protein kinase BAZ1B,1,0.9964,4,10,10,10,2,5,3,0,0,0,2,5,3,0,0,0,2,5,3,0,0,0,3163039.8,3833599,4631466.5,1065658.2,222744.81,123703.78,1287387.5,1443998,1647737,1283909.8,268363.94,149038.88,
sp|A2CEI4|NUP88_DANRE,A2CEI4,NUP88_DANRE,nup88,720,Danio rerio,1:Experimental evidence at protein level,Nucleoporin 88,1,0.999,8,99,99,99,18,10,21,16,15,19,18,10,21,16,15,19,18,10,21,16,15,19,15413104,14598573,15760833,17272996,19747646,18903694,5153388,5131907,5297735,5131351,5482052.5,5393937,
sp|A2RRV9|NARFL_DANRE,A2RRV9,NARFL_DANRE,narfl,411,Danio rerio,2:Experimental evidence at transcript level,Cytosolic Fe-S cluster assembly factor narfl,0.9649,0.9981,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,754296.6,306358.97,398269.2,0,0,0,754296.6,306358.97,398269.2,
sp|A2RV29|ZN346_DANRE,A2RV29,ZN346_DANRE,znf346,301,Danio rerio,2:Experimental evidence at transcript level,Zinc finger protein 346,1,0.999,11,134,134,134,20,19,19,23,25,28,20,19,19,23,25,28,20,19,19,23,25,28,22807778,17620304,20845692,65470024,43719896,141776528,11022772,12264909,12746899,14190264,16444983,17750018,
sp|A2VCZ5|MD13L_DANRE,A2VCZ5,MD13L_DANRE,zgc:153454,2102,Danio rerio,2:Experimental evidence at transcript level,Mediator of RNA polymerase II transcription subunit 13-like,1,0.9895,4,10,10,10,1,0,2,2,3,2,1,0,2,2,3,2,1,0,2,2,3,2,449429.84,378355.44,517879.22,774251.2,414874.34,668892.56,449429.84,378355.44,517879.22,774251.2,414874.34,464108.94,
sp|A2VD23|STM_DANRE,A2VD23,STM_DANRE,stm,613,Danio rerio,2:Experimental evidence at transcript level,Protein starmaker,0.996,0.9949,2,11,11,11,5,1,3,1,1,0,5,1,3,1,1,0,5,1,3,1,1,0,171593.48,51596.277,0,0,78226.45,0,171593.48,51596.277,0,0,78226.45,0,
sp|A3KPA0|JAM3B_DANRE,A3KPA0,JAM3B_DANRE,jam3b,302,Danio rerio,1:Experimental evidence at protein level,Junctional adhesion molecule 3B,1,0.999,6,41,41,41,10,8,8,4,5,6,10,8,8,4,5,6,10,8,8,4,5,6,10226518,11851823,12086163,4257586,4801657.5,3648338.5,2652816.2,2666177.8,2776987.2,2328405.8,2665748.2,2078316.5,
sp|A3KPK0|AGO3_DANRE,A3KPK0,AGO3_DANRE,ago3,860,Danio rerio,3:Protein inferred from homology,Protein argonaute-3,1,0.999,13,202,202,202,36,29,33,40,31,33,36,29,33,40,31,33,36,29,33,40,31,33,61911536,66968348,64956172,64061944,57275692,63416356,13687938,14419472,13407665,14571781,13440120,14234570,
sp|A3KPW9|BAG6_DANRE,A3KPW9,BAG6_DANRE,Bag6,1160,Danio rerio,3:Protein inferred from homology,Large proline-rich protein BAG6,1,0.999,5,8,8,8,0,0,1,6,0,1,0,0,1,6,0,1,0,0,1,6,0,1,619082.9,709016,617919.94,38507760,34481256,32762536,5371309.5,6151590.5,5361219.5,3931630.2,3616911.2,4137251,
sp|A3KQV2|BROX_DANRE,A3KQV2,BROX_DANRE,brox,411,Danio rerio,2:Experimental evidence at transcript level,BRO1 domain-containing protein BROX,1,0.999,5,51,51,51,8,4,7,13,8,11,8,4,7,13,8,11,8,4,7,13,8,11,4118094.8,3535926.5,4259992.5,9873577,5123880,5888110.5,1641295.8,1441677.1,1859689.1,2778985.2,2402623.8,2457093.5,
sp|A3QJU3|COQ8B_DANRE,A3QJU3,COQ8B_DANRE,coq8b,624,Danio rerio,3:Protein inferred from homology,"Atypical kinase COQ8B, mitochondrial",0.8653,0.9918,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7294417.5,0,0,0,0,0,0,
sp|A3QK15|AACS_DANRE,A3QK15,AACS_DANRE,aacs,673,Danio rerio,2:Experimental evidence at transcript level,Acetoacetyl-CoA synthetase,0.9998,0.9953,3,31,31,31,7,8,5,4,3,4,7,8,5,4,3,4,7,8,5,4,3,4,5680446,6278083,4385037.5,1861134.9,2270894.2,2459265.8,2413810.2,2544195,2438668.5,1871674.4,2283754.2,2473192.2,
sp|A3QK16|ERLN2_DANRE,A3QK16,ERLN2_DANRE,erlin2,331,Danio rerio,2:Experimental evidence at transcript level,Erlin-2,1,0.9989,9,93,93,98,20,17,17,13,13,13,20,17,17,13,13,13,20,19,18,14,13,14,26379286,26408800,25628584,26067438,26632296,25241638,8293054,8178957,8269270.5,8263155,7342296,8753282,
sp|A4IFW2|PTPRF_DANRE,A4IFW2,PTPRF_DANRE,ptprf,1909,Danio rerio,2:Experimental evidence at transcript level,Receptor-type tyrosine-protein phosphatase F,1,0.999,13,65,65,65,9,13,18,13,6,6,9,13,18,13,6,6,9,13,18,13,6,6,27365844,32601334,36561460,5156885,16071152,14294270,7261793,8031207.5,8590422,7475555.5,6598883,5570091,
sp|A4IG32|MICU1_DANRE,A4IG32,MICU1_DANRE,micu1,489,Danio rerio,2:Experimental evidence at transcript level,"Calcium uptake protein 1, mitochondrial",1,0.999,4,21,21,21,1,0,0,8,6,6,1,0,0,8,6,6,1,0,0,8,6,6,1279513.4,1363780.5,7966890.5,17603400,18650484,17651072,1681253.6,1774157,3075151.5,8161985,8729492,7244839,
sp|A4IG42|TCAF_DANRE,A4IG42,TCAF_DANRE,tcaf,912,Danio rerio,2:Experimental evidence at transcript level,TRPM8 channel-associated factor homolog,1,0.999,18,198,169,198,31,35,37,29,31,35,28,32,31,23,26,29,31,35,37,29,31,35,23646190,22706696,27050404,27078498,42057984,28243132,5599190,5337404,5673668.5,5540561,6037906,5213808.5,
sp|A4IG62|SUV3_DANRE,A4IG62,SUV3_DANRE,supv3l1,763,Danio rerio,2:Experimental evidence at transcript level,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",1,0.9985,4,23,23,23,2,4,6,3,3,5,2,4,6,3,3,5,2,4,6,3,3,5,574822.8,448662.4,521189.22,3558212.5,677951.9,680972.1,734044.3,572938.44,665554.6,851493.7,865739.4,869596.2,
sp|A4IG66|TM201_DANRE,A4IG66,TM201_DANRE,tmem201,651,Danio rerio,2:Experimental evidence at transcript level,Transmembrane protein 201,1,0.999,4,9,9,9,0,2,1,2,2,2,0,2,1,2,2,2,0,2,1,2,2,2,0,385651.56,357828.38,5112387.5,4635001,3619048.5,0,385651.56,357828.38,4786320,3781579.8,2487050.2,
sp|A4IGF3|ATP23_DANRE,A4IGF3,ATP23_DANRE,atp23,254,Danio rerio,2:Experimental evidence at transcript level,Mitochondrial inner membrane protease ATP23 homolog,0.9998,0.9941,3,10,10,10,4,0,3,2,1,0,4,0,3,2,1,0,4,0,3,2,1,0,2376246.2,0,2264211,2387380,3016855,2404736,2376246.2,0,2264211,2387380,3016855,2404736,
sp|A4IGH4|WDR4_DANRE,A4IGH4,WDR4_DANRE,wdr4,413,Danio rerio,2:Experimental evidence at transcript level,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wdr4,0.9764,0.999,1,16,16,16,1,1,2,3,5,4,1,1,2,3,5,4,1,1,2,3,5,4,267500.8,0,690184.4,1911636.8,1247199.9,695481.44,267500.8,0,690184.4,1911636.8,1247199.9,695481.44,
sp|A4QN59|DPH2_DANRE,A4QN59,DPH2_DANRE,dph2,498,Danio rerio,2:Experimental evidence at transcript level,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2,0.9718,0.9938,2,4,4,4,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,498161.16,306537.44,471451.1,0,0,0,498161.16,306537.44,471451.1,
sp|A4QNW7|PHIPL_DANRE,A4QNW7,PHIPL_DANRE,phyhipl,377,Danio rerio,2:Experimental evidence at transcript level,Phytanoyl-CoA hydroxylase-interacting protein-like,1,0.999,5,74,74,74,9,8,14,14,15,14,9,8,14,14,15,14,9,8,14,14,15,14,10580655,10040949,10888540,7130617.5,7988210,8770864,4553781,4322587.5,4684798,3873633,4456060,4988220,
