Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,24hpf_FT1_1 Spectral Count,24hpf_FT1_2 Spectral Count,24hpf_FT1_3 Spectral Count,24hpf_pH11_1 Spectral Count,24hpf_pH11_2 Spectral Count,24hpf_pH11_3 Spectral Count,24hpf_pH2_1 Spectral Count,24hpf_pH2_2 Spectral Count,24hpf_pH2_3 Spectral Count,24hpf_pH5_1 Spectral Count,24hpf_pH5_2 Spectral Count,24hpf_pH5_3 Spectral Count,24hpf_pH8_1 Spectral Count,24hpf_pH8_2 Spectral Count,24hpf_pH8_3 Spectral Count,24hpf_FT1_1 Unique Spectral Count,24hpf_FT1_2 Unique Spectral Count,24hpf_FT1_3 Unique Spectral Count,24hpf_pH11_1 Unique Spectral Count,24hpf_pH11_2 Unique Spectral Count,24hpf_pH11_3 Unique Spectral Count,24hpf_pH2_1 Unique Spectral Count,24hpf_pH2_2 Unique Spectral Count,24hpf_pH2_3 Unique Spectral Count,24hpf_pH5_1 Unique Spectral Count,24hpf_pH5_2 Unique Spectral Count,24hpf_pH5_3 Unique Spectral Count,24hpf_pH8_1 Unique Spectral Count,24hpf_pH8_2 Unique Spectral Count,24hpf_pH8_3 Unique Spectral Count,24hpf_FT1_1 Total Spectral Count,24hpf_FT1_2 Total Spectral Count,24hpf_FT1_3 Total Spectral Count,24hpf_pH11_1 Total Spectral Count,24hpf_pH11_2 Total Spectral Count,24hpf_pH11_3 Total Spectral Count,24hpf_pH2_1 Total Spectral Count,24hpf_pH2_2 Total Spectral Count,24hpf_pH2_3 Total Spectral Count,24hpf_pH5_1 Total Spectral Count,24hpf_pH5_2 Total Spectral Count,24hpf_pH5_3 Total Spectral Count,24hpf_pH8_1 Total Spectral Count,24hpf_pH8_2 Total Spectral Count,24hpf_pH8_3 Total Spectral Count,24hpf_FT1_1 Intensity,24hpf_FT1_2 Intensity,24hpf_FT1_3 Intensity,24hpf_pH11_1 Intensity,24hpf_pH11_2 Intensity,24hpf_pH11_3 Intensity,24hpf_pH2_1 Intensity,24hpf_pH2_2 Intensity,24hpf_pH2_3 Intensity,24hpf_pH5_1 Intensity,24hpf_pH5_2 Intensity,24hpf_pH5_3 Intensity,24hpf_pH8_1 Intensity,24hpf_pH8_2 Intensity,24hpf_pH8_3 Intensity,24hpf_FT1_1 MaxLFQ Intensity,24hpf_FT1_2 MaxLFQ Intensity,24hpf_FT1_3 MaxLFQ Intensity,24hpf_pH11_1 MaxLFQ Intensity,24hpf_pH11_2 MaxLFQ Intensity,24hpf_pH11_3 MaxLFQ Intensity,24hpf_pH2_1 MaxLFQ Intensity,24hpf_pH2_2 MaxLFQ Intensity,24hpf_pH2_3 MaxLFQ Intensity,24hpf_pH5_1 MaxLFQ Intensity,24hpf_pH5_2 MaxLFQ Intensity,24hpf_pH5_3 MaxLFQ Intensity,24hpf_pH8_1 MaxLFQ Intensity,24hpf_pH8_2 MaxLFQ Intensity,24hpf_pH8_3 MaxLFQ Intensity,Indistinguishable Proteins
sp|A0A0R4IKU3|RECK_DANRE,A0A0R4IKU3,RECK_DANRE,reck,955,Danio rerio,1:Experimental evidence at protein level,Reversion-inducing cysteine-rich protein with Kazal motifs,1,0.9987,4,12,12,12,0,1,0,0,0,0,2,0,1,0,1,0,2,4,1,0,1,0,0,0,0,2,0,1,0,1,0,2,4,1,0,1,0,0,0,0,2,0,1,0,1,0,2,4,1,0,0,0,0,0,0,4748865.5,0,5998299,0,7975470,0,18055410,24130378,11934932,0,0,0,0,0,0,4748865.5,0,5998299,0,7975470,0,12335479,15154891,11934932,
sp|A0A0R4IQZ2|ZDH13_DANRE,A0A0R4IQZ2,ZDH13_DANRE,zdhhc13,645,Danio rerio,2:Experimental evidence at transcript level,Putative palmitoyltransferase ZDHHC13,1,0.9979,7,12,12,14,0,0,0,0,0,1,1,1,0,0,3,2,1,2,1,0,0,0,0,0,1,1,1,0,0,3,2,1,2,1,0,0,0,0,1,2,1,1,0,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,15042184,9103397,22226844,30119158,27334016,0,0,0,0,0,0,0,0,0,0,12677549,5413233.5,22226844,30119158,27334016,
sp|A0A0R4ITC5|TRRAP_DANRE,A0A0R4ITC5,TRRAP_DANRE,trrap,3841,Danio rerio,3:Protein inferred from homology,Transformation/transcription domain-associated protein,1,0.999,91,394,394,394,27,19,13,22,31,24,29,34,25,26,31,29,25,33,26,27,19,13,22,31,24,29,34,25,26,31,29,25,33,26,27,19,13,22,31,24,29,34,25,26,31,29,25,33,26,82219768,64736112,17850060,143890896,172473024,126543672,769648700,712527170,702577090,696420740,252948576,206290416,422579008,259398480,202088160,34654476,13318390,15061046,51016808,65250876,42254688,84687448,35172796,82902176,81851808,56470192,46213416,73942192,49592600,62500404,
sp|A0A0R4IVA4|CC14A_DANRE,A0A0R4IVA4,CC14A_DANRE,cdc14ab,611,Danio rerio,3:Protein inferred from homology,Dual specificity protein phosphatase CDC14AB,0.997,0.9989,2,7,7,7,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3297243,2637107.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3297243,2637107.5,0,0,0,0,0,0,
sp|A0A0R4IVV0|MTP_DANRE,A0A0R4IVV0,MTP_DANRE,mttp,884,Danio rerio,1:Experimental evidence at protein level,Microsomal triglyceride transfer protein large subunit,1,0.999,15,70,70,70,1,3,4,9,4,6,2,1,1,6,3,5,8,6,11,1,3,4,9,4,6,2,1,1,6,3,5,8,6,11,1,3,4,9,4,6,2,1,1,6,3,5,8,6,11,0,0,6425641,112780536,22773668,15372412,0,0,27152196,17121542,12886686,31666762,81279872,51242144,139137696,0,0,89308504,42201648,9336786,6007632,0,0,0,14085649,13157206,14661739,39636424,21811978,36982000,
sp|A0A0R4IWI1|COE1A_DANRE,A0A0R4IWI1,COE1A_DANRE,ebf1a,591,Danio rerio,2:Experimental evidence at transcript level,Transcription factor COE1-A,0.999,0.9985,3,4,4,8,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3192260.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0R4IXF6|KAT2A_DANRE,A0A0R4IXF6,KAT2A_DANRE,kat2a,795,Danio rerio,2:Experimental evidence at transcript level,Histone acetyltransferase KAT2A,1,0.999,12,44,42,44,0,3,3,3,1,1,1,5,4,4,4,5,2,4,4,0,3,3,3,0,0,1,5,4,4,4,5,2,4,4,0,3,3,3,1,1,1,5,4,4,4,5,2,4,4,0,1592195.1,1717971.5,24633764,3935882.5,3939225.5,5791812,87752928,74153688,9023762,3630397.5,2967273.2,0,19023226,11832391,0,0,0,15112939,3935882.5,3939225.5,16960006,21141048,26874254,0,2600292.8,2068222.9,0,11181928,11315644,
sp|A0A0R4IZ84|EST1A_DANRE,A0A0R4IZ84,EST1A_DANRE,smg6,1544,Danio rerio,2:Experimental evidence at transcript level,Telomerase-binding protein EST1A,1,0.999,9,25,25,25,2,0,2,1,0,1,3,5,3,1,4,1,1,0,1,2,0,2,1,0,1,3,5,3,1,4,1,1,0,1,2,0,2,1,0,1,3,5,3,1,4,1,1,0,1,109527.39,0,1062178.1,8788615,0,2906214.8,11971300,22693636,24436722,23731482,23298316,15677495,17264744,0,3959277,0,0,1062178.1,6460305.5,0,2906214.8,8774296,9754715,15666031,57253524,10159860,4840891,20364514,0,2910372,
sp|A0A1D5NS60|ZN16L_DANRE,A0A1D5NS60,ZN16L_DANRE,znf16l,528,Danio rerio,1:Experimental evidence at protein level,Zinc finger protein 16-like,0.9318,0.9758,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A1L2F565|PTH4_DANRE,A0A1L2F565,PTH4_DANRE,pth4,121,Danio rerio,2:Experimental evidence at transcript level,Parathyroid hormone 4,0.6046,0.9757,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A1Z2R986|EGLN_DANRE,A0A1Z2R986,EGLN_DANRE,eng,559,Danio rerio,2:Experimental evidence at transcript level,Endoglin,0.9994,0.9987,4,4,4,4,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11598075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A286Y9D1|PHF14_DANRE,A0A286Y9D1,PHF14_DANRE,phf14,914,Danio rerio,1:Experimental evidence at protein level,PHD finger protein 14,1,0.999,4,19,19,19,2,2,2,1,2,1,2,2,2,1,1,1,0,0,0,2,2,2,1,2,1,2,2,2,1,1,1,0,0,0,2,2,2,1,2,1,2,2,2,1,1,1,0,0,0,0,0,1955929.8,390072.25,6164428,0,19166772,13822889,10004384,4489346.5,4348555.5,957927.3,0,0,0,0,0,0,390072.25,6005030.5,0,10301014,7378051.5,5390244.5,4489346.5,4348555.5,957927.3,0,0,0,
sp|A0A2R8Q1W5|KEP1B_DANRE,A0A2R8Q1W5,KEP1B_DANRE,keap1b,587,Danio rerio,1:Experimental evidence at protein level,Kelch-like ECH-associated protein 1B,0.9509,0.9864,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,845766.3,0,0,0,3557878.8,10179890,0,0,0,0,0,0,0,0,0,0,0,0,0,3557878.8,10179890,0,0,
sp|A0A2R8Q3S9|CLCC1_DANRE,A0A2R8Q3S9,CLCC1_DANRE,clcc1,609,Danio rerio,2:Experimental evidence at transcript level,Chloride channel CLIC-like protein 1,1,0.999,3,7,7,7,0,1,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,13791595,4627392,0,0,4374193.5,0,0,0,0,0,0,0,0,0,0,13791595,4627392,0,0,0,0,0,0,
sp|A0A2R8QCI3|DAPLE_DANRE,A0A2R8QCI3,DAPLE_DANRE,ccdc88c,2023,Danio rerio,2:Experimental evidence at transcript level,Protein Daple,1,0.999,18,34,34,34,2,6,5,1,4,4,0,0,0,1,3,3,1,2,2,2,6,5,1,4,4,0,0,0,1,3,3,1,2,2,2,6,5,1,4,4,0,0,0,1,3,3,1,2,2,4405706,4725672,3870767.2,453399.03,38249160,12756366,0,0,0,11608306,22888084,25696078,13005585,61295492,43257700,2259848.2,13873238,11883782,0,9959376,8160741.5,0,0,0,17648160,12304250,6194404.5,52757300,43877040,37150648,
sp|A0A2R8QFQ6|FB11A_DANRE,A0A2R8QFQ6,FB11A_DANRE,fbxw11a,562,Danio rerio,2:Experimental evidence at transcript level,F-box and WD repeat domain-containing 11-A,1,0.9989,11,25,5,25,1,3,1,3,1,0,3,1,1,1,2,1,4,2,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,3,1,3,1,0,3,1,1,1,2,1,4,2,1,11869665,3454983.2,0,0,6756804.5,0,4221085,5920585.5,0,0,10068737,6406068,31858410,10089787,10464708,11869665,3454983.2,0,0,6756804.5,0,2896014.5,5920585.5,0,0,0,10755925,12340714,5651273.5,11148448,
sp|A0A2R8QP51|DPP9_DANRE,A0A2R8QP51,DPP9_DANRE,dpp9,885,Danio rerio,3:Protein inferred from homology,Dipeptidyl peptidase 9,1,0.999,12,57,57,57,3,0,0,7,3,7,10,7,6,4,1,2,2,2,3,3,0,0,7,3,7,10,7,6,4,1,2,2,2,3,3,0,0,7,3,7,10,7,6,4,1,2,2,2,3,4334592,0,0,73768824,22622420,25487774,510122528,291915168,387359040,52803952,15853263,16008030,52503692,23138734,35025472,6690656.5,0,0,36832308,18283986,13416089,76958496,42743596,82304320,33725872,17946482,14478583,51760048,19288502,22481492,
sp|A0A2R8QPS5|RIC1_DANRE,A0A2R8QPS5,RIC1_DANRE,ric1,1321,Danio rerio,3:Protein inferred from homology,Guanine nucleotide exchange factor subunit RIC1,1,0.9983,8,15,15,15,0,1,1,0,0,0,3,1,1,0,1,3,1,1,2,0,1,1,0,0,0,3,1,1,0,1,3,1,1,2,0,1,1,0,0,0,3,1,1,0,1,3,1,1,2,0,3821713.2,2459409.2,0,0,0,13915607,2144287.5,2375924.5,0,3459725.5,7004012,27446452,9754494,10147192,0,3821713.2,2459409.2,0,0,0,13915607,2144287.5,2375924.5,0,0,6649180.5,27446452,9754494,10147192,
sp|A0A2R8RWN9|FB11B_DANRE,A0A2R8RWN9,FB11B_DANRE,fbxw11b,534,Danio rerio,2:Experimental evidence at transcript level,F-box and WD repeat domain-containing 11-B,0.9998,0.9986,10,5,5,25,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,4,1,3,1,0,1,1,1,2,3,1,4,1,1,0,0,0,0,0,0,0,0,0,92553264,27377592,26645990,26433962,0,0,0,0,0,0,0,0,0,0,0,92553264,27377592,26645990,26433962,0,0,
sp|A0A8M1NHK4|RBM47_DANRE,A0A8M1NHK4,RBM47_DANRE,rbm47,600,Danio rerio,1:Experimental evidence at protein level,RNA-binding protein 47,1,0.999,7,15,15,15,1,0,1,2,3,2,1,1,1,1,0,1,0,0,1,1,0,1,2,3,2,1,1,1,1,0,1,0,0,1,1,0,1,2,3,2,1,1,1,1,0,1,0,0,1,1116092.6,0,0,11381010,7699745.5,7837543,0,0,0,0,0,5773134,0,0,2326585,0,0,0,11381010,7574498,7837543,0,0,0,0,0,5773134,0,0,2326585,
sp|A0A8M2B5N2|TSN18_DANRE,A0A8M2B5N2,TSN18_DANRE,tspan18b,258,Danio rerio,2:Experimental evidence at transcript level,Tetraspanin-18B,0.8644,0.9941,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991753.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A8M2BIB6|DSG2L_DANRE,A0A8M2BIB6,DSG2L_DANRE,dsg2l,1063,Danio rerio,2:Experimental evidence at transcript level,Desmoglein-2-like protein,0.9999,0.9943,4,5,5,5,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,197103.25,0,0,0,0,0,0,0,0,2227626.8,8589003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A8M2BID5|DESPA_DANRE,A0A8M2BID5,DESPA_DANRE,dspa,2059,Danio rerio,2:Experimental evidence at transcript level,Desmoplakin-A,1,0.999,70,295,286,295,16,20,10,26,21,16,21,25,19,35,18,18,21,18,11,16,19,10,25,19,15,21,25,19,35,18,17,21,17,9,16,20,10,26,21,16,21,25,19,35,18,18,21,18,11,89106688,85814896,16407877,264488784,173182464,67146520,1142401020,1276134780,839311490,803558980,210658064,85383632,352948320,208965648,137765808,20527116,13750959,5324606.5,42331116,38831184,20206636,130096592,137024480,115146144,50777268,35819700,17846904,36865856,41895396,49644624,
sp|A0A8M3AJY3|ABRX2_DANRE,A0A8M3AJY3,ABRX2_DANRE,abraxas2,416,Danio rerio,1:Experimental evidence at protein level,BRISC complex subunit abraxas 2,1,0.999,5,19,19,19,1,2,1,0,0,0,0,2,2,3,5,3,0,0,0,1,2,1,0,0,0,0,2,2,3,5,3,0,0,0,1,2,1,0,0,0,0,2,2,3,5,3,0,0,0,5966993.5,4435795.5,4366397.5,0,0,0,0,21250434,30119018,126135816,31936566,9198869,0,0,0,5966993.5,4435795.5,4366397.5,0,0,0,0,18748694,26132098,148688416,13660576,8358298,0,0,0,
sp|A0A8M3B525|BRCC3_DANRE,A0A8M3B525,BRCC3_DANRE,brcc3,287,Danio rerio,1:Experimental evidence at protein level,Lys-63-specific deubiquitinase,1,0.999,8,41,41,41,3,2,3,5,3,3,1,1,1,3,3,3,4,3,3,3,2,3,5,3,3,1,1,1,3,3,3,4,3,3,3,2,3,5,3,3,1,1,1,3,3,3,4,3,3,20708576,1751526.8,6386161,30864854,13878615,1471414.5,6690894.5,29046480,44271392,20688416,55854696,35003908,53971816,24222302,22095270,22446620,755538.9,5504487,61474236,5923425.5,9430317,10158688,44100848,67216608,12095757,53145368,29835490,18589274,12048254,5255447,
